,U1Trans,U1Rot,U1Scale,U1Cam,taskTotalLoad
1,0.3120089787,0.0101010101,0.0549943883,0.1515151515,0.5292134831
2,0.3221125943,0.0342426001,0.0446894951,0.1282646547,0.5255516841
3,0.2584118439,0,0.1022880215,0.0861372813,0.4474393531
4,0.1765942537,0,0.0588647512,0.1226348984,0.3576437588
5,0.2085889571,0.0015337423,0.1303680982,0,0.3410138249
,,,,,
1,0.3104693141,0.142599278,0.0848375451,0.0397111913,0.5768535262
2,0.3634651601,0.0621468927,0.0621468927,0,0.4867924528
3,0.2403697997,0.0755007704,0.0523882897,0.0570107858,0.424382716
4,0.1989247312,0.1129032258,0.0277777778,0.126344086,0.466367713
5,0.0916767189,0.3051869723,0.0711700844,0,0.4685990338
,,,,,
1,0.2888557585,0.1047335073,0.020872158,0.0443533358,0.4552572707
2,0.335208099,0.0967379078,0.062992126,0.0472440945,0.5416666667
3,0.2492260062,0.0255417957,0.0499226006,0.0611455108,0.3859852884
4,0.17752849,0.098468661,0.0295584046,0.1020299145,0.40730187
5,0.265610438,0.0368126747,0.0433364399,0.1309412861,0.475990676
,,,,,
1,0.4288240495,0.0716180371,0.0601237843,0.0132625995,0.5734513274
2,0.2686651584,0.060520362,0.0424208145,0.0452488688,0.4165251839
3,0.1572032955,0.1507459363,0.0351814741,0.0688042752,0.4120267261
4,0.2103374013,0.0448671931,0.0427135678,0.2419239052,0.5389587074
5,0.2996941896,0.0718654434,0.0512232416,0,0.4231063504
