,U1Trans,U1Rot,U1Scale,U1Cam,
1,0.5902335456,0.0191082803,0.1040339703,0.2866242038,1
2,0.6132596685,0.0651933702,0.0850828729,0.244198895,1.0077348066
3,0.578313253,0,0.2289156627,0.1927710843,1
4,0.4941176471,0,0.1647058824,0.3431372549,1.0019607843
5,0.6126126126,0.0045045045,0.3828828829,0,1
,,,,,
1,0.539184953,0.2476489028,0.1473354232,0.0689655172,1.0031347962
2,0.7480620155,0.1279069767,0.1279069767,0,1.003875969
3,0.5672727273,0.1781818182,0.1236363636,0.1345454545,1.0036363636
4,0.4269230769,0.2423076923,0.0596153846,0.2711538462,1
5,0.1958762887,0.6520618557,0.1520618557,0,1
,,,,,
1,0.6347256347,0.2301392301,0.0458640459,0.0974610975,1.0081900082
2,0.6195426195,0.1787941788,0.1164241164,0.0873180873,1.002079002
3,0.6459378134,0.0661985958,0.1293881645,0.1584754263,1
4,0.4359422825,0.2418014867,0.0725841714,0.2505465676,1.0008745082
5,0.5582761998,0.0773751224,0.0910871694,0.2752203722,1.0019588638
,,,,,
,,,,,
1,0.7484567901,0.125,0.1049382716,0.0231481481,1.0015432098
2,0.6453804348,0.1453804348,0.1019021739,0.1086956522,1.0013586957
3,0.3816216216,0.3659459459,0.0854054054,0.167027027,0.9999999999
4,0.3904063957,0.0832778148,0.0792804797,0.4490339773,1.0019986675
5,0.7088607595,0.1699819168,0.1211573237,0,1
