,U1Trans,U1Rot,U1Scale,U1Cam,U2Trans,U2Rot,U2Scale,U2Cam,U3Trans,U3Rot,U3Scale,U3Cam,U1,U2,U3,,T,R,S,C,
1,0.5310621242,0,0,0,0.0220440882,0.0200400802,0,0.1162324649,0.1162324649,0.0961923848,0.0941883768,0.3006012024,0.0940089933,0.0001485938,0.0001485938,0.0943061808,0.0733424096,0.0025756255,0.0029571501,0.02297715,0.0788751852
2,0.7726638773,0.0013947001,0,0,0.0292887029,0.0013947001,0,0.2092050209,0.1478382148,0.0013947001,0.0878661088,0,0.1986445927,0.0002729748,0.0054199435,0.204337511,0.1595112909,0,0.0025734844,0.0145889136,0.1620847752
3,0.4784810127,0,0,0.0025316456,0.2379746835,0,0.0911392405,0.2734177215,0.1493670886,0,0.1037974684,0,0.0763146932,0.0144164931,0.005860172,0.0965913582,0.0290017625,0,0.0032067511,0.0246904876,0.0322085136
4,0.0918032787,0,0.1081967213,0,0.0754098361,0.0918032787,0.0491803279,0.0491803279,0.7114754098,0,0.006557377,0,0.0034005196,0.0004622413,0.1671916152,0.1710543761,0.1314736182,0.0028092807,0.0026050345,0.0008062349,0.1368879333
5,0.2643312102,0,0.127388535,0.0031847134,0.2579617834,0,0,0,0.6942675159,0.0031847134,0,0.0031847134,0.017475354,0.0221814272,0.1599354943,0.1995922755,0.0625414148,3.38079981337985E-06,0.0054092796,3.38079981337985E-06,0.0679540752
6,0.0118577075,0.0039525692,0.185770751,0.0434782609,0.814229249,0,0,0,0,0.0197628458,0,0.0948616601,0.0105610149,0.2209897566,0.00013019,0.2316809615,0.2178183276,0.0001093596,0.0115035906,0.0022548912,0.2294312779
7,0.4270557029,0,0,0.0610079576,0.774535809,0,0,0,0,0,0.1220159151,0.0212201592,0.0607921911,0.1999685731,0.0049626278,0.2657233921,0.1505041195,0,0.0049626278,0.0009592225,0.1554667473
,,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,
1,0.6621315193,0,0,0,0.0022675737,0.0861678005,0,0.1088435374,0.2698412698,0.0022675737,0.1496598639,0.1655328798,0.146139383,0.0024115466,0.0179606234,0.166511553,0.1101512916,0.0024115466,0.007466025,0.0070769552,0.1200288632
2,0.7178423237,0.0041493776,0,0,0,0.5809128631,0,0,0.0663900415,0,0.112033195,0,0.1707787401,0.1124865848,0.0031737286,0.2864390535,0.1573492192,0.1116888483,0.0041838123,0,0.2732218798
3,0.3114754098,0,0.2003642987,0,0,0,0,0.2659380692,0.3096539162,0.1675774135,0,0.0637522769,0.024918077,0,0.0240255783,0.0489436553,0.0321509661,0.0093607298,0.0133819507,0.0192777507,0.0548936467
4,0.0852017937,0.0896860987,0.067264574,0,0.1031390135,0.0717488789,0,0.1210762332,0.6457399103,0,0.0134529148,0,0.0001407629,0.0027951497,0.1361579762,0.1390938889,0.1014900762,0.002252207,0.0012668664,0.0048864847,0.1050091496
5,0.3202846975,0.0035587189,0.1138790036,0,0.2669039146,0,0,0,0.4519572954,0.1992882562,0,0,0.0258482035,0.0237458999,0.0513038082,0.1008979116,0.0090719891,0.0130064209,0.0043228092,0,0.0264012192
6,0.0030959752,0,0.1826625387,0.0650154799,0.7399380805,0,0,0,0,0.2291021672,0,0.0247678019,0.0109365565,0.1825027877,0.0174959343,0.2109352785,0.1817423727,0.0174959343,0.0111218677,0.001076722,0.2103601747
7,0.2009966777,0,0.011627907,0.2541528239,0.5465116279,0,0.0265780731,0.1445182724,0.0514950166,0.1046511628,0.0747508306,0.0066445183,0.0127325673,0.0949520425,0.0007100731,0.1083946829,0.0644621288,0.003650622,0.0010881043,0.0153815447,0.069200855
,,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,
1,0.4086206897,0.1086206897,0,0.0672413793,0.0913793103,0.0431034483,0.0181034483,0.2948275862,0.1413793103,0,0.0232758621,0.1879310345,0.044794887,0.0013874851,0.0057463833,0.0519287554,0.0290933413,0.0029914784,0.0001493757,0.0129647245,0.0322341954
2,0.4107038976,0.0238510762,0.0942408377,0.15008726,0,0.304246655,0.0157068063,0.0826061664,0.0558464223,0.1035485748,0.0296684119,0.0756253636,0.042459782,0.0293446625,0.001403177,0.0732076216,0.049620057,0.0208755152,0.0017553531,0.0016911673,0.0722509254
3,0.4808110065,0.0832729906,0.1057204924,0.018826937,0.000724113,0.0144822592,0.018102824,0.2599565532,0.1028240406,0.0832729906,0.0159304852,0.1180304127,0.0498722097,8.40691120588491E-05,0.0020779578,0.0520342366,0.0639636612,0.0015773882,0.00262397,0.0146879751,0.0681650194
