,U1totalTrans,U1totalRot,U1totalScale,U1totalCam,U2totalTrans,U2totalRot,U2totalScale,U2totalCam,allUsersTotalTrans,allUsersTotalRot,allUsersTotalScale,allUsersTotalCam
1,0.6728110599,0,0.2671755725,0.3920454545,0.3870967742,1,0.8015267176,0.6875,1.0599078341,1,1.0687022901,1.0795454545
2,0,0,0,0,1,0,1,0,1,0,1,0
3,0.4316546763,1,0,0,0.7913669065,0,1,0,1.2230215827,1,1,0
4,0.8447204969,0,0.775862069,0,0.2298136646,0,0.224137931,1,1.0745341615,0,1,1
5,1,0,0,0,0,0,0,0,1,0,0,0
6,0.2240437158,1,0.0841121495,1,0.7841530055,0,0.9719626168,0,1.0081967213,1,1.0560747664,1
7,0.9964788732,1,0.9696969697,0,0.0492957746,0,0.0606060606,1,1.0457746479,1,1.0303030303,1
,,,,,,,,,,,,
1,0.7566137566,0,0,0,0.4285714286,1,1,1,1.1851851852,1,1,1
2,0,0,0,0,1.010989011,1,1,0,1.010989011,1,1,0
3,0.5721393035,1,0,0,0.6865671642,0,1,0,1.2587064677,1,1,0
4,0.5042016807,1,1,0.847826087,0.7478991597,0,0,0.9565217391,1.2521008403,1,1,1.8043478261
5,1,0,1,0,0,0,0,0,1,0,1,0
6,0.0212765957,1,0.0952380952,1,1,0,0.9047619048,0,1.0212765957,1,1,1
7,0.8775510204,0.3852459016,1,0,0.1714285714,0.6147540984,0,1,1.0489795918,1,1,1
,,,,,,,,,,,,
1,0.667027027,0,0.5474452555,0,0.4821621622,1,0.5766423358,1,1.1491891892,1,1.1240875912,1
2,0,0,0,0,1.0016722408,1,1,0,1.0016722408,1,1,0
3,0.7692307692,1,0,0.6923076923,0.4939271255,0,1,0.5846153846,1.2631578947,1,1,1.2769230769
4,0.4957555178,1,0.6730769231,0.3169014085,0.6604414261,0,0.3269230769,0.9507042254,1.156196944,1,1,1.2676056338
5,1,1,1,1,0,0,0,0,1,1,1,1
6,0.1257253385,0.9201793722,0.4603174603,0.99543379,0.9245647969,0.0950672646,0.6031746032,0.0776255708,1.0502901354,1.0152466368,1.0634920635,1.0730593607
7,0.8987783595,1,0.8032786885,0.3571428571,0.1465968586,0,0.2513661202,0.6818181818,1.0453752182,1,1.0546448087,1.038961039
,,,,,,,,,,,,
1,0.7008343266,0.8819742489,0.5035971223,0.64,0.568533969,0.2339055794,0.5395683453,1,1.2693682956,1.1158798283,1.0431654676,1.64
2,0.7579710145,0.8883572568,0.2713178295,0,0.384057971,0.2472089314,0.7286821705,1,1.1420289855,1.1355661882,1,1
3,0.5594405594,0.9353448276,1,0.1739130435,0.5571095571,0.1034482759,0,1,1.1165501166,1.0387931034,1,1.1739130435
4,1,1,1,1,0,0,0,0,1,1,1,1
5,0.1465863454,1,0.5526315789,1,0.8915662651,0.0262430939,0.4473684211,0,1.0381526104,1.0262430939,1,1
6,0.9542253521,0.5748987854,0.7328244275,0.6772908367,0.0862676056,0.4696356275,0.2977099237,0.5418326693,1.0404929577,1.044534413,1.0305343511,1.219123506
