Checkpoint,E1,E2,E3,E4,T1,T2,T3,T4
1,2.552981,1.923633,0.457849,1.554914,43.7014,18.9205,53.4206,42.28
1,6.00778,11.75348,1.276835,3.538198,0.5997,22.0545,1.29938,20.059
2,16.95301,6.2464,3.243309,2.416622,27.5805,16.5443,15.1507,14.727
3,6.87595,2.100487,2.557314,2.383837,12.766,6.5702,21.8664,16.627
3,6.623047,0.9704856,1.822733,1.325592,9.1076,17.8009,8.4536,57.773
3,11.89963,2.421061,2.709819,1.385773,7.9082,19.1355,26.2541,41.254
3,8.263282,1.546066,2.292903,3.100229,0.8073,5.123,21.5064,15.383
3,7.022774,5.472954,2.942827,2.602042,1.3545,0.801,24.7494,1.36
3,8.752884,1.739387,3.568282,2.730695,9.0115,6.4623,14.8506,2.35
3,7.459644,5.513764,2.714013,3.174932,0.3498,13.5254,5.2503,8.427
3,15.66327,6.748151,5.170437,1.641494,2.901,9.72915,3.0991,43.46362
4,7.257324,2.78187,3.337802,1.190929,27.4123,7.62127,25.0997,8.54755
4,6.539456,1.441352,2.689958,2.314833,7.0529,43.35246,4.7502,10.55221
4,11.11605,1.506991,3.025027,1.499431,11.2918,12.99745,13.4503,13.74972
4,9.425533,1.804433,2.12221,1.145168,1.8242,2.01632,6.349,5.4544
4,10.25405,2.926983,2.627921,2.822591,2.509,3.61093,10.1635,1.4002
4,4.83198,2.753535,4.488725,2.969541,0.9544,4.1506,6.6488,0.7499
4,9.743069,8.802749,5.045763,3.302351,0.6504,6.4688,0.3004,2.4022
4,9.071087,3.004579,6.273589,1.622368,4.5039,11.8498,8.1999,48.95116
1,4.031909,4.069859,1.562084,1.62389,82.4115,15.153,25.1607,1.951
1,3.707431,4.348501,3.156556,2.768127,0.5013,13.7009,1.3993,23.2197
2,6.642847,5.607391,4.060901,0.8555403,25.7002,14.8492,46.8605,32.2997
3,5.797201,2.965274,4.823443,2.229399,54.7911,11.5508,32.8003,23.7017
3,4.264198,4.973049,2.683038,3.561848,24.7517,17.4551,40.2152,12.6035
3,9.980396,3.587233,4.031501,1.873684,7.5185,14.6002,7.3507,18.21
3,2.096157,4.286748,4.14871,1.998164,12.3256,6.7527,4.9506,13.7527
3,9.242344,4.492808,3.434093,0.9204666,2.5024,2.4509,5.2007,4.9005
3,5.441056,8.534507,2.817188,1.17128,0.2506,5.253,3.4492,3.6568
3,3.757367,7.236197,4.17964,1.599064,10.8469,16.35614,15.9521,12.1
3,18.47361,4.201269,5.710479,0.6788346,14.2433,6.55044,8.4037,11.5012
4,3.160902,3.644014,4.724011,2.35458,18.7913,14.30109,29.3548,10.8049
4,5.515357,3.947317,1.438804,1.352477,18.4735,22.35446,15.0597,8.4066
4,9.930317,2.317144,2.808136,1.090702,7.7676,28.90913,13.6096,2.8003
4,3.052425,2.617777,5.678527,2.379631,14.4149,5.8495,7.5163,6.0008
4,3.591951,0.9864246,3.985703,3.19397,2.9122,13.6,8.558,3.7492
4,4.161583,11.14828,2.050389,3.084859,11.2849,4.9503,5.205,1.3504
4,3.437613,2.033778,2.517652,1.093341,7.626,13.4501,5.7111,16.1541
4,12.79405,2.351931,4.083905,1.062217,6.5865,2.2494,6.0972,19.40325
