Time T1	Time T2	Time T3	Time T4	Error T1	Error T2	Error T3	Error T4	Var T1	Var T2	Var T3	Var T4
44.506	86.013	127.2309	162.962	9.070060125	3.251325575	2.972291	2.38996525	0	0.199389588	0.133459968	0.074708292
56.699	90.59442	82.5638	87.06737	8.529818625	3.595758	3.701374375	2.11079225	0	0.080684134	0.240716977	0.160463115
129.5357	87.2619	120.6714	74.4534	7.381541125	4.849438875	3.9785115	3.33753925	0	0.001521254	0.146439131	0.183055972
88.6565	113.11968	91.1117	71.80547	5.70552475	4.512302825	3.0536295	2.288987888	0	0.041505246	0.094154215	0.117066883
130.7602	69.3649	76.8215	56.4048	6.207668	6.0378925	4.15080525	3.023767	0	0.182106965	0.048890327	0.05751343
63.443	58.4197	55.2902	63.9076	5.08886925	4.339551	4.628315625	3.2575605	0	0.185827978	0.011195982	0.176105237
281.5956	139.3775	86.8132	127.1752	3.3415055	4.726371375	3.179115575	1.776180738	0	0.426703954	0.034859798	0.182558512
225.2061	111.0404	61.2443	60.7675	3.299659	3.707838875	4.247868863	1.903549325	0	0.295053083	0.116155413	0.143538626
105.6555	109.5334	283.4138	212.14	6.817599375	4.380987	2.652202538	2.3768976	0		0.015035532	0.120339786
139.6341	83.165	192.724	113.401	8.455383125	5.540681	2.95349675	1.918038625	0		0.018896986	0.060505875
	99.4809	41.2966			4.69978675	4.778646875				0.118175813	
	93.1132	38.1163			4.160006	4.583976				0.215630566	
