1 Time ;2 Time ;3 Time ;4 Time ;1 Error;2 Error;3 Error;4 Error;1 Variance;2 Variance;3 Variance;4 Variance
44.601;19.921;58.66863;47.198;4.2803805;1.923633;0.867342;1.554914;;;;
27.73;23.7583;16.3988;21.408;16.95301;11.75348;3.243309;3.538198;;;;
44.506;86.013;127.2309;162.962;9.070060125;3.251325575;2.972291;2.38996525;;;;
56.699;90.59442;82.5638;87.06737;8.529818625;3.595758;3.701374375;2.11079225;;;;
86.2698;13.6498;29.0093;22.00295;3.86967;3.004579;2.35932;1.4022025;;;;
26.6007;15.9533;49.1603;16.251;6.642847;4.069859;4.060901;4.50141;;;;
129.5357;87.2619;120.6714;74.4534;7.381541125;4.849438875;3.9785115;3.33753925;;;;
88.6565;113.11968;91.1117;71.80547;5.70552475;4.512302825;3.0536295;2.288987888;;;;
37.2235;16.4503;36.213;21.09751;1.317529;2.1928545;2.2592535;3.1454575;;;;
32.5;14.4999;22.4135;16.95763;9.220284;5.547572;3.317118;6.065219;;;;
130.7602;69.3649;76.8215;56.4048;6.207668;6.0378925;4.15080525;3.023767;;;;
63.443;58.4197;55.2902;63.9076;5.08886925;4.339551;4.628315625;3.2575605;;;;
71.4288;17.2095;21.4411;54.20073;4.0249215;2.5768675;1.300738;1.623129;;;;
55.8885;29.6276;17.1868;37.1223;8.576299;8.645294;3.357939;2.768127;;;;
281.5956;139.3775;86.8132;127.1752;3.3415055;4.726371375;3.179115575;1.776180738;;;;
225.2061;111.0404;61.2443;60.7675;3.299659;3.707838875;4.247868863;1.903549325;;;;
32.6565;59.3345;20.20286;19.3561;4.4561235;4.601643;2.3293385;2.0465585;;;;
41.4964;16.4841;25.701;30.7565;9.002918;8.891509;4.309965;2.979571;;;;
105.6555;109.5334;283.4138;212.14;6.817599375;4.380987;2.652202538;2.3768976;;;;
139.6341;83.165;192.724;113.401;8.455383125;5.540681;2.95349675;1.918038625;;;;
;35.49839;24.4088;;;1.390942;2.187007;;;;;
;34.55538;42.2601;;;4.142436;8.903512;;;;;
;99.4809;41.2966;;;4.69978675;4.778646875;;;;;
;93.1132;38.1163;;;4.160006;4.583976;;;;;
