Time Member1	Time Member2	Time Member3	Time Member4	Error Member1	Error Member2	Error Member3	Error Member4
44.506	86.013	127.2309	162.962	7.861463	2.260774	2.711916	2.509332
56.699	90.59442	82.5638	87.06737	9.24831	2.7677025	3.1814145	1.9781635
129.5357	87.2619	120.6714	74.4534	5.6191285	4.4206545	4.0901055	2.8542355
88.6565	113.11968	91.1117	71.80547	3.876767	3.7956655	3.3969195	1.9118085
281.5956	69.3649	76.8215	56.4048	6.004525	5.324064	4.4244435	2.3445545
225.2061	58.4197	55.2902	63.9076	5.216207	3.984116	4.7671835	2.7843005
105.6555	139.3775	86.8132	127.1752	2.6607275	5.078261	3.2695245	1.736374
139.6341	111.0404	61.2443	60.7675	2.895181	2.5421635	4.584655	1.8535285
	109.5334	283.4138	212.14	7.370132	5.1020385	1.681474	2.5047495
	83.165	192.724	113.401	6.931314	6.0863765	2.6851765	1.6416445
	99.4809	41.2966			4.205052	4.419264	
	93.1132	38.1163			4.758173	4.1312975	
