Time T1;Time T2;Time T3;Time T4;Error T1;Error T2;Error T3;Error T4;Var T1;Var T2;Var T3;Var T4
44,601;19,921;58,66863;47,198;4,2803805;1,923633;0,867342;1,554914;0;0,263696129;0,286835548;0,00659468
27,73;23,7583;16,3988;21,408;16,95301;11,75348;3,243309;3,538198;0;0,022688678;0,238683907;0,06372513
44,506;86,013;127,2309;162,962;9,070060125;3,251325575;2,972291;2,38996525;0;0,199389588;0,133459968;0,074708292
56,699;90,59442;82,5638;87,06737;8,529818625;3,595758;3,701374375;2,11079225;0;0,080684134;0,240716977;0,160463115
86,2698;13,6498;29,0093;22,00295;3,86967;3,004579;2,35932;1,4022025;0;0,225296778;0,094369492;0,116412088
26,6007;15,9533;49,1603;16,251;6,642847;4,069859;4,060901;4,50141;0;0,03836752;0,068483515;0,055953973
129,5357;87,2619;120,6714;74,4534;7,381541125;4,849438875;3,9785115;3,33753925;0;0,001521254;0,146439131;0,183055972
88,6565;113,11968;91,1117;71,80547;5,70552475;4,512302825;3,0536295;2,288987888;0;0,041505246;0,094154215;0,117066883
37,2235;16,4503;36,213;21,09751;1,317529;2,1928545;2,2592535;3,1454575;0;0,0689509;0,238688525;0,125208844
32,5;14,4999;22,4135;16,95763;9,220284;5,547572;3,317118;6,065219;0;0,003346766;0,154376722;0,09580485
130,7602;69,3649;76,8215;56,4048;6,207668;6,0378925;4,15080525;3,023767;0;0,182106965;0,048890327;0,05751343
63,443;58,4197;55,2902;63,9076;5,08886925;4,339551;4,628315625;3,2575605;0;0,185827978;0,011195982;0,176105237
71,4288;17,2095;21,4411;54,20073;4,0249215;2,5768675;1,300738;1,623129;0;0,334446219;0,154093472;0,14721198
55,8885;29,6276;17,1868;37,1223;8,576299;8,645294;3,357939;2,768127;0;0,044372642;0,111244792;0,23253372
281,5956;139,3775;86,8132;127,1752;3,3415055;4,726371375;3,179115575;1,776180738;0;0,426703954;0,034859798;0,182558512
225,2061;111,0404;61,2443;60,7675;3,299659;3,707838875;4,247868863;1,903549325;0;0,295053083;0,116155413;0,143538626
32,6565;59,3345;20,20286;19,3561;4,4561235;4,601643;2,3293385;2,0465585;0;;0,415207236;0,503935974
41,4964;16,4841;25,701;30,7565;9,002918;8,891509;4,309965;2,979571;0;;0,237776649;0,237085748
105,6555;109,5334;283,4138;212,14;6,817599375;4,380987;2,652202538;2,3768976;0;;0,015035532;0,120339786
139,6341;83,165;192,724;113,401;8,455383125;5,540681;2,95349675;1,918038625;0;;0,018896986;0,060505875
;35,49839;24,4088;;;1,390942;2,187007;;;;0,299755856;
;34,55538;42,2601;;;4,142436;8,903512;;;;0,172964426;
;99,4809;41,2966;;;4,69978675;4,778646875;;;;0,118175813;
;93,1132;38,1163;;;4,160006;4,583976;;;;0,215630566;
