,U1Trans,U1Rot,U1Scale,U1Cam,U2Trans,U2Rot,U2Scale,U2Cam,U3Trans,U3Rot,U3Scale,U3Cam,taskTotalLoad
1,0.3181272509,0,0,0,0.0132052821,0.0120048019,0,0.0696278511,0.0696278511,0.0576230492,0.056422569,0.1800720288,0.5997596154
2,0.4722932651,0.0008525149,0,0,0.0179028133,0.0008525149,0,0.1278772379,0.0903665814,0.0008525149,0.0537084399,0,0.611774744
3,0.325862069,0,0,0.0017241379,0.1620689655,0,0.0620689655,0.1862068966,0.1017241379,0,0.0706896552,0,0.6822107081
4,0.0386740331,0,0.0455801105,0,0.0317679558,0.0386740331,0.020718232,0.020718232,0.2997237569,0,0.0027624309,0,0.4218533887
5,0.1939252336,0,0.0934579439,0.0023364486,0.1892523364,0,0,0,0.5093457944,0.0023364486,0,0.0023364486,0.7353629977
6,0.0074257426,0.0024752475,0.1163366337,0.0272277228,0.5099009901,0,0,0,0,0.0123762376,0,0.0594059406,0.6277915633
7,0.3305954825,0,0,0.0472279261,0.5995893224,0,0,0,0,0,0.0944558522,0.0164271047,0.7757201646
,,,,,,,,,,,,,
1,0.4826446281,0,0,0,0.0016528926,0.0628099174,0,0.079338843,0.1966942149,0.0016528926,0.1090909091,0.120661157,0.7301324503
2,0.5274390244,0.0030487805,0,0,0,0.4268292683,0,0,0.0487804878,0,0.0823170732,0,0.7370030581
3,0.1739572737,0,0.1119023398,0,0,0,0,0.1485249237,0.1729399797,0.0935910478,0,0.0356052899,0.5590631365
4,0.0424107143,0.0446428571,0.0334821429,0,0.0513392857,0.0357142857,0,0.0602678571,0.3214285714,0,0.0066964286,0,0.4988814318
5,0.2623906706,0.0029154519,0.0932944606,0,0.2186588921,0,0,0,0.3702623907,0.1632653061,0,0,0.8216374269
6,0.0019455253,0,0.1147859922,0.0408560311,0.4649805447,0,0,0,0,0.1439688716,0,0.0155642023,0.6296296296
7,0.1435349941,0,0.0083036773,0.1814946619,0.3902728351,0,0.0189798339,0.103202847,0.0367734282,0.0747330961,0.0533807829,0.0047449585,0.7149643705
,,,,,,,,,,,,,
1,0.2771929825,0.0736842105,0,0.0456140351,0.0619883041,0.0292397661,0.0122807018,0.2,0.0959064327,0,0.0157894737,0.1274853801,0.6787595085
2,0.2775157233,0.0161163522,0.0636792453,0.1014150943,0,0.205581761,0.0106132075,0.0558176101,0.0377358491,0.0699685535,0.0200471698,0.0511006289,0.6759732599
3,0.2751761293,0.0476585164,0.0605055947,0.0107749689,0.0004144219,0.0082884376,0.010360547,0.1487774554,0.0588479072,0.0476585164,0.0091172814,0.0675507667,0.5725538972
4,0.0164348925,0.1719342604,0.01011378,0,0.0897597977,0,0.0663716814,0.0082174463,0.2850821745,0,0.0132743363,0,0.5458570525
5,0.0473167917,0.1863819965,0.0819388344,0.0271206001,0.1904212349,0,0.0075014426,0.0236583958,0.2412002308,0,0.0103866128,0.1032890941,0.6841801386
6,0.0068868091,0.0001765848,0.0535052093,0.1513332156,0.2390958856,0,0,0,0.0019424333,0.1299664489,0.0038848667,0.0307257637,0.5180148357
7,0.2597087379,0.0012135922,0.0485436893,0.0473300971,0.5339805825,0.0024271845,0,0,0.0995145631,0.0800970874,0.0546116505,0,0.7667071689
,,,,,,,,,,,,,
1,0.3531193216,0.0139309509,0.0181708056,0.078134464,0.0351302241,0.110841914,0.0296789824,0.0442156269,0.0666262871,0,0.0514839491,0,0.6266666667
2,0.1372654155,0.000536193,0.1796246649,0,0,0,0,0.2080428954,0.0434316354,0.0504021448,0,0.0321715818,0.5423819742
3,0.0950226244,0.0533936652,0.0334841629,0,0.0904977376,0.0180995475,0.0769230769,0.057918552,0.1900452489,0,0.0443438914,0,0.544384058
4,0.0834697218,0.0728314239,0.0744680851,0.0106382979,0.1849427169,0,0.0057283142,0,0.1612111293,0.0785597381,0.0114566285,0.1710310966,0.6191646192
5,0.0052015605,0.000260078,0.06710013,0.1903771131,0.2626788036,0.000260078,0,0,0.0041612484,0.1508452536,0,0.0283485046,0.5790842872
6,0.2562417871,0,0.0249671485,0.0709592641,0.5453350854,0.0302233903,0.0013140604,0,0.0657030223,0.0433639947,0.0525624179,0,0.7763157895
