,U1Trans,U1Rot,U1Scale,U1Cam,U2Trans,U2Rot,U2Scale,U2Cam,U3Trans,U3Rot,U3Scale,U3Cam,U4Trans,U4Rot,U4Scale,U4Cam,taskTotalLoad
1,0,0,0,0.2133757962,0.2335456476,0.0212314225,0,0.0212314225,0.0371549894,0.0276008493,0.1762208068,0.0053078556,0.1454352442,0,0,0.08492569,0.6567481403
2,0.2795454545,0,0,0,0.0909090909,0.1522727273,0.0477272727,0.0386363636,0,0.0227272727,0.0954545455,0.1409090909,0.0363636364,0.0136363636,0.0113636364,0.0159090909,0.6469248292
3,0.0473933649,0,0.0734597156,0,0.1848341232,0.0355450237,0.0308056872,0.018957346,0.1943127962,0,0,0,0.3127962085,0,0.0710900474,0,0.6365795724
4,0.2638376384,0.0212177122,0,0,0.1697416974,0.110701107,0.0147601476,0.1605166052,0.0673431734,0,0.0433579336,0,0.3671586716,0,0,0,0.7663896584
5,0,0,0.1804734,0,0.8047337,0,0,0,0.49704142,0,0,0,0,0,0,0,0.8756477
,,,,,,,,,,,,,,,,,
1,0.0444964871,0,0.1288056206,0,0.3606557377,0,0,0,0,0.2037470726,0,0,0.0866510539,0,0,0.2646370023,0.7746478873
2,0.3630769231,0,0,0,0.1630769231,0.1138461538,0,0.0030769231,0.0061538462,0,0.1230769231,0.0615384615,0.0215384615,0.1446153846,0,0.0184615385,0.7160493827
3,0.0914454277,0.0766961652,0,0,0.191740413,0.1120943953,0.0530973451,0.0294985251,0.1946902655,0,0.01179941,0,0.389380531,0,0,0,0.7573964497
4,0.0929919137,0.0013477089,0.0202156334,0,0.0687331536,0.0997304582,0,0.1859838275,0.0107816712,0,0.0498652291,0,0.3908355795,0,0,0,0.6923076923
5,0.006504065,0,0.03739837,0,0.4796748,0,0,0,0.138211382,0,0,0.0601626,0,0.2276423,0,0,0.742671
,,,,,,,,,,,,,,,,,
1,0.0756457565,0.0073800738,0.032595326,0.1746617466,0.0959409594,0.0624231242,0.00399754,0.0553505535,0.0006150062,0.0467404674,0.0750307503,0.0519680197,0.3683886839,0,0,0.0415129151,0.7539218702
2,0.3008730692,0,0.0315648086,0,0.0651443922,0.0624580255,0.0087306917,0,0,0.083948959,0,0.0402955003,0.0174613835,0.0147750168,0.0342511753,0.002014775,0.5389784946
3,0.0434397163,0.0443262411,0.0753546099,0.024822695,0.115248227,0.0159574468,0.0363475177,0.0682624113,0.0540780142,0,0,0.1108156028,0.2260638298,0.0895390071,0.0079787234,0.0168439716,0.6503992902
4,0.0699960676,0.1545418797,0.010617381,0.0802202123,0,0.0066850177,0,0.2316162013,0.0224144711,0,0.0625245773,0,0.4805348014,0,0,0,0.7706530291
5,0.0146123,0.0002356823,0.0386519,0,0.17393354,0.007070469,0.0002356823,0,0.1407023333,0.0007070469,0,0.0106057,0,0.29106764,0,0.005420693,0.5768505
,,,,,,,,,,,,,,,,,
1,0.1425287356,0.0293103448,0.0293103448,0.0281609195,0.1045977011,0.0954022989,0.0149425287,0.1235632184,0.0902298851,0.0166666667,0.0770114943,0.0959770115,0.5385057471,0.0005747126,0,0.0816091954,0.8734905118
2,0.3391364903,0,0,0,0.1608635097,0,0.0034818942,0,0,0.0431754875,0,0.0905292479,0.0236768802,0.0076601671,0.0661559889,0.0188022284,0.5993031359
3,0.0633802817,0.1979655712,0.0657276995,0.0758998435,0.1611893584,0.048513302,0.0203442879,0.0805946792,0.0923317684,0.0438184664,0.0250391236,0.1635367762,0.0312989045,0,0.0219092332,0.0125195618,0.6961628818
4,0,0.2964899178,0,0.0806572069,0,0,0,0.3017176998,0.0044809559,0,0.073935773,0,0.3935772965,0,0,0,0.7668161435
5,0.002645503,0.0004409171,0.08112875,0,0.2028219,0.01322751,0,0,0.239417989,0.008818342,0,0,0,0.1865079365,0,0,0.5774151
