,U1Trans,U1Rot,U1Scale,U1Cam,U2Trans,U2Rot,U2Scale,U2Cam,,
1,0.3093220339,0,0.0741525424,0.1461864407,0.1779661017,0.0444915254,0.2224576271,0.2563559322,0.5296610169,0.7012711864
2,0,0,0,0,0.5163043478,0,0.4836956522,0,0,1
3,0.3243243243,0.0108108108,0,0,0.5945945946,0,0.2540540541,0,0.3351351351,0.8486486486
4,0.6267281106,0,0.2073732719,0,0.1705069124,0,0.0599078341,0.1290322581,0.8341013825,0.3594470046
5,1,0,0,0,0,0,0,0,1,0
6,0.1115646259,0.4843537415,0.012244898,0.1863945578,0.3904761905,0,0.1414965986,0,0.7945578231,0.5319727891
7,0.6819277108,0.0024096386,0.1542168675,0,0.0337349398,0,0.0096385542,0.2168674699,0.8385542169,0.2602409639
,,,,,,,,,,
,,,,,,,,,,
1,0.453968254,0,0,0,0.2571428571,0.2476190476,0.0888888889,0.0952380952,0.453968254,0.6888888889
2,0,0,0,0,0.3321299639,0.5198555957,0.1516245487,0,0,1.0036101083
3,0.4811715481,0.1046025105,0,0,0.5774058577,0,0.1589958159,0,0.5857740586,0.7364016736
4,0.3092783505,0.2731958763,0.0979381443,0.2010309278,0.4587628866,0,0,0.2268041237,0.881443299,0.6855670103
5,0.9561403509,0,0.0438596491,0,0,0,0,0,1,0
6,0.0123966942,0.3884297521,0.0165289256,0.2644628099,0.5826446281,0,0.1570247934,0,0.6818181818,0.7396694215
7,0.4976851852,0.1087962963,0.0601851852,0,0.0972222222,0.1736111111,0,0.1851851852,0.6666666667,0.4560185185
,,,,,,,,,,
,,,,,,,,,,
1,0.4827856025,0,0.058685446,0,0.3489827856,0.151799687,0.0618153365,0.1158059468,0.5414710485,0.6784037559
2,0,0,0,0,0.7582278481,0.153164557,0.1025316456,0,0,1.0139240506
3,0.4653061224,0.372244898,0,0.0367346939,0.2987755102,0,0.0979591837,0.0310204082,0.8742857143,0.427755102
4,0.3163596966,0.2026002167,0.0758396533,0.0487540628,0.4214517876,0,0.036836403,0.1462621885,0.6435536295,0.6045503792
5,0.7676864245,0.1061185468,0.0411089866,0.0889101338,0,0,0,0,1.0038240918,0
6,0.0396825397,0.6263736264,0.0177045177,0.1330891331,0.2918192918,0.0647130647,0.0231990232,0.0103785104,0.8168498168,0.3901098901
7,0.5191532258,0.1673387097,0.1481854839,0.0554435484,0.0846774194,0,0.0463709677,0.1058467742,0.8901209677,0.2368951613
,,,,,,,,,,
,,,,,,,,,,
1,0.4282592862,0.2993445011,0.0509832484,0.0233066278,0.347414421,0.079388201,0.054624909,0.036416606,0.8018936635,0.5178441369
2,0.3811953353,0.4059766764,0.0255102041,0,0.193148688,0.1129737609,0.0685131195,0.0087463557,0.8126822157,0.3833819242
3,0.3195739015,0.2889480692,0.1225033289,0.0372836218,0.3182423435,0.0319573901,0,0.2143808256,0.7683089214,0.5645805593
4,0.5378787879,0.2777777778,0.0681818182,0.1578282828,0,0,0,0,1.0416666667,0
5,0.0609857978,0.604845447,0.0526315789,0.142021721,0.3709273183,0.0158730159,0.0426065163,0,0.8604845447,0.4294068505
6,0.482635797,0.1264470169,0.0854853072,0.1513802315,0.0436331256,0.1032947462,0.0347284061,0.1211041852,0.8459483526,0.302760463
