;U1Trans;U1Rot;U1Scale;U1Cam;U2Trans;U2Rot;U2Scale;U2Cam;U3Trans;U3Rot;U3Scale;U3Cam;U4Trans;U4Rot;U4Scale;U4Cam;;;;
1;0;0;0;0.325242718;0.355987055;0.03236246;0;0.03236246;0.056634304;0.042071197;0.268608414;0.008090615;0.221682848;0;0;0.129449838;0.325242718;0.420711974;0.375404531;0.351132686
2;0.433098592;0;0;0;0.14084507;0.235915493;0.073943662;0.059859155;0;0.035211268;0.147887324;0.218309859;0.056338028;0.021126761;0.017605634;0.024647887;0.433098592;0.51056338;0.401408451;0.11971831
3;0.074626866;0;0.115671642;0;0.291044776;0.055970149;0.048507463;0.029850746;0.305970149;0;0;0;0.492537313;0;0.111940299;0;0.190298508;0.425373134;0.305970149;0.604477612
4;0.344578313;0.027710843;0;0;0.221686747;0.144578313;0.019277108;0.209638554;0.087951807;0;0.056626506;0;0.479518072;0;0;0;0.372289157;0.595180723;0.144578313;0.479518072
5;0;0;0.1804734;0;0.8047337;0;0;0;0.49704142;0;0;0;0;0;0;0;0.1804734;0.8047337;0.49704142;0
;;;;;;;;;;;;;;;;;;;;
1;0.057575758;0;0.166666667;0;0.466666667;0;0;0;0;0.263636364;0;0;0.112121212;0;0;0.342424242;0.224242424;0.466666667;0.263636364;0.454545455
2;0.50862069;0;0;0;0.228448276;0.159482759;0;0.004310345;0.00862069;0;0.172413793;0.086206897;0.030172414;0.202586207;0;0.025862069;0.50862069;0.392241379;0.267241379;0.25862069
3;0.12109375;0.1015625;0;0;0.25390625;0.1484375;0.0703125;0.0390625;0.2578125;0;0.015625;0;0.515625;0;0;0;0.22265625;0.51171875;0.2734375;0.515625
4;0.134502924;0.001949318;0.029239766;0;0.099415205;0.144249513;0;0.269005848;0.015594542;0;0.072124756;0;0.565302144;0;0;0;0.165692008;0.512670565;0.087719298;0.565302144
5;0.00877193;0;0.0504386;0;0.6469298;0;0;0;0.18640351;0;0;0.08114035;0;0.3070175;0;0;0.05921053;0.6469298;0.26754386;0.3070175
;;;;;;;;;;;;;;;;;;;;
1;0.100367197;0.009791922;0.043247654;0.231742146;0.127294982;0.082823337;0.005303958;0.073439413;0.000815994;0.062015504;0.099551204;0.068951448;0.48878009;0;0;0.055079559;0.385148919;0.288861689;0.231334149;0.543859649
2;0.558603491;0;0.058603491;0;0.120947631;0.1159601;0.016209476;0;0;0.155860349;0;0.074812968;0.032418953;0.027431421;0.063591022;0.003740648;0.617206983;0.253117207;0.230673317;0.127182045
3;0.066848568;0.068212824;0.115961801;0.038199181;0.177353342;0.024556617;0.055934516;0.105047749;0.083219645;0;0;0.17053206;0.347885403;0.137789905;0.012278308;0.025920873;0.289222374;0.362892224;0.253751705;0.523874488
4;0.090862685;0.200612557;0.013782542;0.104134763;0;0.008677897;0;0.300663604;0.029096478;0;0.081163859;0;0.623787647;0;0;0;0.409392547;0.309341501;0.110260337;0.623787647
5;0.02533715;0.000408664;0.06702084;0;0.3015938;0.01225991;0.000408664;0;0.243972211;0.001225991;0;0.01838987;0;0.50469963;0;0.009399264;0.092766654;0.314262374;0.263588072;0.514098894
;;;;;;;;;;;;;;;;;;;;
1;0.163265306;0.03357472;0.03357472;0.032258065;0.119815668;0.109282423;0.017116524;0.141540487;0.103357472;0.019091508;0.088215932;0.109940751;0.616853193;0.000658328;0;0.093482554;0.262672811;0.387755102;0.320605662;0.710994075
2;0.56627907;0;0;0;0.268604651;0;0.005813954;0;0;0.072093023;0;0.151162791;0.039534884;0.012790698;0.110465116;0.031395349;0.56627907;0.274418605;0.223255814;0.194186047
3;0.091113611;0.284589426;0.094488189;0.109111361;0.231721035;0.069741282;0.029246344;0.115860517;0.132733408;0.062992126;0.035995501;0.235095613;0.044994376;0;0.031496063;0.01799775;0.579302587;0.446569179;0.466816648;0.094488189
4;0;0.386939571;0;0.105263158;0;0;0;0.393762183;0.005847953;0;0.096491228;0;0.513645224;0;0;0;0.492202729;0.393762183;0.102339181;0.513645224
5;0.004583652;0.000763942;0.14056532;0;0.3514133;0.02291826;0;0;0.414820474;0.01527884;0;0;0;0.323147441;0;0;0.145912914;0.37433156;0.430099314;0.323147441
