,U1totalTrans,U1totalRot,U1totalScale,U1totalCam,U2totalTrans,U2totalRot,U2totalScale,U2totalCam,U3totalTrans,U3totalRot,U3totalScale,U3totalCam,allUsersTotalTrans,allUsersTotalRot,allUsersTotalScale,allUsersTotalCam
1,0.8359621451,0,0,0,0.0347003155,0.2040816327,0,0.2788461538,0.1829652997,0.9795918367,1,0.7211538462,1.0536277603,1.1836734694,1,1
2,0.8964401294,0.3333333333,0,0,0.0339805825,0.3333333333,0,1,0.1715210356,0.3333333333,1,0,1.1019417476,1,1,1
3,0.6517241379,0,0,0.0091743119,0.324137931,0,0.5454545455,0.9908256881,0.2034482759,0,0.6212121212,0,1.1793103448,0,1.1666666667,1
4,0.1129032258,0,0.66,0,0.0927419355,1,0.3,1,0.875,0,0.04,0,1.0806451613,1,1,1
5,0.2852233677,0,1,1,0.2783505155,0,0,0,0.7491408935,1,0,1,1.3127147766,1,1,2
6,0.014354067,0.1666666667,1,0.44,0.985645933,0,0,0,0,0.8333333333,0,0.96,1,1,1,1.4
7,0.4893617021,0,0,0.7419354839,0.8875379939,0,0,0,0,0,1,0.2580645161,1.376899696,0,1,1
,,,,,,,,,,,,,,,,
1,0.8538011696,0,0,0,0.0029239766,0.9743589744,0,0.3966942149,0.3479532164,0.0256410256,1,0.6033057851,1.2046783626,1,1,1
2,0.9829545455,0.0071428571,0,0,0,1,0,0,0.0909090909,0,1,0,1.0738636364,1.0071428571,1,0
3,0.6063829787,0,1,0,0,0,0,0.9240506329,0.6028368794,1,0,0.2215189873,1.2092198582,1,1,1.1455696203
4,0.1043956044,0.5555555556,0.9375,0,0.1263736264,0.4444444444,0,1,0.7912087912,0,0.1875,0,1.021978022,1,1.125,1
5,0.4017857143,0.0178571429,1,0,0.3348214286,0,0,0,0.5669642857,1,0,0,1.3035714286,1.0178571429,1,0
6,0.0042016807,0,1,1,1.0042016807,0,0,0,0,1,0,0.380952381,1.0084033613,1,1,1.380952381
7,0.2781609195,0,0.1228070175,0.7766497462,0.7563218391,0,0.2807017544,0.4416243655,0.0712643678,1,0.7894736842,0.0203045685,1.1057471264,1,1.1929824561,1.2385786802
,,,,,,,,,,,,,,,,
1,0.7214611872,0.7368421053,0,0.1319796954,0.1613394216,0.2923976608,0.4375,0.578680203,0.2496194825,0,0.5625,0.3688663283,1.1324200913,1.0292397661,1,1.0795262267
2,0.9192708333,0.0639625585,0.6893617021,0.5931034483,0,0.8159126365,0.114893617,0.3264367816,0.125,0.2776911076,0.2170212766,0.2988505747,1.0442708333,1.1575663027,1.0212765957,1.2183908046
3,0.898511502,0.4831932773,0.7684210526,0.0531697342,0.00135318,0.0840336134,0.1315789474,0.7341513292,0.1921515562,0.4831932773,0.1157894737,0.3333333333,1.0920162382,1.0504201681,1.0157894737,1.1206543967
4,0.0457746479,1,0.1221374046,0,0.25,0,0.8015267176,1,0.7940140845,0,0.1603053435,0,1.0897887324,1,1.0839694656,1
5,0.1229385307,1,0.8304093567,0.2136363636,0.4947526237,0,0.0760233918,0.1863636364,0.6266866567,0,0.1052631579,0.8136363636,1.2443778111,1,1.0116959064,1.2136363636
6,0.0278571429,0.0013568521,0.9619047619,0.9586129754,0.9671428571,0,0,0,0.0078571429,0.9986431479,0.0698412698,0.1946308725,1.0028571429,1,1.0317460317,1.1532438479
7,0.3933823529,0.0147058824,0.4938271605,1,0.8088235294,0.0294117647,0,0,0.1507352941,0.9705882353,0.5555555556,0,1.3529411765,1.0147058824,1.049382716,1
,,,,,,,,,,,,,,,,
1,0.8560939794,0.1116504854,0.1863354037,0.6649484536,0.0851688693,0.8883495146,0.3043478261,0.3762886598,0.1615271659,0,0.5279503106,0,1.1027900147,1,1.0186335404,1.0412371134
2,0.7641791045,0.0105263158,1,0,0,0,0,0.8719101124,0.2417910448,0.9894736842,0,0.1348314607,1.0059701493,1,1,1.006741573
3,0.2861035422,0.7972972973,0.2298136646,0,0.272479564,0.2702702703,0.5279503106,1,0.5722070845,0,0.3043478261,0,1.1307901907,1.0675675676,1.0621118012,1
4,0.231292517,0.4810810811,0.8272727273,0.0622009569,0.5124716553,0,0.0636363636,0,0.4467120181,0.5189189189,0.1272727273,1,1.1904761905,1,1.0181818182,1.0622009569
5,0.01953125,0.0017211704,1,0.9945652174,0.986328125,0.0017211704,0,0,0.015625,0.9982788296,0,0.1480978261,1.021484375,1.0017211704,1,1.1426630435
6,0.3700189753,0,0.3333333333,1,0.7874762808,0.4107142857,0.0175438596,0,0.0948766603,0.5892857143,0.701754386,0,1.2523719165,1,1.0526315789,1
