,U1totalTrans,U1totalRot,U1totalScale,U1totalCam,U2totalTrans,U2totalRot,U2totalScale,U2totalCam,U3totalTrans,U3totalRot,U3totalScale,U3totalCam,U4totalTrans,U4totalRot,U4totalScale,U4totalCam,allUsersTotalTrans,allUsersTotalRot,allUsersTotalScale,allUsersTotalCam
1,0,0,0,0.78515625,0.5913978495,0.4347826087,0,0.078125,0.0940860215,0.5652173913,1,0.01953125,0.3682795699,0,0,0.3125,1.0537634409,1,1,1.1953125
2,0.7884615385,0,0,0,0.2564102564,0.8072289157,0.3387096774,0.2741935484,0,0.1204819277,0.6774193548,1,0.1025641026,0.0722891566,0.0806451613,0.1129032258,1.1474358974,1,1.0967741935,1.3870967742
3,0.0858369099,0,0.5081967213,0,0.3347639485,1,0.2131147541,1,0.3519313305,0,0,0,0.5665236052,0,0.4918032787,0,1.339055794,1,1.2131147541,1
4,0.3875338753,0.1782945736,0,0,0.2493224932,0.9302325581,0.253968254,1,0.0989159892,0,0.746031746,0,0.539295393,0,0,0,1.2750677507,1.1085271318,1,1
5,0,0,1,0,0.8395062,0,0,0,0.51851852,NaN,0,0,0,0,0,0,1.358025,0,1,0
,,,,,,,,,,,,,,,,,,,,
1,0.1098265896,0,1,0,0.8901734104,0,0,0,0,1,0,0,0.2138728324,0,0,1,1.2138728324,1,1,1
2,0.7421383648,0,0,0,0.3333333333,0.4404761905,0,0.0384615385,0.0125786164,0,1,0.7692307692,0.0440251572,0.5595238095,0,0.2307692308,1.1320754717,1,1,1.0384615385
3,0.1448598131,0.40625,0,0,0.3037383178,0.59375,0.8181818182,1,0.308411215,0,0.1818181818,0,0.6168224299,0,0,0,1.3738317757,1,1,1
4,0.1811023622,0.0133333333,0.2941176471,0,0.1338582677,0.9866666667,0,1,0.0209973753,0,0.7254901961,0,0.7611548556,0,0,0,1.0971128609,1,1.0196078431,1
5,0.0115942,0,1,0,0.8550725,0,0,0,0.24637681,0,0,1,0,1,0,0,1.113043,1,1,1
,,,,,,,,,,,,,,,,,,,,
1,0.1560913706,0.0633245383,0.3164179104,0.6367713004,0.1979695431,0.5356200528,0.0388059701,0.201793722,0.0012690355,0.401055409,0.728358209,0.1894618834,0.7601522843,0,0,0.1513452915,1.1154822335,1,1.0835820896,1.1793721973
2,0.8373831776,0,0.4433962264,0,0.1813084112,0.40969163,0.1226415094,0,0,0.550660793,0,1,0.0485981308,0.0969162996,0.4811320755,0.05,1.0672897196,1.0572687225,1.0471698113,1.05
3,0.1177884615,0.3184713376,0.6746031746,0.1421319797,0.3125,0.1146496815,0.3253968254,0.3908629442,0.1466346154,0,0,0.6345177665,0.6129807692,0.6433121019,0.0714285714,0.0964467005,1.1899038462,1.076433121,1.0714285714,1.2639593909
4,0.1360856269,0.9703703704,0.1451612903,0.3,0,0.0419753086,0,0.8661764706,0.0435779817,0,0.8548387097,0,0.9342507645,0,0,0,1.1139143731,1.012345679,1,1.1661764706
5,0.04813665,0.0007993605,0.9939394,0,0.5729814,0.02398082,0.006060606,0,0.463509317,0.002398082,0,0.9782609,0,0.9872102,0,0.5,1.084627,1.014388,1,1.478261
,,,,,,,,,,,,,,,,,,,,
1,0.2034454471,0.2266666667,0.255,0.1259640103,0.1493027071,0.7377777778,0.13,0.5526992288,0.1287940935,0.1288888889,0.67,0.4293059126,0.7686628384,0.0044444444,0,0.3650385604,1.2502050861,1.0977777778,1.055,1.4730077121
2,0.7225519288,0,0,0,0.3427299703,0,0.0526315789,0,0,0.8493150685,0,0.8280254777,0.0504451039,0.1506849315,1,0.1719745223,1.115727003,1,1.0526315789,1
3,0.2114882507,0.8908450704,0.502994012,0.2886904762,0.5378590078,0.2183098592,0.1556886228,0.306547619,0.3080939948,0.1971830986,0.1916167665,0.6220238095,0.1044386423,0,0.1676646707,0.0476190476,1.1618798956,1.3063380282,1.0179640719,1.2648809524
4,0,1,0,0.2653562654,0,0,0,0.9926289926,0.0113207547,0,1,0,0.9943396226,0,0,0,1.0056603774,1,1,1.257985258
5,0.007009346,0.002197802,1,0,0.5373832,0.06593407,0,0,0.63434579,0.04395604,0,0,0,0.92967033,0,0,1.178738,1.041758,1,0
