team1	team2	team3	team4
10	2	2	3
16	1	1	1
6	3	7	4
10	8	1	5
7	10	4	4
10	14	6	1
6	8	2	6
10	3	1	4
12	4	7	5
9	6	3	2
21	3	1	6
24	9	1	1
32	3	2	1
49	6	3	6
19	8	1	3
21	3	1	22
23	17	2	1
21	24	3	1
45	15	1	1
33	15	1	0
	14	1	1
	19	6	2
	41	9	3
	11	1	1
	17	3	2
	29	1	1
	11	3	2
	38	3	3
	9	2	1
	14	1	4
	37	3	4
	19	5	2
		1	1
		15	8
		6	2
		6	5
		8	1
		34	3
		19	1
		18	1
		14	18
		4	13
		9	4
		5	7
		11	2
		15	7
		9	4
		7	8
		20	14
		20	11
		1	17
		1	3
		10	1
		7	4
		12	15
		18	3
		9	7
		8	3
		9	3
		1	4
		8	9
		5	15
		12	20
		12	11
		19	6
		3	1
		17	3
		21	10
		1	7
		3	23
		9	22
		7	9
			1
			1
			10
			1
			1
			4
			5
			1
