Members/Task;Time task 1;Time task 2;Time task 3;Time task 4;Error task 1;Error task 2;Error task 3;Error task 4;;
1;44.601;27.73;44.506;56.699;4.2803805;16.95301;9.070060125;8.529818625;;
1;86.2698;26.6007;129.5357;88.6565;3.86967;6.642847;7.381541125;5.70552475;;
1;37.2235;32.5;130.7602;63.443;1.317529;9.220284;6.207668;5.08886925;;
1;71.4288;55.8885;281.5956;225.2061;4.0249215;8.576299;3.3415055;3.299659;;
1;32.6565;41.4964;105.6555;139.6341;4.4561235;9.002918;6.817599375;8.455383125;;
2;19.921;23.7583;86.013;90.59442;1.923633;11.75348;3.251325575;3.595758;;
2;13.6498;15.9533;87.2619;113.11968;3.004579;4.069859;4.849438875;4.512302825;;
2;16.4503;14.4999;69.3649;58.4197;2.1928545;5.547572;6.0378925;4.339551;;
2;17.2095;29.6276;139.3775;111.0404;2.5768675;8.645294;4.726371375;3.707838875;;
2;59.3345;16.4841;109.5334;83.165;4.601643;8.891509;4.380987;5.540681;;
2;35.49839;34.55538;99.4809;93.1132;1.390942;4.142436;4.69978675;4.160006;;
3;58.66863;16.3988;127.2309;82.5638;0.867342;3.243309;2.972291;3.701374375;;
3;29.0093;49.1603;120.6714;91.1117;2.35932;4.060901;3.9785115;3.0536295;;
3;36.213;22.4135;76.8215;55.2902;2.2592535;3.317118;4.15080525;4.628315625;;
3;21.4411;17.1868;86.8132;61.2443;1.300738;3.357939;3.179115575;4.247868863;;
3;20.20286;25.701;283.4138;192.724;2.3293385;4.309965;2.652202538;2.95349675;;
3;24.4088;42.2601;41.2966;38.1163;2.187007;8.903512;4.778646875;4.583976;;
4;47.198;21.408;162.962;87.06737;1.554914;3.538198;2.38996525;2.11079225;;
4;22.00295;16.251;74.4534;71.80547;1.4022025;4.50141;3.33753925;2.288987888;;
4;21.09751;16.95763;56.4048;63.9076;3.1454575;6.065219;3.023767;3.2575605;;
4;54.20073;37.1223;127.1752;60.7675;1.623129;2.768127;1.776180738;1.903549325;;
4;19.3561;30.7565;212.14;113.401;2.0465585;2.979571;2.3768976;1.918038625;;
;;;;;;;;;;
