3,8,10-Task4
Time,Translation X,Translation Y,Translation Z,Rotation X,Rotation Y,Rotation Z,Rotation W,Scalling,Camera X,Camera Y,Camera Z,Camera W,IsInCollision,CollisionForce X,CollisionForce Y,CollisionForce Z,Checkpoint0,Checkpoint1,Checkpoint2,Checkpoint3,Checkpoint4,Checkpoint5,Checkpoint6,Checkpoint7,User,Connected,Translation X,Translation Y,Translation Z,Rotation X,Rotation Y,Rotation Z,Rotation W,Scalling,Camera X,Camera Y,Camera Z,Camera W,User,Connected,Translation X,Translation Y,Translation Z,Rotation X,Rotation Y,Rotation Z,Rotation W,Scalling,Camera X,Camera Y,Camera Z,Camera W,User,Connected,Translation X,Translation Y,Translation Z,Rotation X,Rotation Y,Rotation Z,Rotation W,Scalling,Camera X,Camera Y,Camera Z,Camera W
399.0981,0,0,0,0,0,0,1,1,0.05732334,0.7368126,-0.06297264,0.6707128,0,0,0,0,6422.328,6646.553,6410,6222.981,6520.942,6300.129,6206.088,5110.593,0,1,3.549196,-0.03568879,-0.1834496,-9.055254E-07,5.625429E-07,5.707385E-06,1,1,0,0,0,1,1,1,0,0,0,-9.5524E-07,5.938705E-07,6.019938E-06,1,1,0,0,0,1,2,1,1.371773,-0.07700075,0.1741207,-9.2958E-07,5.696201E-07,5.87292E-06,1,1,0,0,0,1
399.1483,0,0,0,1.674307E-09,-2.677622E-08,2.266682E-08,1,1,0.05732334,0.7368127,-0.06297264,0.6707128,0,0,0,0,118.3286,142.0233,137.7064,131.8432,120.0856,111.6296,105.0364,120.2377,0,1,0,0,0,6.20299E-10,-9.274759E-09,2.330753E-09,1,1,0,0,0,1,1,1,0,0,0,4.71596E-10,-8.089738E-09,1.189476E-08,1,1,0,0,0,1,2,1,0,0,0,5.824116E-10,-9.411715E-09,8.441294E-09,1,1,0,0,0,1
399.1976,0,0,0,6.059603E-09,-4.287939E-08,-7.952555E-09,1,1,0.05732334,0.7368126,-0.06297264,0.6707129,0,0,0,0,118.3286,142.0233,137.7064,131.8432,120.0856,111.6296,105.0364,120.2377,0,1,0,0,0,1.242643E-09,-5.788101E-09,-1.491005E-08,1,1,0,0,0,1,1,1,0,0,0,1.643301E-09,-5.119293E-09,-8.794298E-09,1,1,0,0,0,1,2,1,0,0,0,1.499347E-09,-5.195781E-09,-6.915056E-09,1,1,0,0,0,1
399.2473,0,0,0,1.045661E-08,-5.120471E-08,-5.681555E-08,1,1,0.05732333,0.7368127,-0.06297264,0.6707128,0,0,0,0,118.3286,142.0233,137.7064,131.8432,120.0856,111.6296,105.0364,120.2377,0,1,0,0,0,1.418333E-09,-3.711034E-09,-1.182117E-08,1,1,0,0,0,1,1,1,0,0,0,1.497394E-09,-2.464485E-09,-1.843526E-08,1,1,0,0,0,1,2,1,0,0,0,1.481272E-09,-2.149799E-09,-1.860653E-08,1,1,0,0,0,1
399.2979,0,0,0,1.269794E-08,-6.711981E-08,-8.305535E-08,1,1,0.05732332,0.7368126,-0.06297261,0.6707129,0,0,0,0,127.4308,152.9481,148.2992,141.985,129.3229,120.2165,113.1161,129.4867,0,1,0,0,0,5.722746E-10,-5.390064E-09,-8.927895E-09,1,1,0,0,0,1,1,1,0,0,0,9.205799E-10,-4.582115E-09,-6.847276E-09,1,1,0,0,0,1,2,1,0,0,0,7.484722E-10,-5.942949E-09,-1.046459E-08,1,1,0,0,0,1
399.3475,0,0,0,1.183636E-08,-2.898058E-08,-1.686615E-07,1,1,0.0573233,0.7368126,-0.0629726,0.6707128,0,0,0,0,131.9819,158.4106,153.5956,147.0559,133.9416,124.51,117.156,134.1113,0,1,0,0,0,-4.220675E-10,1.047352E-08,-2.777239E-08,1,1,0,0,0,1,1,1,0,0,0,1.210999E-10,1.470234E-08,-3.064148E-08,1,1,0,0,0,1,2,1,0,0,0,-5.606097E-10,1.296337E-08,-2.719226E-08,1,1,0,0,0,1
399.3972,0,0,0,1.366415E-08,2.939083E-08,-2.535101E-07,1,1,0.0573233,0.7368126,-0.06297259,0.6707128,0,0,0,0,131.9819,158.4106,153.5957,147.0559,133.9416,124.51,117.156,134.1113,0,1,0,0,0,5.758882E-10,1.834697E-08,-2.720448E-08,1,1,0,0,0,1,1,1,0,0,0,6.760121E-10,2.167747E-08,-3.04396E-08,1,1,0,0,0,1,2,1,0,0,0,5.758884E-10,1.834697E-08,-2.720448E-08,1,1,0,0,0,1
399.4486,0,0,0,1.174456E-08,7.101406E-08,-2.988786E-07,1,1,0.05732327,0.7368125,-0.06297256,0.6707129,0,0,0,0,136.533,163.873,158.892,152.1268,138.5603,128.8034,121.1959,138.7358,0,1,0,0,0,-7.112275E-10,1.274802E-08,-1.238586E-08,1,1,0,0,0,1,1,1,0,0,0,-5.833801E-10,1.352942E-08,-1.617445E-08,1,1,0,0,0,1,2,1,0,0,0,-6.24983E-10,1.534578E-08,-1.680818E-08,1,1,0,0,0,1
399.4985,0,0,0,3.377743E-09,9.089082E-08,-3.689945E-07,1,1,0.05732327,0.7368126,-0.06297256,0.6707129,0,0,0,0,131.9819,158.4106,153.5957,147.0559,133.9416,124.51,117.156,134.1113,0,1,0,0,0,-2.747011E-09,4.580635E-09,-2.35325E-08,1,1,0,0,0,1,1,1,0,0,0,-2.809906E-09,7.648079E-09,-2.329162E-08,1,1,0,0,0,1,2,1,0,0,0,-2.809906E-09,7.648079E-09,-2.329162E-08,1,1,0,0,0,1
399.5481,0,0,0,-2.43503E-09,8.318018E-08,-4.832955E-07,1,1,0.05732325,0.7368126,-0.06297253,0.6707129,0,0,0,0,131.9819,158.4106,153.5956,147.0559,133.9416,124.51,117.156,134.1113,0,1,0,0,0,-1.144351E-09,-2.575212E-09,-3.597801E-08,1,1,0,0,0,1,1,1,0,0,0,-1.937839E-09,-3.622334E-09,-4.274824E-08,1,1,0,0,0,1,2,1,0,0,0,-3.013245E-09,-7.714782E-10,-4.230942E-08,1,1,0,0,0,1
