4,2,11-Task1
Time,Translation X,Translation Y,Translation Z,Rotation X,Rotation Y,Rotation Z,Rotation W,Scalling,Camera X,Camera Y,Camera Z,Camera W,IsInCollision,CollisionForce X,CollisionForce Y,CollisionForce Z,Checkpoint0,Checkpoint1,User,Connected,Translation X,Translation Y,Translation Z,Rotation X,Rotation Y,Rotation Z,Rotation W,Scalling,Camera X,Camera Y,Camera Z,Camera W,User,Connected,Translation X,Translation Y,Translation Z,Rotation X,Rotation Y,Rotation Z,Rotation W,Scalling,Camera X,Camera Y,Camera Z,Camera W,User,Connected,Translation X,Translation Y,Translation Z,Rotation X,Rotation Y,Rotation Z,Rotation W,Scalling,Camera X,Camera Y,Camera Z,Camera W,User,Connected,Translation X,Translation Y,Translation Z,Rotation X,Rotation Y,Rotation Z,Rotation W,Scalling,Camera X,Camera Y,Camera Z,Camera W
68.57643,0,0,0,0,0,0,1,1,0.07105283,0.7416701,-0.07957658,0.662227,0,0,0,0,45.23401,51.87981,0,1,0,0,0,-2.801829E-10,2.592281E-09,-3.570673E-10,1,1,0,0,0,1,1,1,0,0,0,0,0,0,1,1,0,0,0,1,2,1,0,0,0,0,0,0,1,1,0,0,0,1,3,1,0,0,0,-2.801829E-10,2.592281E-09,-3.570673E-10,1,1,0,0,0,1
68.62534,0,0,0,6.075275E-09,5.642113E-08,-1.22146E-07,1,1,0.07105283,0.7416701,-0.07957659,0.662227,0,0,0,0,135.702,155.6394,0,1,0,0,0,2.024921E-09,1.269606E-08,-3.167896E-08,1,1,0,0,0,1,1,1,0,0,0,1.744738E-09,1.528834E-08,-3.203603E-08,1,1,0,0,0,1,2,1,0,0,0,6.294376E-10,1.146516E-08,-2.231563E-08,1,1,0,0,0,1,3,1,0,0,0,2.236544E-09,1.178701E-08,-3.540127E-08,1,1,0,0,0,1
68.67561,0,0,0,2.234082E-08,1.199869E-07,-2.311989E-07,1,1,0.07105282,0.7416701,-0.07957657,0.662227,0,0,0,0,160.832,184.4615,0,1,0,0,0,3.76868E-09,1.741497E-08,-2.375921E-08,1,1,0,0,0,1,1,1,0,0,0,4.459424E-09,1.353159E-08,-3.052854E-08,1,1,0,0,0,1,2,1,0,0,0,4.057142E-09,1.611329E-08,-2.728359E-08,1,1,0,0,0,1,3,1,0,0,0,3.980303E-09,1.650592E-08,-2.748153E-08,1,1,0,0,0,1
68.72485,0,0,0,3.594926E-08,1.522233E-07,-1.644832E-07,1,1,0.07105283,0.7416701,-0.07957658,0.662227,0,0,0,0,160.832,184.4615,0,1,0,0,0,2.911137E-09,6.689847E-09,1.561843E-08,1,1,0,0,0,1,1,1,0,0,0,3.993866E-09,9.333023E-09,1.92498E-08,1,1,0,0,0,1,2,1,0,0,0,2.911137E-09,6.689847E-09,1.561843E-08,1,1,0,0,0,1,3,1,0,0,0,3.792308E-09,9.523673E-09,1.622908E-08,1,1,0,0,0,1
68.77446,0,0,0,4.736091E-08,1.718959E-07,-2.636035E-07,1,1,0.07105283,0.7416701,-0.07957657,0.662227,0,0,0,0,165.858,190.2259,0,1,0,0,0,2.9278E-09,5.971386E-09,-2.468348E-08,1,1,0,0,0,1,1,1,0,0,0,3.274625E-09,6.467749E-09,-2.458146E-08,1,1,0,0,0,1,2,1,0,0,0,2.694839E-09,3.824575E-09,-2.826992E-08,1,1,0,0,0,1,3,1,0,0,0,2.514382E-09,3.408954E-09,-2.158546E-08,1,1,0,0,0,1
68.82516,0,0,0,5.604149E-08,2.014483E-07,-4.074464E-07,1,1,0.07105283,0.7416701,-0.07957657,0.662227,0,0,0,0,165.858,190.2259,0,1,0,0,0,1.737281E-09,8.002488E-09,-3.093966E-08,1,1,0,0,0,1,1,1,0,0,0,2.641781E-09,6.73947E-09,-3.972282E-08,1,1,0,0,0,1,2,1,0,0,0,2.641781E-09,6.73947E-09,-3.972282E-08,1,1,0,0,0,1,3,1,0,0,0,1.659717E-09,8.070999E-09,-3.34575E-08,1,1,0,0,0,1
68.87479,0,0,0,6.870034E-08,2.235882E-07,-3.783463E-07,1,1,0.07105283,0.7416701,-0.07957657,0.662227,0,0,0,0,155.806,178.6971,0,1,0,0,0,2.994037E-09,5.060539E-09,6.64003E-09,1,1,0,0,0,1,1,1,0,0,0,3.053952E-09,5.693106E-09,7.505724E-09,1,1,0,0,0,1,2,1,0,0,0,2.994037E-09,5.060539E-09,6.64003E-09,1,1,0,0,0,1,3,1,0,0,0,3.616811E-09,6.325674E-09,8.314314E-09,1,1,0,0,0,1
68.92421,0,0,0,8.24103E-08,2.678883E-07,-2.943513E-07,1,1,0.07105282,0.7416701,-0.07957657,0.662227,0,0,0,0,160.832,184.4615,0,1,0,0,0,3.447935E-09,1.071106E-08,2.132108E-08,1,1,0,0,0,1,1,1,0,0,0,3.507851E-09,1.134363E-08,2.218677E-08,1,1,0,0,0,1,2,1,0,0,0,3.246378E-09,1.090171E-08,1.830036E-08,1,1,0,0,0,1,3,1,0,0,0,3.507851E-09,1.134363E-08,2.218677E-08,1,1,0,0,0,1
68.97534,0,0,0,1.021786E-07,3.153571E-07,-2.01424E-07,1,1,0.07105281,0.7416701,-0.07957656,0.662227,0,0,0,0,165.858,190.2259,0,1,0,0,0,4.786341E-09,1.036206E-08,2.255829E-08,1,1,0,0,0,1,1,1,0,0,0,5.116237E-09,1.2367E-08,2.246236E-08,1,1,0,0,0,1,2,1,0,0,0,4.749596E-09,1.237266E-08,2.544425E-08,1,1,0,0,0,1,3,1,0,0,0,5.116237E-09,1.2367E-08,2.246236E-08,1,1,0,0,0,1
69.02434,0,0,0,1.230961E-07,3.573881E-07,-1.323452E-07,1,1,0.0710528,0.7416701,-0.07957655,0.662227,0,0,0,0,160.832,184.4615,0,1,0,0,0,5.368495E-09,1.214702E-08,1.965335E-08,1,1,0,0,0,1,1,1,0,0,0,5.40524E-09,1.013641E-08,1.676738E-08,1,1,0,0,0,1,2,1,0,0,0,4.738555E-09,9.611002E-09,1.589064E-08,1,1,0,0,0,1,3,1,0,0,0,5.40524E-09,1.013641E-08,1.676738E-08,1,1,0,0,0,1
