4,8,11-Task3
Time,Translation X,Translation Y,Translation Z,Rotation X,Rotation Y,Rotation Z,Rotation W,Scalling,Camera X,Camera Y,Camera Z,Camera W,IsInCollision,CollisionForce X,CollisionForce Y,CollisionForce Z,Checkpoint0,Checkpoint1,Checkpoint2,Checkpoint3,Checkpoint4,Checkpoint5,Checkpoint6,Checkpoint7,User,Connected,Translation X,Translation Y,Translation Z,Rotation X,Rotation Y,Rotation Z,Rotation W,Scalling,Camera X,Camera Y,Camera Z,Camera W,User,Connected,Translation X,Translation Y,Translation Z,Rotation X,Rotation Y,Rotation Z,Rotation W,Scalling,Camera X,Camera Y,Camera Z,Camera W,User,Connected,Translation X,Translation Y,Translation Z,Rotation X,Rotation Y,Rotation Z,Rotation W,Scalling,Camera X,Camera Y,Camera Z,Camera W,User,Connected,Translation X,Translation Y,Translation Z,Rotation X,Rotation Y,Rotation Z,Rotation W,Scalling,Camera X,Camera Y,Camera Z,Camera W
157.9366,-0.1416695,0.005706457,-0.04485486,0,0,0,1,1,0.05737972,0.7370796,-0.06308647,0.6704039,0,0,0,0,4713.742,3826.546,37.07481,35.49626,32.33074,30.05412,28.27902,32.37168,0,1,0.9406816,0.4977275,-0.03431293,8.915769E-10,1.38383E-08,-2.405574E-07,1,1,0,0,0,1,1,1,-0.47684,0.0401637,-0.09376009,9.669627E-10,1.422632E-08,-2.57128E-07,1,1,0,0,0,1,2,1,0,0,0,8.866624E-10,1.369735E-08,-2.415117E-07,1,1,0,0,0,1,3,1,0,0,0,9.408131E-10,1.454173E-08,-2.559846E-07,1,1,0,0,0,1
157.9857,-0.4264717,0.04677245,-0.03757335,-6.353412E-09,-4.107131E-08,-1.251714E-08,1,1,0.05772822,0.7387308,-0.06379426,0.6684867,0,0,0,0,131.1255,156.4369,151.7788,145.5226,132.6993,123.8616,117.0027,133.7491,0,1,0,0,0,-1.684998E-09,-9.898613E-09,-5.907569E-09,1,1,0,0,0,1,1,1,-0.009521335,0.01816411,0.0737541,-1.811306E-09,-1.092806E-08,1.116295E-09,1,1,0,0,0,1,2,1,0,0,0,-1.511223E-09,-1.06418E-08,-1.350844E-09,1,1,0,0,0,1,3,1,0,0,0,-1.373139E-09,-9.240304E-09,-2.669163E-09,1,1,0,0,0,1
158.0363,-0.4851177,0.07596524,0.05250851,-9.307549E-10,4.531885E-08,-2.014455E-08,1,1,0.05789131,0.7387986,-0.06399067,0.6683789,0,0,0,0,130.5183,154.6731,150.3592,144.5683,132.1208,123.9373,117.5471,134.3525,0,1,0,0,0,1.329249E-09,2.235023E-08,2.05822E-09,1,1,0,0,0,1,1,1,-0.01210415,0.0288029,0.1074721,1.398621E-09,2.214921E-08,-8.008854E-09,1,1,0,0,0,1,2,1,0,0,0,1.36554E-09,1.954046E-08,-3.735008E-09,1,1,0,0,0,1,3,1,0,0,0,1.329249E-09,2.235023E-08,2.05822E-09,1,1,0,0,0,1
158.0869,-0.5102925,0.09532677,0.1652326,6.096218E-09,3.097455E-08,-1.379994E-08,1,1,0.05788646,0.7369528,-0.06362845,0.6704484,0,0,0,0,130.8158,154.91,150.9444,145.4851,133.1857,125.1127,118.6792,135.9736,0,1,0,0,0,1.485572E-09,-3.759723E-09,1.949974E-09,1,1,0,0,0,1,1,1,-0.02016723,0.01328919,0.1177508,1.511474E-09,-3.779403E-09,-5.083971E-10,1,1,0,0,0,1,2,1,0,0,0,1.511474E-09,-3.779403E-09,-5.083971E-10,1,1,0,0,0,1,3,1,0,0,0,2.518456E-09,-3.025759E-09,5.411433E-09,1,1,0,0,0,1
158.1357,-0.5286403,0.1033603,0.2569744,-7.583465E-10,4.376122E-08,-2.088643E-08,1,1,0.05794308,0.7338726,-0.06310308,0.6738632,0,0,0,0,129.7678,153.9079,150.3617,145.2574,133.1939,125.1316,118.544,136.2129,0,1,0,0,0,-1.843145E-09,5.294788E-09,-5.809766E-09,1,1,0,0,0,1,1,1,-0.01583857,0.005263781,0.08098821,-1.569696E-09,2.256796E-09,3.683374E-09,1,1,0,0,0,1,2,1,0,0,0,-1.598579E-09,-5.975555E-11,8.496714E-10,1,1,0,0,0,1,3,1,0,0,0,-1.843145E-09,5.294788E-09,-5.809766E-09,1,1,0,0,0,1
158.1866,-0.5351567,0.1103517,0.2976457,1.130835E-10,5.459605E-08,-4.824561E-09,1,1,0.05800875,0.7306015,-0.06255972,0.6774532,0,0,0,0,123.9828,147.2953,144.2334,139.6035,128.193,120.4165,113.9274,131.198,0,1,0,0,0,1.398528E-10,1.537237E-09,3.407504E-09,1,1,0,0,0,1,1,1,-0.0009557796,0.009701772,0.02181562,6.577294E-12,3.588115E-09,9.013119E-10,1,1,0,0,0,1,2,1,0,0,0,5.85145E-10,4.172247E-09,8.345534E-09,1,1,0,0,0,1,3,1,0,0,0,1.398528E-10,1.537237E-09,3.407504E-09,1,1,0,0,0,1
158.2369,-0.5353817,0.1145394,0.306277,-5.388933E-10,5.863346E-08,7.081727E-09,1,1,0.05798723,0.7278646,-0.06202848,0.6804433,0,0,0,0,142.431,169.3575,166.0257,160.8499,147.8046,138.8275,131.2596,151.3407,0,1,0,0,0,9.470256E-11,-7.241938E-10,1.354423E-08,1,1,0,0,0,1,1,1,0,0,0,-7.11275E-10,2.088555E-09,-5.465088E-09,1,1,0,0,0,1,2,1,0,0,0,6.268547E-10,6.963923E-10,1.319649E-08,1,1,0,0,0,1,3,1,0,0,0,-6.622586E-10,1.976652E-09,-9.369346E-09,1,1,0,0,0,1
158.2861,-0.5354195,0.1152432,0.3077277,1.089575E-09,3.152969E-08,1.303309E-07,1,1,0.05794724,0.7257391,-0.06159564,0.6827524,0,0,0,0,137.4559,163.4843,160.3209,155.3686,142.7944,134.1185,126.782,146.2483,0,1,0,0,0,-4.758238E-10,-7.127277E-09,5.018737E-08,1,1,0,0,0,1,1,1,0,0,0,1.975956E-09,-1.274899E-08,4.236072E-08,1,1,0,0,0,1,2,1,0,0,0,1.425953E-09,-8.981402E-09,3.113675E-08,1,1,0,0,0,1,3,1,0,0,0,-1.297609E-09,1.753875E-09,-4.357412E-10,1,1,0,0,0,1
158.3367,-0.5354258,0.1153615,0.3079715,2.659705E-09,6.087162E-09,1.273834E-07,1,1,0.05791118,0.7241028,-0.06125985,0.6845208,0,0,0,0,142.1326,169.057,165.7987,160.6889,147.6902,138.7161,131.1217,151.2744,0,1,0,0,0,3.738186E-10,-5.24412E-09,-4.395133E-09,1,1,0,0,0,1,1,1,0,0,0,2.149775E-10,-2.181872E-09,-1.332621E-08,1,1,0,0,0,1,2,1,0,0,0,1.805936E-10,-1.981714E-09,-7.683223E-09,1,1,0,0,0,1,3,1,0,0,0,8.007356E-10,-1.603481E-08,2.245704E-08,1,1,0,0,0,1
158.3871,-0.5354269,0.1153814,0.3080125,5.838143E-09,3.62011E-09,1.511441E-07,1,1,0.05788158,0.7228392,-0.06100053,0.6858805,0,0,0,0,151.5924,180.3114,176.8392,171.3918,157.5287,147.9566,139.8548,161.3546,0,1,0,0,0,6.820168E-10,-1.388035E-09,4.72067E-09,1,1,0,0,0,1,1,1,0,0,0,5.460851E-10,-6.587881E-10,6.483187E-09,1,1,0,0,0,1,2,1,0,0,0,8.861365E-10,-6.620543E-10,5.038792E-09,1,1,0,0,0,1,3,1,0,0,0,1.0642E-09,2.41826E-10,7.518094E-09,1,1,0,0,0,1
