2,8,13-Task3
Time,Translation X,Translation Y,Translation Z,Rotation X,Rotation Y,Rotation Z,Rotation W,Scalling,Camera X,Camera Y,Camera Z,Camera W,IsInCollision,CollisionForce X,CollisionForce Y,CollisionForce Z,Checkpoint0,Checkpoint1,Checkpoint2,Checkpoint3,Checkpoint4,Checkpoint5,Checkpoint6,Checkpoint7,User,Connected,Translation X,Translation Y,Translation Z,Rotation X,Rotation Y,Rotation Z,Rotation W,Scalling,Camera X,Camera Y,Camera Z,Camera W,User,Connected,Translation X,Translation Y,Translation Z,Rotation X,Rotation Y,Rotation Z,Rotation W,Scalling,Camera X,Camera Y,Camera Z,Camera W
539.595,0,0,0,0,0,0,1,1,0.05732334,0.7368126,-0.06297264,0.6707128,0,0,0,0,6869.633,6481.432,62.99507,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,-0.01352274,0.01790099,0.007602153,0.9997194,1,1,0.2228867,-0.003089182,-0.0674547,-3.316414E-12,-2.360681E-10,7.138245E-12,1,1,1.130575E-09,8.686897E-10,3.241852E-08,1
539.6457,0,0,0,2.76497E-09,-2.532472E-08,5.083725E-08,1,1,0.05732335,0.7368127,-0.06297266,0.6707128,0,0,0,0,213.9017,256.7344,248.9309,238.332,217.0779,201.7919,189.8734,217.3528,0,1,0,0,0,1.382485E-09,-1.266236E-08,2.541862E-08,1,1,0,0,0,1,1,1,0,0,0,1.382485E-09,-1.266236E-08,2.541862E-08,1,1,0,0,0,1
539.6949,0,0,0,9.342866E-09,-3.413327E-08,8.794707E-08,1,1,0.05732336,0.7368126,-0.06297267,0.6707128,0,0,0,0,218.4528,262.1968,254.2273,243.4028,221.6966,206.0854,193.9133,221.9773,0,1,0,0,0,3.454931E-09,-5.003995E-09,1.974691E-08,0.9999999,1,0,0,0,1,1,1,0,0,0,3.122964E-09,-3.804532E-09,1.73629E-08,0.9999999,1,0,0,0,1
539.7449,0,0,0,9.741994E-09,-2.993535E-08,1.032204E-07,1,1,0.05732338,0.7368127,-0.06297269,0.6707128,0,0,0,0,245.7594,294.9714,286.0056,273.8282,249.4087,231.846,218.1524,249.7244,0,1,0,0,0,1.110384E-10,3.067642E-09,8.759467E-09,1,1,0,0,0,1,1,1,0,0,0,2.880857E-10,1.13028E-09,6.513774E-09,1,1,0,0,0,1
539.7955,0,0,0,8.416485E-09,-5.033042E-08,8.702928E-08,1,1,0.05732339,0.7368127,-0.06297269,0.6707128,0,0,0,0,250.3105,300.4338,291.302,278.8991,254.0274,236.1395,222.1923,254.349,0,1,0,0,0,-6.938531E-10,-9.813434E-09,-7.136284E-09,1,1,0,0,0,1,1,1,0,0,0,-6.316559E-10,-1.058162E-08,-9.054848E-09,1,1,0,0,0,1
539.845,0,0,0,9.57784E-09,-8.189375E-08,1.045001E-07,1,1,0.05732338,0.7368127,-0.06297269,0.6707128,0,0,0,0,245.7594,294.9714,286.0056,273.8282,249.4087,231.846,218.1524,249.7244,0,1,0,0,0,3.513482E-10,-1.544078E-08,7.16839E-09,1,1,0,0,0,1,1,1,0,0,0,8.100001E-10,-1.612253E-08,1.030236E-08,1,1,0,0,0,1
539.8956,0,0,0,4.11901E-09,-1.163544E-07,9.430163E-08,1,1,0.05732338,0.7368127,-0.06297269,0.6707128,0,0,0,0,250.3105,300.4338,291.302,278.8991,254.0274,236.1395,222.1923,254.349,0,1,0,0,0,-2.793309E-09,-1.577899E-08,-6.774937E-09,1,1,0,0,0,1,1,1,0,0,0,-2.66552E-09,-1.868164E-08,-3.423587E-09,1,1,0,0,0,1
539.9451,0,0,0,4.200051E-09,-1.384544E-07,8.180687E-08,1,1,0.05732338,0.7368127,-0.06297269,0.6707128,0,0,0,0,245.7594,294.9714,286.0056,273.8282,249.4087,231.846,218.1524,249.7244,0,1,0,0,0,-3.846568E-11,-1.019727E-08,-6.950477E-09,1,1,0,0,0,1,1,1,0,0,0,1.195083E-10,-1.190264E-08,-5.544353E-09,1,1,0,0,0,1
539.9954,0,0,0,4.318638E-09,-1.696517E-07,9.278776E-08,1,1,0.05732339,0.7368127,-0.06297269,0.6707128,0,0,0,0,241.2083,289.509,280.7092,268.7573,244.79,227.5526,214.1125,245.0999,0,1,0,0,0,-2.337591E-10,-1.728644E-08,6.170424E-09,1,1,0,0,0,1,1,1,0,0,0,3.523448E-10,-1.391086E-08,4.810408E-09,1,1,0,0,0,1
540.0451,0,0,0,3.355183E-09,-1.960951E-07,9.590254E-08,1,1,0.05732338,0.7368127,-0.06297269,0.6707128,0,0,0,0,250.3105,300.4338,291.302,278.8991,254.0274,236.1395,222.1923,254.349,0,1,0,0,0,-1.213685E-10,-1.466094E-08,3.96558E-09,1,1,0,0,0,1,1,1,0,0,0,-8.420886E-10,-1.178236E-08,-8.508675E-10,1,1,0,0,0,1
540.0953,0,0,0,-3.635404E-11,-2.284654E-07,9.890085E-08,1,1,0.05732339,0.7368127,-0.06297269,0.6707128,0,0,0,0,250.3105,300.4338,291.302,278.8991,254.0274,236.1395,222.1923,254.349,0,1,0,0,0,-1.925095E-09,-1.584428E-08,-6.785927E-11,1,1,0,0,0,1,1,1,0,0,0,-1.466443E-09,-1.652602E-08,3.066111E-09,1,1,0,0,0,1
540.1453,0,0,0,-2.9445E-09,-2.477712E-07,8.975702E-08,1,1,0.05732339,0.7368127,-0.06297269,0.6707128,0,0,0,0,250.3105,300.4338,291.302,278.8991,254.0274,236.1395,222.1923,254.349,0,1,0,0,0,-1.413385E-09,-1.078091E-08,-3.714089E-09,1,1,0,0,0,1,1,1,0,0,0,-1.494759E-09,-8.524837E-09,-5.429804E-09,1,1,0,0,0,1
540.1956,0,0,0,-2.520373E-09,-2.844437E-07,1.142476E-07,1,1,0.05732339,0.7368127,-0.06297269,0.6707128,0,0,0,0,236.6572,284.0465,275.4128,263.6864,240.1713,223.2591,210.0727,240.4754,0,1,0,0,0,2.120605E-10,-1.83362E-08,1.224527E-08,1,1,0,0,0,1,1,1,0,0,0,2.120605E-10,-1.83362E-08,1.224527E-08,1,1,0,0,0,1
540.2452,0,0,0,-2.573227E-09,-3.107558E-07,1.228102E-07,1,1,0.05732339,0.7368127,-0.06297269,0.6707128,0,0,0,0,236.6572,284.0465,275.4128,263.6864,240.1713,223.2591,210.0727,240.4754,0,1,0,0,0,-1.91861E-10,-1.346143E-08,3.297282E-09,1,1,0,0,0,1,1,1,0,0,0,1.390036E-10,-1.285059E-08,5.265244E-09,1,1,0,0,0,1
540.2947,0,0,0,-1.71465E-09,-3.419522E-07,1.373052E-07,1,1,0.05732338,0.7368127,-0.0629727,0.6707128,0,0,0,0,236.6572,284.0465,275.4128,263.6864,240.1713,223.2591,210.0727,240.4754,0,1,0,0,0,4.292857E-10,-1.559813E-08,7.24745E-09,1,1,0,0,0,1,1,1,0,0,0,4.292857E-10,-1.559813E-08,7.24745E-09,1,1,0,0,0,1
540.3449,0,0,0,-6.16102E-09,-3.595283E-07,1.166299E-07,1,1,0.05732338,0.7368127,-0.0629727,0.6707128,0,0,0,0,236.6572,284.0465,275.4128,263.6864,240.1713,223.2591,210.0727,240.4754,0,1,0,0,0,-2.223181E-09,-8.78805E-09,-1.033773E-08,1,1,0,0,0,1,1,1,0,0,0,-2.223181E-09,-8.78805E-09,-1.033773E-08,1,1,0,0,0,1
540.3952,0,0,0,-9.539146E-09,-3.913143E-07,1.165431E-07,1,1,0.05732339,0.7368127,-0.06297269,0.6707128,0,0,0,0,241.2083,289.509,280.7092,268.7573,244.79,227.5526,214.1125,245.0999,0,1,0,0,0,-1.854495E-09,-1.619841E-08,-1.027395E-09,1,1,0,0,0,1,1,1,0,0,0,-1.523631E-09,-1.558757E-08,9.405681E-10,1,1,0,0,0,1
540.4454,0,0,0,-8.913618E-09,-4.170307E-07,1.380975E-07,1,1,0.05732339,0.7368127,-0.06297271,0.6707128,0,0,0,0,236.6572,284.0465,275.4128,263.6864,240.1713,223.2591,210.0727,240.4754,0,1,0,0,0,3.90951E-10,-1.607274E-08,1.347146E-08,1,1,0,0,0,1,1,1,0,0,0,2.345706E-10,-9.643644E-09,8.082879E-09,1,1,0,0,0,1
540.4954,0,0,0,-1.206195E-08,-4.400115E-07,1.255112E-07,1,1,0.05732339,0.7368127,-0.06297269,0.6707128,0,0,0,0,245.7594,294.9714,286.0056,273.8282,249.4087,231.846,218.1524,249.7244,0,1,0,0,0,-1.738373E-09,-1.258771E-08,-4.790487E-09,1,1,0,0,0,1,1,1,0,0,0,-1.409948E-09,-1.03931E-08,-7.796006E-09,1,1,0,0,0,1
540.5451,0,0,0,-1.312812E-08,-4.678455E-07,1.298839E-07,1,1,0.05732339,0.7368127,-0.0629727,0.6707128,0,0,0,0,245.7594,294.9714,286.0056,273.8282,249.4087,231.846,218.1524,249.7244,0,1,0,0,0,-3.692455E-10,-1.409081E-08,3.65956E-09,1,1,0,0,0,1,1,1,0,0,0,-6.969266E-10,-1.374318E-08,7.130191E-10,1,1,0,0,0,1
540.5948,0,0,0,-1.384832E-08,-4.915354E-07,1.314639E-07,1,1,0.05732338,0.7368127,-0.0629727,0.6707128,0,0,0,0,236.6572,284.0465,275.4128,263.6864,240.1713,223.2591,210.0727,240.4754,0,1,0,0,0,-5.430049E-10,-1.215032E-08,-1.923897E-10,1,1,0,0,0,1,1,1,0,0,0,-1.77202E-10,-1.153947E-08,1.772285E-09,1,1,0,0,0,1
540.6451,0,0,0,-1.584235E-08,-5.131632E-07,1.295666E-07,1,1,0.05732339,0.7368127,-0.06297269,0.6707128,0,0,0,0,236.6572,284.0465,275.4128,263.6864,240.1713,223.2591,210.0727,240.4754,0,1,0,0,0,-9.970121E-10,-1.081385E-08,-9.486869E-10,1,1,0,0,0,1,1,1,0,0,0,-9.970121E-10,-1.081385E-08,-9.486869E-10,1,1,0,0,0,1
540.695,0,0,0,-1.576372E-08,-5.388342E-07,1.432726E-07,1,1,0.05732338,0.7368127,-0.0629727,0.6707128,0,0,0,0,227.555,273.1217,264.8201,253.5446,230.9339,214.6723,201.993,231.2263,0,1,0,0,0,2.438381E-10,-1.413727E-08,9.18407E-09,1,1,0,0,0,1,1,1,0,0,0,-1.652167E-10,-1.153356E-08,4.521815E-09,1,1,0,0,0,1
540.7451,0,0,0,-2.182412E-08,-5.498296E-07,1.078592E-07,1,1,0.05732338,0.7368127,-0.06297269,0.6707128,0,0,0,0,236.6572,284.0465,275.4128,263.6864,240.1713,223.2591,210.0727,240.4754,0,1,0,0,0,-3.01272E-09,-5.497583E-09,-1.770838E-08,1,1,0,0,0,1,1,1,0,0,0,-3.047658E-09,-5.497583E-09,-1.770509E-08,1,1,0,0,0,1
540.795,0,0,0,-2.803195E-08,-5.61593E-07,7.054695E-08,1,1,0.05732338,0.7368127,-0.06297269,0.6707128,0,0,0,0,236.6572,284.0465,275.4128,263.6864,240.1713,223.2591,210.0727,240.4754,0,1,0,0,0,-3.152473E-09,-5.497583E-09,-1.769522E-08,1,1,0,0,0,1,1,1,0,0,0,-3.055337E-09,-6.265769E-09,-1.961707E-08,1,1,0,0,0,1
540.8452,0,0,0,-3.065579E-08,-6.123357E-07,9.589901E-08,1,1,0.05732339,0.7368127,-0.06297269,0.6707128,0,0,0,0,236.6572,284.0465,275.4128,263.6864,240.1713,223.2591,210.0727,240.4754,0,1,0,0,0,-1.125355E-09,-2.458518E-08,1.275159E-08,1,1,0,0,0,1,1,1,0,0,0,-1.498496E-09,-2.615729E-08,1.26004E-08,1,1,0,0,0,1
540.8948,0,0,0,-3.126087E-08,-6.415646E-07,1.114905E-07,1,1,0.05732339,0.7368127,-0.0629727,0.6707128,0,0,0,0,223.0039,267.6592,259.5237,248.4737,226.3153,210.3788,197.9531,226.6018,0,1,0,0,0,-9.843268E-10,-2.373886E-08,1.117517E-08,1,1,0,0,0,1,1,1,0,0,0,3.792271E-10,-5.490052E-09,4.4163E-09,1,1,0,0,0,1
540.9451,0,0,0,-0.0003344459,-0.0001232711,0.0004683712,0.9999998,1,0.05732339,0.7368127,-0.0629727,0.6707128,0,0,0,0,213.9013,256.7341,248.9308,238.3319,217.0779,201.7918,189.8732,217.3523,0,1,0,0,0,-0.0003342918,-0.0001227468,0.00046831,0.9999999,1,0,0,0,1,1,1,0,0,0,0,0,0,1,1,0,0,0,1
540.9954,0,0,0,-0.005878396,-0.004835458,0.004963123,0.9999588,1,0.05732339,0.7368127,-0.0629727,0.6707128,0,0,0,0,213.8477,256.7042,248.9137,238.3166,217.0726,201.7724,189.8376,217.2912,0,1,0,0,0,-0.005551178,-0.004701051,0.004497877,0.9999633,1,0,0,0,1,1,1,0,0,0,-5.681475E-09,-7.603666E-08,2.816196E-08,1,1,0,0,0,1
541.0447,0,0,0,-0.01033146,-0.01264479,0.01200254,0.9997947,1,0.05732339,0.7368127,-0.0629727,0.6707128,0,0,0,0,209.0848,251.1172,243.5325,233.1604,212.4035,197.3735,185.6329,212.3961,0,1,0,0,0,-0.004432522,-0.007774468,0.007093912,0.9999347,1,0,0,0,1,1,1,0,0,0,-1.136295E-09,-1.520734E-08,5.632392E-09,1,1,0,0,0,1
541.0949,0,0,0,-0.001763046,-0.03370805,0.02870235,0.999018,1,0.05732339,0.7368127,-0.0629727,0.6707128,0,0,0,0,213.3227,256.3474,248.5459,237.8675,216.6606,201.227,189.1896,216.3103,0,1,0,0,0,0.008554914,-0.02074081,0.01712008,0.9996016,1,0,0,0,1,1,1,0,0,0,0,0,0,1,1,0,0,0,1
541.1455,0,0,0,-0.003287561,-0.04348963,0.03690826,0.9983665,1,0.05732339,0.7368127,-0.0629727,0.6707128,0,0,0,0,213.007,256.041,248.0517,237.196,215.9293,200.4274,188.4074,215.2291,0,1,0,0,0,-0.001489501,-0.009877997,0.00812535,0.9999169,1,0,0,0,1,1,1,0,0,0,0,0,0,1,1,0,0,0,1
541.1953,0,0,0,-0.008808904,-0.05026312,0.04057229,0.9978727,1,0.05732339,0.7368127,-0.0629727,0.6707128,0,0,0,0,208.2258,250.3895,242.5275,231.8441,211.0294,195.8058,184.0164,210.1123,0,1,0,0,0,-0.005429814,-0.006972934,0.003454313,0.999955,1,0,0,0,1,1,1,0,0,0,-7.04503E-09,-9.428545E-08,3.492084E-08,1,1,0,0,0,1
541.2449,0,0,0,-0.0114754,-0.05420705,0.04180865,0.997588,1,0.05732339,0.7368127,-0.0629727,0.6707128,0,0,0,0,207.9649,250.2043,242.3628,231.6663,210.881,195.6018,183.7595,209.7367,0,1,0,0,0,-0.002564762,-0.004046982,0.001148117,0.9999879,1,0,0,0,1,1,1,0,0,0,-4.54518E-10,-6.082935E-09,2.252957E-09,1,1,0,0,0,1
541.2952,0,0,0,-0.01146487,-0.06992831,0.04602365,0.9964238,1,0.05732339,0.7368127,-0.0629727,0.6707128,0,0,0,0,207.6715,249.9693,242.1073,231.3664,210.5941,195.2581,183.3776,209.2044,0,1,0,0,0,0.0004974452,-0.01565778,0.004547843,0.9998669,1,0,0,0,1,1,1,0,0,0,0,0,0,1,1,0,0,0,1
541.3456,0,0,0,-0.01146487,-0.06992842,0.04602372,0.9964238,1,0.05732339,0.7368127,-0.0629727,0.6707128,0,0,0,0,216.5714,260.6954,252.4138,241.1394,219.438,203.4167,191.0345,217.8854,0,1,0,0,0,-2.045331E-09,-2.737321E-08,1.013831E-08,1,1,0,0,0,1,1,1,0,0,0,-6.135993E-09,-8.211959E-08,3.041492E-08,1,1,0,0,0,1
541.3949,0,0,0,-0.01146487,-0.06992844,0.04602373,0.9964238,1,0.05732339,0.7368127,-0.0629727,0.6707128,0,0,0,0,212.0563,255.254,247.1304,236.0808,214.8251,199.1384,187.0202,213.3035,0,1,0,0,0,-2.045331E-09,-2.737321E-08,1.013831E-08,1,1,0,0,0,1,1,1,0,0,0,-6.81777E-10,-9.124402E-09,3.379435E-09,1,1,0,0,0,1
541.4455,0,0,0,-0.01146487,-0.06992847,0.04602375,0.9964238,1,0.05732339,0.7368127,-0.0629727,0.6707128,0,0,0,0,234.6151,282.4078,273.4189,261.1928,237.6754,220.3196,206.9131,235.9918,0,1,0,0,0,-2.27259E-09,-3.041467E-08,1.126478E-08,1,1,0,0,0,1,1,1,0,0,0,0,0,0,1,1,0,0,0,1
541.495,0,0,0,-0.01146486,-0.06992853,0.0460238,0.9964238,1,0.05732339,0.7368127,-0.0629727,0.6707128,0,0,0,0,216.5678,260.6841,252.3866,241.1008,219.3924,203.3718,190.9965,217.8384,0,1,0,0,0,-1.818072E-09,-2.433174E-08,9.011828E-09,1,1,0,0,0,1,1,1,0,0,0,-5.681475E-09,-7.603666E-08,2.816196E-08,1,1,0,0,0,1
541.545,0,0,0,-0.01146486,-0.06992856,0.04602382,0.9964238,1,0.05732339,0.7368127,-0.0629727,0.6707128,0,0,0,0,234.6151,282.4078,273.4188,261.1925,237.6751,220.3194,206.9129,235.9916,0,1,0,0,0,-2.045331E-09,-2.737321E-08,1.013831E-08,1,1,0,0,0,1,1,1,0,0,0,-1.136295E-09,-1.520734E-08,5.632392E-09,1,1,0,0,0,1
541.5953,0,0,0,-0.01146486,-0.0699286,0.04602385,0.9964238,1,0.05732339,0.7368127,-0.0629727,0.6707128,0,0,0,0,234.6151,282.4078,273.4188,261.1925,237.6751,220.3194,206.9129,235.9916,0,1,0,0,0,-2.045331E-09,-2.737321E-08,1.013831E-08,1,1,0,0,0,1,1,1,0,0,0,-3.181626E-09,-4.258054E-08,1.57707E-08,1,1,0,0,0,1
541.6451,0,0,0,-0.01146485,-0.06992863,0.04602387,0.9964238,1,0.05732339,0.7368127,-0.0629727,0.6707128,0,0,0,0,234.6151,282.4078,273.4188,261.1925,237.6751,220.3194,206.9129,235.9916,0,1,0,0,0,-2.27259E-09,-3.041467E-08,1.126478E-08,1,1,0,0,0,1,1,1,0,0,0,-2.045331E-09,-2.737321E-08,1.013831E-08,1,1,0,0,0,1
541.6953,0,0,0,-0.01146485,-0.06992865,0.04602389,0.9964238,1,0.05732339,0.7368127,-0.0629727,0.6707128,0,0,0,0,234.6151,282.4078,273.4188,261.1925,237.6751,220.3194,206.9129,235.9916,0,1,0,0,0,-2.045331E-09,-2.737321E-08,1.013831E-08,1,1,0,0,0,1,1,1,0,0,0,-2.045331E-09,-2.737321E-08,1.013831E-08,1,1,0,0,0,1
541.7454,0,0,0,-0.01146484,-0.06992868,0.04602391,0.9964238,1,0.05732339,0.7368127,-0.0629727,0.6707128,0,0,0,0,234.6151,282.4078,273.4188,261.1925,237.6751,220.3194,206.9129,235.9915,0,1,0,0,0,-1.818072E-09,-2.433174E-08,9.011828E-09,1,1,0,0,0,1,1,1,0,0,0,-2.27259E-09,-3.041467E-08,1.126478E-08,1,1,0,0,0,1
541.7949,0,0,0,-0.01146484,-0.06992871,0.04602394,0.9964238,1,0.05732339,0.7368127,-0.0629727,0.6707128,0,0,0,0,230.1033,276.9769,268.1607,256.1696,233.1044,216.0825,202.9338,231.4532,0,1,0,0,0,-2.045331E-09,-2.737321E-08,1.013831E-08,1,1,0,0,0,1,1,1,0,0,0,-2.045331E-09,-2.737321E-08,1.013831E-08,1,1,0,0,0,1
541.8448,0,0,0,-0.01146485,-0.06992879,0.04602399,0.9964238,1,0.05732339,0.7368127,-0.0629727,0.6707128,0,0,0,0,234.6151,282.4078,273.4188,261.1925,237.6751,220.3194,206.9129,235.9915,0,1,0,0,0,-2.045331E-09,-2.737321E-08,1.013831E-08,1,1,0,0,0,1,1,1,0,0,0,-2.045331E-09,-2.737321E-08,1.013831E-08,1,1,0,0,0,1
541.8954,0,0,0,-0.01146485,-0.06992886,0.04602405,0.9964238,1,0.05732339,0.7368127,-0.0629727,0.6707128,0,0,0,0,234.6151,282.4078,273.4188,261.1925,237.6751,220.3194,206.9129,235.9915,0,1,0,0,0,-2.045331E-09,-2.737321E-08,1.013831E-08,1,1,0,0,0,1,1,1,0,0,0,-2.27259E-09,-3.041467E-08,1.126478E-08,1,1,0,0,0,1
541.9456,0,0,0,-0.01146485,-0.06992891,0.0460241,0.9964237,1,0.05732339,0.7368127,-0.0629727,0.6707128,0,0,0,0,230.1033,276.9769,268.1607,256.1696,233.1044,216.0825,202.9337,231.4532,0,1,0,0,0,-2.045331E-09,-2.737321E-08,1.013831E-08,1,1,0,0,0,1,1,1,0,0,0,-2.045331E-09,-2.737321E-08,1.013831E-08,1,1,0,0,0,1
