3,2,18-Task1
Time,Translation X,Translation Y,Translation Z,Rotation X,Rotation Y,Rotation Z,Rotation W,Scalling,Camera X,Camera Y,Camera Z,Camera W,IsInCollision,CollisionForce X,CollisionForce Y,CollisionForce Z,Checkpoint0,Checkpoint1,User,Connected,Translation X,Translation Y,Translation Z,Rotation X,Rotation Y,Rotation Z,Rotation W,Scalling,Camera X,Camera Y,Camera Z,Camera W,User,Connected,Translation X,Translation Y,Translation Z,Rotation X,Rotation Y,Rotation Z,Rotation W,Scalling,Camera X,Camera Y,Camera Z,Camera W,User,Connected,Translation X,Translation Y,Translation Z,Rotation X,Rotation Y,Rotation Z,Rotation W,Scalling,Camera X,Camera Y,Camera Z,Camera W
639.7996,0,0,0,0,0,0,1,1,0.07105283,0.7416701,-0.07957658,0.662227,0,0,0,0,149.8404,149.7455,0,1,0,0,0,-1.66067E-08,1.558467E-06,1.074111E-07,1,1,0,0,0,1,1,1,0,0,0,-1.483874E-08,1.459474E-06,1.02101E-07,1,1,0,0,0,1,2,1,0,0,0,-1.449096E-08,1.425267E-06,9.9708E-08,1,1,0,0,0,1
639.85,0,0,0,1.230114E-08,6.27293E-08,-1.621036E-07,1,1,0.07105283,0.7416701,-0.07957659,0.662227,0,0,0,0,206.0661,236.3412,0,1,0,0,0,5.027509E-09,1.424882E-08,-5.412795E-08,1,1,0,0,0,1,1,1,0,0,0,5.814509E-09,1.640754E-08,-6.443384E-08,1,1,0,0,0,1,2,1,0,0,0,2.299672E-09,2.429609E-08,-4.247057E-08,1,1,0,0,0,1
639.9002,0,0,0,2.647621E-08,1.035737E-07,-2.643484E-07,1,1,0.07105282,0.7416701,-0.07957657,0.662227,0,0,0,0,206.0661,236.3412,0,1,0,0,0,5.409909E-09,1.299591E-08,-4.079176E-08,1,1,0,0,0,1,1,1,0,0,0,4.382585E-09,1.392422E-08,-3.072648E-08,1,1,0,0,0,1,2,1,0,0,0,4.382585E-09,1.392422E-08,-3.072648E-08,1,1,0,0,0,1
639.9503,0,0,0,3.769338E-08,1.311308E-07,-2.104283E-07,1,1,0.07105283,0.7416701,-0.07957658,0.662227,0,0,0,0,206.0661,236.3412,0,1,0,0,0,3.993866E-09,9.333023E-09,1.92498E-08,1,1,0,0,0,1,1,1,0,0,0,3.431008E-09,8.700455E-09,1.844121E-08,1,1,0,0,0,1,2,1,0,0,0,3.792308E-09,9.523673E-09,1.622908E-08,1,1,0,0,0,1
639.9993,0,0,0,4.577491E-08,1.459335E-07,-2.778564E-07,1,1,0.07105283,0.7416701,-0.07957657,0.662227,0,0,0,0,201.0401,230.5768,0,1,0,0,0,2.9278E-09,5.971386E-09,-2.468348E-08,1,1,0,0,0,1,1,1,0,0,0,2.9278E-09,5.971386E-09,-2.468348E-08,1,1,0,0,0,1,2,1,0,0,0,2.225919E-09,2.859879E-09,-1.806109E-08,1,1,0,0,0,1
640.0501,0,0,0,5.287261E-08,1.670224E-07,-3.880438E-07,1,1,0.07105283,0.7416701,-0.07957657,0.662227,0,0,0,0,211.0921,242.1057,0,1,0,0,0,2.641781E-09,6.73947E-09,-3.972282E-08,1,1,0,0,0,1,1,1,0,0,0,2.016739E-09,5.086089E-09,-3.290249E-08,1,1,0,0,0,1,2,1,0,0,0,2.439162E-09,9.263241E-09,-3.756205E-08,1,1,0,0,0,1
640.1002,0,0,0,6.197455E-08,1.834692E-07,-3.663923E-07,1,1,0.07105283,0.7416701,-0.07957657,0.662227,0,0,0,0,201.0401,230.5768,0,1,0,0,0,3.556895E-09,5.693106E-09,7.44862E-09,1,1,0,0,0,1,1,1,0,0,0,2.491094E-09,5.060539E-09,6.697134E-09,1,1,0,0,0,1,2,1,0,0,0,3.053952E-09,5.693106E-09,7.505724E-09,1,1,0,0,0,1
640.1502,0,0,0,7.257182E-08,2.2127E-07,-3.010364E-07,1,1,0.07105282,0.7416701,-0.07957657,0.662227,0,0,0,0,206.0661,236.3412,0,1,0,0,0,3.826163E-09,1.354489E-08,2.198883E-08,1,1,0,0,0,1,1,1,0,0,0,3.263305E-09,1.291232E-08,2.118024E-08,1,1,0,0,0,1,2,1,0,0,0,3.507851E-09,1.134363E-08,2.218677E-08,1,1,0,0,0,1
640.2001,0,0,0,8.668091E-08,2.517181E-07,-2.37146E-07,1,1,0.07105281,0.7416701,-0.07957656,0.662227,0,0,0,0,206.0661,236.3412,0,1,0,0,0,4.786341E-09,1.036206E-08,2.255829E-08,1,1,0,0,0,1,1,1,0,0,0,4.206556E-09,7.718882E-09,1.886983E-08,1,1,0,0,0,1,2,1,0,0,0,5.116237E-09,1.2367E-08,2.246236E-08,1,1,0,0,0,1
640.2504,0,0,0,1.028382E-07,2.860596E-07,-1.810502E-07,1,1,0.0710528,0.7416701,-0.07957655,0.662227,0,0,0,0,206.0661,236.3412,0,1,0,0,0,5.996609E-09,1.258327E-08,2.055786E-08,1,1,0,0,0,1,1,1,0,0,0,5.422168E-09,1.214702E-08,1.964725E-08,1,1,0,0,0,1,2,1,0,0,0,4.738555E-09,9.611002E-09,1.589064E-08,1,1,0,0,0,1
