4,3,19-Task0
Time,Translation X,Translation Y,Translation Z,Rotation X,Rotation Y,Rotation Z,Rotation W,Scalling,Camera X,Camera Y,Camera Z,Camera W,IsInCollision,CollisionForce X,CollisionForce Y,CollisionForce Z,Checkpoint0,Checkpoint1,Checkpoint2,User,Connected,Translation X,Translation Y,Translation Z,Rotation X,Rotation Y,Rotation Z,Rotation W,Scalling,Camera X,Camera Y,Camera Z,Camera W,User,Connected,Translation X,Translation Y,Translation Z,Rotation X,Rotation Y,Rotation Z,Rotation W,Scalling,Camera X,Camera Y,Camera Z,Camera W,User,Connected,Translation X,Translation Y,Translation Z,Rotation X,Rotation Y,Rotation Z,Rotation W,Scalling,Camera X,Camera Y,Camera Z,Camera W,User,Connected,Translation X,Translation Y,Translation Z,Rotation X,Rotation Y,Rotation Z,Rotation W,Scalling,Camera X,Camera Y,Camera Z,Camera W
157.5311,0,0,0,0,0,0,1,1,0.07105283,0.7416701,-0.07957657,0.662227,0,0,0,0,0,0,0,0,1,-0.04854737,0.07241627,-0.009440741,5.628581E-10,6.325674E-10,8.085899E-10,1,1,0,0,0,1,1,1,0,0,0,5.628581E-10,6.325674E-10,8.085899E-10,1,1,0,0,0,1,2,1,0,0,0,0.006769874,0.008012191,0.0004904838,0.9999487,1,-0.3447368,0.04964811,-0.03602551,0.9366989,3,1,0.1945362,0.01826332,0.1509962,-0.2934572,0.418633,0.1771281,0.8409849,0.953371,0,0,0,1
157.5806,0,0,0,1.266592E-08,3.503623E-08,4.989187E-08,1,1,0.07105282,0.7416701,-0.07957657,0.662227,0,0,0,0,84.98597,97.55536,239.0408,0,1,0,0,0,2.590204E-09,8.885438E-09,1.255281E-08,1,1,0,0,0,1,1,1,0,0,0,2.638533E-09,6.678517E-09,9.768861E-09,1,1,0,0,0,1,2,1,0,0,0,3.093148E-09,8.885438E-09,1.24957E-08,1,1,0,0,0,1,3,1,0,0,0,3.218318E-09,9.321691E-09,1.345732E-08,1,1,0,0,0,1
157.6296,0,0,0,2.493046E-08,8.213611E-08,1.171201E-07,1,1,0.07105283,0.7416701,-0.07957657,0.662227,0,0,0,0,100.5184,115.2868,281.6362,0,1,0,0,0,3.235245E-09,1.13323E-08,1.63372E-08,1,1,0,0,0,1,1,1,0,0,0,3.235245E-09,1.13323E-08,1.63372E-08,1,1,0,0,0,1,2,1,0,0,0,3.186917E-09,1.353922E-08,1.912114E-08,1,1,0,0,0,1,3,1,0,0,0,3.235245E-09,1.13323E-08,1.63372E-08,1,1,0,0,0,1
157.6806,0,0,0,4.159732E-08,8.999389E-08,3.411456E-08,1,1,0.07105283,0.7416701,-0.07957657,0.662227,0,0,0,0,105.546,121.0528,295.7194,0,1,0,0,0,3.979357E-09,1.040691E-09,-1.523184E-08,1,1,0,0,0,1,1,1,0,0,0,4.041541E-09,2.061506E-09,-2.286076E-08,1,1,0,0,0,1,2,1,0,0,0,4.041541E-09,2.061506E-09,-2.286076E-08,1,1,0,0,0,1,3,1,0,0,0,4.604399E-09,2.694073E-09,-2.205217E-08,1,1,0,0,0,1
157.7313,0,0,0,5.486826E-08,1.229506E-07,-1.052517E-08,1,1,0.07105281,0.7416701,-0.07957657,0.662227,0,0,0,0,105.546,121.0528,295.7194,0,1,0,0,0,3.51559E-09,8.672714E-09,-1.11684E-08,1,1,0,0,0,1,1,1,0,0,0,2.935804E-09,6.02954E-09,-1.485686E-08,1,1,0,0,0,1,2,1,0,0,0,3.51559E-09,8.672714E-09,-1.11684E-08,1,1,0,0,0,1,3,1,0,0,0,3.51559E-09,8.672714E-09,-1.11684E-08,1,1,0,0,0,1
157.7794,0,0,0,6.663855E-08,1.479137E-07,1.468253E-08,1,1,0.07105283,0.7416701,-0.07957659,0.662227,0,0,0,0,105.546,121.0528,295.7194,0,1,0,0,0,2.978666E-09,6.972138E-09,4.444942E-09,1,1,0,0,0,1,1,1,0,0,0,2.916482E-09,5.951323E-09,1.207387E-08,1,1,0,0,0,1,2,1,0,0,0,2.655009E-09,5.509405E-09,8.187458E-09,1,1,0,0,0,1,3,1,0,0,0,3.481609E-09,6.972138E-09,4.387839E-09,1,1,0,0,0,1
157.8295,0,0,0,8.088541E-08,2.382639E-07,-1.54473E-07,1,1,0.07105283,0.7416701,-0.07957658,0.662227,0,0,0,0,120.624,138.3461,337.965,0,1,0,0,0,3.41993E-09,2.260597E-08,-4.161334E-08,1,1,0,0,0,1,1,1,0,0,0,3.496769E-09,2.221334E-08,-4.141539E-08,1,1,0,0,0,1,2,1,0,0,0,3.496769E-09,2.221334E-08,-4.141539E-08,1,1,0,0,0,1,3,1,0,0,0,3.833349E-09,2.331765E-08,-4.471135E-08,1,1,0,0,0,1
157.8796,0,0,0,9.314423E-08,2.758688E-07,-1.668624E-07,1,1,0.07105281,0.7416701,-0.07957657,0.662227,0,0,0,0,120.624,138.3461,337.965,0,1,0,0,0,2.996109E-09,9.380352E-09,-4.180589E-09,1,1,0,0,0,1,1,1,0,0,0,2.996109E-09,9.380352E-09,-4.180589E-09,1,1,0,0,0,1,2,1,0,0,0,3.270505E-09,9.463844E-09,1.523732E-10,1,1,0,0,0,1,3,1,0,0,0,2.996109E-09,9.380352E-09,-4.180589E-09,1,1,0,0,0,1
157.9294,0,0,0,1.004541E-07,2.937092E-07,-1.028762E-07,1,1,0.07105282,0.7416701,-0.07957657,0.662227,0,0,0,0,120.624,138.3461,337.9651,0,1,0,0,0,1.525262E-09,2.757997E-09,1.339105E-08,1,1,0,0,0,1,1,1,0,0,0,1.660463E-09,4.163411E-09,1.721539E-08,1,1,0,0,0,1,2,1,0,0,0,2.02893E-09,6.25751E-09,1.70917E-08,1,1,0,0,0,1,3,1,0,0,0,2.095287E-09,4.661447E-09,1.628807E-08,1,1,0,0,0,1
157.9792,0,0,0,1.151065E-07,3.266476E-07,-5.845665E-08,1,1,0.07105283,0.7416701,-0.07957657,0.662227,0,0,0,0,120.624,138.3461,337.965,0,1,0,0,0,3.513907E-09,7.071146E-09,9.462799E-09,1,1,0,0,0,1,1,1,0,0,0,3.513907E-09,7.071146E-09,9.462799E-09,1,1,0,0,0,1,2,1,0,0,0,3.530835E-09,9.081754E-09,1.234267E-08,1,1,0,0,0,1,3,1,0,0,0,4.093693E-09,9.714322E-09,1.315126E-08,1,1,0,0,0,1
