4,8,20-Task4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Time,Translation X,Translation Y,Translation Z,Rotation X,Rotation Y,Rotation Z,Rotation W,Scalling,Camera X,Camera Y,Camera Z,Camera W,IsInCollision,CollisionForce X,CollisionForce Y,CollisionForce Z,Checkpoint0,Checkpoint1,Checkpoint2,Checkpoint3,Checkpoint4,Checkpoint5,Checkpoint6,Checkpoint7,User,Connected,Translation X,Translation Y,Translation Z,Rotation X,Rotation Y,Rotation Z,Rotation W,Scalling,Camera X,Camera Y,Camera Z,Camera W,User,Connected,Translation X,Translation Y,Translation Z,Rotation X,Rotation Y,Rotation Z,Rotation W,Scalling,Camera X,Camera Y,Camera Z,Camera W,User,Connected,Translation X,Translation Y,Translation Z,Rotation X,Rotation Y,Rotation Z,Rotation W,Scalling,Camera X,Camera Y,Camera Z,Camera W,User,Connected,Translation X,Translation Y,Translation Z,Rotation X,Rotation Y,Rotation Z,Rotation W,Scalling,Camera X,Camera Y,Camera Z,Camera W
407.6888,0,0,0,0,0,0,1,1,0.05732334,0.7368126,-0.06297264,0.6707128,0,0,0,0,5666.764,5412.167,5008.878,4783.509,5045.702,4996.269,5180.772,4397.319,0,1,0,0,0,2.576422E-08,-1.623284E-07,1.303089E-06,1,1,0,0,0,1,1,1,0,0,0,2.654946E-08,-1.650822E-07,0.000001342,1,1,0,0,0,1,2,1,0,0,0,2.733077E-08,-1.705109E-07,1.380683E-06,1,1,0,0,0,1,3,1,0.5465385,0.1637173,0.02796066,2.808726E-08,-1.752451E-07,1.418721E-06,1,1,0,0,0,1
407.7395,0,0,0,2.369869E-09,-3.646651E-08,1.685796E-08,1,1,0.05732334,0.7368127,-0.06297264,0.6707128,0,0,0,0,136.533,163.873,158.892,152.1268,138.5603,128.8034,121.1959,138.7358,0,1,0,0,0,6.20299E-10,-9.274759E-09,2.330753E-09,1,1,0,0,0,1,1,1,0,0,0,6.576743E-10,-9.827263E-09,3.016942E-10,1,1,0,0,0,1,2,1,0,0,0,5.824116E-10,-9.411715E-09,8.441294E-09,1,1,0,0,0,1,3,1,0,0,0,5.094833E-10,-0.000000008,5.784216E-09,1,1,0,0,0,1
407.7881,0,0,0,8.509283E-09,-0.000000059,-0.000000026,1,1,0.05732334,0.7368126,-0.06297264,0.6707129,0,0,0,0,131.9819,158.4106,153.5956,147.0559,133.9416,124.51,117.156,134.1113,0,1,0,0,0,1.291903E-09,-4.704323E-09,-1.316455E-08,1,1,0,0,0,1,1,1,0,0,0,1.659423E-09,-5.43398E-09,-8.623025E-09,1,1,0,0,0,1,2,1,0,0,0,1.594041E-09,-6.203071E-09,-1.053979E-08,1,1,0,0,0,1,3,1,0,0,0,1.594041E-09,-6.203071E-09,-1.053979E-08,1,1,0,0,0,1
407.8394,0,0,0,1.417678E-08,-7.023023E-08,-1.09662E-07,1,1,0.05732333,0.7368127,-0.06297264,0.6707128,0,0,0,0,109.2264,131.0984,127.1136,121.7014,110.8482,103.0427,96.95667,110.9886,0,1,0,0,0,1.080614E-09,-2.818607E-09,-2.472228E-08,1,1,0,0,0,1,1,1,0,0,0,1.592087E-09,-3.471776E-09,-2.205999E-08,1,1,0,0,0,1,2,1,0,0,0,1.497394E-09,-2.464485E-09,-1.843526E-08,1,1,0,0,0,1,3,1,0,0,0,1.497394E-09,-2.464485E-09,-1.843526E-08,1,1,0,0,0,1
407.8883,0,0,0,1.72511E-08,-9.735296E-08,-1.602974E-07,1,1,0.05732332,0.7368126,-0.06297261,0.6707129,0,0,0,0,127.4308,152.9481,148.2992,141.985,129.3229,120.2165,113.1161,129.4867,0,1,0,0,0,6.031392E-10,-0.000000007,-1.569805E-08,1,1,0,0,0,1,1,1,0,0,0,6.33831E-10,-7.795819E-09,-1.412686E-08,1,1,0,0,0,1,2,1,0,0,0,0.000000001,-5.904093E-09,-1.030074E-08,1,1,0,0,0,1,3,1,0,0,0,8.059387E-10,-6.434986E-09,-1.050954E-08,1,1,0,0,0,1
407.9391,0,0,0,1.667988E-08,-4.184416E-08,-2.803886E-07,1,1,0.0573233,0.7368126,-0.0629726,0.6707128,0,0,0,0,145.6352,174.7979,169.4848,162.2686,147.7977,137.3903,129.2756,147.9848,0,1,0,0,0,-1.937044E-10,1.314014E-08,-2.734016E-08,1,1,0,0,0,1,1,1,0,0,0,1.405453E-11,1.390212E-08,-3.110931E-08,1,1,0,0,0,1,2,1,0,0,0,1.405453E-11,1.390212E-08,-3.110931E-08,1,1,0,0,0,1,3,1,0,0,0,-4.056277E-10,1.456442E-08,-3.053247E-08,1,1,0,0,0,1
407.9891,0,0,0,0.000000019,2.990766E-08,-0.000000397,1,1,0.0573233,0.7368126,-0.06297259,0.6707128,0,0,0,0,141.0841,169.3354,164.1885,157.1977,143.179,133.0969,125.2357,143.3603,0,1,0,0,0,5.008545E-10,1.558129E-08,-2.764565E-08,1,1,0,0,0,1,1,1,0,0,0,6.009782E-10,1.891179E-08,-3.088077E-08,1,1,0,0,0,1,2,1,0,0,0,6.009782E-10,1.891179E-08,-3.088077E-08,1,1,0,0,0,1,3,1,0,0,0,5.758882E-10,1.834697E-08,-2.720448E-08,1,1,0,0,0,1
408.0384,0,0,0,1.743133E-08,8.121921E-08,-0.000000454,1,1,0.05732327,0.7368125,-0.06297256,0.6707129,0,0,0,0,141.0841,169.3354,164.1884,157.1977,143.179,133.0969,125.2357,143.3603,0,1,0,0,0,-2.678498E-10,1.2087E-08,-1.346014E-08,1,1,0,0,0,1,1,1,0,0,0,-5.833801E-10,1.352942E-08,-1.617445E-08,1,1,0,0,0,1,2,1,0,0,0,-4.081795E-10,1.36081E-08,-1.393876E-08,1,1,0,0,0,1,3,1,0,0,0,-2.678498E-10,1.2087E-08,-1.346014E-08,1,1,0,0,0,1
408.089,0,0,0,5.701863E-09,1.003575E-07,-5.601233E-07,1,1,0.05732327,0.7368126,-0.06297256,0.6707129,0,0,0,0,145.6352,174.7979,169.4848,162.2686,147.7977,137.3903,129.2756,147.9848,0,1,0,0,0,-2.747011E-09,4.580635E-09,-2.35325E-08,1,1,0,0,0,1,1,1,0,0,0,-2.90092E-09,3.250873E-09,-2.66428E-08,1,1,0,0,0,1,2,1,0,0,0,-3.117723E-09,0.000000005,-2.951222E-08,1,1,0,0,0,1,3,1,0,0,0,-0.000000003,6.318317E-09,-2.640192E-08,1,1,0,0,0,1
408.1387,0,0,0,-4.175596E-09,0.000000092,-7.202685E-07,1,1,0.05732325,0.7368126,-0.06297253,0.6707129,0,0,0,0,141.0841,169.3354,164.1885,157.1977,143.179,133.0969,125.2357,143.3603,0,1,0,0,0,-1.144351E-09,-2.575212E-09,-0.000000036,1,1,0,0,0,1,1,1,0,0,0,-3.524083E-09,-2.560174E-09,-4.234503E-08,1,1,0,0,0,1,2,1,0,0,0,-0.000000003,-7.714782E-10,-4.230942E-08,1,1,0,0,0,1,3,1,0,0,0,-2.195808E-09,-2.449916E-09,-3.951277E-08,1,1,0,0,0,1
