1,3,21-Task0
Time,Translation X,Translation Y,Translation Z,Rotation X,Rotation Y,Rotation Z,Rotation W,Scalling,Camera X,Camera Y,Camera Z,Camera W,IsInCollision,CollisionForce X,CollisionForce Y,CollisionForce Z,Checkpoint0,Checkpoint1,Checkpoint2,User,Connected,Translation X,Translation Y,Translation Z,Rotation X,Rotation Y,Rotation Z,Rotation W,Scalling,Camera X,Camera Y,Camera Z,Camera W
37.13753,0,0,0,0,0,0,1,1,0.07105283,0.7416701,-0.07957658,0.662227,0,0,0,0,37.04501,43.06948,110.2267,0,1,0,0,0,0,0,0,1,1,0,0,0,1
37.19022,0,0,0,2.236544E-09,1.178701E-08,-3.540128E-08,1,1,0.07105283,0.7416701,-0.07957659,0.662227,0,0,0,0,194.9217,223.7589,548.3519,0,1,0,0,0,2.236544E-09,1.178701E-08,-3.540127E-08,1,1,0,0,0,1
37.23992,0,0,0,5.637061E-09,2.564975E-08,-6.657127E-08,1,1,0.07105282,0.7416701,-0.07957657,0.662227,0,0,0,0,276.4258,317.0393,774.4993,0,1,0,0,0,3.400517E-09,1.386274E-08,-3.116999E-08,1,1,0,0,0,1
37.28978,0,0,0,9.630925E-09,3.498278E-08,-4.732147E-08,1,1,0.07105283,0.7416701,-0.07957658,0.662227,0,0,0,0,276.4301,317.0433,774.5027,0,1,0,0,0,3.993866E-09,9.333023E-09,1.92498E-08,1,1,0,0,0,1
37.34015,0,0,0,1.185684E-08,3.784266E-08,-6.538257E-08,1,1,0.07105283,0.7416701,-0.07957657,0.662227,0,0,0,0,281.4561,322.8077,788.5845,0,1,0,0,0,2.225919E-09,2.859879E-09,-1.806109E-08,1,1,0,0,0,1
37.39,0,0,0,1.4296E-08,4.71059E-08,-1.029446E-07,1,1,0.07105283,0.7416701,-0.07957657,0.662227,0,0,0,0,276.4301,317.0433,774.5027,0,1,0,0,0,2.439162E-09,9.263241E-09,-3.756205E-08,1,1,0,0,0,1
37.4395,0,0,0,1.684701E-08,5.279901E-08,-9.538178E-08,1,1,0.07105283,0.7416701,-0.07957657,0.662227,0,0,0,0,276.4301,317.0433,774.5027,0,1,0,0,0,2.55101E-09,5.693106E-09,7.562829E-09,1,1,0,0,0,1
37.4899,0,0,0,2.035486E-08,6.414265E-08,-7.319501E-08,1,1,0.07105282,0.7416701,-0.07957657,0.662227,0,0,0,0,281.4561,322.8077,788.5845,0,1,0,0,0,3.507851E-09,1.134363E-08,2.218677E-08,1,1,0,0,0,1
37.53949,0,0,0,2.510446E-08,7.651534E-08,-4.775076E-08,1,1,0.07105281,0.7416701,-0.07957656,0.662227,0,0,0,0,276.4301,317.0433,774.5027,0,1,0,0,0,4.749596E-09,1.237266E-08,2.544425E-08,1,1,0,0,0,1
37.58991,0,0,0,2.993525E-08,8.62155E-08,-3.189398E-08,1,1,0.0710528,0.7416701,-0.07957655,0.662227,0,0,0,0,281.4561,322.8077,788.5845,0,1,0,0,0,4.830799E-09,9.700158E-09,1.585677E-08,1,1,0,0,0,1
37.63973,0,0,0,3.037212E-08,9.730966E-08,-2.785938E-08,1,1,0.07105282,0.7416701,-0.07957657,0.662227,0,0,0,0,276.4301,317.0433,774.5027,0,1,0,0,0,4.368569E-10,1.109416E-08,4.034615E-09,1,1,0,0,0,1
37.68979,0,0,0,3.029045E-08,1.060528E-07,-3.3584E-08,1,1,0.0710528,0.7416701,-0.07957654,0.662227,0,0,0,0,276.4301,317.0433,774.5027,0,1,0,0,0,-8.1674E-11,8.743124E-09,-5.724608E-09,1,1,0,0,0,1
37.74018,0,0,0,2.919952E-08,1.182329E-07,-5.000133E-08,1,1,0.07105282,0.7416701,-0.07957657,0.662227,0,0,0,0,281.4561,322.8077,788.5845,0,1,0,0,0,-1.09093E-09,1.218017E-08,-1.641733E-08,1,1,0,0,0,1
37.78974,0,0,0,3.06251E-08,1.223593E-07,-4.615636E-08,1,1,0.0710528,0.7416701,-0.07957655,0.662227,0,0,0,0,276.4301,317.0433,774.5027,0,1,0,0,0,1.425575E-09,4.126297E-09,3.844983E-09,1,1,0,0,0,1
37.84015,0,0,0,2.764541E-08,1.241057E-07,-5.392373E-08,1,1,0.07105279,0.7416701,-0.07957653,0.662227,0,0,0,0,281.4561,322.8077,788.5845,0,1,0,0,0,-2.979694E-09,1.746428E-09,-7.767367E-09,1,1,0,0,0,1
37.88964,0,0,0,2.776768E-08,1.265198E-07,-4.872567E-08,1,1,0.07105279,0.7416701,-0.07957654,0.662227,0,0,0,0,276.4301,317.0433,774.5027,0,1,0,0,0,1.222667E-10,2.414128E-09,5.198044E-09,1,1,0,0,0,1
37.9394,0,0,0,2.646597E-08,1.324572E-07,-3.616342E-08,1,1,0.07105279,0.7416701,-0.07957654,0.662227,0,0,0,0,276.4301,317.0433,774.5027,0,1,0,0,0,-1.301712E-09,5.937483E-09,1.256224E-08,1,1,0,0,0,1
37.98979,0,0,0,2.933531E-08,1.321883E-07,-1.276907E-09,1,1,0.07105277,0.7416701,-0.07957652,0.662227,0,0,0,0,281.4561,322.8077,788.5845,0,1,0,0,0,2.869347E-09,-2.689357E-10,3.488651E-08,1,1,0,0,0,1
38.04011,0,0,0,3.488874E-08,1.358903E-07,3.965557E-08,1,1,0.07105277,0.7416701,-0.07957651,0.662227,0,0,0,0,276.4301,317.0433,774.5027,0,1,0,0,0,5.553438E-09,3.70208E-09,4.093248E-08,1,1,0,0,0,1
38.08961,0,0,0,3.935365E-08,1.356945E-07,7.619686E-08,1,1,0.07105277,0.7416701,-0.07957651,0.662227,0,0,0,0,276.4301,317.0433,774.5027,0,1,0,0,0,4.464923E-09,-1.958071E-10,3.65413E-08,1,1,0,0,0,1
38.13936,0,0,0,4.391774E-08,1.38062E-07,1.161377E-07,1,1,0.07105277,0.7416701,-0.07957651,0.662227,0,0,0,0,276.4301,317.0433,774.5027,0,1,0,0,0,5.127475E-09,2.367506E-09,4.449495E-08,1,1,0,0,0,1
38.1898,0,0,0,4.918542E-08,1.38357E-07,1.569476E-07,1,1,0.07105278,0.7416701,-0.07957652,0.662227,0,0,0,0,281.4561,322.8077,788.5845,0,1,0,0,0,4.704324E-09,2.949788E-10,3.625577E-08,1,1,0,0,0,1
38.24022,0,0,0,5.420947E-08,1.391429E-07,1.975268E-07,1,1,0.07105278,0.7416701,-0.07957652,0.662227,0,0,0,0,281.4561,322.8077,788.5845,0,1,0,0,0,5.024053E-09,7.858277E-10,4.057924E-08,1,1,0,0,0,1
38.2897,0,0,0,5.786999E-08,1.391891E-07,2.364356E-07,1,1,0.07105279,0.7416701,-0.07957652,0.662227,0,0,0,0,276.4301,317.0433,774.5027,0,1,0,0,0,3.660521E-09,4.616735E-11,3.890878E-08,1,1,0,0,0,1
38.33934,0,0,0,6.254182E-08,1.401824E-07,2.817056E-07,1,1,0.07105277,0.7416701,-0.07957651,0.662227,0,0,0,0,276.4301,317.0433,774.5027,0,1,0,0,0,4.671828E-09,9.933059E-10,4.527002E-08,1,1,0,0,0,1
38.38979,0,0,0,6.273221E-08,1.394673E-07,2.817904E-07,1,1,0.07105277,0.7416701,-0.0795765,0.662227,0,0,0,0,281.4561,322.8077,788.5845,0,1,0,0,0,1.903856E-10,-7.15105E-10,8.464207E-11,1,1,0,0,0,1
38.43957,0,0,0,6.671373E-08,1.432767E-07,3.0594E-07,1,1,0.07105278,0.7416701,-0.07957652,0.662227,0,0,0,0,256.3261,293.9855,718.1753,0,1,0,0,0,3.981528E-09,3.809302E-09,2.414962E-08,1,1,0,0,0,1
38.48957,0,0,0,7.117441E-08,1.440625E-07,3.419651E-07,1,1,0.07105278,0.7416701,-0.07957652,0.662227,0,0,0,0,276.4301,317.0433,774.5027,0,1,0,0,0,4.460677E-09,7.857643E-10,3.60251E-08,1,1,0,0,0,1
38.53997,0,0,0,7.44551E-08,1.442323E-07,3.78519E-07,1,1,0.07105279,0.7416701,-0.07957653,0.662227,0,0,0,0,281.4561,322.8077,788.5845,0,1,0,0,0,3.280702E-09,1.698212E-10,3.65539E-08,1,1,0,0,0,1
38.58995,0,0,0,7.489073E-08,1.438467E-07,4.096307E-07,1,1,0.07105278,0.7416701,-0.07957652,0.662227,0,0,0,0,276.4301,317.0433,774.5027,0,1,0,0,0,4.356301E-10,-3.856241E-10,3.111168E-08,1,1,0,0,0,1
38.63944,0,0,0,7.882846E-08,1.482364E-07,4.651436E-07,1,1,0.07105279,0.7416701,-0.07957653,0.662227,0,0,0,0,276.4301,317.0433,774.5027,0,1,0,0,0,3.937726E-09,4.389638E-09,5.551271E-08,1,1,0,0,0,1
38.68984,0,0,0,8.176189E-08,1.483385E-07,4.984792E-07,1,1,0.07105278,0.7416701,-0.07957652,0.662227,0,0,0,0,281.4561,322.8077,788.5845,0,1,0,0,0,2.933431E-09,1.021468E-10,3.333559E-08,1,1,0,0,0,1
38.73949,0,0,0,8.678015E-08,1.492225E-07,5.390074E-07,1,1,0.07105278,0.7416701,-0.07957652,0.662227,0,0,0,0,276.4301,317.0433,774.5027,0,1,0,0,0,5.018261E-09,8.839849E-10,4.052823E-08,1,1,0,0,0,1
