2,2,22-Task1
Time,Translation X,Translation Y,Translation Z,Rotation X,Rotation Y,Rotation Z,Rotation W,Scalling,Camera X,Camera Y,Camera Z,Camera W,IsInCollision,CollisionForce X,CollisionForce Y,CollisionForce Z,Checkpoint0,Checkpoint1,User,Connected,Translation X,Translation Y,Translation Z,Rotation X,Rotation Y,Rotation Z,Rotation W,Scalling,Camera X,Camera Y,Camera Z,Camera W,User,Connected,Translation X,Translation Y,Translation Z,Rotation X,Rotation Y,Rotation Z,Rotation W,Scalling,Camera X,Camera Y,Camera Z,Camera W
10.23593,0,0,0,0,0,0,1,1,0.07105283,0.7416701,-0.07957658,0.662227,0,0,0,0,10.052,11.52885,0,1,0,0,0,-2.801829E-10,2.592281E-09,-3.570673E-10,1,1,0,0,0,1,1,1,0,0,0,0,0,0,1,1,0,0,0,1
10.28391,0,0,0,2.999218E-09,2.840688E-08,-6.1172E-08,1,1,0.07105283,0.7416701,-0.07957659,0.662227,0,0,0,0,216.1181,247.8701,0,1,0,0,0,2.024921E-09,1.269606E-08,-3.167896E-08,1,1,0,0,0,1,1,1,0,0,0,1.25448E-09,1.311854E-08,-2.913596E-08,1,1,0,0,0,1
10.33399,0,0,0,1.122732E-08,5.935344E-08,-1.154598E-07,1,1,0.07105282,0.7416701,-0.07957657,0.662227,0,0,0,0,271.4041,311.2788,0,1,0,0,0,3.76868E-09,1.741497E-08,-2.375921E-08,1,1,0,0,0,1,1,1,0,0,0,4.459424E-09,1.353159E-08,-3.052854E-08,1,1,0,0,0,1
10.38459,0,0,0,1.921505E-08,7.80195E-08,-7.696017E-08,1,1,0.07105283,0.7416701,-0.07957658,0.662227,0,0,0,0,261.3521,299.75,0,1,0,0,0,3.993866E-09,9.333023E-09,1.92498E-08,1,1,0,0,0,1,1,1,0,0,0,3.993866E-09,9.333023E-09,1.92498E-08,1,1,0,0,0,1
10.43404,0,0,0,2.413581E-08,8.470397E-08,-1.232912E-07,1,1,0.07105283,0.7416701,-0.07957657,0.662227,0,0,0,0,256.3261,293.9855,0,1,0,0,0,1.646134E-09,2.167042E-10,-2.174955E-08,1,1,0,0,0,1,1,1,0,0,0,3.274625E-09,6.467749E-09,-2.458146E-08,1,1,0,0,0,1
10.4838,0,0,0,2.843732E-08,9.951446E-08,-1.964716E-07,1,1,0.07105283,0.7416701,-0.07957657,0.662227,0,0,0,0,261.3521,299.75,0,1,0,0,0,1.659717E-09,8.070999E-09,-3.34575E-08,1,1,0,0,0,1,1,1,0,0,0,2.641781E-09,6.73947E-09,-3.972282E-08,1,1,0,0,0,1
10.53422,0,0,0,3.442539E-08,1.096356E-07,-1.831915E-07,1,1,0.07105283,0.7416701,-0.07957657,0.662227,0,0,0,0,266.3781,305.5144,0,1,0,0,0,2.994037E-09,5.060539E-09,6.64003E-09,1,1,0,0,0,1,1,1,0,0,0,2.994037E-09,5.060539E-09,6.64003E-09,1,1,0,0,0,1
10.58405,0,0,0,4.17594E-08,1.345241E-07,-1.39016E-07,1,1,0.07105282,0.7416701,-0.07957657,0.662227,0,0,0,0,261.3521,299.75,0,1,0,0,0,3.507851E-09,1.134363E-08,2.218677E-08,1,1,0,0,0,1,1,1,0,0,0,3.826163E-09,1.354489E-08,2.198883E-08,1,1,0,0,0,1
10.63432,0,0,0,5.104544E-08,1.566207E-07,-9.479783E-08,1,1,0.07105281,0.7416701,-0.07957656,0.662227,0,0,0,0,256.3261,293.9855,0,1,0,0,0,4.16981E-09,9.729489E-09,2.175579E-08,1,1,0,0,0,1,1,1,0,0,0,5.116237E-09,1.2367E-08,2.246236E-08,1,1,0,0,0,1
10.68431,0,0,0,6.124291E-08,1.763682E-07,-6.214593E-08,1,1,0.0710528,0.7416701,-0.07957655,0.662227,0,0,0,0,261.3521,299.75,0,1,0,0,0,4.8308E-09,9.700158E-09,1.585677E-08,1,1,0,0,0,1,1,1,0,0,0,5.366669E-09,1.004725E-08,1.679515E-08,1,1,0,0,0,1
