S,0
T,0.007980347,0.01347351
T,0.5892181,7.241089
T,0.3794098,10.25687
T,0.4367065,11.98508
T,0.4235687,12.59642
T,0.5231018,18.73453
T,0.5404053,19.97839
T,0.4240723,20.53815
T,0.4033203,21.02872
T,0.4202271,21.50598
T,0.4481812,22.09201
T,0.4815369,22.6553
T,0.4854126,24.23608
T,0.3647461,24.64951
T,0.4337463,25.2135
T,0.09246826,25.36191
T,0.5024109,26.78214
T,0.5262146,27.84024
T,0.5201111,28.55341
T,0.5636292,30.98248
T,0.00881958,31.68445
T,0.003814697,31.73318
T,0.003692627,31.75302
T,0.009918213,31.77313
T,0.005828857,31.78412
T,0.005004883,31.80066
T,0.002624512,31.82434
T,0.005371094,31.83109
T,0.007904053,31.88315
T,0.01013184,31.89328
T,0.003814697,32.01682
T,0.007659912,32.02963
T,0.005065918,32.04114
T,0.002532959,32.05771
T,0.005157471,32.07169
T,0.0050354,32.08557
T,0.001251221,32.10187
T,0.008850098,32.13333
T,0.006225586,32.15427
T,0.01629639,32.17432
T,0.006439209,32.27975
T,0.008880615,32.28864
T,0.006164551,32.33759
T,0.01651001,32.35788
T,0.002532959,32.39236
T,0.003723145,32.43524
T,0.03421021,32.48077
T,0.002532959,32.52289
T,0.007629395,32.53052
T,0.02893066,32.55945
T,0.007354736,32.60507
T,0.002441406,32.61612
T,0.01019287,32.64276
T,0.005157471,32.64792
T,0.0140686,32.69254
T,0.02676392,32.7193
T,0.006408691,32.72571
T,0.002502441,32.73703
T,0.08172607,32.90411
T,0.001312256,32.90543
T,0.01434326,32.95596
T,0.008850098,33.04794
T,0.01382446,33.06299
T,0.01647949,33.10583
T,0.006286621,33.26318
T,0.004943848,33.27933
R,0.8610229,33.9592
T,0.001281738,33.97168
T,0.002563477,33.97806
T,0.006317139,33.99597
T,0.003814697,34.01749
T,0.002502441,34.03384
T,0.005096436,34.04901
T,0.005004883,34.06543
T,0.008758545,34.08307
T,0.02182007,34.11758
T,0.006286621,34.14157
T,0.02020264,34.16312
T,0.00881958,34.17194
T,0.01290894,34.19495
T,0.00894165,34.22034
T,0.01248169,34.33557
T,0.01138306,34.35205
T,0.008850098,34.41992
T,0.01657104,34.43649
T,0.0128479,34.47665
T,0.01763916,34.50934
T,0.01663208,34.54892
