3,1,9-Task2
Time,Translation X,Translation Y,Translation Z,Rotation X,Rotation Y,Rotation Z,Rotation W,Scalling,Camera X,Camera Y,Camera Z,Camera W,IsInCollision,CollisionForce X,CollisionForce Y,CollisionForce Z,Checkpoint0,User,Connected,Translation X,Translation Y,Translation Z,Rotation X,Rotation Y,Rotation Z,Rotation W,Scalling,Camera X,Camera Y,Camera Z,Camera W,User,Connected,Translation X,Translation Y,Translation Z,Rotation X,Rotation Y,Rotation Z,Rotation W,Scalling,Camera X,Camera Y,Camera Z,Camera W,User,Connected,Translation X,Translation Y,Translation Z,Rotation X,Rotation Y,Rotation Z,Rotation W,Scalling,Camera X,Camera Y,Camera Z,Camera W
121.9874,0,0,0,0,0,0,1,1,0.07105283,0.7416701,-0.07957658,0.662227,0,0,0,0,6009.491,0,1,0.06357004,-0.001694523,0.001901518,-6.886486E-09,-1.832721E-07,-3.450718E-09,1,1,0,0,0,1,1,1,0,0,0,-6.421834E-09,-1.709375E-07,-3.166905E-09,1,1,0,0,0,1,2,1,0,0,0,-5.9916E-09,-1.595166E-07,-2.904116E-09,1,1,0,0,0,1
122.036,0,0,0,5.864687E-09,3.332611E-08,-9.177975E-08,1,1,0.07105283,0.7416701,-0.07957659,0.662227,0,0,0,0,198.6282,0,1,0,0,0,2.024921E-09,1.269606E-08,-3.167896E-08,1,1,0,0,0,1,1,1,0,0,0,1.534662E-09,1.052626E-08,-2.877889E-08,1,1,0,0,0,1,2,1,0,0,0,2.305103E-09,1.010378E-08,-3.132189E-08,1,1,0,0,0,1
122.0863,0,0,0,1.845155E-08,7.218677E-08,-1.833315E-07,1,1,0.07105282,0.7416701,-0.07957657,0.662227,0,0,0,0,208.8143,0,1,0,0,0,4.247801E-09,1.444064E-08,-2.680622E-08,1,1,0,0,0,1,1,1,0,0,0,3.879638E-09,1.088842E-08,-3.4217E-08,1,1,0,0,0,1,2,1,0,0,0,4.459424E-09,1.353159E-08,-3.052854E-08,1,1,0,0,0,1
122.1356,0,0,0,2.888738E-08,9.729139E-08,-1.361206E-07,1,1,0.07105283,0.7416701,-0.07957658,0.662227,0,0,0,0,213.9073,0,1,0,0,0,3.431008E-09,8.700455E-09,1.844121E-08,1,1,0,0,0,1,1,1,0,0,0,3.792308E-09,9.523673E-09,1.622908E-08,1,1,0,0,0,1,2,1,0,0,0,3.212522E-09,6.880497E-09,1.254062E-08,1,1,0,0,0,1
122.1855,0,0,0,3.644748E-08,1.093982E-07,-2.036108E-07,1,1,0.07105283,0.7416701,-0.07957657,0.662227,0,0,0,0,219.0004,0,1,0,0,0,2.694839E-09,3.824575E-09,-2.826992E-08,1,1,0,0,0,1,1,1,0,0,0,2.225919E-09,2.859879E-09,-1.806109E-08,1,1,0,0,0,1,2,1,0,0,0,2.639339E-09,5.42231E-09,-2.11591E-08,1,1,0,0,0,1
122.2353,0,0,0,4.313094E-08,1.339198E-07,-3.07915E-07,1,1,0.07105283,0.7416701,-0.07957657,0.662227,0,0,0,0,219.0004,0,1,0,0,0,2.439162E-09,9.263241E-09,-3.756205E-08,1,1,0,0,0,1,1,1,0,0,0,2.439162E-09,9.263241E-09,-3.756205E-08,1,1,0,0,0,1,2,1,0,0,0,1.805116E-09,5.995139E-09,-2.918018E-08,1,1,0,0,0,1
122.2863,0,0,0,5.223288E-08,1.503665E-07,-2.862635E-07,1,1,0.07105283,0.7416701,-0.07957657,0.662227,0,0,0,0,224.0934,0,1,0,0,0,3.053952E-09,5.693106E-09,7.505724E-09,1,1,0,0,0,1,1,1,0,0,0,2.994037E-09,5.060539E-09,6.64003E-09,1,1,0,0,0,1,2,1,0,0,0,3.053952E-09,5.693106E-09,7.505724E-09,1,1,0,0,0,1
122.341,0,0,0,6.221046E-08,1.857755E-07,-2.176319E-07,1,1,0.07105282,0.7416701,-0.07957657,0.662227,0,0,0,0,219.0004,0,1,0,0,0,3.524778E-09,1.335424E-08,2.506664E-08,1,1,0,0,0,1,1,1,0,0,0,3.507851E-09,1.134363E-08,2.218677E-08,1,1,0,0,0,1,2,1,0,0,0,2.944993E-09,1.071106E-08,2.137818E-08,1,1,0,0,0,1
122.3858,0,0,0,7.390378E-08,2.100646E-07,-1.629274E-07,1,1,0.07105281,0.7416701,-0.07957656,0.662227,0,0,0,0,188.4422,0,1,0,0,0,3.578442E-09,7.282629E-09,1.796531E-08,1,1,0,0,0,1,1,1,0,0,0,3.945082E-09,7.276964E-09,1.498342E-08,1,1,0,0,0,1,2,1,0,0,0,4.16981E-09,9.729489E-09,2.175579E-08,1,1,0,0,0,1
122.4353,0,0,0,8.885854E-08,2.435336E-07,-1.086468E-07,1,1,0.0710528,0.7416701,-0.07957655,0.662227,0,0,0,0,203.7213,0,1,0,0,0,4.847727E-09,1.171076E-08,1.873664E-08,1,1,0,0,0,1,1,1,0,0,0,5.368495E-09,1.214702E-08,1.965335E-08,1,1,0,0,0,1,2,1,0,0,0,4.738555E-09,9.611002E-09,1.589064E-08,1,1,0,0,0,1
122.4858,0,0,0,9.178701E-08,2.780509E-07,-8.526714E-08,1,1,0.07105282,0.7416701,-0.07957657,0.662227,0,0,0,0,213.9073,0,1,0,0,0,1.560775E-09,1.297961E-08,1.155391E-08,1,1,0,0,0,1,1,1,0,0,0,4.368569E-10,1.109416E-08,4.034615E-09,1,1,0,0,0,1,2,1,0,0,0,9.308346E-10,1.044359E-08,7.7912E-09,1,1,0,0,0,1
