S,0
T,0.5191803,0.5236969
CR,3.390762,6.823151
T,1.443954,13.14658
T,0.3740845,13.68954
T,0.6881866,14.55867
T,0.860672,15.55946
T,0.9161224,16.66443
T,1.572006,18.60487
R,4.430038,24.05785
T,1.513931,27.54791
T,0.9632111,28.58466
T,0.4818115,29.52072
CR,1.206299,31.68449
T,1.064056,35.01329
T,0.6384583,35.75562
T,0.1920166,35.95778
T,2.112961,41.85741
T,0.5335388,44.84286
T,1.328659,47.48621
T,0.1108093,47.60533
T,0.796402,48.77225
T,0.3665466,49.22153
T,0.5595856,49.80003
T,0.3643799,50.16808
T,0.9604797,53.84338
T,0.3331604,54.18854
T,0.9664917,55.20494
T,0.6432037,56.0226
T,0.1014709,56.15123
T,0.2904205,56.44774
T,0.2024231,56.68907
T,0.1122894,56.85919
T,0.1109467,57.14122
CR,2.904037,62.88562
R,2.07486,66.53444
T,0.6642456,67.8712
T,0.3209839,68.21823
R,4.65683,77.06496
S,1
T,0.4971771,77.94751
T,0.09925842,78.08629
CR,1.598526,81.08298
T,0.1483612,82.34813
CR,2.204773,86.29961
T,0.3482971,87.73015
T,0.4030457,88.29585
R,1.132202,91.31189
CR,1.797607,93.62628
CR,1.255768,96.80321
R,1.094223,99.5504
T,0.01335144,100.7191
T,0.01478577,100.7338
T,0.1628265,100.9521
R,1.501724,102.9756
R,2.387054,109.6006
T,0.3624115,110.4685
T,0.4308929,110.9845
T,0.4326477,111.4952
T,0.8345032,112.6635
R,3.018448,121.1609
T,0.4053345,123.1862
T,2.114166,125.5406
S,2
RUNTIME,127.8023
