User,Task,Action,Start,Finish,Duration
0,0,CR,3.178126,11.08253,7.904404
0,0,CR,12.087665,15.74158,3.653915
0,0,T,24.056076,25.49266,1.436584
0,0,T,25.747286,27.09836,1.351074
0,0,T,27.441925,29.62973,2.187805
0,0,T,29.972244,31.0419,1.069656
0,0,T,36.152327,39.18286,3.030533
0,0,CR,42.31981,43.88376,1.56395
0,0,CR,44.790172,46.24438,1.454208
0,0,R,51.845795,56.81955,4.973755
0,0,R,65.923985,67.11205,1.188065
0,1,CR,70.699635,73.5835,2.883865
0,1,CR,75.646724,77.34402,1.697296
0,1,CR,78.000033,79.24306,1.243027
0,1,T,81.413975,82.57285,1.158875
0,1,T,82.7608507,83.28705,0.5261993
0,1,T,83.4702474,83.93532,0.4650726
0,1,T,84.0356133,84.58583,0.5502167
0,1,T,85.8479324,86.31949,0.4715576
0,1,T,86.4412839,86.77124,0.3299561
0,1,T,86.9357156,87.2529,0.3171844
0,1,T,87.4009243,87.83876,0.4378357
0,1,R,90.130538,91.20787,1.077332
0,1,R,99.2100665,100.2032,0.9931335
0,1,T,112.506582,113.9316,1.425018
0,1,T,114.157014,115.3443,1.187286
0,1,R,115.875089,117.1573,1.282211
0,1,CR,117.534087,118.9429,1.408813
0,1,CR,120.704868,122.0806,1.375732
0,1,CR,122.514288,123.9065,1.392212
0,1,R,125.521562,127.5869,2.065338
0,1,T,128.224744,130.3654,2.140656
0,1,T,130.780957,131.8578,1.076843
0,1,CR,133.546822,135.6027,2.055878
0,1,T,137.611211,139.1088,1.497589
0,1,T,139.205261,139.694,0.488739
0,1,T,139.7790516,140.1062,0.3271484
0,1,R,140.807685,142.1771,1.369415
0,1,CR,143.93295,145.5426,1.60965
0,1,CR,145.9208957,146.8616,0.9407043
