S,0
T,0.1382751,8.759735
CR,0.9824219,9.806091
T,0.009155273,12.93832
T,0.0168457,12.96161
T,0.01809692,12.97971
T,0.009277344,13.00449
T,0.002532959,13.02112
T,0.03942871,13.06824
T,0.01800537,13.09012
T,0.02340698,13.11874
CR,0.914917,15.88556
T,0.41745,18.43924
T,1.701477,20.28302
CR,1.961578,23.68372
T,0.5124512,39.72504
T,0.5473022,40.46704
T,0.009155273,43.138
T,0.004608154,43.15793
T,0.01364136,43.17938
T,0.01074219,43.19012
T,0.01077271,43.20703
T,0.004516602,43.25525
T,0.00302124,43.29388
T,0.004364014,43.29825
T,0.001495361,43.30569
T,0.005767822,43.3233
T,0.04315186,43.37091
T,0.01037598,43.38129
T,0.003051758,43.42487
T,0.006011963,43.43549
T,0.004577637,43.4523
T,0.01083374,43.47992
T,0.01953125,43.71967
T,0.00604248,43.73779
T,0.00302124,43.7572
T,0.004638672,43.77386
T,0.01065063,43.79355
T,0.005981445,43.80563
T,0.004486084,43.81613
T,0.005981445,43.8385
T,0.004577637,43.85074
T,0.004669189,43.8707
T,0.006195068,43.88309
T,0.007598877,43.90115
T,0.005950928,43.91766
T,0.01217651,43.93893
T,0.004638672,43.94952
T,0.006011963,44.18542
T,0.006134033,44.2023
T,0.006317139,44.21802
T,0.0105896,44.23932
T,0.005340576,44.25018
T,0.01260376,44.26849
T,0.008392334,44.28329
T,0.02246094,44.31992
T,0.006408691,44.33585
T,0.006347656,44.35168
T,0.004760742,44.36905
T,0.004760742,44.38651
T,0.02246094,44.41861
T,0.00491333,44.435
T,0.00994873,44.65506
T,0.004974365,44.66507
T,0.0050354,44.68024
T,0.00994873,44.70831
T,0.00491333,44.71826
T,0.003570557,44.73544
T,0.01235962,44.75641
T,0.005340576,44.76703
T,0.01031494,44.78952
T,0.005187988,44.79993
T,0.005126953,44.8172
T,0.005279541,44.8331
T,0.01077271,44.85635
T,0.003570557,44.8653
T,0.01965332,45.11691
T,0.005340576,45.13464
T,0.005340576,45.15051
T,0.01245117,45.17191
T,0.02166748,45.19717
T,0.0269165,45.24567
T,0.005523682,45.32352
T,0.007080078,45.336
T,0.005371094,45.35211
T,0.005462646,45.3699
T,0.003509521,45.38409
T,0.005249023,45.39975
T,0.007019043,45.4173
T,0.005218506,45.61554
T,0.007110596,45.63318
T,0.003540039,45.65427
T,0.01226807,45.67001
T,0.0291748,45.77353
T,0.00958252,46.02185
T,0.01675415,46.0386
T,0.00390625,46.06577
T,0.01333618,46.0965
T,0.0227356,46.13989
T,0.02255249,46.17746
T,0.008972168,46.20392
T,0.005645752,46.21521
T,0.01306152,46.23755
T,0.01107788,46.43512
T,0.005493164,46.4447
T,0.005584717,46.46149
T,0.005828857,46.47672
T,0.005706787,46.49384
T,0.009216309,46.5239
T,0.01699829,46.54657
T,0.01858521,46.57239
T,0.002563477,46.57935
