4,8,11-Task4
Time,Translation X,Translation Y,Translation Z,Rotation X,Rotation Y,Rotation Z,Rotation W,Scalling,Camera X,Camera Y,Camera Z,Camera W,IsInCollision,CollisionForce X,CollisionForce Y,CollisionForce Z,Checkpoint0,Checkpoint1,Checkpoint2,Checkpoint3,Checkpoint4,Checkpoint5,Checkpoint6,Checkpoint7,User,Connected,Translation X,Translation Y,Translation Z,Rotation X,Rotation Y,Rotation Z,Rotation W,Scalling,Camera X,Camera Y,Camera Z,Camera W,User,Connected,Translation X,Translation Y,Translation Z,Rotation X,Rotation Y,Rotation Z,Rotation W,Scalling,Camera X,Camera Y,Camera Z,Camera W,User,Connected,Translation X,Translation Y,Translation Z,Rotation X,Rotation Y,Rotation Z,Rotation W,Scalling,Camera X,Camera Y,Camera Z,Camera W,User,Connected,Translation X,Translation Y,Translation Z,Rotation X,Rotation Y,Rotation Z,Rotation W,Scalling,Camera X,Camera Y,Camera Z,Camera W
297.4088,0,0,0,0,0,0,1,1,0.05732334,0.7368126,-0.06297264,0.6707128,0,0,0,0,6324.202,6065.603,5855.287,5868.164,6271.797,6237.724,6372.164,5549.84,0,1,-1.357589,-0.8270645,0.01367355,1.438618E-08,-2.644583E-07,-1.491523E-06,1,1,0,0,0,1,1,1,0,0,0,1.492801E-08,-2.741261E-07,-1.546712E-06,1,1,0,0,0,1,2,1,0,0,0,1.416946E-08,-2.605912E-07,-1.469447E-06,1,1,0,0,0,1,3,1,0,0,0,1.518086E-08,-2.786377E-07,-1.572466E-06,1,1,0,0,0,1
297.4589,0,0,0,2.537491E-09,-3.893274E-08,1.589031E-08,1,1,0.05732334,0.7368127,-0.06297264,0.6707128,0,0,0,0,95.57308,114.7111,111.2244,106.4888,96.9922,90.16238,84.83708,97.11505,0,1,0,0,0,6.20299E-10,-9.274759E-09,2.330753E-09,1,1,0,0,0,1,1,1,0,0,0,5.824116E-10,-9.411715E-09,8.441294E-09,1,1,0,0,0,1,2,1,0,0,0,6.576743E-10,-9.827263E-09,3.016942E-10,1,1,0,0,0,1,3,1,0,0,0,6.771052E-10,-1.0419E-08,4.81656E-09,1,1,0,0,0,1
297.5098,0,0,0,8.309386E-09,-6.074749E-08,-3.151836E-08,1,1,0.05732334,0.7368126,-0.06297264,0.6707129,0,0,0,0,100.1242,120.1735,116.5208,111.5596,101.6109,94.45583,88.87695,101.7396,0,1,0,0,0,1.291903E-09,-4.704323E-09,-1.316455E-08,1,1,0,0,0,1,1,1,0,0,0,1.594041E-09,-6.203071E-09,-1.053979E-08,1,1,0,0,0,1,2,1,0,0,0,1.483225E-09,-4.881094E-09,-7.086328E-09,1,1,0,0,0,1,3,1,0,0,0,1.402718E-09,-6.0263E-09,-1.661802E-08,1,1,0,0,0,1
297.5579,0,0,0,1.356255E-08,-7.311307E-08,-1.127561E-07,1,1,0.05732333,0.7368127,-0.06297264,0.6707128,0,0,0,0,95.57308,114.7111,111.2244,106.4888,96.9922,90.16238,84.83708,97.11505,0,1,0,0,0,1.497394E-09,-2.464485E-09,-1.843526E-08,1,1,0,0,0,1,1,1,0,0,0,1.240689E-09,-3.056806E-09,-2.643025E-08,1,1,0,0,0,1,2,1,0,0,0,1.418333E-09,-3.711034E-09,-1.182117E-08,1,1,0,0,0,1,3,1,0,0,0,1.096736E-09,-3.133294E-09,-2.4551E-08,1,1,0,0,0,1
297.6095,0,0,0,1.784267E-08,-9.953116E-08,-1.532129E-07,1,1,0.05732332,0.7368126,-0.06297261,0.6707129,0,0,0,0,104.6753,125.636,121.8172,116.6305,106.2295,98.74928,92.91681,106.3641,0,1,0,0,0,1.045965E-09,-6.397354E-09,-8.900817E-09,1,1,0,0,0,1,1,1,0,0,0,1.045965E-09,-6.397354E-09,-8.900817E-09,1,1,0,0,0,1,2,1,0,0,0,9.660142E-10,-6.673185E-09,-1.221751E-08,1,1,0,0,0,1,3,1,0,0,0,1.222163E-09,-6.95024E-09,-1.043751E-08,1,1,0,0,0,1
297.658,0,0,0,1.729917E-08,-4.972642E-08,-2.621825E-07,1,1,0.0573233,0.7368126,-0.0629726,0.6707128,0,0,0,0,104.6753,125.636,121.8172,116.6305,106.2295,98.74928,92.91681,106.3641,0,1,0,0,0,-2.565892E-10,1.072677E-08,-1.944635E-08,1,1,0,0,0,1,1,1,0,0,0,-3.528508E-10,1.372535E-08,-3.096141E-08,1,1,0,0,0,1,2,1,0,0,0,3.330232E-10,1.327806E-08,-2.744917E-08,1,1,0,0,0,1,3,1,0,0,0,-2.670854E-10,1.207457E-08,-3.11126E-08,1,1,0,0,0,1
297.7078,0,0,0,1.940271E-08,1.592922E-08,-3.760002E-07,1,1,0.0573233,0.7368126,-0.06297259,0.6707128,0,0,0,0,109.2264,131.0984,127.1136,121.7014,110.8482,103.0427,96.95667,110.9886,0,1,0,0,0,2.50663E-10,6.719413E-09,-2.529287E-08,1,1,0,0,0,1,1,1,0,0,0,6.009782E-10,1.891179E-08,-3.088077E-08,1,1,0,0,0,1,2,1,0,0,0,7.037356E-10,1.912838E-08,-3.099306E-08,1,1,0,0,0,1,3,1,0,0,0,6.76012E-10,2.167747E-08,-3.04396E-08,1,1,0,0,0,1
297.758,0,0,0,1.760728E-08,6.798044E-08,-4.297237E-07,1,1,0.05732327,0.7368125,-0.06297256,0.6707129,0,0,0,0,109.2264,131.0984,127.1136,121.7014,110.8482,103.0427,96.95667,110.9886,0,1,0,0,0,1.755278E-10,1.142598E-08,-1.453442E-08,1,1,0,0,0,1,1,1,0,0,0,-7.112275E-10,1.274802E-08,-1.238586E-08,1,1,0,0,0,1,2,1,0,0,0,-5.360268E-10,1.282669E-08,-1.015017E-08,1,1,0,0,0,1,3,1,0,0,0,-8.515571E-10,1.426911E-08,-1.286448E-08,1,1,0,0,0,1
297.8081,0,0,0,7.029497E-09,5.431124E-08,-5.505678E-07,1,1,0.05732327,0.7368126,-0.06297256,0.6707129,0,0,0,0,91.02198,109.2487,105.928,101.4179,92.37352,85.86894,80.79722,92.49052,0,1,0,0,0,-3.327868E-09,-1.127051E-08,-3.980663E-08,1,1,0,0,0,1,1,1,0,0,0,-2.838024E-09,1.8343E-10,-2.688367E-08,1,1,0,0,0,1,2,1,0,0,0,-2.174495E-09,-2.82477E-09,-2.719732E-08,1,1,0,0,0,1,3,1,0,0,0,-2.23739E-09,2.426736E-10,-2.695644E-08,1,1,0,0,0,1
297.8599,0.02402237,0.004539358,0.0146428,-4.765488E-09,5.005287E-08,-7.23041E-07,1,1,0.05730052,0.7367572,-0.06293663,0.670779,0,0,0,0,109.2264,131.0984,127.1136,121.7014,110.8482,103.0427,96.95667,110.9886,0,1,0.08007457,0.01513119,0.04880932,-3.013245E-09,-7.714782E-10,-4.230942E-08,1,1,0,0,0,1,1,1,0,0,0,-3.013245E-09,-7.714782E-10,-4.230942E-08,1,1,0,0,0,1,2,1,0,0,0,-3.013245E-09,-7.714782E-10,-4.230942E-08,1,1,0,0,0,1,3,1,0,0,0,-2.755277E-09,-1.943896E-09,-4.554489E-08,1,1,0,0,0,1
