1,3,14-Task0
Time,Translation X,Translation Y,Translation Z,Rotation X,Rotation Y,Rotation Z,Rotation W,Scalling,Camera X,Camera Y,Camera Z,Camera W,IsInCollision,CollisionForce X,CollisionForce Y,CollisionForce Z,Checkpoint0,Checkpoint1,Checkpoint2,User,Connected,Translation X,Translation Y,Translation Z,Rotation X,Rotation Y,Rotation Z,Rotation W,Scalling,Camera X,Camera Y,Camera Z,Camera W
391.8337,0,0,0,0,0,0,1,1,0.07105283,0.7416701,-0.07957658,0.662227,0,0,0,0,37.04501,43.06948,110.2267,0,1,0,0,0,0,0,0,1,1,0,0,0,1
391.8821,0,0,0,2.516726E-09,9.19473E-09,-3.504421E-08,1,1,0.07105283,0.7416701,-0.07957659,0.662227,0,0,0,0,250.1093,287.0725,703.1766,0,1,0,0,0,2.516727E-09,9.194731E-09,-3.504421E-08,1,1,0,0,0,1
391.9316,0,0,0,6.573869E-09,2.530802E-08,-6.232781E-08,1,1,0.07105282,0.7416701,-0.07957657,0.662227,0,0,0,0,276.4256,317.0391,774.4991,0,1,0,0,0,4.057142E-09,1.611329E-08,-2.728359E-08,1,1,0,0,0,1
391.9821,0,0,0,9.78639E-09,3.218851E-08,-4.978719E-08,1,1,0.07105283,0.7416701,-0.07957658,0.662227,0,0,0,0,281.4561,322.8077,788.5845,0,1,0,0,0,3.212522E-09,6.880497E-09,1.254062E-08,1,1,0,0,0,1
392.0316,0,0,0,1.205757E-08,3.405859E-08,-7.835708E-08,1,1,0.07105283,0.7416701,-0.07957657,0.662227,0,0,0,0,276.4301,317.0433,774.5027,0,1,0,0,0,2.271176E-09,1.870085E-09,-2.856989E-08,1,1,0,0,0,1
392.082,0,0,0,1.371728E-08,4.212959E-08,-1.118146E-07,1,1,0.07105283,0.7416701,-0.07957657,0.662227,0,0,0,0,281.4561,322.8077,788.5845,0,1,0,0,0,1.659717E-09,8.070999E-09,-3.34575E-08,1,1,0,0,0,1
392.1324,0,0,0,1.671132E-08,4.719013E-08,-1.051745E-07,1,1,0.07105283,0.7416701,-0.07957657,0.662227,0,0,0,0,281.4561,322.8077,788.5845,0,1,0,0,0,2.994037E-09,5.060539E-09,6.64003E-09,1,1,0,0,0,1
392.1819,0,0,0,2.053748E-08,6.073502E-08,-8.318571E-08,1,1,0.07105282,0.7416701,-0.07957657,0.662227,0,0,0,0,276.4301,317.0433,774.5027,0,1,0,0,0,3.826163E-09,1.354489E-08,2.198883E-08,1,1,0,0,0,1
392.2316,0,0,0,2.474403E-08,6.84539E-08,-6.431587E-08,1,1,0.07105281,0.7416701,-0.07957656,0.662227,0,0,0,0,276.4301,317.0433,774.5027,0,1,0,0,0,4.206556E-09,7.718882E-09,1.886983E-08,1,1,0,0,0,1
392.2825,0,0,0,3.01662E-08,8.060093E-08,-4.466862E-08,1,1,0.0710528,0.7416701,-0.07957655,0.662227,0,0,0,0,276.4301,317.0433,774.5027,0,1,0,0,0,5.422168E-09,1.214702E-08,1.964725E-08,1,1,0,0,0,1
392.332,0,0,0,3.060306E-08,9.16951E-08,-4.063402E-08,1,1,0.07105282,0.7416701,-0.07957657,0.662227,0,0,0,0,276.4301,317.0433,774.5027,0,1,0,0,0,4.368569E-10,1.109416E-08,4.034615E-09,1,1,0,0,0,1
392.3824,0,0,0,3.05214E-08,1.004382E-07,-4.635864E-08,1,1,0.0710528,0.7416701,-0.07957654,0.662227,0,0,0,0,281.4561,322.8077,788.5845,0,1,0,0,0,-8.1674E-11,8.743124E-09,-5.724608E-09,1,1,0,0,0,1
392.4319,0,0,0,2.943047E-08,1.126184E-07,-6.277598E-08,1,1,0.07105282,0.7416701,-0.07957657,0.662227,0,0,0,0,276.4301,317.0433,774.5027,0,1,0,0,0,-1.09093E-09,1.218017E-08,-1.641733E-08,1,1,0,0,0,1
392.4824,0,0,0,3.085605E-08,1.167447E-07,-5.8931E-08,1,1,0.0710528,0.7416701,-0.07957655,0.662227,0,0,0,0,281.4561,322.8077,788.5845,0,1,0,0,0,1.425575E-09,4.126297E-09,3.844983E-09,1,1,0,0,0,1
392.5319,0,0,0,2.787636E-08,1.184911E-07,-6.669838E-08,1,1,0.07105279,0.7416701,-0.07957653,0.662227,0,0,0,0,276.4301,317.0433,774.5027,0,1,0,0,0,-2.979694E-09,1.746428E-09,-7.767367E-09,1,1,0,0,0,1
392.5823,0,0,0,2.711394E-08,1.189117E-07,-5.752443E-08,1,1,0.07105279,0.7416701,-0.07957654,0.662227,0,0,0,0,281.4561,322.8077,788.5845,0,1,0,0,0,-7.624176E-10,4.206064E-10,9.17393E-09,1,1,0,0,0,1
392.6345,0,0,0,2.581223E-08,1.248491E-07,-4.496217E-08,1,1,0.07105279,0.7416701,-0.07957654,0.662227,0,0,0,0,266.3781,305.5144,746.339,0,1,0,0,0,-1.301712E-09,5.937483E-09,1.256224E-08,1,1,0,0,0,1
