2,3,Time5-Task0
Time,Translation X,Translation Y,Translation Z,Rotation X,Rotation Y,Rotation Z,Rotation W,Scalling,Camera X,Camera Y,Camera Z,Camera W,IsInCollision,CollisionForce X,CollisionForce Y,CollisionForce Z,Checkpoint0,Checkpoint1,Checkpoint2,User,Connected,Translation X,Translation Y,Translation Z,Rotation X,Rotation Y,Rotation Z,Rotation W,Scalling,Camera X,Camera Y,Camera Z,Camera W,User,Connected,Translation X,Translation Y,Translation Z,Rotation X,Rotation Y,Rotation Z,Rotation W,Scalling,Camera X,Camera Y,Camera Z,Camera W
50.13322,0,0,0,0,0,0,1,1,0.07105283,0.7416701,-0.07957658,0.662227,0,0,0,0,4.630626,5.383685,13.77833,0,1,-0.05291735,0.04960575,-0.02971919,0,0,0,1,1,0,0,0,1,1,1,0,0,0,-2.801829E-10,2.592281E-09,-3.570673E-10,1,1,0,0,0,1
50.18122,0,0,0,4.541647E-09,2.189079E-08,-6.672318E-08,1,1,0.07105283,0.7416701,-0.07957659,0.662227,0,0,0,0,220.1591,252.6846,618.8439,0,1,0,0,0,2.516727E-09,9.194731E-09,-3.504421E-08,1,1,0,0,0,1,1,1,0,0,0,2.305103E-09,1.010378E-08,-3.132189E-08,1,1,0,0,0,1
50.23121,0,0,0,1.326001E-08,5.500715E-08,-1.23911E-07,1,1,0.07105282,0.7416701,-0.07957657,0.662227,0,0,0,0,261.348,299.7461,732.2538,0,1,0,0,0,4.247801E-09,1.444064E-08,-2.680622E-08,1,1,0,0,0,1,1,1,0,0,0,4.470562E-09,1.867572E-08,-3.03816E-08,1,1,0,0,0,1
50.28064,0,0,0,2.048332E-08,7.323129E-08,-8.924071E-08,1,1,0.07105283,0.7416701,-0.07957658,0.662227,0,0,0,0,271.4041,311.2788,760.4208,0,1,0,0,0,3.431008E-09,8.700455E-09,1.844121E-08,1,1,0,0,0,1,1,1,0,0,0,3.792308E-09,9.523673E-09,1.622908E-08,1,1,0,0,0,1
50.33052,0,0,0,2.526888E-08,7.851034E-08,-1.393961E-07,1,1,0.07105283,0.7416701,-0.07957657,0.662227,0,0,0,0,271.4041,311.2788,760.4208,0,1,0,0,0,2.514382E-09,3.408954E-09,-2.158546E-08,1,1,0,0,0,1,1,1,0,0,0,2.271176E-09,1.870085E-09,-2.856989E-08,1,1,0,0,0,1
50.38078,0,0,0,2.972479E-08,9.285968E-08,-2.098607E-07,1,1,0.07105283,0.7416701,-0.07957657,0.662227,0,0,0,0,271.4041,311.2788,760.4208,0,1,0,0,0,2.641781E-09,6.73947E-09,-3.972282E-08,1,1,0,0,0,1,1,1,0,0,0,1.81412E-09,7.609859E-09,-3.074172E-08,1,1,0,0,0,1
50.43138,0,0,0,3.583269E-08,1.042459E-07,-1.948492E-07,1,1,0.07105283,0.7416701,-0.07957657,0.662227,0,0,0,0,276.4301,317.0433,774.5027,0,1,0,0,0,3.053952E-09,5.693106E-09,7.505724E-09,1,1,0,0,0,1,1,1,0,0,0,3.053952E-09,5.693106E-09,7.505724E-09,1,1,0,0,0,1
50.48064,0,0,0,4.260384E-08,1.285019E-07,-1.514823E-07,1,1,0.07105282,0.7416701,-0.07957657,0.662227,0,0,0,0,266.3781,305.5144,746.339,0,1,0,0,0,3.507851E-09,1.134363E-08,2.218677E-08,1,1,0,0,0,1,1,1,0,0,0,3.263305E-09,1.291232E-08,2.118024E-08,1,1,0,0,0,1
50.53053,0,0,0,5.129851E-08,1.481516E-07,-1.110546E-07,1,1,0.07105281,0.7416701,-0.07957656,0.662227,0,0,0,0,271.4041,311.2788,760.4208,0,1,0,0,0,4.524868E-09,9.920138E-09,1.867188E-08,1,1,0,0,0,1,1,1,0,0,0,4.16981E-09,9.729489E-09,2.175579E-08,1,1,0,0,0,1
50.58069,0,0,0,6.214285E-08,1.724457E-07,-7.176015E-08,1,1,0.0710528,0.7416701,-0.07957655,0.662227,0,0,0,0,271.4041,311.2788,760.4208,0,1,0,0,0,5.422168E-09,1.214702E-08,1.964725E-08,1,1,0,0,0,1,1,1,0,0,0,5.422168E-09,1.214702E-08,1.964725E-08,1,1,0,0,0,1
50.6307,0,0,0,6.424749E-08,1.981717E-07,-6.018177E-08,1,1,0.07105282,0.7416701,-0.07957657,0.662227,0,0,0,0,276.4301,317.0433,774.5027,0,1,0,0,0,8.053239E-10,1.318825E-08,3.91092E-09,1,1,0,0,0,1,1,1,0,0,0,1.299302E-09,1.253769E-08,7.667505E-09,1,1,0,0,0,1
