2,2,6-Task1
Time,Translation X,Translation Y,Translation Z,Rotation X,Rotation Y,Rotation Z,Rotation W,Scalling,Camera X,Camera Y,Camera Z,Camera W,IsInCollision,CollisionForce X,CollisionForce Y,CollisionForce Z,Checkpoint0,Checkpoint1,User,Connected,Translation X,Translation Y,Translation Z,Rotation X,Rotation Y,Rotation Z,Rotation W,Scalling,Camera X,Camera Y,Camera Z,Camera W,User,Connected,Translation X,Translation Y,Translation Z,Rotation X,Rotation Y,Rotation Z,Rotation W,Scalling,Camera X,Camera Y,Camera Z,Camera W
420.2405,0,0,0,0,0,0,1,1,0.07105283,0.7416701,-0.07957657,0.662227,1,0,0,0,292.7165,277.4232,0,1,0.126814,-0.07652649,0.1200048,1.10145E-10,5.411544E-09,-7.017531E-09,1,1,7.593942E-07,1.823769E-06,-1.430806E-07,1,1,1,0,0,0,0,0,0,1,1,0.04383995,0.1287552,-0.03072724,0.9902301
420.2906,0,0,0,6.25155E-09,1.757457E-08,2.508734E-08,1,1,0.07105282,0.7416701,-0.07957657,0.662227,1,0,0,0,251.3001,288.2211,0,1,0,0,0,3.153063E-09,9.518006E-09,1.33614E-08,1,1,0,0,0,1,1,1,0,0,0,3.098488E-09,8.056557E-09,1.172594E-08,1,1,0,0,0,1
420.3402,0,0,0,1.324191E-08,4.224978E-08,6.058451E-08,1,1,0.07105283,0.7416701,-0.07957657,0.662227,1,0,0,0,251.3001,288.2211,0,1,0,0,0,3.815031E-09,1.397547E-08,2.002566E-08,1,1,0,0,0,1,1,1,0,0,0,3.17533E-09,1.069973E-08,1.54715E-08,1,1,0,0,0,1
420.3907,0,0,0,2.252432E-08,5.086279E-08,1.548278E-08,1,1,0.07105283,0.7416701,-0.07957657,0.662227,1,0,0,0,281.4561,322.8077,0,1,0,0,0,4.678E-09,5.918934E-09,-2.304957E-08,1,1,0,0,0,1,1,1,0,0,0,4.604399E-09,2.694073E-09,-2.205217E-08,1,1,0,0,0,1
420.4403,0,0,0,2.926477E-08,6.608586E-08,1.617353E-09,1,1,0.07105281,0.7416701,-0.07957657,0.662227,1,0,0,0,276.4301,317.0433,0,1,0,0,0,3.453406E-09,7.6519E-09,-3.539474E-09,1,1,0,0,0,1,1,1,0,0,0,3.28704E-09,7.571157E-09,-1.032595E-08,1,1,0,0,0,1
420.4908,0,0,0,3.578496E-08,8.06627E-08,1.131583E-08,1,1,0.07105283,0.7416701,-0.07957659,0.662227,1,0,0,0,281.4561,322.8077,0,1,0,0,0,3.541524E-09,7.604704E-09,5.253533E-09,1,1,0,0,0,1,1,1,0,0,0,2.978666E-09,6.972138E-09,4.444942E-09,1,1,0,0,0,1
420.5403,0,0,0,4.259274E-08,1.181161E-07,-6.78581E-08,1,1,0.07105283,0.7416701,-0.07957658,0.662227,1,0,0,0,276.4301,317.0433,0,1,0,0,0,3.610589E-09,1.908257E-08,-4.113597E-08,1,1,0,0,0,1,1,1,0,0,0,3.19717E-09,1.837089E-08,-3.803795E-08,1,1,0,0,0,1
420.5902,0,0,0,4.878251E-08,1.343172E-07,-7.563191E-08,1,1,0.07105281,0.7416701,-0.07957657,0.662227,1,0,0,0,276.4301,317.0433,0,1,0,0,0,2.919266E-09,6.737178E-09,-7.926156E-09,1,1,0,0,0,1,1,1,0,0,0,3.270505E-09,9.463844E-09,1.523732E-10,1,1,0,0,0,1
420.6404,0,0,0,5.240305E-08,1.417367E-07,-4.595279E-08,1,1,0.07105282,0.7416701,-0.07957657,0.662227,1,0,0,0,241.2481,276.6922,0,1,0,0,0,2.095287E-09,4.661447E-09,1.628807E-08,1,1,0,0,0,1,1,1,0,0,0,1.525262E-09,2.757997E-09,1.339105E-08,1,1,0,0,0,1
420.6902,0,0,0,6.057351E-08,1.591548E-07,-2.253013E-08,1,1,0.07105283,0.7416701,-0.07957657,0.662227,1,0,0,0,261.3521,299.75,0,1,0,0,0,4.656551E-09,1.034689E-08,1.395985E-08,1,1,0,0,0,1,1,1,0,0,0,3.513907E-09,7.071146E-09,9.462799E-09,1,1,0,0,0,1
