2,3,Time1-Task0
Time,Translation X,Translation Y,Translation Z,Rotation X,Rotation Y,Rotation Z,Rotation W,Scalling,Camera X,Camera Y,Camera Z,Camera W,IsInCollision,CollisionForce X,CollisionForce Y,CollisionForce Z,Checkpoint0,Checkpoint1,Checkpoint2,User,Connected,Translation X,Translation Y,Translation Z,Rotation X,Rotation Y,Rotation Z,Rotation W,Scalling,Camera X,Camera Y,Camera Z,Camera W,User,Connected,Translation X,Translation Y,Translation Z,Rotation X,Rotation Y,Rotation Z,Rotation W,Scalling,Camera X,Camera Y,Camera Z,Camera W
331.3654,0,0,0,0,0,0,1,1,0.07105283,0.7416701,-0.07957658,0.662227,0,0,0,0,13.89188,16.15105,41.335,0,1,-0.2233186,-0.2966744,-1.10059,0,0,0,1,1,0,0,0,1,1,1,-1.1802,-0.6215688,-0.2727914,0,0,0,1,1,0,0,0,1
331.4634,0,0,0,-5.702072E-10,7.023508E-08,-7.722978E-08,1,1,0.07105283,0.7416701,-0.07957659,0.662227,0,0,0,0,155.3193,178.2276,436.1632,0,1,0,0,0,-2.851036E-10,3.511754E-08,-3.861488E-08,1,1,0,0,0,1,1,1,0,0,0,-2.851036E-10,3.511754E-08,-3.861488E-08,1,1,0,0,0,1
331.5124,0,0,0,7.86952E-09,1.002726E-07,-1.352399E-07,1,1,0.07105282,0.7416701,-0.07957657,0.662227,0,0,0,0,196.0112,224.8097,549.1909,0,1,0,0,0,4.459424E-09,1.353159E-08,-3.052854E-08,1,1,0,0,0,1,1,1,0,0,0,3.980303E-09,1.650592E-08,-2.748153E-08,1,1,0,0,0,1
331.5627,0,0,0,1.533738E-08,1.16928E-07,-9.956307E-08,1,1,0.07105283,0.7416701,-0.07957658,0.662227,0,0,0,0,246.2741,282.4567,690.0116,0,1,0,0,0,3.993866E-09,9.333023E-09,1.92498E-08,1,1,0,0,0,1,1,1,0,0,0,3.473996E-09,7.322415E-09,1.642703E-08,1,1,0,0,0,1
331.6129,0,0,0,2.104955E-08,1.253466E-07,-1.45928E-07,1,1,0.07105283,0.7416701,-0.07957657,0.662227,0,0,0,0,256.3261,293.9855,718.1753,0,1,0,0,0,2.514382E-09,3.408954E-09,-2.158546E-08,1,1,0,0,0,1,1,1,0,0,0,3.197786E-09,5.009623E-09,-2.47794E-08,1,1,0,0,0,1
331.6628,0,0,0,2.591889E-08,1.422584E-07,-2.194906E-07,1,1,0.07105283,0.7416701,-0.07957657,0.662227,0,0,0,0,251.3001,288.2211,704.0934,0,1,0,0,0,2.641781E-09,6.73947E-09,-3.972282E-08,1,1,0,0,0,1,1,1,0,0,0,2.227539E-09,1.017229E-08,-3.383974E-08,1,1,0,0,0,1
331.7128,0,0,0,3.20268E-08,1.536447E-07,-2.044791E-07,1,1,0.07105283,0.7416701,-0.07957657,0.662227,0,0,0,0,256.3261,293.9855,718.1753,0,1,0,0,0,3.053952E-09,5.693106E-09,7.505724E-09,1,1,0,0,0,1,1,1,0,0,0,3.053952E-09,5.693106E-09,7.505724E-09,1,1,0,0,0,1
331.7625,0,0,0,3.956236E-08,1.783426E-07,-1.572828E-07,1,1,0.07105282,0.7416701,-0.07957657,0.662227,0,0,0,0,261.3521,299.75,732.2571,0,1,0,0,0,4.027721E-09,1.335424E-08,2.500954E-08,1,1,0,0,0,1,1,1,0,0,0,3.507851E-09,1.134363E-08,2.218677E-08,1,1,0,0,0,1
331.8127,0,0,0,4.942818E-08,2.030823E-07,-1.093762E-07,1,1,0.07105281,0.7416701,-0.07957656,0.662227,0,0,0,0,256.3261,293.9855,718.1753,0,1,0,0,0,4.749596E-09,1.237266E-08,2.544425E-08,1,1,0,0,0,1,1,1,0,0,0,5.116237E-09,1.2367E-08,2.246236E-08,1,1,0,0,0,1
331.8629,0,0,0,6.025559E-08,2.253658E-07,-7.296162E-08,1,1,0.0710528,0.7416701,-0.07957655,0.662227,0,0,0,0,261.3521,299.75,732.2571,0,1,0,0,0,5.422168E-09,1.214702E-08,1.964725E-08,1,1,0,0,0,1,1,1,0,0,0,5.40524E-09,1.013641E-08,1.676738E-08,1,1,0,0,0,1
