Time,Translation X,Translation Y,Translation Z,Rotation X,Rotation Y,Rotation Z,Rotation W,Scalling,Camera X,Camera Y,Camera Z,Camera W,IsInCollision,CollisionForce X,CollisionForce Y,CollisionForce Z,Checkpoint0,Checkpoint1,Checkpoint2,Checkpoint3,Checkpoint4,Checkpoint5,Checkpoint6,Checkpoint7,User,Connected,Translation X,Translation Y,Translation Z,Rotation X,Rotation Y,Rotation Z,Rotation W,Scalling,Camera X,Camera Y,Camera Z,Camera W,User,Connected,Translation X,Translation Y,Translation Z,Rotation X,Rotation Y,Rotation Z,Rotation W,Scalling,Camera X,Camera Y,Camera Z,Camera W,User,Connected,Translation X,Translation Y,Translation Z,Rotation X,Rotation Y,Rotation Z,Rotation W,Scalling,Camera X,Camera Y,Camera Z,Camera W
473.9626,3.742647,3.439368,1.330627,-0.1980532,-0.1306237,-0.721705,0.6502726,0.370235,-0.02718521,0.1123534,0.003074979,0.9932916,0,0,0,0,97.57517,75.51912,40.4911,33.55818,45.33052,59.6251,78.28734,84.93462,0,1,0,0,0,7.150179E-10,-1.045068E-08,-6.38623E-10,1,1,0,0,0,1,1,1,0,0,0,7.150179E-10,-1.045068E-08,-6.38623E-10,1,1,0,0,0,1,2,1,0,0,0,-3.384651E-10,8.011714E-10,-6.718182E-10,1,1,0,0,0,1
474.0137,3.741879,3.439104,1.33098,-0.1980532,-0.1306237,-0.7217053,0.6502723,0.370235,-0.02530553,0.1064779,0.002710773,0.9939893,0,0,0,0,103.2121,79.80917,42.6597,35.54474,47.88355,63.06059,82.84656,90.02108,0,1,0,0,0,5.393575E-09,-3.219388E-08,2.9793E-10,0.9999999,1,0,0,0,1,1,1,0,0,0,3.715373E-09,-2.032996E-08,1.170238E-10,0.9999999,1,0,0,0,1,2,1,0,0,0,5.185569E-09,-2.769847E-08,3.562349E-10,0.9999999,1,0,0,0,1
474.0631,3.741749,3.439059,1.331039,-0.1980532,-0.1306238,-0.7217052,0.6502723,0.370235,-0.02384556,0.1019278,0.002443959,0.994503,0,0,0,0,103.1502,79.74529,42.59632,35.53452,47.84041,63.02087,82.80507,90.00726,0,1,0,0,0,-3.183373E-09,5.160898E-10,1.722705E-09,1,1,0,0,0,1,1,1,0,0,0,-3.284688E-09,2.234947E-09,1.284874E-09,1,1,0,0,0,1,2,1,0,0,0,-3.183373E-09,5.160898E-10,1.722705E-09,1,1,0,0,0,1
474.1128,3.741728,3.439052,1.331049,-0.1980532,-0.1306239,-0.7217053,0.6502722,0.370235,-0.0227132,0.09840607,0.002246609,0.9948846,0,0,0,0,103.137,79.73174,42.58288,35.53233,47.83125,63.01243,82.79623,90.00428,0,1,0,0,0,3.487857E-09,1.117465E-08,-1.44821E-09,1,1,0,0,0,1,1,1,0,0,0,6.943226E-09,5.671891E-09,-2.078444E-09,1,1,0,0,0,1,2,1,0,0,0,5.600151E-09,7.542816E-09,-1.835721E-09,1,1,0,0,0,1
474.1635,3.741724,3.43905,1.331051,-0.1980533,-0.130624,-0.7217053,0.6502721,0.370235,-0.0218353,0.09568022,0.002099345,0.9951704,0,0,0,0,103.1343,79.72897,42.58014,35.53189,47.82938,63.01067,82.79444,90.00369,0,1,0,0,0,-2.238085E-09,5.084097E-09,5.423647E-10,1,1,0,0,0,1,1,1,0,0,0,-1.936939E-09,1.155653E-08,3.214926E-10,1,1,0,0,0,1,2,1,0,0,0,-2.550603E-09,1.527899E-08,3.799595E-10,1,1,0,0,0,1
474.2129,3.705702,3.435076,1.340617,-0.1980533,-0.1306241,-0.7217052,0.6502721,0.370235,-0.02112414,0.09328369,0.001979617,0.9954135,0,0,0,0,100.1699,77.43308,41.34597,34.51889,46.44588,61.1969,80.41549,87.43282,0,1,0,0,0,-7.33732E-11,2.072968E-08,-4.311735E-10,1,1,0,0,0,1,1,1,0,0,0,-9.158834E-10,1.980495E-08,-3.32906E-10,1,1,0,0,0,1,2,1,-0.07062977,-0.007791958,0.01875658,-9.158834E-10,1.980495E-08,-3.32906E-10,1,1,0,0,0,1
474.2639,3.535052,3.410517,1.386893,-0.1980534,-0.1306242,-0.7217057,0.6502716,0.370235,-0.02022233,0.08861318,0.001799416,0.9958592,0,0,0,0,96.46432,74.39239,39.27153,33.43563,44.37368,58.83556,77.48338,84.91185,0,1,0,0,0,1.769472E-09,-1.178161E-08,-5.267045E-11,0.9999999,1,0,0,0,1,1,1,0,0,0,1.269795E-09,-1.272968E-08,9.233981E-11,0.9999999,1,0,0,0,1,2,1,-0.2175328,-0.03506137,0.05919147,1.863517E-09,-1.459307E-08,1.132627E-10,0.9999999,1,0,0,0,1
474.3134,3.269484,3.381511,1.461473,-0.1980533,-0.1306244,-0.7217054,0.6502718,0.370235,-0.01876477,0.07935175,0.001493994,0.9966689,0,0,0,0,94.03085,72.16058,35.9884,32.86557,42.42883,57.23018,75.54063,85.19938,0,1,0,0,0,-0.000000002,0.000000012,-6.025006E-10,0.9999999,1,0,0,0,1,1,1,0,0,0,-4.825848E-09,1.319501E-08,-2.037395E-10,0.9999999,1,0,0,0,1,2,1,-0.278861,-0.0197342,0.07972173,-3.619281E-09,2.157647E-08,-5.158131E-10,0.9999999,1,0,0,0,1
474.3647,3.074093,3.386999,1.519039,-0.1980534,-0.1306245,-0.7217054,0.6502717,0.370235,-0.01747883,0.06709684,0.001175604,0.9975927,0,0,0,0,92.08257,70.34976,34.6234,33.92746,42.34821,56.12397,74.28231,86.54848,0,1,0,0,0,7.78745E-10,7.85366E-10,3.713799E-10,1,1,0,0,0,1,1,1,0,0,0,-1.325024E-09,5.24606E-09,3.949703E-10,1,1,0,0,0,1,2,1,-0.1701672,0.01599522,0.05106252,-4.438607E-10,8.789324E-09,2.933001E-10,1,1,0,0,0,1
474.4135,2.972992,3.429616,1.553154,-0.1980534,-0.1306246,-0.7217054,0.6502718,0.370235,-0.01704448,0.05443575,0.0009293428,0.9983714,0,0,0,0,80.65535,61.52391,31.94319,32.40407,38.34009,50.02829,65.73493,78.19521,0,1,0,0,0,-2.692727E-09,4.579405E-09,2.93498E-10,1,1,0,0,0,1,1,1,0,0,0,-2.692727E-09,6.34516E-09,2.299003E-10,1,1,0,0,0,1,2,1,-0.05927321,0.06145674,0.02445359,-2.692727E-09,6.34516E-09,2.299003E-10,1,1,0,0,0,1
