Time,Translation X,Translation Y,Translation Z,Rotation X,Rotation Y,Rotation Z,Rotation W,Scalling,Camera X,Camera Y,Camera Z,Camera W,IsInCollision,CollisionForce X,CollisionForce Y,CollisionForce Z,Checkpoint0,Checkpoint1,Checkpoint2,Checkpoint3,Checkpoint4,Checkpoint5,Checkpoint6,Checkpoint7,User,Connected,Translation X,Translation Y,Translation Z,Rotation X,Rotation Y,Rotation Z,Rotation W,Scalling,Camera X,Camera Y,Camera Z,Camera W,User,Connected,Translation X,Translation Y,Translation Z,Rotation X,Rotation Y,Rotation Z,Rotation W,Scalling,Camera X,Camera Y,Camera Z,Camera W
811.4318,0,0,0,0,0,0,1,1,0.05732334,0.7368126,-0.06297264,0.6707128,0,0,0,0,10118.15,9908.283,9183.002,8672.598,9014.081,8893.937,9129.166,7668.126,0,1,0.3747338,-0.04593046,-0.1892292,-5.132785E-08,3.03627E-07,3.481668E-07,1,1,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,1
811.4814,0,0,0,1.110352E-09,-1.66358E-08,3.600108E-09,1,1,0.05732334,0.7368127,-0.06297264,0.6707128,0,0,0,0,213.9017,256.7344,248.9309,238.332,217.0779,201.7919,189.8734,217.3528,0,1,0,0,0,4.526771E-10,-6.808535E-09,3.29841E-09,1,1,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,1
811.5317,0.0005379238,0.001717337,-3.728492E-05,0.000000004,-2.754319E-08,-2.010423E-08,1,1,0.05731599,0.7368132,-0.06296456,0.6707135,0,0,0,0,218.4528,262.1968,254.2273,243.4028,221.6966,206.0854,193.9133,221.9773,0,1,0,0,0,1.483225E-09,-4.881094E-09,-7.086328E-09,1,1,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,1
811.5814,0.002943541,0.009401471,-0.0001985675,3.074875E-09,-3.942441E-08,-1.309232E-09,1,1,0.05719207,0.7368239,-0.06282824,0.6707252,0,0,0,0,218.3965,262.1177,254.1308,243.3009,221.587,205.9841,193.8243,221.9048,0,1,0,0,0,-4.368419E-10,-5.835492E-09,7.470654E-09,1,1,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,1
811.6321,0.0034769,0.01110532,-0.0002341015,-2.938125E-10,-4.386892E-08,-0.000000012,1,1,0.05703817,0.736837,-0.06265893,0.6707397,0,0,0,0,222.8261,267.4095,259.2191,248.1515,225.9691,210.0587,197.672,226.3731,0,1,0,0,0,-1.478735E-09,-7.774146E-10,-8.726767E-09,1,1,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,1
811.682,0.003566541,0.01139169,-0.0002400737,1.60964E-09,-3.850971E-08,-4.622935E-08,1,1,0.05691534,0.7368475,-0.06252381,0.6707513,0,0,0,0,231.8688,278.2505,269.7096,258.185,235.0901,218.538,205.6573,235.5452,0,1,0,0,0,4.0571E-10,3.359612E-09,-1.721596E-08,1,1,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,1
811.7322,0.004471461,0.01307032,0.001499504,1.240008E-09,-3.146522E-08,-1.537739E-08,1,1,0.05681638,0.7368495,-0.06241375,0.6707677,0,0,0,0,245.4935,294.5976,285.5499,273.3458,248.8901,231.3668,217.7316,249.382,0,1,0,0,0,5.636059E-10,7.720643E-09,1.615362E-08,0.9999999,1,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,1
811.7819,0.00991027,0.02091534,0.01489317,1.608159E-10,-1.341597E-08,-3.079014E-08,1,1,0.05665029,0.736716,-0.0622033,0.6709479,0,0,0,0,227.1206,272.5756,264.2044,252.9168,230.2813,214.0578,201.4298,230.7647,0,1,0,0,0,-4.534947E-10,7.936254E-09,-7.551014E-09,1,1,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,1
811.8313,0.01238084,0.02392222,0.02169139,2.249953E-10,-0.000000012,-3.491546E-08,1,1,0.05645393,0.7364442,-0.06193346,0.6712877,0,0,0,0,222.0196,266.553,258.3912,247.3771,225.2316,209.329,196.9294,225.7543,0,1,0,0,0,1.196207E-10,5.314476E-10,-1.928302E-09,1,1,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,1
811.882,0.01279607,0.02442759,0.02283397,1.910771E-09,-1.104333E-09,-1.363435E-08,1,1,0.05628818,0.7361975,-0.06170284,0.6715934,0,0,0,0,230.7132,277.0616,268.5997,257.1702,234.1482,217.592,204.6664,234.7165,0,1,0,0,0,0.000000001,0.000000007,8.589052E-09,1,1,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,1
