4,8,11-Task4
Time,Translation X,Translation Y,Translation Z,Rotation X,Rotation Y,Rotation Z,Rotation W,Scalling,Camera X,Camera Y,Camera Z,Camera W,IsInCollision,CollisionForce X,CollisionForce Y,CollisionForce Z,Checkpoint0,Checkpoint1,Checkpoint2,Checkpoint3,Checkpoint4,Checkpoint5,Checkpoint6,Checkpoint7,User,Connected,Translation X,Translation Y,Translation Z,Rotation X,Rotation Y,Rotation Z,Rotation W,Scalling,Camera X,Camera Y,Camera Z,Camera W,User,Connected,Translation X,Translation Y,Translation Z,Rotation X,Rotation Y,Rotation Z,Rotation W,Scalling,Camera X,Camera Y,Camera Z,Camera W,User,Connected,Translation X,Translation Y,Translation Z,Rotation X,Rotation Y,Rotation Z,Rotation W,Scalling,Camera X,Camera Y,Camera Z,Camera W,User,Connected,Translation X,Translation Y,Translation Z,Rotation X,Rotation Y,Rotation Z,Rotation W,Scalling,Camera X,Camera Y,Camera Z,Camera W
20.41159,0,0,0,0,0,0,1,1,0.05732334,0.7368126,-0.06297264,0.6707128,0,0,0,0,31.85769,38.23705,37.07481,35.49626,32.33074,30.05412,28.27902,32.37168,0,1,0,0,0,0,0,0,1,1,0,0,0,1,1,1,0,0,0,0,0,0,1,1,0,0,0,1,2,1,0,0,0,5.680623E-11,-1.144247E-09,2.485806E-09,1,1,0,0,0,1,3,1,-0.08365759,0.1224401,-0.05139971,5.680623E-11,-1.144247E-09,2.485806E-09,1,1,0,0,0,1
20.46011,0,0,0,1.733448E-09,-2.687707E-08,1.435594E-08,1,1,0.05732334,0.7368127,-0.06297264,0.6707128,0,0,0,0,100.1242,120.1735,116.5208,111.5596,101.6109,94.45583,88.87695,101.7396,0,1,0,0,0,6.169901E-10,-8.997704E-09,-2.01284E-09,1,1,0,0,0,1,1,1,0,0,0,4.72108E-10,-7.400276E-09,7.813275E-09,1,1,0,0,0,1,2,1,0,0,0,2.27737E-10,-3.887525E-09,5.861742E-09,1,1,0,0,0,1,3,1,0,0,0,3.029997E-10,-4.303074E-09,-2.277858E-09,1,1,0,0,0,1
20.50977,0,0,0,7.184473E-09,-3.792E-08,-1.002051E-08,1,1,0.05732334,0.7368126,-0.06297264,0.6707129,0,0,0,0,127.4308,152.9481,148.2992,141.985,129.3229,120.2165,113.1161,129.4867,0,1,0,0,0,4.802264E-10,-7.14596E-10,-5.123907E-09,1,1,0,0,0,1,1,1,0,0,0,1.071269E-09,-2.751169E-09,-1.370128E-08,1,1,0,0,0,1,2,1,0,0,0,1.613989E-09,-3.342911E-09,-3.252797E-09,1,1,0,0,0,1,3,1,0,0,0,2.285538E-09,-4.234278E-09,-2.298479E-09,1,1,0,0,0,1
20.55961,0,0,0,1.307609E-08,-5.122572E-08,-1.182857E-07,1,1,0.05732333,0.7368127,-0.06297264,0.6707128,0,0,0,0,127.4308,152.9481,148.2992,141.985,129.3229,120.2165,113.1161,129.4867,0,1,0,0,0,8.003774E-10,-1.190993E-09,-8.539845E-09,1,1,0,0,0,1,1,1,0,0,0,1.190472E-09,-2.100089E-09,-4.713958E-08,1,1,0,0,0,1,2,1,0,0,0,2.358882E-09,-7.499615E-09,-9.816312E-09,1,1,0,0,0,1,3,1,0,0,0,1.541871E-09,-2.515059E-09,-4.276933E-08,1,1,0,0,0,1
20.60955,0,0,0,1.877841E-08,-7.817046E-08,-1.787016E-07,1,1,0.05732332,0.7368126,-0.06297261,0.6707129,0,0,0,0,131.9819,158.4106,153.5956,147.0559,133.9416,124.51,117.156,134.1113,0,1,0,0,0,2.726845E-09,-9.293371E-09,-3.100517E-08,1,1,0,0,0,1,1,1,0,0,0,8.059387E-10,-6.434986E-09,-1.050954E-08,1,1,0,0,0,1,2,1,0,0,0,9.660142E-10,-6.673185E-09,-1.221751E-08,1,1,0,0,0,1,3,1,0,0,0,1.27272E-09,-1.291427E-09,-9.872443E-09,1,1,0,0,0,1
20.66081,0,0,0,1.787395E-08,-2.310378E-08,-3.019495E-07,1,1,0.0573233,0.7368126,-0.0629726,0.6707128,0,0,0,0,141.0841,169.3354,164.1884,157.1977,143.179,133.0969,125.2357,143.3603,0,1,0,0,0,1.210999E-10,1.470234E-08,-3.064148E-08,1,1,0,0,0,1,1,1,0,0,0,-4.056277E-10,1.456442E-08,-3.053247E-08,1,1,0,0,0,1,2,1,0,0,0,-4.220675E-10,1.047352E-08,-2.777239E-08,1,1,0,0,0,1,3,1,0,0,0,-2.670854E-10,1.207457E-08,-3.11126E-08,1,1,0,0,0,1
20.71147,0,0,0,2.035289E-08,5.530906E-08,-4.250313E-07,1,1,0.0573233,0.7368126,-0.06297259,0.6707128,0,0,0,0,131.9819,158.4106,153.5957,147.0559,133.9416,124.51,117.156,134.1113,0,1,0,0,0,6.009782E-10,1.891179E-08,-3.088077E-08,1,1,0,0,0,1,1,1,0,0,0,6.76012E-10,2.167747E-08,-3.04396E-08,1,1,0,0,0,1,2,1,0,0,0,6.009782E-10,1.891179E-08,-3.088077E-08,1,1,0,0,0,1,3,1,0,0,0,6.009782E-10,1.891179E-08,-3.088077E-08,1,1,0,0,0,1
20.76094,0,0,0,1.796115E-08,1.084545E-07,-4.824622E-07,1,1,0.05732327,0.7368125,-0.06297256,0.6707129,0,0,0,0,127.4308,152.9481,148.2992,141.985,129.3229,120.2165,113.1161,129.4867,0,1,0,0,0,-4.846533E-10,1.382468E-08,-1.632956E-08,1,1,0,0,0,1,1,1,0,0,0,-7.112275E-10,1.274802E-08,-1.238586E-08,1,1,0,0,0,1,2,1,0,0,0,-7.112275E-10,1.274802E-08,-1.238586E-08,1,1,0,0,0,1,3,1,0,0,0,-4.846533E-10,1.382468E-08,-1.632956E-08,1,1,0,0,0,1
20.80955,0,0,0,7.99234E-09,1.18101E-07,-5.834403E-07,1,1,0.05732327,0.7368126,-0.06297256,0.6707129,0,0,0,0,136.533,163.873,158.892,152.1268,138.5603,128.8034,121.1959,138.7358,0,1,0,0,0,-2.90092E-09,3.250873E-09,-2.66428E-08,1,1,0,0,0,1,1,1,0,0,0,-2.083482E-09,1.572435E-09,-2.384614E-08,1,1,0,0,0,1,2,1,0,0,0,-2.083482E-09,1.572435E-09,-2.384614E-08,1,1,0,0,0,1,3,1,0,0,0,-2.90092E-09,3.250873E-09,-2.66428E-08,1,1,0,0,0,1
20.86096,0,0,0,-1.93375E-09,1.120389E-07,-7.495821E-07,1,1,0.05732325,0.7368126,-0.06297253,0.6707129,0,0,0,0,145.6352,174.7979,169.4849,162.2686,147.7977,137.3903,129.2756,147.9848,0,1,0,0,0,-1.961789E-09,-8.967737E-10,-3.877467E-08,1,1,0,0,0,1,1,1,0,0,0,-3.013245E-09,-7.714782E-10,-4.230942E-08,1,1,0,0,0,1,2,1,0,0,0,-3.013245E-09,-7.714782E-10,-4.230942E-08,1,1,0,0,0,1,3,1,0,0,0,-1.937839E-09,-3.622334E-09,-4.274824E-08,1,1,0,0,0,1
