2,1,13-Task2
Time,Translation X,Translation Y,Translation Z,Rotation X,Rotation Y,Rotation Z,Rotation W,Scalling,Camera X,Camera Y,Camera Z,Camera W,IsInCollision,CollisionForce X,CollisionForce Y,CollisionForce Z,Checkpoint0,User,Connected,Translation X,Translation Y,Translation Z,Rotation X,Rotation Y,Rotation Z,Rotation W,Scalling,Camera X,Camera Y,Camera Z,Camera W,User,Connected,Translation X,Translation Y,Translation Z,Rotation X,Rotation Y,Rotation Z,Rotation W,Scalling,Camera X,Camera Y,Camera Z,Camera W
487.6893,0,0,0,0,0,0,1,1,0.07105283,0.7416701,-0.07957658,0.662227,0,0,0,0,7792.231,0,1,0,0,0,5.42933E-09,7.844555E-09,-2.794816E-07,1,1,0,0,0,1,1,1,0.318637,-0.0003189677,-0.1178189,5.621909E-09,8.390431E-09,-2.888806E-07,1,1,0,0,0,1
487.7399,0,0,0,2.585799E-09,2.584445E-08,-5.807398E-08,1,1,0.07105283,0.7416701,-0.07957659,0.662227,0,0,0,0,213.9073,0,1,0,0,0,1.25448E-09,1.311854E-08,-2.913596E-08,1,1,0,0,0,1,1,1,0,0,0,1.331319E-09,1.272591E-08,-2.893801E-08,1,1,0,0,0,1
487.79,0,0,0,1.195017E-08,6.137779E-08,-1.262818E-07,1,1,0.07105282,0.7416701,-0.07957657,0.662227,0,0,0,0,213.9073,0,1,0,0,0,4.682184E-09,1.776667E-08,-3.410392E-08,1,1,0,0,0,1,1,1,0,0,0,4.682184E-09,1.776667E-08,-3.410392E-08,1,1,0,0,0,1
487.84,0,0,0,1.941803E-08,7.803324E-08,-9.060503E-08,1,1,0.07105283,0.7416701,-0.07957658,0.662227,0,0,0,0,224.0934,0,1,0,0,0,3.993866E-09,9.333023E-09,1.92498E-08,1,1,0,0,0,1,1,1,0,0,0,3.473996E-09,7.322415E-09,1.642703E-08,1,1,0,0,0,1
487.8893,0,0,0,2.562045E-08,9.047239E-08,-1.3987E-07,1,1,0.07105283,0.7416701,-0.07957657,0.662227,0,0,0,0,229.1864,0,1,0,0,0,3.274625E-09,6.467749E-09,-2.458146E-08,1,1,0,0,0,1,1,1,0,0,0,2.9278E-09,5.971386E-09,-2.468348E-08,1,1,0,0,0,1
487.9398,0,0,0,3.07014E-08,1.064751E-07,-2.171549E-07,1,1,0.07105283,0.7416701,-0.07957657,0.662227,0,0,0,0,244.4655,0,1,0,0,0,2.439162E-09,9.263241E-09,-3.756205E-08,1,1,0,0,0,1,1,1,0,0,0,2.641781E-09,6.73947E-09,-3.972282E-08,1,1,0,0,0,1
487.9892,0,0,0,3.737217E-08,1.184939E-07,-2.013349E-07,1,1,0.07105283,0.7416701,-0.07957657,0.662227,0,0,0,0,239.3725,0,1,0,0,0,3.053952E-09,5.693106E-09,7.505724E-09,1,1,0,0,0,1,1,1,0,0,0,3.616811E-09,6.325674E-09,8.314314E-09,1,1,0,0,0,1
488.0399,0,0,0,4.440479E-08,1.431918E-07,-1.540815E-07,1,1,0.07105282,0.7416701,-0.07957657,0.662227,0,0,0,0,244.4655,0,1,0,0,0,3.507851E-09,1.134363E-08,2.218677E-08,1,1,0,0,0,1,1,1,0,0,0,3.524778E-09,1.335424E-08,2.506664E-08,1,1,0,0,0,1
488.0898,0,0,0,5.390396E-08,1.679372E-07,-1.03193E-07,1,1,0.07105281,0.7416701,-0.07957656,0.662227,0,0,0,0,239.3725,0,1,0,0,0,4.749596E-09,1.237266E-08,2.544425E-08,1,1,0,0,0,1,1,1,0,0,0,4.749596E-09,1.237266E-08,2.544425E-08,1,1,0,0,0,1
488.14,0,0,0,6.530581E-08,1.90657E-07,-6.586774E-08,1,1,0.0710528,0.7416701,-0.07957655,0.662227,0,0,0,0,280.1167,0,1,0,0,0,5.40524E-09,1.013641E-08,1.676738E-08,1,1,0,0,0,1,1,1,0,0,0,5.996609E-09,1.258327E-08,2.055786E-08,1,1,0,0,0,1
488.1895,0,0,0,6.730344E-08,2.147307E-07,-5.027925E-08,1,1,0.07105282,0.7416701,-0.07957657,0.662227,0,0,0,0,280.1167,0,1,0,0,0,4.368569E-10,1.109416E-08,4.034615E-09,1,1,0,0,0,1,1,1,0,0,0,1.560775E-09,1.297961E-08,1.155391E-08,1,1,0,0,0,1
488.2399,0,0,0,6.827288E-08,2.31168E-07,-5.818201E-08,1,1,0.0710528,0.7416701,-0.07957654,0.662227,0,0,0,0,280.1167,0,1,0,0,0,-7.725803E-11,7.275926E-09,-7.711018E-09,1,1,0,0,0,1,1,1,0,0,0,1.04666E-09,9.161377E-09,-1.9172E-10,1,1,0,0,0,1
488.2897,0,0,0,6.609107E-08,2.555284E-07,-9.101672E-08,1,1,0.07105282,0.7416701,-0.07957657,0.662227,0,0,0,0,280.1167,0,1,0,0,0,-1.09093E-09,1.218017E-08,-1.641733E-08,1,1,0,0,0,1,1,1,0,0,0,-1.09093E-09,1.218017E-08,-1.641733E-08,1,1,0,0,0,1
488.3397,0,0,0,7.044347E-08,2.648263E-07,-7.990399E-08,1,1,0.0710528,0.7416701,-0.07957655,0.662227,0,0,0,0,224.0934,0,1,0,0,0,2.553909E-09,4.54455E-09,9.377872E-09,1,1,0,0,0,1,1,1,0,0,0,1.798458E-09,4.753199E-09,1.734879E-09,1,1,0,0,0,1
488.3898,0,0,0,6.394065E-08,2.680057E-07,-9.260956E-08,1,1,0.07105279,0.7416701,-0.07957653,0.662227,0,0,0,0,224.0934,0,1,0,0,0,-3.251432E-09,1.58966E-09,-6.352758E-09,1,1,0,0,0,1,1,1,0,0,0,-3.251432E-09,1.58966E-09,-6.352758E-09,1,1,0,0,0,1
488.4399,0,0,0,6.418521E-08,2.72834E-07,-8.221347E-08,1,1,0.07105279,0.7416701,-0.07957654,0.662227,0,0,0,0,224.0934,0,1,0,0,0,1.222667E-10,2.414128E-09,5.198044E-09,1,1,0,0,0,1,1,1,0,0,0,1.222667E-10,2.414128E-09,5.198044E-09,1,1,0,0,0,1
