Time;Translation X;Translation Y;Translation Z;Rotation X;Rotation Y;Rotation Z;Rotation W;Scalling;Camera X;Camera Y;Camera Z;Camera W;IsInCollision;CollisionForce X;CollisionForce Y;CollisionForce Z;Checkpoint0;Checkpoint1;Checkpoint2;Checkpoint3;Checkpoint4;Checkpoint5;Checkpoint6;Checkpoint7;User;Connected;Translation X;Translation Y;Translation Z;Rotation X;Rotation Y;Rotation Z;Rotation W;Scalling;Camera X;Camera Y;Camera Z;Camera W;User;Connected;Translation X;Translation Y;Translation Z;Rotation X;Rotation Y;Rotation Z;Rotation W;Scalling;Camera X;Camera Y;Camera Z;Camera W
632,3586;0,1362985;1,42609;2,01343;-0,1101956;0,7718401;-0,02166448;0,6258198;0,2803373;0,01470169;0,5491498;-0,009662543;0,8355389;0;0;0;0;100,868;120,0207;119,2339;128,3219;121,0846;115,2238;110,2789;139,7596;0;1;0;0;0;-1,58154E-10;-4,3428E-09;1,44748E-09;1;1;0;0;0;1;1;1;0;0;0;7,15872E-10;1,40249E-08;8,41576E-10;1;1;0;0;0;1
632,4095;0,1341915;1,420168;2,023043;-0,1101957;0,7718405;-0,02166442;0,6258194;0,2803373;0,01477831;0,5490208;-0,009709657;0,8356217;0;0;0;0;118,1557;140,598;139,6862;150,3396;141,8693;135,0016;129,2042;163,7335;0;1;0;0;0;-2,17376E-09;-1,02772E-08;7,30681E-09;1;1;0;0;0;1;1;1;-0,003207024;-0,009012517;0,01463103;-9,79674E-10;-1,61428E-08;2,6166E-09;1;1;0;0;0;1
632,4589;0,1262741;1,357499;2,055373;-0,1101957;0,7718403;-0,02166447;0,6258196;0,2803373;0,01562596;0,5484186;-0,01025074;0,8359951;0;0;0;0;118,0547;140,6743;139,9729;150,7419;142,3849;135,447;129,5147;163,9406;0;1;0;0;0;-4,3553E-10;-1,68864E-09;-2,2738E-09;1;1;0;0;0;1;1;1;-0,009360773;-0,08116129;0,03750359;-3,8124E-10;-4,83121E-09;-2,844E-09;1;1;0;0;0;1
632,5099;0,1148292;1,264825;2,099121;-0,1101957;0,7718402;-0,02166453;0,6258197;0,2803373;0,01773805;0,5472457;-0,01160157;0,8367036;0;0;0;0;117,7484;140,9911;140,9183;151,9485;143,8235;136,6314;130,2347;164,3603;0;1;0;0;0;9,60071E-10;8,72896E-08;-7,28032E-09;1;1;0;0;0;1;1;1;-0,01664275;-0,1263783;0,06311332;8,72924E-10;5,70469E-08;-9,16631E-09;1;1;0;0;0;1
632,5596;0,09997771;1,177455;2,155093;-0,1101958;0,7718404;-0,02166461;0,6258194;0,2803373;0,02117772;0,5452778;-0,01378218;0,8378745;0;0;0;0;117,3966;141,4377;142,4792;153,8929;146,1109;138,535;131,4323;165,0821;0;1;0;0;0;8,0703E-10;2,15986E-08;9,02242E-10;1;1;0;0;0;1;1;1;-0,01542655;-0,07230699;0,05759932;1,14045E-09;3,1211E-08;2,04959E-09;1;1;0;0;0;1
632,6094;0,08404702;1,099485;2,210413;-0,1101958;0,7718403;-0,02166463;0,6258194;0,2803373;0,02535578;0,5426214;-0,01639031;0,8394346;0;0;0;0;122,9353;148,9104;151,2905;163,7385;156,0332;147,707;139,5337;174,262;0;1;0;0;0;-6,02857E-10;5,79206E-09;-1,89468E-09;1;1;0;0;0;1;1;1;-0,01594694;-0,07819203;0,05129734;-2,14336E-10;-2,51084E-10;-8,72032E-10;1;1;0;0;0;1
632,6595;0,06936994;1,02397;2,252924;-0,1101958;0,7718403;-0,02166466;0,6258194;0,2803373;0,03009796;0,5395389;-0,01930456;0,8412011;0;0;0;0;122,9718;149,8576;153,2431;166,1561;158,9053;150,2391;141,4114;175,5739;0;1;0;0;0;-0,000476751;0,000718212;0,001040969;0,999999;1;0;0;0;1;1;1;-0,01359384;-0,07491119;0,03353023;6,53489E-11;-3,14925E-09;-3,19387E-10;1;1;0;0;0;1
632,7093;0,05814523;0,9548628;2,276304;-0,1113131;0,7721642;-0,02130196;0,6252345;0,2803373;0,03511257;0,5364911;-0,02234909;0,842879;0;0;0;0;120,3153;147,4013;151,4842;164,4303;157,6551;148,8948;139,7581;172,6134;0;1;0;0;0;5,68697E-10;-1,96702E-08;-3,44504E-09;1;1;0;0;0;1;1;1;-0,008787133;-0,0628264;0,01301383;6,32778E-10;-3,32662E-08;-1,71909E-09;1;1;0;0;0;1
632,7591;0,05186219;0,9018925;2,282108;-0,1113131;0,7721645;-0,02130192;0,6252341;0,2803373;0,04015318;0,5338039;-0,02538744;0,8442728;0;0;0;0;120,5925;148,4185;153,0886;166,219;159,5911;150,5645;140,9769;173,4212;0;1;0;0;0;3,34806E-09;3,8484E-08;2,05931E-09;1;1;0;0;0;1;1;1;-0,003837851;-0,04180745;-0,001181228;3,27635E-09;3,83622E-08;1,95602E-09;1;1;0;0;0;1
632,8098;0,04881595;0,8728507;2,283437;-0,1113131;0,7721643;-0,021302;0,6252343;0,2803373;0,04479665;0,5316182;-0,02817211;0,8453293;0;0;0;0;126,5992;156,3756;161,6686;175,4873;168,5693;158,8877;148,4616;182,1542;0;1;0;0;0;-2,64616E-09;5,99205E-09;-2,87612E-09;0,9999999;1;0;0;0;1;1;1;-0,00233849;-0,01493136;0,002380561;5,49546E-10;1,51008E-08;-5,84396E-09;0,9999999;1;0;0;0;1
