2,2,13-Task1
Time,Translation X,Translation Y,Translation Z,Rotation X,Rotation Y,Rotation Z,Rotation W,Scalling,Camera X,Camera Y,Camera Z,Camera W,IsInCollision,CollisionForce X,CollisionForce Y,CollisionForce Z,Checkpoint0,Checkpoint1,User,Connected,Translation X,Translation Y,Translation Z,Rotation X,Rotation Y,Rotation Z,Rotation W,Scalling,Camera X,Camera Y,Camera Z,Camera W,User,Connected,Translation X,Translation Y,Translation Z,Rotation X,Rotation Y,Rotation Z,Rotation W,Scalling,Camera X,Camera Y,Camera Z,Camera W
393.4699,0,0,0,0,0,0,1,1,0.07105283,0.7416701,-0.07957658,0.662227,0,0,0,0,295.9627,284.0903,0,1,0.03220156,-0.8003707,-0.3386353,0.1973425,-0.09328023,-0.005172342,0.9758705,1,0,0,0,1,1,1,0,0,0,1.998217E-08,-2.405328E-07,-1.88141E-07,1,1,0,0,0,1
393.5196,0,0,0,3.567863E-09,2.451293E-08,-6.433931E-08,1,1,0.07105283,0.7416701,-0.07957659,0.662227,0,0,0,0,261.3521,299.75,0,1,0,0,0,1.331319E-09,1.272591E-08,-2.893801E-08,1,1,0,0,0,1,1,1,0,0,0,2.236544E-09,1.178701E-08,-3.540127E-08,1,1,0,0,0,1
393.5696,0,0,0,1.165056E-08,5.614234E-08,-1.296133E-07,1,1,0.07105282,0.7416701,-0.07957657,0.662227,0,0,0,0,271.4041,311.2788,0,1,0,0,0,4.682184E-09,1.776667E-08,-3.410392E-08,1,1,0,0,0,1,1,1,0,0,0,3.400517E-09,1.386274E-08,-3.116999E-08,1,1,0,0,0,1
393.6195,0,0,0,1.917834E-08,7.343036E-08,-9.307074E-08,1,1,0.07105283,0.7416701,-0.07957658,0.662227,0,0,0,0,271.4041,311.2788,0,1,0,0,0,3.473996E-09,7.322415E-09,1.642703E-08,1,1,0,0,0,1,1,1,0,0,0,4.053781E-09,9.965591E-09,2.011549E-08,1,1,0,0,0,1
393.6699,0,0,0,2.49571E-08,8.391502E-08,-1.426357E-07,1,1,0.07105283,0.7416701,-0.07957657,0.662227,0,0,0,0,281.4561,322.8077,0,1,0,0,0,2.850961E-09,4.51326E-09,-2.488142E-08,1,1,0,0,0,1,1,1,0,0,0,2.9278E-09,5.971386E-09,-2.468348E-08,1,1,0,0,0,1
393.7197,0,0,0,2.905599E-08,1.012493E-07,-2.136553E-07,1,1,0.07105283,0.7416701,-0.07957657,0.662227,0,0,0,0,276.4301,317.0433,0,1,0,0,0,2.439162E-09,9.263241E-09,-3.756205E-08,1,1,0,0,0,1,1,1,0,0,0,1.659717E-09,8.070999E-09,-3.34575E-08,1,1,0,0,0,1
393.7701,0,0,0,3.572676E-08,1.132681E-07,-1.978352E-07,1,1,0.07105283,0.7416701,-0.07957657,0.662227,0,0,0,0,281.4561,322.8077,0,1,0,0,0,3.053952E-09,5.693106E-09,7.505724E-09,1,1,0,0,0,1,1,1,0,0,0,3.616811E-09,6.325674E-09,8.314314E-09,1,1,0,0,0,1
393.8196,0,0,0,4.275937E-08,1.37966E-07,-1.505818E-07,1,1,0.07105282,0.7416701,-0.07957657,0.662227,0,0,0,0,276.4301,317.0433,0,1,0,0,0,3.507851E-09,1.134363E-08,2.218677E-08,1,1,0,0,0,1,1,1,0,0,0,3.524778E-09,1.335424E-08,2.506664E-08,1,1,0,0,0,1
393.8697,0,0,0,5.299184E-08,1.627001E-07,-1.056572E-07,1,1,0.07105281,0.7416701,-0.07957656,0.662227,0,0,0,0,271.4041,311.2788,0,1,0,0,0,5.116237E-09,1.2367E-08,2.246236E-08,1,1,0,0,0,1,1,1,0,0,0,5.116237E-09,1.2367E-08,2.246236E-08,1,1,0,0,0,1
393.9196,0,0,0,6.313564E-08,1.824476E-07,-7.299914E-08,1,1,0.0710528,0.7416701,-0.07957655,0.662227,0,0,0,0,276.4301,317.0433,0,1,0,0,0,4.738555E-09,9.611002E-09,1.589064E-08,1,1,0,0,0,1,1,1,0,0,0,5.40524E-09,1.013641E-08,1.676738E-08,1,1,0,0,0,1
