Time,Translation X,Translation Y,Translation Z,Rotation X,Rotation Y,Rotation Z,Rotation W,Scalling,Camera X,Camera Y,Camera Z,Camera W,IsInCollision,CollisionForce X,CollisionForce Y,CollisionForce Z,Checkpoint0,Checkpoint1,User,Connected,Translation X,Translation Y,Translation Z,Rotation X,Rotation Y,Rotation Z,Rotation W,Scalling,Camera X,Camera Y,Camera Z,Camera W
640.4934,0,0,0,0,0,0,1,1,0.07105283,0.7416701,-0.07957658,0.662227,0,0,0,0,204.34,191.5219,0,1,0,0,0,3.505753E-08,-0.000000383,-1.016424E-06,1,1,0,0,0,1
640.5433,0,0,0,0.000000002,1.269606E-08,-3.167896E-08,1,1,0.07105283,0.7416701,-0.07957659,0.662227,0,0,0,0,276.4301,317.0433,0,1,0,0,0,0.000000002,1.269606E-08,-3.167896E-08,1,1,0,0,0,1
640.5928,0,0,0,6.082063E-09,2.880935E-08,-0.000000059,1,1,0.07105282,0.7416701,-0.07957657,0.662227,0,0,0,0,276.4301,317.0433,0,1,0,0,0,4.057142E-09,1.611329E-08,-2.728359E-08,1,1,0,0,0,1
640.6432,0,0,0,1.007593E-08,3.814238E-08,-3.971277E-08,1,1,0.07105283,0.7416701,-0.07957658,0.662227,0,0,0,0,281.4561,322.8077,0,1,0,0,0,0.000000004,9.333023E-09,1.92498E-08,1,1,0,0,0,1
640.6927,0,0,0,1.230185E-08,0.000000041,-5.777386E-08,1,1,0.07105283,0.7416701,-0.07957657,0.662227,0,0,0,0,276.4301,317.0433,0,1,0,0,0,2.225919E-09,2.859879E-09,-1.806109E-08,1,1,0,0,0,1
640.7431,0,0,0,1.431859E-08,4.608835E-08,-9.067634E-08,1,1,0.07105283,0.7416701,-0.07957657,0.662227,0,0,0,0,281.4561,322.8077,0,1,0,0,0,2.579597E-09,5.718656E-09,-3.20939E-08,1,1,0,0,0,1
640.7926,0,0,0,1.787548E-08,5.178146E-08,-8.32277E-08,1,1,0.07105283,0.7416701,-0.07957657,0.662227,0,0,0,0,276.4301,317.0433,0,1,0,0,0,0.000000003,5.060539E-09,6.64003E-09,1,1,0,0,0,1
640.843,0,0,0,2.022069E-08,0.000000059,-7.336791E-08,1,1,0.07105282,0.7416701,-0.07957657,0.662227,0,0,0,0,281.4561,322.8077,0,1,0,0,0,2.345203E-09,7.184051E-09,9.8598E-09,1,1,0,0,0,1
640.8934,0,0,0,2.453214E-08,7.39434E-08,-4.236186E-08,1,1,0.07105281,0.7416701,-0.07957656,0.662227,0,0,0,0,281.4561,322.8077,0,1,0,0,0,4.311462E-09,0.000000015,0.000000031,1,1,0,0,0,1
640.9429,0,0,0,3.174458E-08,8.52103E-08,-2.282539E-08,1,1,0.0710528,0.7416701,-0.07957655,0.662227,0,0,0,0,276.4301,317.0433,0,1,0,0,0,7.212438E-09,1.126686E-08,1.953647E-08,1,1,0,0,0,1
640.9933,0,0,0,3.168746E-08,0.000000097,-2.254737E-08,1,1,0.07105282,0.7416701,-0.07957657,0.662227,0,0,0,0,281.4561,322.8077,0,1,0,0,0,-5.712082E-11,1.174472E-08,2.7803E-10,1,1,0,0,0,1
641.0481,0,0,0,3.487097E-08,1.056878E-07,-1.340471E-08,1,1,0.0710528,0.7416701,-0.07957654,0.662227,0,0,0,0,226.1701,259.3989,0,1,0,0,0,3.183497E-09,8.732748E-09,9.142671E-09,1,1,0,0,0,1
641.0984,0,0,0,3.328607E-08,1.185185E-07,-3.357863E-08,1,1,0.07105282,0.7416701,-0.07957657,0.662227,0,0,0,0,246.2741,282.4567,0,1,0,0,0,-1.584908E-09,1.283074E-08,-2.017391E-08,1,1,0,0,0,1
641.1478,0,0,0,3.565273E-08,1.230754E-07,-3.180493E-08,1,1,0.0710528,0.7416701,-0.07957655,0.662227,0,0,0,0,246.2741,282.4567,0,1,0,0,0,2.366656E-09,4.556884E-09,1.773702E-09,1,1,0,0,0,1
641.1982,0,0,0,3.289529E-08,0.000000124,-3.440111E-08,1,1,0.07105279,0.7416701,-0.07957653,0.662227,0,0,0,0,281.4561,322.8077,0,1,0,0,0,-2.757454E-09,9.390924E-10,-2.596174E-09,1,1,0,0,0,1
641.2483,0,0,0,3.213287E-08,1.244351E-07,-2.522718E-08,1,1,0.07105279,0.7416701,-0.07957654,0.662227,0,0,0,0,276.4301,317.0433,0,1,0,0,0,-7.624176E-10,4.206064E-10,9.17393E-09,1,1,0,0,0,1
641.2979,0,0,0,3.068062E-08,1.316649E-07,-0.000000011,1,1,0.07105279,0.7416701,-0.07957654,0.662227,0,0,0,0,276.4301,317.0433,0,1,0,0,0,-1.452248E-09,7.229841E-09,1.419803E-08,1,1,0,0,0,1
641.3482,0,0,0,3.354997E-08,1.313959E-07,2.385737E-08,1,1,0.07105277,0.7416701,-0.07957652,0.662227,0,0,0,0,281.4561,322.8077,0,1,0,0,0,2.869347E-09,-2.689357E-10,3.488651E-08,1,1,0,0,0,1
641.3977,0.001485358,0.0001763223,-0.0003217496,3.762379E-08,1.343403E-07,5.862526E-08,1,1,0.07105014,0.7416712,-0.07957376,0.6622263,0,0,0,0,276.4277,317.0406,0,1,0.002912466,0.00034573,-0.0006308816,4.073836E-09,2.944414E-09,3.476789E-08,1,1,0,0,0,1
641.4481,0.06051813,0.008727901,-0.01297961,3.605264E-08,1.444416E-07,6.243232E-08,1,1,0.07086907,0.741743,-0.07938322,0.6621882,0,0,0,0,281.0513,322.3793,0,1,0.0900126,0.01320972,-0.01928432,-1.571157E-09,1.01013E-08,3.807072E-09,1,1,0,0,0,1
