1,8,14-Task3
Time,Translation X,Translation Y,Translation Z,Rotation X,Rotation Y,Rotation Z,Rotation W,Scalling,Camera X,Camera Y,Camera Z,Camera W,IsInCollision,CollisionForce X,CollisionForce Y,CollisionForce Z,Checkpoint0,Checkpoint1,Checkpoint2,Checkpoint3,Checkpoint4,Checkpoint5,Checkpoint6,Checkpoint7,User,Connected,Translation X,Translation Y,Translation Z,Rotation X,Rotation Y,Rotation Z,Rotation W,Scalling,Camera X,Camera Y,Camera Z,Camera W
764.7638,0,0,0,0,0,0,1,1,0.05732334,0.7368126,-0.06297264,0.6707128,0,0,0,0,8618.086,7347.321,55.65846,10.14179,9.237354,8.586893,8.07972,9.249051,0,1,0.3455869,-0.02925595,-0.1186366,1.507295E-07,-1.553602E-07,-3.545164E-08,1,1,0,0,0,1
764.8137,0,0,0,8.659805E-10,-1.312305E-08,1.648572E-09,1,1,0.05732334,0.7368127,-0.06297264,0.6707128,0,0,0,0,250.3105,300.4338,291.302,278.8991,254.0274,236.1395,222.1923,254.349,0,1,0,0,0,8.659804E-10,-1.312305E-08,1.648571E-09,1,1,0,0,0,1
764.8631,0,0,0,2.142759E-09,-1.820348E-08,-1.91309E-08,1,1,0.05732334,0.7368126,-0.06297264,0.6707129,0,0,0,0,250.3105,300.4338,291.302,278.8991,254.0274,236.1395,222.1923,254.349,0,1,0,0,0,1.276778E-09,-5.080437E-09,-2.077947E-08,1,1,0,0,0,1
764.9135,0,0,0,3.480078E-09,-2.042977E-08,-3.58582E-08,1,1,0.05732333,0.7368127,-0.06297264,0.6707128,0,0,0,0,254.8616,305.8963,296.5984,283.97,258.646,240.4329,226.2321,258.9735,0,1,0,0,0,1.337318E-09,-2.226286E-09,-1.672729E-08,1,1,0,0,0,1
764.9639,0,0,0,4.351399E-09,-2.609566E-08,-4.445098E-08,1,1,0.05732332,0.7368126,-0.06297261,0.6707129,0,0,0,0,254.8616,305.8963,296.5984,283.97,258.646,240.4329,226.2321,258.9735,0,1,0,0,0,8.713203E-10,-5.665894E-09,-8.592773E-09,1,1,0,0,0,1
765.0134,0,0,0,4.264741E-09,-1.21553E-08,-7.132331E-08,1,1,0.0573233,0.7368126,-0.0629726,0.6707128,0,0,0,0,250.3105,300.4338,291.302,278.8991,254.0274,236.1395,222.1923,254.349,0,1,0,0,0,-8.665901E-11,1.394036E-08,-2.687234E-08,1,1,0,0,0,1
765.0638,0,0,0,4.865718E-09,6.756487E-09,-1.022041E-07,1,1,0.0573233,0.7368126,-0.06297259,0.6707128,0,0,0,0,254.8616,305.8963,296.5984,283.97,258.646,240.4329,226.2321,258.9735,0,1,0,0,0,6.009782E-10,1.891179E-08,-3.088077E-08,1,1,0,0,0,1
765.1133,0,0,0,4.329691E-09,1.958318E-08,-1.123542E-07,1,1,0.05732327,0.7368125,-0.06297256,0.6707129,0,0,0,0,250.3105,300.4338,291.302,278.8991,254.0274,236.1395,222.1923,254.349,0,1,0,0,0,-5.360268E-10,1.282669E-08,-1.015017E-08,1,1,0,0,0,1
765.1634,0,0,0,1.582681E-09,2.416381E-08,-1.358867E-07,1,1,0.05732327,0.7368126,-0.06297256,0.6707129,0,0,0,0,218.4528,262.1968,254.2273,243.4028,221.6966,206.0854,193.9133,221.9773,0,1,0,0,0,-2.747011E-09,4.580635E-09,-2.35325E-08,1,1,0,0,0,1
765.2136,0,0,0,4.383302E-10,2.15886E-08,-1.718648E-07,1,1,0.05732325,0.7368126,-0.06297253,0.6707129,0,0,0,0,241.2083,289.509,280.7092,268.7573,244.79,227.5526,214.1125,245.0999,0,1,0,0,0,-1.144351E-09,-2.575212E-09,-3.597801E-08,1,1,0,0,0,1
