Time,Translation X,Translation Y,Translation Z,Rotation X,Rotation Y,Rotation Z,Rotation W,Scalling,Camera X,Camera Y,Camera Z,Camera W,IsInCollision,CollisionForce X,CollisionForce Y,CollisionForce Z,Checkpoint0,Checkpoint1,User,Connected,Translation X,Translation Y,Translation Z,Rotation X,Rotation Y,Rotation Z,Rotation W,Scalling,Camera X,Camera Y,Camera Z,Camera W,User,Connected,Translation X,Translation Y,Translation Z,Rotation X,Rotation Y,Rotation Z,Rotation W,Scalling,Camera X,Camera Y,Camera Z,Camera W,User,Connected,Translation X,Translation Y,Translation Z,Rotation X,Rotation Y,Rotation Z,Rotation W,Scalling,Camera X,Camera Y,Camera Z,Camera W
370.1397,0,0,0,0,0,0,1,1,0.07105283,0.7416701,-0.07957658,0.662227,0,0,0,0,330.2685,313.9262,0,1,0,0,0,-2.612741E-08,7.127653E-06,-1.946541E-10,1,1,0,0,0,1,1,1,0,0,0,-2.436841E-08,6.647796E-06,-1.815491E-10,1,1,0,0,0,1,2,1,0,0,0,-2.565549E-08,6.998911E-06,-1.911381E-10,1,1,0,0,0,1
370.1891,0,0,0,8.431866E-09,4.392753E-08,-1.145165E-07,1,1,0.07105283,0.7416701,-0.07957659,0.662227,0,0,0,0,196.0141,224.8124,0,1,0,0,0,3.343564E-09,1.431959E-08,-4.124024E-08,1,1,0,0,0,1,1,1,0,0,0,1.744738E-09,1.528834E-08,-0.000000032,1,1,0,0,0,1,2,1,0,0,0,3.343564E-09,1.431959E-08,-4.124024E-08,1,1,0,0,0,1
370.239,0,0,0,1.973504E-08,9.092589E-08,-1.965314E-07,1,1,0.07105282,0.7416701,-0.07957657,0.662227,0,0,0,0,206.0661,236.3412,0,1,0,0,0,4.057142E-09,1.611329E-08,-2.728359E-08,1,1,0,0,0,1,1,1,0,0,0,3.143638E-09,1.576158E-08,-1.693888E-08,1,1,0,0,0,1,2,1,0,0,0,4.102398E-09,1.51235E-08,-3.779238E-08,1,1,0,0,0,1
370.2892,0,0,0,3.050919E-08,1.191156E-07,-1.416885E-07,1,1,0.07105283,0.7416701,-0.07957658,0.662227,0,0,0,0,201.0401,230.5768,0,1,0,0,0,3.490923E-09,9.333023E-09,1.93069E-08,1,1,0,0,0,1,1,1,0,0,0,3.792308E-09,9.523673E-09,1.622908E-08,1,1,0,0,0,1,2,1,0,0,0,3.779385E-09,9.882099E-09,1.578253E-08,1,1,0,0,0,1
370.3389,0,0,0,3.78544E-08,1.268138E-07,-2.239381E-07,1,1,0.07105283,0.7416701,-0.07957657,0.662227,0,0,0,0,201.0401,230.5768,0,1,0,0,0,2.559638E-09,2.419161E-09,-3.209426E-08,1,1,0,0,0,1,1,1,0,0,0,2.225919E-09,2.859879E-09,-1.806109E-08,1,1,0,0,0,1,2,1,0,0,0,2.482799E-09,0.000000001,-3.22922E-08,1,1,0,0,0,1
370.3898,0,0,0,4.38277E-08,1.487841E-07,-3.177387E-07,1,1,0.07105283,0.7416701,-0.07957657,0.662227,0,0,0,0,206.0661,236.3412,0,1,0,0,0,1.797562E-09,0.000000005,-0.000000023,1,1,0,0,0,1,1,1,0,0,0,1.81412E-09,7.609859E-09,-3.074172E-08,1,1,0,0,0,1,2,1,0,0,0,2.149975E-09,1.02408E-08,-3.635758E-08,1,1,0,0,0,1
370.4389,0,0,0,5.393553E-08,1.652309E-07,-2.962014E-07,1,1,0.07105283,0.7416701,-0.07957657,0.662227,0,0,0,0,201.0401,230.5768,0,1,0,0,0,4.682611E-09,0.000000007,9.0658E-09,1,1,0,0,0,1,1,1,0,0,0,0.000000003,5.060539E-09,6.64003E-09,1,1,0,0,0,1,2,1,0,0,0,2.431179E-09,4.427972E-09,5.831441E-09,1,1,0,0,0,1
370.489,0,0,0,0.000000064,0.000000203,-2.307886E-07,1,1,0.07105282,0.7416701,-0.07957657,0.662227,0,0,0,0,201.0401,230.5768,0,1,0,0,0,3.13859E-09,1.574614E-08,2.190509E-08,1,1,0,0,0,1,1,1,0,0,0,3.507851E-09,1.134363E-08,2.218677E-08,1,1,0,0,0,1,2,1,0,0,0,3.447935E-09,1.071106E-08,2.132108E-08,1,1,0,0,0,1
370.5393,0,0,0,8.005471E-08,2.460688E-07,-1.462764E-07,1,1,0.07105281,0.7416701,-0.07957656,0.662227,0,0,0,0,201.0401,230.5768,0,1,0,0,0,7.068739E-09,2.294537E-08,4.019811E-08,1,1,0,0,0,1,1,1,0,0,0,4.206556E-09,7.718882E-09,1.886983E-08,1,1,0,0,0,1,2,1,0,0,0,4.749596E-09,1.237266E-08,2.544425E-08,1,1,0,0,0,1
370.589,0,0,0,9.572982E-08,2.800632E-07,-9.112511E-08,1,1,0.0710528,0.7416701,-0.07957655,0.662227,0,0,0,0,201.0401,230.5768,0,1,0,0,0,5.422168E-09,1.214702E-08,1.964725E-08,1,1,0,0,0,1,1,1,0,0,0,4.847727E-09,1.171076E-08,1.873664E-08,1,1,0,0,0,1,2,1,0,0,0,5.40524E-09,1.013641E-08,1.676738E-08,1,1,0,0,0,1
