3,8,14-Task3
Time,Translation X,Translation Y,Translation Z,Rotation X,Rotation Y,Rotation Z,Rotation W,Scalling,Camera X,Camera Y,Camera Z,Camera W,IsInCollision,CollisionForce X,CollisionForce Y,CollisionForce Z,Checkpoint0,Checkpoint1,Checkpoint2,Checkpoint3,Checkpoint4,Checkpoint5,Checkpoint6,Checkpoint7,User,Connected,Translation X,Translation Y,Translation Z,Rotation X,Rotation Y,Rotation Z,Rotation W,Scalling,Camera X,Camera Y,Camera Z,Camera W,User,Connected,Translation X,Translation Y,Translation Z,Rotation X,Rotation Y,Rotation Z,Rotation W,Scalling,Camera X,Camera Y,Camera Z,Camera W,User,Connected,Translation X,Translation Y,Translation Z,Rotation X,Rotation Y,Rotation Z,Rotation W,Scalling,Camera X,Camera Y,Camera Z,Camera W
489.9814,0,0,0,0,0,0,1,1,0.05732334,0.7368126,-0.06297264,0.6707128,0,0,0,0,5689.346,5315.214,153.1435,25.35447,23.09339,21.46723,20.1993,23.12263,0,1,0,0,0,-7.538731E-09,-6.621359E-08,1.379094E-07,1,1,0,0,0,1,1,1,0,0,0,-7.22431E-09,-6.194756E-08,1.244541E-07,1,1,0,0,0,1,2,1,0,0,0,-7.658685E-09,-6.603086E-08,1.376518E-07,1,1.003729,0,0,0,1
490.0309,0,0,0,1.935648E-09,-2.892928E-08,2.934144E-09,1,1,0.05732334,0.7368127,-0.06297264,0.6707128,0,0,0,0,150.1863,180.2603,174.7813,167.3395,152.4163,141.6837,133.3154,152.6094,0,1,0,0,0,6.576743E-10,-9.827263E-09,3.016942E-10,1,1,0,0,0,1,1,1,0,0,0,6.771052E-10,-1.0419E-08,4.81656E-09,1,1,0,0,0,1,2,1,0,0,0,6.008681E-10,-8.683017E-09,-2.184112E-09,1,1,0,0,0,1
490.0815,0,0,0,6.575713E-09,-4.627793E-08,-3.301795E-08,1,1,0.05732334,0.7368126,-0.06297264,0.6707129,0,0,0,0,168.3907,202.11,195.9669,187.623,170.8911,158.8575,149.4749,171.1075,0,1,0,0,0,1.643301E-09,-5.119293E-09,-8.794298E-09,1,1,0,0,0,1,1,1,0,0,0,1.402718E-09,-6.0263E-09,-1.661802E-08,1,1,0,0,0,1,2,1,0,0,0,1.594041E-09,-6.203071E-09,-1.053979E-08,1,1,0,0,0,1
490.1314,0,0,0,1.081071E-08,-5.620284E-08,-9.350071E-08,1,1,0.05732333,0.7368127,-0.06297264,0.6707128,0,0,0,0,172.9418,207.5725,201.2633,192.6939,175.5098,163.151,153.5147,175.732,0,1,0,0,0,1.481272E-09,-2.149799E-09,-1.860653E-08,1,1,0,0,0,1,1,1,0,0,0,1.240689E-09,-3.056806E-09,-2.643025E-08,1,1,0,0,0,1,2,1,0,0,0,1.513027E-09,-4.718324E-09,-1.544591E-08,1,1,0,0,0,1
490.1814,0,0,0,1.421697E-08,-7.486275E-08,-1.214393E-07,1,1,0.05732332,0.7368126,-0.06297261,0.6707129,0,0,0,0,168.3907,202.11,195.9669,187.623,170.8911,158.8575,149.4749,171.1075,0,1,0,0,0,1.394271E-09,-5.589406E-09,-6.820197E-09,1,1,0,0,0,1,1,1,0,0,0,9.660142E-10,-6.673185E-09,-1.221751E-08,1,1,0,0,0,1,2,1,0,0,0,1.045965E-09,-6.397354E-09,-8.900817E-09,1,1,0,0,0,1
490.2305,0,0,0,1.417981E-08,-3.966067E-08,-2.041133E-07,1,1,0.0573233,0.7368126,-0.0629726,0.6707128,0,0,0,0,172.9418,207.5725,201.2633,192.6939,175.5098,163.151,153.5147,175.732,0,1,0,0,0,1.210999E-10,1.470234E-08,-3.064148E-08,1,1,0,0,0,1,1,1,0,0,0,2.638066E-10,1.002623E-08,-2.426015E-08,1,1,0,0,0,1,2,1,0,0,0,-2.670854E-10,1.207457E-08,-3.11126E-08,1,1,0,0,0,1
490.2815,0,0,0,1.605778E-08,1.984037E-08,-2.963145E-07,1,1,0.0573233,0.7368126,-0.06297259,0.6707128,0,0,0,0,177.4929,213.0349,206.5597,197.7648,180.1284,167.4444,157.5546,180.3565,0,1,0,0,0,6.009782E-10,1.891179E-08,-3.088077E-08,1,1,0,0,0,1,1,1,0,0,0,6.009782E-10,1.891179E-08,-3.088077E-08,1,1,0,0,0,1,2,1,0,0,0,6.76012E-10,2.167747E-08,-3.04396E-08,1,1,0,0,0,1
490.3317,0,0,0,1.422715E-08,5.894452E-08,-3.350251E-07,1,1,0.05732327,0.7368125,-0.06297256,0.6707129,0,0,0,0,168.3907,202.11,195.9669,187.623,170.8911,158.8575,149.4749,171.1075,0,1,0,0,0,-5.833801E-10,1.352942E-08,-1.617445E-08,1,1,0,0,0,1,1,1,0,0,0,-7.112275E-10,1.274802E-08,-1.238586E-08,1,1,0,0,0,1,2,1,0,0,0,-5.360268E-10,1.282669E-08,-1.015017E-08,1,1,0,0,0,1
490.3811,0,0,0,6.216049E-09,7.315356E-08,-4.116752E-07,1,1,0.05732327,0.7368126,-0.06297256,0.6707129,0,0,0,0,168.3907,202.11,195.9669,187.623,170.8911,158.8575,149.4749,171.1075,0,1,0,0,0,-2.963815E-09,6.318317E-09,-2.640192E-08,1,1,0,0,0,1,1,1,0,0,0,-2.083482E-09,1.572435E-09,-2.384614E-08,1,1,0,0,0,1,2,1,0,0,0,-2.963815E-09,6.318317E-09,-2.640192E-08,1,1,0,0,0,1
490.4314,0,0,0,3.78595E-10,6.501208E-08,-5.359464E-07,1,1,0.05732325,0.7368126,-0.06297253,0.6707129,0,0,0,0,172.9418,207.5725,201.2633,192.6939,175.5098,163.151,153.5147,175.732,0,1,0,0,0,-1.937839E-09,-3.622334E-09,-4.274824E-08,1,1,0,0,0,1,1,1,0,0,0,-1.961789E-09,-8.967737E-10,-3.877467E-08,1,1,0,0,0,1,2,1,0,0,0,-1.937839E-09,-3.622334E-09,-4.274824E-08,1,1,0,0,0,1
