3,1,16-Task2
Time,Translation X,Translation Y,Translation Z,Rotation X,Rotation Y,Rotation Z,Rotation W,Scalling,Camera X,Camera Y,Camera Z,Camera W,IsInCollision,CollisionForce X,CollisionForce Y,CollisionForce Z,Checkpoint0,User,Connected,Translation X,Translation Y,Translation Z,Rotation X,Rotation Y,Rotation Z,Rotation W,Scalling,Camera X,Camera Y,Camera Z,Camera W,User,Connected,Translation X,Translation Y,Translation Z,Rotation X,Rotation Y,Rotation Z,Rotation W,Scalling,Camera X,Camera Y,Camera Z,Camera W,User,Connected,Translation X,Translation Y,Translation Z,Rotation X,Rotation Y,Rotation Z,Rotation W,Scalling,Camera X,Camera Y,Camera Z,Camera W
563.4569,0,0,0,0,0,0,1,1,0.07105283,0.7416701,-0.07957658,0.662227,0,0,0,0,7122.805,0,1,0.22703,0.1033564,-0.0701202,8.462109E-08,-2.986856E-07,5.271876E-08,1,1,0,0,0,1,1,1,0,0,0,8.14017E-08,-2.872398E-07,5.017488E-08,1,1,0,0,0,1,2,1,0.9168816,0.8933377,-0.2050264,8.288757E-08,-2.925225E-07,5.134898E-08,1,1,0,0,0,1
563.5065,0,0,0,4.197301E-09,3.597809E-08,-8.665492E-08,1,1,0.07105283,0.7416701,-0.07957659,0.662227,0,0,0,0,147.6979,0,1,0,0,0,1.331319E-09,1.272591E-08,-2.893801E-08,1,1,0,0,0,1,1,1,0,0,0,1.331319E-09,1.272591E-08,-2.893801E-08,1,1,0,0,0,1,2,1,0,0,0,2.236543E-09,1.178701E-08,-3.540128E-08,1,1,0,0,0,1
563.5571,0,0,0,1.57121E-08,8.206739E-08,-1.723921E-07,1,1,0.07105282,0.7416701,-0.07957657,0.662227,0,0,0,0,147.6979,0,1,0,0,0,3.400517E-09,1.386274E-08,-3.116999E-08,1,1,0,0,0,1,1,1,0,0,0,4.057142E-09,1.611329E-08,-2.728359E-08,1,1,0,0,0,1,2,1,0,0,0,3.355261E-09,1.485254E-08,-2.06612E-08,1,1,0,0,0,1
563.6061,0,0,0,2.584655E-08,1.069814E-07,-1.221033E-07,1,1,0.07105283,0.7416701,-0.07957658,0.662227,0,0,0,0,142.6048,0,1,0,0,0,3.792308E-09,9.523673E-09,1.622908E-08,1,1,0,0,0,1,1,1,0,0,0,3.490923E-09,9.333023E-09,1.93069E-08,1,1,0,0,0,1,2,1,0,0,0,2.851222E-09,6.05728E-09,1.475274E-08,1,1,0,0,0,1
563.6569,0,0,0,3.402882E-08,1.191965E-07,-2.07151E-07,1,1,0.07105283,0.7416701,-0.07957657,0.662227,0,0,0,0,162.9769,0,1,0,0,0,2.694839E-09,3.824575E-09,-2.826992E-08,1,1,0,0,0,1,1,1,0,0,0,2.559638E-09,2.419161E-09,-3.209426E-08,1,1,0,0,0,1,2,1,0,0,0,2.9278E-09,5.971386E-09,-2.468348E-08,1,1,0,0,0,1
563.7069,0,0,0,4.034708E-08,1.39093E-07,-3.132339E-07,1,1,0.07105283,0.7416701,-0.07957657,0.662227,0,0,0,0,162.977,0,1,0,0,0,2.016739E-09,5.086089E-09,-3.290249E-08,1,1,0,0,0,1,1,1,0,0,0,1.659717E-09,8.070999E-09,-3.34575E-08,1,1,0,0,0,1,2,1,0,0,0,2.641781E-09,6.73947E-09,-3.972282E-08,1,1,0,0,0,1
563.7568,0,0,0,5.051483E-08,1.561724E-07,-2.908309E-07,1,1,0.07105283,0.7416701,-0.07957657,0.662227,0,0,0,0,162.977,0,1,0,0,0,3.616811E-09,6.325674E-09,8.314314E-09,1,1,0,0,0,1,1,1,0,0,0,3.556895E-09,5.693106E-09,7.44862E-09,1,1,0,0,0,1,2,1,0,0,0,2.994037E-09,5.060539E-09,6.64003E-09,1,1,0,0,0,1
563.8068,0.0001923861,1.215581E-05,0.0008791132,6.14983E-08,1.915813E-07,-2.223136E-07,1,1,0.0710531,0.7416669,-0.07957611,0.6622306,0,0,0,0,162.977,0,1,0.0006412869,4.051936E-05,0.002930377,3.507851E-09,1.134363E-08,2.218677E-08,1,1,0,0,0,1,1,1,0,0,0,4.027721E-09,1.335424E-08,2.500954E-08,1,1,0,0,0,1,2,1,0,0,0,3.447935E-09,1.071106E-08,2.132108E-08,1,1,0,0,0,1
563.857,-0.001195612,-0.006048144,0.01359585,5.83889E-08,2.042907E-07,-2.729079E-07,1,1,0.07111987,0.741543,-0.07962243,0.6623566,0,0,0,0,152.7739,0,1,-0.002567056,-0.009802205,0.01911462,-8.424014E-10,3.446037E-09,-1.573496E-08,1,1,0,0,0,1,1,1,0,0,0,-1.424579E-09,5.81732E-09,-1.912429E-08,1,1,0,0,0,1,2,1,0,0,0,-8.424014E-10,3.446037E-09,-1.573496E-08,1,1,0,0,0,1
563.9069,-0.003150436,-0.01444764,0.03152346,5.377932E-08,1.984694E-07,-2.900433E-07,1,1,0.07133663,0.7411772,-0.07978151,0.6627235,0,0,0,0,152.729,0,1,-0.001070461,-0.007263152,0.01874018,-1.686284E-09,-1.797293E-09,-5.636463E-09,1,1,0,0,0,1,1,1,0,0,0,-1.426509E-09,-3.80836E-09,-6.053094E-09,1,1,0,0,0,1,2,1,0,0,0,-1.496783E-09,-2.156244E-10,-5.445774E-09,1,1,0,0,0,1
563.9566,-0.003289827,-0.0180409,0.04277756,5.208558E-08,2.146453E-07,-3.80177E-07,1,1,0.07160983,0.7406552,-0.07996652,0.663255,0,0,0,0,152.6441,0,1,-0.001991658,-0.004910267,0.006626171,-3.41576E-10,5.38424E-09,-2.74999E-08,1,1,0,0,0,1,1,1,0,0,0,-1.010597E-09,5.407562E-09,-3.513397E-08,1,1,0,0,0,1,2,1,0,0,0,-3.41576E-10,5.38424E-09,-2.74999E-08,1,1,0,0,0,1
564.0066,-0.005181896,-0.02303154,0.04773934,4.963196E-08,1.939117E-07,-3.080704E-07,1,1,0.07190597,0.7401474,-0.08018064,0.6637639,0,0,0,0,152.5833,0,1,-0.002025079,-0.004896587,0.006626234,-8.03985E-10,-6.588671E-09,2.564869E-08,1,1,0,0,0,1,1,1,0,0,0,-8.03985E-10,-6.588671E-09,2.564869E-08,1,1,0,0,0,1,2,1,0,0,0,-8.456369E-10,-7.556376E-09,2.080924E-08,1,1,0,0,0,1
564.057,-0.006561503,-0.02943437,0.06079313,5.264434E-08,2.030266E-07,-4.237054E-07,1,1,0.07224821,0.7396054,-0.08043838,0.6642995,0,0,0,0,152.5921,0,1,-0.0002012449,-0.004769615,0.0154336,1.21731E-09,1.657374E-09,-4.101318E-08,1,1,0,0,0,1,1,1,0,0,0,6.734273E-10,3.299242E-09,-4.060155E-08,1,1,0,0,0,1,2,1,0,0,0,1.12162E-09,4.158367E-09,-3.402044E-08,1,1,0,0,0,1
564.1072,-0.00710451,-0.03171335,0.06556936,5.088256E-08,1.984988E-07,-4.646232E-07,1,1,0.0725983,0.739037,-0.08069769,0.6648622,0,0,0,0,152.5618,0,1,0,0,0,-7.821861E-10,-7.915568E-11,-1.750642E-08,1,1,0,0,0,1,1,1,0,0,0,-4.761597E-10,-2.546151E-09,-1.666207E-08,1,1,0,0,0,1,2,1,0,0,0,-5.034467E-10,-1.902425E-09,-6.749367E-09,1,1,0,0,0,1
564.1573,-0.007195774,-0.03209637,0.06637209,4.598334E-08,2.145462E-07,-4.95235E-07,1,1,0.07288624,0.7385683,-0.08090999,0.6653255,0,0,0,0,152.5425,0,1,0,0,0,-1.448377E-09,4.024793E-09,-1.416546E-08,1,1,0,0,0,1,1,1,0,0,0,-1.823433E-09,6.248019E-09,-5.934654E-09,1,1,0,0,0,1,2,1,0,0,0,-1.627407E-09,5.774578E-09,-1.051164E-08,1,1,0,0,0,1
564.2068,-0.007211112,-0.03216075,0.06650701,5.242356E-08,2.285334E-07,-4.25068E-07,1,0.9922311,0.07311197,0.7382006,-0.08107591,0.6656885,0,0,0,0,152.537,0,1,0,0,0,2.141162E-09,4.700065E-09,2.30629E-08,0.9999999,0.9922311,0,0,0,1,1,1,0,0,0,2.157913E-09,4.58702E-09,2.404123E-08,0.9999999,1,0,0,0,1,2,1,0,0,0,2.141162E-09,4.700065E-09,2.30629E-08,0.9999999,1,0,0,0,1
564.2565,-0.007213689,-0.03217156,0.06652968,5.625927E-08,2.011966E-07,-3.850986E-07,1,0.9558282,0.07328723,0.7379151,-0.08120448,0.6659701,0,0,0,0,152.1204,0,1,0,0,0,1.659371E-09,-1.00886E-08,9.343233E-09,1,0.963312,0,0,0,1,1,1,0,0,0,6.091921E-10,-9.56496E-09,1.348922E-08,1,1,0,0,0,1,2,1,0,0,0,1.567165E-09,-7.683306E-09,1.713705E-08,1,1,0,0,0,1
564.3068,-0.007214123,-0.03217338,0.06653348,0.001317521,-0.001524791,-0.0006538057,0.9999978,0.9015476,0.07342302,0.7376938,-0.0813039,0.6661882,0,0,0,0,151.0862,0,1,0,0,0,-1.760197E-09,-5.756755E-09,-1.882912E-08,1,0.9432109,0,0,0,1,1,1,0,0,0,-1.984537E-09,-1.038181E-08,-1.611969E-08,1,1,0,0,0,1,2,1,0,0,0,0.001317413,-0.001525239,-0.0006528829,0.9999977,1,0,0,0,1
564.3573,-0.007214196,-0.03217368,0.06653412,0.01680477,-0.005414837,-0.0009046174,0.9998438,0.8520651,0.07352816,0.7375224,-0.08138079,0.6663569,0,0,0,0,144.9315,0,1,0,0,0,-2.126956E-09,-2.787026E-09,-3.064573E-08,1,0.9451138,0,0,0,1,1,1,0,0,0,-2.289636E-09,-1.902668E-09,-2.901367E-08,1,1,0,0,0,1,2,1,0,0,0,0.01548325,-0.003907767,-0.0002094911,0.9998725,1,0,0,0,1
564.406,-0.007214208,-0.03217373,0.06653424,0.05086362,-0.02365382,0.001567278,0.9984242,0.8264036,0.07360958,0.7373896,-0.08144027,0.6664876,0,0,0,0,138.9356,0,1,0,0,0,-1.676769E-09,1.628856E-08,-1.443099E-08,1,0.9698831,0,0,0,1,1,1,0,0,0,-1.093165E-09,1.383942E-08,-1.244332E-08,1,1,0,0,0,1,2,1,0,0,0,0.03405208,-0.01832298,0.002230273,0.9992496,1,0,0,0,1
564.4569,-0.00721421,-0.03217374,0.06653425,0.08715412,-0.05060692,0.004561739,0.9948981,0.8225445,0.0736726,0.7372868,-0.08148628,0.6665888,0,0,0,0,143.1636,0,1,0,0,0,5.44035E-10,-9.994598E-09,2.152244E-09,1,0.9953303,0,0,0,1,1,1,0,0,0,4.091489E-10,-7.230196E-09,-6.771216E-09,1,1,0,0,0,1,2,1,0,0,0,0.036425,-0.02704224,0.00240074,0.9989673,1,0,0,0,1
