Time,Translation X,Translation Y,Translation Z,Rotation X,Rotation Y,Rotation Z,Rotation W,Scalling,Camera X,Camera Y,Camera Z,Camera W,IsInCollision,CollisionForce X,CollisionForce Y,CollisionForce Z,Checkpoint0,User,Connected,Translation X,Translation Y,Translation Z,Rotation X,Rotation Y,Rotation Z,Rotation W,Scalling,Camera X,Camera Y,Camera Z,Camera W,User,Connected,Translation X,Translation Y,Translation Z,Rotation X,Rotation Y,Rotation Z,Rotation W,Scalling,Camera X,Camera Y,Camera Z,Camera W,User,Connected,Translation X,Translation Y,Translation Z,Rotation X,Rotation Y,Rotation Z,Rotation W,Scalling,Camera X,Camera Y,Camera Z,Camera W
118.2186,0,0,0,0,0,0,1,1,0.07105283,0.7416701,-0.07957658,0.662227,0,0,0,0,5970.139,0,1,0,0,0,-1.094427E-08,4.527012E-07,-0.000000106,1,1,0,0,0,1,1,1,0.6187966,0.02630185,-0.1919627,-1.142656E-08,4.726507E-07,-1.106471E-07,1,1,0,0,0,1,2,1,0,0,0,-1.164916E-08,4.818582E-07,-1.128025E-07,1,1,0,0,0,1
118.269,0,0,0,0.000000005,3.543181E-08,-9.331613E-08,1,1,0.07105283,0.7416701,-0.07957659,0.662227,0,0,0,0,203.7213,0,1,0,0,0,2.236544E-09,1.178701E-08,-3.540127E-08,1,1,0,0,0,1,1,1,0,0,0,1.25448E-09,1.311854E-08,-2.913596E-08,1,1,0,0,0,1,2,1,0,0,0,1.534662E-09,1.052626E-08,-2.877889E-08,1,1,0,0,0,1
118.3184,0,0,0,1.772435E-08,8.50541E-08,-0.000000178,1,1,0.07105282,0.7416701,-0.07957657,0.662227,0,0,0,0,198.6282,0,1,0,0,0,4.459424E-09,1.353159E-08,-3.052854E-08,1,1,0,0,0,1,1,1,0,0,0,3.76868E-09,1.741497E-08,-2.375921E-08,1,1,0,0,0,1,2,1,0,0,0,4.470562E-09,1.867572E-08,-3.03816E-08,1,1,0,0,0,1
118.3685,0,0,0,2.918607E-08,0.000000111,-1.230589E-07,1,1,0.07105283,0.7416701,-0.07957658,0.662227,0,0,0,0,208.8143,0,1,0,0,0,3.473996E-09,7.322415E-09,1.642703E-08,1,1,0,0,0,1,1,1,0,0,0,0.000000004,9.333023E-09,1.92498E-08,1,1,0,0,0,1,2,1,0,0,0,0.000000004,9.333023E-09,1.92498E-08,1,1,0,0,0,1
118.4188,0,0,0,3.753758E-08,1.248835E-07,-1.905829E-07,1,1,0.07105283,0.7416701,-0.07957657,0.662227,0,0,0,0,213.9072,0,1,0,0,0,2.850961E-09,4.51326E-09,-2.488142E-08,1,1,0,0,0,1,1,1,0,0,0,3.274625E-09,6.467749E-09,-2.458146E-08,1,1,0,0,0,1,2,1,0,0,0,2.225919E-09,2.859879E-09,-1.806109E-08,1,1,0,0,0,1
118.4678,0,0,0,4.377745E-08,1.508438E-07,-2.963985E-07,1,1,0.07105283,0.7416701,-0.07957657,0.662227,0,0,0,0,208.8143,0,1,0,0,0,2.149975E-09,1.02408E-08,-3.635758E-08,1,1,0,0,0,1,1,1,0,0,0,1.448094E-09,0.000000009,-2.973519E-08,1,1,0,0,0,1,2,1,0,0,0,2.641781E-09,6.73947E-09,-3.972282E-08,1,1,0,0,0,1
118.5178,0,0,0,5.237645E-08,1.672906E-07,-2.746899E-07,1,1,0.07105283,0.7416701,-0.07957657,0.662227,0,0,0,0,213.9073,0,1,0,0,0,3.053952E-09,5.693106E-09,7.505724E-09,1,1,0,0,0,1,1,1,0,0,0,3.053952E-09,5.693106E-09,7.505724E-09,1,1,0,0,0,1,2,1,0,0,0,2.491094E-09,5.060539E-09,6.697134E-09,1,1,0,0,0,1
118.5689,0,0,0,6.233711E-08,2.006889E-07,-2.089381E-07,1,1,0.07105282,0.7416701,-0.07957657,0.662227,0,0,0,0,219.0004,0,1,0,0,0,2.944993E-09,1.071106E-08,2.137818E-08,1,1,0,0,0,1,1,1,0,0,0,3.507851E-09,1.134363E-08,2.218677E-08,1,1,0,0,0,1,2,1,0,0,0,3.507851E-09,1.134363E-08,2.218677E-08,1,1,0,0,0,1
118.6188,0,0,0,7.613949E-08,2.287394E-07,-1.447477E-07,1,1,0.07105281,0.7416701,-0.07957656,0.662227,0,0,0,0,213.9073,0,1,0,0,0,4.797924E-09,1.016574E-08,2.266031E-08,1,1,0,0,0,1,1,1,0,0,0,4.797924E-09,1.016574E-08,2.266031E-08,1,1,0,0,0,1,2,1,0,0,0,4.206556E-09,7.718882E-09,1.886983E-08,1,1,0,0,0,1
118.6687,0,0,0,9.22968E-08,2.630808E-07,-8.865191E-08,1,1,0.0710528,0.7416701,-0.07957655,0.662227,0,0,0,0,208.8143,0,1,0,0,0,5.422168E-09,1.214702E-08,1.964725E-08,1,1,0,0,0,1,1,1,0,0,0,4.738555E-09,9.611002E-09,1.589064E-08,1,1,0,0,0,1,2,1,0,0,0,0.000000006,1.258327E-08,2.055786E-08,1,1,0,0,0,1
