3,8,18-Task3
Time,Translation X,Translation Y,Translation Z,Rotation X,Rotation Y,Rotation Z,Rotation W,Scalling,Camera X,Camera Y,Camera Z,Camera W,IsInCollision,CollisionForce X,CollisionForce Y,CollisionForce Z,Checkpoint0,Checkpoint1,Checkpoint2,Checkpoint3,Checkpoint4,Checkpoint5,Checkpoint6,Checkpoint7,User,Connected,Translation X,Translation Y,Translation Z,Rotation X,Rotation Y,Rotation Z,Rotation W,Scalling,Camera X,Camera Y,Camera Z,Camera W,User,Connected,Translation X,Translation Y,Translation Z,Rotation X,Rotation Y,Rotation Z,Rotation W,Scalling,Camera X,Camera Y,Camera Z,Camera W,User,Connected,Translation X,Translation Y,Translation Z,Rotation X,Rotation Y,Rotation Z,Rotation W,Scalling,Camera X,Camera Y,Camera Z,Camera W
760.0042,0,0,0,0,0,0,1,1,0.05732334,0.7368126,-0.06297264,0.6707128,0,0,0,0,7876.747,5570.639,80.9239,50.70893,46.18677,42.93446,40.3986,46.24526,0,1,0.4011904,-1.123614,-0.0996674,-5.093428E-07,-8.967613E-07,-1.903357E-06,1,1,0,0,0,1,1,1,0.01321799,0.129022,-0.01492248,-5.186163E-07,-9.155359E-07,-1.936204E-06,1,1,0,0,0,1,2,1,0,0,0,-4.835688E-07,-8.465922E-07,-1.805153E-06,1,1,0,0,0,1
760.0543,0,0,0,1.860385E-09,-2.851374E-08,1.107375E-08,1,1,0.05732334,0.7368127,-0.06297264,0.6707128,0,0,0,0,154.7374,185.7227,180.0777,172.4104,157.035,145.9772,137.3553,157.2339,0,1,0,0,0,6.576743E-10,-9.827263E-09,3.016942E-10,1,1,0,0,0,1,1,1,0,0,0,5.824116E-10,-9.411715E-09,8.441294E-09,1,1,0,0,0,1,2,1,0,0,0,6.20299E-10,-9.274759E-09,2.330753E-09,1,1,0,0,0,1
760.1046,0,0,0,6.565833E-09,-4.50933E-08,-2.296158E-08,1,1,0.05732334,0.7368126,-0.06297264,0.6707129,0,0,0,0,150.1863,180.2603,174.7813,167.3395,152.4163,141.6837,133.3154,152.6094,0,1,0,0,0,1.643301E-09,-5.119293E-09,-8.794298E-09,1,1,0,0,0,1,1,1,0,0,0,1.402718E-09,-6.0263E-09,-1.661802E-08,1,1,0,0,0,1,2,1,0,0,0,1.659423E-09,-5.43398E-09,-8.623025E-09,1,1,0,0,0,1
760.1536,0,0,0,1.094289E-08,-5.627875E-08,-7.911157E-08,1,1,0.05732333,0.7368127,-0.06297264,0.6707128,0,0,0,0,154.7374,185.7227,180.0777,172.4104,157.035,145.9772,137.3553,157.2339,0,1,0,0,0,1.432012E-09,-3.233577E-09,-2.035202E-08,1,1,0,0,0,1,1,1,0,0,0,1.352951E-09,-4.480126E-09,-1.373794E-08,1,1,0,0,0,1,2,1,0,0,0,1.592087E-09,-3.471776E-09,-2.205999E-08,1,1,0,0,0,1
760.2051,0,0,0,1.433458E-08,-7.444541E-08,-1.084501E-07,1,1,0.05732332,0.7368126,-0.06297261,0.6707129,0,0,0,0,163.8396,196.6476,190.6705,182.5521,166.2724,154.5641,145.435,166.483,0,1,0,0,0,9.660142E-10,-6.673185E-09,-1.221751E-08,1,1,0,0,0,1,1,1,0,0,0,1.031396E-09,-5.904093E-09,-1.030074E-08,1,1,0,0,0,1,2,1,0,0,0,1.394271E-09,-5.589406E-09,-6.820197E-09,1,1,0,0,0,1
760.2545,0,0,0,1.399073E-08,-3.23421E-08,-2.045058E-07,1,1,0.0573233,0.7368126,-0.0629726,0.6707128,0,0,0,0,136.533,163.873,158.892,152.1268,138.5603,128.8034,121.1959,138.7358,0,1,0,0,0,1.210999E-10,1.470234E-08,-3.064148E-08,1,1,0,0,0,1,1,1,0,0,0,-2.670854E-10,1.207457E-08,-3.11126E-08,1,1,0,0,0,1,2,1,0,0,0,-1.978688E-10,1.53264E-08,-3.430161E-08,1,1,0,0,0,1
760.3041,0,0,0,1.566845E-08,2.049794E-08,-2.902367E-07,1,1,0.0573233,0.7368126,-0.06297259,0.6707128,0,0,0,0,159.2885,191.1852,185.3741,177.4812,161.6537,150.2706,141.3951,161.8584,0,1,0,0,0,6.009782E-10,1.891179E-08,-3.088077E-08,1,1,0,0,0,1,1,1,0,0,0,4.757645E-10,1.501647E-08,-2.396936E-08,1,1,0,0,0,1,2,1,0,0,0,6.009782E-10,1.891179E-08,-3.088077E-08,1,1,0,0,0,1
760.3538,0,0,0,1.440905E-08,5.972248E-08,-3.338101E-07,1,1,0.05732327,0.7368125,-0.06297256,0.6707129,0,0,0,0,172.9418,207.5725,201.2633,192.6939,175.5098,163.151,153.5147,175.732,0,1,0,0,0,-5.833801E-10,1.352942E-08,-1.617445E-08,1,1,0,0,0,1,1,1,0,0,0,-2.678498E-10,1.2087E-08,-1.346014E-08,1,1,0,0,0,1,2,1,0,0,0,-4.081795E-10,1.36081E-08,-1.393876E-08,1,1,0,0,0,1
760.4046,0,0,0,4.825961E-09,7.422095E-08,-4.162944E-07,1,1,0.05732327,0.7368126,-0.06297256,0.6707129,0,0,0,0,177.4929,213.0349,206.5597,197.7648,180.1285,167.4444,157.5546,180.3565,0,1,0,0,0,-2.90092E-09,3.250873E-09,-2.66428E-08,1,1,0,0,0,1,1,1,0,0,0,-3.564449E-09,6.259073E-09,-2.632915E-08,1,1,0,0,0,1,2,1,0,0,0,-3.117723E-09,4.988555E-09,-2.951222E-08,1,1,0,0,0,1
760.4547,0,0,0,-2.180063E-10,6.71266E-08,-5.337954E-07,1,1,0.05732325,0.7368126,-0.06297253,0.6707129,0,0,0,0,172.9418,207.5725,201.2633,192.6939,175.5098,163.151,153.5147,175.732,0,1,0,0,0,-1.961789E-09,-8.967737E-10,-3.877467E-08,1,1,0,0,0,1,1,1,0,0,0,-1.144351E-09,-2.575212E-09,-3.597801E-08,1,1,0,0,0,1,2,1,0,0,0,-1.937839E-09,-3.622334E-09,-4.274824E-08,1,1,0,0,0,1
