4,2,19-Task1
Time,Translation X,Translation Y,Translation Z,Rotation X,Rotation Y,Rotation Z,Rotation W,Scalling,Camera X,Camera Y,Camera Z,Camera W,IsInCollision,CollisionForce X,CollisionForce Y,CollisionForce Z,Checkpoint0,Checkpoint1,User,Connected,Translation X,Translation Y,Translation Z,Rotation X,Rotation Y,Rotation Z,Rotation W,Scalling,Camera X,Camera Y,Camera Z,Camera W,User,Connected,Translation X,Translation Y,Translation Z,Rotation X,Rotation Y,Rotation Z,Rotation W,Scalling,Camera X,Camera Y,Camera Z,Camera W,User,Connected,Translation X,Translation Y,Translation Z,Rotation X,Rotation Y,Rotation Z,Rotation W,Scalling,Camera X,Camera Y,Camera Z,Camera W,User,Connected,Translation X,Translation Y,Translation Z,Rotation X,Rotation Y,Rotation Z,Rotation W,Scalling,Camera X,Camera Y,Camera Z,Camera W
42.28058,0,0,0,0,0,0,1,1,0.07105283,0.7416701,-0.07957658,0.662227,0,0,0,0,45.23401,51.87981,0,1,-0.03325192,0.02688609,0.01277883,0,0,0,1,1,0,0,0,1,1,1,0,0,0,-2.801829E-10,2.592281E-09,-3.570673E-10,1,1,0,0,0,1,2,1,0,0,0,0,0,0,1,1,0,0,0,1,3,1,0,0,0,0,0,0,1,1,0,0,0,1
42.32864,0,0,0,6.433844E-09,4.776509E-08,-1.220562E-07,1,1,0.07105283,0.7416701,-0.07957659,0.662227,0,0,0,0,95.49403,109.524,0,1,0,0,0,1.611502E-09,1.013363E-08,-2.858095E-08,1,1,0,0,0,1,1,1,0,0,0,1.611502E-09,1.013363E-08,-2.858095E-08,1,1,0,0,0,1,2,1,0,0,0,1.25448E-09,1.311854E-08,-2.913596E-08,1,1,0,0,0,1,3,1,0,0,0,2.236544E-09,1.178701E-08,-3.540127E-08,1,1,0,0,0,1
42.37939,0,0,0,2.291101E-08,1.104218E-07,-2.348314E-07,1,1,0.07105282,0.7416701,-0.07957657,0.662227,0,0,0,0,120.624,138.3461,0,1,0,0,0,3.980303E-09,1.650592E-08,-2.748153E-08,1,1,0,0,0,1,1,1,0,0,0,4.057142E-09,1.611329E-08,-2.728359E-08,1,1,0,0,0,1,2,1,0,0,0,3.980303E-09,1.650592E-08,-2.748153E-08,1,1,0,0,0,1,3,1,0,0,0,4.459424E-09,1.353159E-08,-3.052854E-08,1,1,0,0,0,1
42.42816,0,0,0,3.569819E-08,1.40457E-07,-1.678606E-07,1,1,0.07105283,0.7416701,-0.07957658,0.662227,0,0,0,0,115.598,132.5817,0,1,0,0,0,2.911137E-09,6.689847E-09,1.561843E-08,1,1,0,0,0,1,1,1,0,0,0,3.490923E-09,9.333023E-09,1.93069E-08,1,1,0,0,0,1,2,1,0,0,0,3.473996E-09,7.322415E-09,1.642703E-08,1,1,0,0,0,1,3,1,0,0,0,2.911137E-09,6.689847E-09,1.561843E-08,1,1,0,0,0,1
42.47931,0,0,0,4.627276E-08,1.556127E-07,-2.64183E-07,1,1,0.07105283,0.7416701,-0.07957657,0.662227,0,0,0,0,120.624,138.3461,0,1,0,0,0,2.514382E-09,3.408954E-09,-2.158546E-08,1,1,0,0,0,1,1,1,0,0,0,2.514382E-09,3.408954E-09,-2.158546E-08,1,1,0,0,0,1,2,1,0,0,0,2.850961E-09,4.51326E-09,-2.488142E-08,1,1,0,0,0,1,3,1,0,0,0,2.694839E-09,3.824575E-09,-2.826992E-08,1,1,0,0,0,1
42.52969,0,0,0,5.446081E-08,1.883423E-07,-4.069804E-07,1,1,0.07105283,0.7416701,-0.07957657,0.662227,0,0,0,0,125.65,144.1105,0,1,0,0,0,1.659717E-09,8.070999E-09,-3.34575E-08,1,1,0,0,0,1,1,1,0,0,0,1.736556E-09,7.67837E-09,-3.325956E-08,1,1,0,0,0,1,2,1,0,0,0,2.149975E-09,1.02408E-08,-3.635758E-08,1,1,0,0,0,1,3,1,0,0,0,2.641781E-09,6.73947E-09,-3.972282E-08,1,1,0,0,0,1
42.57836,0,0,0,6.69998E-08,2.092171E-07,-3.796117E-07,1,1,0.07105283,0.7416701,-0.07957657,0.662227,0,0,0,0,120.624,138.3461,0,1,0,0,0,2.994037E-09,5.060539E-09,6.64003E-09,1,1,0,0,0,1,1,1,0,0,0,3.556895E-09,5.693106E-09,7.44862E-09,1,1,0,0,0,1,2,1,0,0,0,3.053952E-09,5.693106E-09,7.505724E-09,1,1,0,0,0,1,3,1,0,0,0,3.49698E-09,5.060539E-09,6.582926E-09,1,1,0,0,0,1
42.62963,0,0,0,8.134947E-08,2.567929E-07,-2.910626E-07,1,1,0.07105282,0.7416701,-0.07957657,0.662227,0,0,0,0,125.65,144.1105,0,1,0,0,0,3.507851E-09,1.134363E-08,2.218677E-08,1,1,0,0,0,1,1,1,0,0,0,3.507851E-09,1.134363E-08,2.218677E-08,1,1,0,0,0,1,2,1,0,0,0,3.507851E-09,1.134363E-08,2.218677E-08,1,1,0,0,0,1,3,1,0,0,0,3.263305E-09,1.291232E-08,2.118024E-08,1,1,0,0,0,1
42.6782,0,0,0,9.972191E-08,2.967192E-07,-2.123866E-07,1,1,0.07105281,0.7416701,-0.07957656,0.662227,0,0,0,0,120.624,138.3461,0,1,0,0,0,4.206556E-09,7.718882E-09,1.886983E-08,1,1,0,0,0,1,1,1,0,0,0,5.154809E-09,1.245616E-08,2.243459E-08,1,1,0,0,0,1,2,1,0,0,0,5.116237E-09,1.2367E-08,2.246236E-08,1,1,0,0,0,1,3,1,0,0,0,4.524868E-09,9.920138E-09,1.867188E-08,1,1,0,0,0,1
42.72935,0,0,0,1.206949E-07,3.4085E-07,-1.404557E-07,1,1,0.0710528,0.7416701,-0.07957655,0.662227,0,0,0,0,155.806,178.6971,0,1,0,0,0,4.794054E-09,1.171076E-08,1.874274E-08,1,1,0,0,0,1,1,1,0,0,0,4.775301E-09,7.600394E-09,1.300467E-08,1,1,0,0,0,1,2,1,0,0,0,5.351568E-09,1.013641E-08,1.677348E-08,1,1,0,0,0,1,3,1,0,0,0,5.422168E-09,1.214702E-08,1.964725E-08,1,1,0,0,0,1
42.779,0,0,0,1.260465E-07,3.897905E-07,-1.018892E-07,1,1,0.07105282,0.7416701,-0.07957657,0.662227,0,0,0,0,160.832,184.4615,0,1,0,0,0,1.560775E-09,1.297961E-08,1.155391E-08,1,1,0,0,0,1,1,1,0,0,0,9.308346E-10,1.044359E-08,7.7912E-09,1,1,0,0,0,1,2,1,0,0,0,1.299302E-09,1.253769E-08,7.667505E-09,1,1,0,0,0,1,3,1,0,0,0,1.560775E-09,1.297961E-08,1.155391E-08,1,1,0,0,0,1
42.82817,0,0,0,1.267971E-07,4.216141E-07,-1.240933E-07,1,1,0.0710528,0.7416701,-0.07957654,0.662227,0,0,0,0,160.832,184.4615,0,1,0,0,0,-8.1674E-11,8.743124E-09,-5.724608E-09,1,1,0,0,0,1,1,1,0,0,0,-7.725803E-11,7.275926E-09,-7.711018E-09,1,1,0,0,0,1,2,1,0,0,0,1.04666E-09,9.161377E-09,-1.917195E-10,1,1,0,0,0,1,3,1,0,0,0,-1.371733E-10,6.643359E-09,-8.576711E-09,1,1,0,0,0,1
42.87842,0,0,0,1.223184E-07,4.663071E-07,-1.900349E-07,1,1,0.07105282,0.7416701,-0.07957657,0.662227,0,0,0,0,165.858,190.2259,0,1,0,0,0,-1.205969E-09,8.152754E-09,-1.668952E-08,1,1,0,0,0,1,1,1,0,0,0,-1.09093E-09,1.218017E-08,-1.641733E-08,1,1,0,0,0,1,2,1,0,0,0,-1.09093E-09,1.218017E-08,-1.641733E-08,1,1,0,0,0,1,3,1,0,0,0,-1.09093E-09,1.218017E-08,-1.641733E-08,1,1,0,0,0,1
42.92877,0,0,0,1.289001E-07,4.840538E-07,-1.71265E-07,1,1,0.0710528,0.7416701,-0.07957655,0.662227,0,0,0,0,165.858,190.2259,0,1,0,0,0,1.738542E-09,4.120631E-09,8.691856E-10,1,1,0,0,0,1,1,1,0,0,0,1.48549E-09,4.758864E-09,4.710677E-09,1,1,0,0,0,1,2,1,0,0,0,1.925795E-09,4.108297E-09,8.473355E-09,1,1,0,0,0,1,3,1,0,0,0,1.431817E-09,4.758864E-09,4.716771E-09,1,1,0,0,0,1
42.97836,0,0,0,1.174809E-07,4.905995E-07,-2.00132E-07,1,1,0.07105279,0.7416701,-0.07957653,0.662227,0,0,0,0,160.832,184.4615,0,1,0,0,0,-2.979694E-09,1.746428E-09,-7.767367E-09,1,1,0,0,0,1,1,1,0,0,0,-3.068421E-09,1.764428E-09,-7.813849E-09,1,1,0,0,0,1,2,1,0,0,0,-3.068421E-09,1.764428E-09,-7.813849E-09,1,1,0,0,0,1,3,1,0,0,0,-2.302705E-09,1.270629E-09,-5.471874E-09,1,1,0,0,0,1
43.0282,0,0,0,1.163836E-07,4.964436E-07,-1.728491E-07,1,1,0.07105279,0.7416701,-0.07957654,0.662227,0,0,0,0,160.832,184.4615,0,1,0,0,0,-5.794062E-10,5.953746E-10,7.712839E-09,1,1,0,0,0,1,1,1,0,0,0,-6.074457E-11,2.23936E-09,6.659135E-09,1,1,0,0,0,1,2,1,0,0,0,-7.624176E-10,4.206064E-10,9.17393E-09,1,1,0,0,0,1,3,1,0,0,0,3.052781E-10,2.588896E-09,3.736953E-09,1,1,0,0,0,1
43.07875,0,0,0,1.105097E-07,5.224288E-07,-1.164063E-07,1,1,0.07105279,0.7416701,-0.07957654,0.662227,0,0,0,0,165.858,190.2259,0,1,0,0,0,-1.484724E-09,5.762715E-09,1.402333E-08,1,1,0,0,0,1,1,1,0,0,0,-1.452248E-09,7.229841E-09,1.419803E-08,1,1,0,0,0,1,2,1,0,0,0,-1.452248E-09,7.229841E-09,1.419803E-08,1,1,0,0,0,1,3,1,0,0,0,-1.484724E-09,5.762715E-09,1.402333E-08,1,1,0,0,0,1
43.12847,0,0,0,1.225039E-07,5.218314E-07,2.14575E-08,1,1,0.07105277,0.7416701,-0.07957652,0.662227,0,0,0,0,160.832,184.4615,0,1,0,0,0,2.869347E-09,-2.689357E-10,3.488651E-08,1,1,0,0,0,1,1,1,0,0,0,2.869347E-09,-2.689357E-10,3.488651E-08,1,1,0,0,0,1,2,1,0,0,0,3.262673E-09,-6.362125E-11,3.471024E-08,1,1,0,0,0,1,3,1,0,0,0,2.992895E-09,3.989717E-12,3.338051E-08,1,1,0,0,0,1
43.17811,0,0,0,1.4416E-07,5.36542E-07,1.806843E-07,1,1,0.07105277,0.7416701,-0.07957651,0.662227,0,0,0,0,160.832,184.4615,0,1,0,0,0,4.995854E-09,3.603859E-09,3.642934E-08,1,1,0,0,0,1,1,1,0,0,0,5.553438E-09,3.70208E-09,4.093248E-08,1,1,0,0,0,1,2,1,0,0,0,5.553438E-09,3.70208E-09,4.093248E-08,1,1,0,0,0,1,3,1,0,0,0,5.553438E-09,3.70208E-09,4.093248E-08,1,1,0,0,0,1
43.2293,0.002080646,0.001314682,-0.004901777,1.527949E-07,5.332304E-07,2.553163E-07,1,1,0.0710391,0.7416947,-0.07956684,0.6622021,0,0,0,0,160.8302,184.4593,0,1,0,0,0,1.946296E-09,-1.033681E-09,1.613126E-08,1,1,0,0,0,1,1,1,0,0,0,2.274734E-09,-1.469603E-11,2.157599E-08,1,1,0,0,0,1,2,1,0.004130014,0.002760302,-0.01246778,2.467583E-09,-1.229932E-09,2.079353E-08,1,1,0,0,0,1,3,1,0,0,0,1.946296E-09,-1.033681E-09,1.613126E-08,1,1,0,0,0,1
43.27881,0.1036105,0.02713074,0.09421613,1.469205E-07,5.234318E-07,1.700943E-07,1,1,0.07073048,0.7408875,-0.07901539,0.663204,0,0,0,0,140.14,160.8185,0,1,0,0,0,-5.646605E-10,-2.970397E-09,-1.658678E-08,1,1,0,0,0,1,1,1,0,0,0,-2.365384E-09,-3.043986E-09,-2.432095E-08,1,1,0,0,0,1,2,1,0.01441435,0.009850084,-0.04940866,-1.673518E-09,-6.745089E-10,-2.403594E-08,1,1,0,0,0,1,3,1,0.1358371,0.02769634,0.2000221,-1.270754E-09,-3.109713E-09,-2.02784E-08,1,1,0,0,0,1
43.3289,0.2502015,0.07684933,0.1661795,1.522658E-07,5.116497E-07,2.218064E-07,1,1,0.06970683,0.7386495,-0.07731024,0.6660038,0,0,0,0,131.9584,151.9473,0,1,0,0,0,1.643211E-09,-3.245023E-09,1.459266E-08,1,1,0,0,0,1,1,1,0.002810708,0.005672741,0.01486337,7.746495E-10,-2.366944E-09,1.104731E-08,1,1,0,0,0,1,2,1,0.05262377,0.03252492,-0.120918,1.643211E-09,-3.245023E-09,1.459266E-08,1,1,0,0,0,1,3,1,0.1053059,0.0226916,0.1343934,1.284171E-09,-2.925176E-09,1.147953E-08,1,1,0,0,0,1
43.37931,0.3880667,0.1294082,0.1472185,1.569364E-07,5.326938E-07,2.066812E-07,1,1,0.06775238,0.7367468,-0.07465683,0.6686107,0,0,0,0,127.771,147.7513,0,1,0,0,0,9.800663E-10,6.39009E-09,-6.862646E-09,1,1,0,0,0,1,1,1,0,0,0,1.355248E-09,4.131944E-09,-6.99941E-10,1,1,0,0,0,1,2,1,0.04029952,0.02439338,-0.08040149,1.355248E-09,4.131944E-09,-6.99941E-10,1,1,0,0,0,1,3,1,0.09878337,0.02946233,0.04835238,5.687212E-10,7.139461E-09,-1.520885E-08,1,1,0,0,0,1
43.42894,0.5490321,0.1887098,0.1420221,1.556445E-07,5.644307E-07,1.695451E-07,1,0.9768806,0.06501695,0.735391,-0.07128382,0.6707396,0,0,0,0,124.0866,143.9701,0,1,0,0,0,-2.192979E-10,6.339827E-09,-8.467682E-09,0.9999999,1,0,0,0,1,1,1,0,0,0,1.958463E-10,8.991416E-09,4.128407E-09,0.9999999,0.9768806,0,0,0,1,2,1,0.03882916,0.02334905,-0.06787323,-6.3787E-10,9.316639E-09,-1.598285E-08,0.9999999,1,0,0,0,1,3,1,0.1264256,0.03717212,0.06730349,-2.192979E-10,6.339827E-09,-8.467682E-09,0.9999999,1,0,0,0,1
