Time,Translation X,Translation Y,Translation Z,Rotation X,Rotation Y,Rotation Z,Rotation W,Scalling,Camera X,Camera Y,Camera Z,Camera W,IsInCollision,CollisionForce X,CollisionForce Y,CollisionForce Z,Checkpoint0,Checkpoint1,Checkpoint2,Checkpoint3,Checkpoint4,Checkpoint5,Checkpoint6,Checkpoint7,User,Connected,Translation X,Translation Y,Translation Z,Rotation X,Rotation Y,Rotation Z,Rotation W,Scalling,Camera X,Camera Y,Camera Z,Camera W,User,Connected,Translation X,Translation Y,Translation Z,Rotation X,Rotation Y,Rotation Z,Rotation W,Scalling,Camera X,Camera Y,Camera Z,Camera W,User,Connected,Translation X,Translation Y,Translation Z,Rotation X,Rotation Y,Rotation Z,Rotation W,Scalling,Camera X,Camera Y,Camera Z,Camera W,User,Connected,Translation X,Translation Y,Translation Z,Rotation X,Rotation Y,Rotation Z,Rotation W,Scalling,Camera X,Camera Y,Camera Z,Camera W
272.894,0,0,0,0,0,0,1,1,0.05732334,0.7368126,-0.06297264,0.6707128,0,0,0,0,5174.69,5055.148,4689.106,4462.054,4688.428,4623.11,4732.194,3954.508,0,1,0.05817802,0.06079907,0.02608291,1.448279E-07,-5.857632E-06,-3.368415E-07,1,0.9647468,0,0,0,1,1,1,1.223021,0.06714812,0.07922531,1.404169E-07,-5.679227E-06,-3.265824E-07,1,1,0,0,0,1,2,1,0.5643719,0.08264092,0.07585177,1.415197E-07,-5.723828E-06,-3.291471E-07,1,1,0,0,0,1,3,1,0,0,0,1.315951E-07,-5.322418E-06,-3.060642E-07,1,1,0,0,0,1
272.9434,0,0,0,2.351412E-09,-3.719521E-08,2.748337E-08,1,1,0.05732334,0.7368127,-0.06297264,0.6707128,0,0,0,0,113.7775,136.5608,132.41,126.7723,115.4669,107.3362,100.9965,115.6132,0,1,0,0,0,5.662896E-10,-9.097027E-09,8.270022E-09,1,1,0,0,0,1,1,1,0,0,0,6.20299E-10,-9.274759E-09,2.330753E-09,1,1,0,0,0,1,2,1,0,0,0,5.824116E-10,-9.411715E-09,8.441294E-09,1,1,0,0,0,1,3,1,0,0,0,5.824116E-10,-9.411715E-09,8.441294E-09,1,1,0,0,0,1
272.9934,0,0,0,8.315626E-09,-5.987754E-08,-2.129071E-08,1,1,0.05732334,0.7368126,-0.06297264,0.6707129,0,0,0,0,113.7775,136.5608,132.41,126.7723,115.4669,107.3362,100.9965,115.6132,0,1,0,0,0,1.754117E-09,-6.44127E-09,-1.224776E-08,1,1,0,0,0,1,1,1,0,0,0,1.387086E-09,-3.772461E-09,-1.960736E-08,1,1,0,0,0,1,2,1,0,0,0,1.594041E-09,-6.203071E-09,-1.053979E-08,1,1,0,0,0,1,3,1,0,0,0,1.308025E-09,-0.000000005,-0.000000013,1,1,0,0,0,1
273.0432,0,0,0,0.000000014,-7.163753E-08,-1.005513E-07,1,1,0.05732333,0.7368127,-0.06297264,0.6707128,0,0,0,0,113.7775,136.5608,132.41,126.7723,115.4669,107.3362,100.9965,115.6132,0,1,0,0,0,1.513027E-09,-4.718324E-09,-1.544591E-08,1,1,0,0,0,1,1,1,0,0,0,1.402211E-09,-3.396347E-09,-0.000000012,1,1,0,0,0,1,2,1,0,0,0,1.224567E-09,-2.742119E-09,-2.660152E-08,1,1,0,0,0,1,3,1,0,0,0,1.481272E-09,-2.149799E-09,-1.860653E-08,1,1,0,0,0,1
273.0936,0,0,0,1.845344E-08,-9.620152E-08,-1.387907E-07,1,1,0.05732332,0.7368126,-0.06297261,0.6707129,0,0,0,0,127.4308,152.9481,148.2992,141.985,129.3229,120.2165,113.1161,129.4867,0,1,0,0,0,1.394271E-09,-5.589406E-09,-6.820197E-09,1,1,0,0,0,1,1,1,0,0,0,0.000000001,-6.673185E-09,-1.221751E-08,1,1,0,0,0,1,2,1,0,0,0,0.000000001,-5.904093E-09,-1.030074E-08,1,1,0,0,0,1,3,1,0,0,0,0.000000001,-6.397354E-09,-8.900817E-09,1,1,0,0,0,1
273.144,0.01876694,0.02248906,0.04991261,0.000000022,-8.137862E-08,-1.355757E-07,1,1,0.05715562,0.73642,-0.06271102,0.6711827,0,0,0,0,131.8163,158.2429,153.4413,146.9158,133.8131,124.3796,117.0176,133.9942,0,1,0,0,0,7.262321E-10,5.278827E-10,4.70924E-09,1,1,0,0,0,1,1,1,0,0,0,7.954488E-10,3.779715E-09,1.520221E-09,1,1,0,0,0,1,2,1,0,0,0,0.000000001,5.257646E-09,-1.507257E-09,1,1,0,0,0,1,3,1,0.02946463,0.03468724,0.08092994,0.000000001,5.257646E-09,-1.507257E-09,1,1,0,0,0,1
273.1938,0.05898936,0.0583142,0.192235,0.000000027,1.075862E-08,-1.858179E-07,1,1,0.05659447,0.7343031,-0.061691,0.6736395,0,0,0,0,125.6276,151.1607,146.7045,140.5723,128.0617,118.9218,111.7043,128.2996,0,1,0,0,0,1.829036E-09,2.043479E-08,-6.651537E-09,1,1,0,0,0,1,1,1,0,0,0,8.783075E-10,2.449741E-08,-1.520017E-08,1,1,0,0,0,1,2,1,0,0,0,8.783075E-10,2.449741E-08,-1.520017E-08,1,1,0,0,0,1,3,1,0.04444694,0.03510159,0.1681028,1.380265E-09,2.270762E-08,-1.319038E-08,1,1,0,0,0,1
273.2431,0.09995235,0.08436852,0.3525038,2.943282E-08,1.356407E-08,-1.178459E-07,1,1,0.05586717,0.7302921,-0.06015973,0.6781837,0,0,0,0,122.4449,148.0917,144.0846,138.3356,126.1545,116.9253,109.4354,126.4072,0,1,0,0,0,6.561405E-10,1.130508E-09,1.672056E-08,1,1,0,0,0,1,1,1,0,0,0,5.576406E-10,5.718945E-10,0.000000009,1,1,0,0,0,1,2,1,0,0,0,6.109452E-10,5.515177E-10,2.11437E-08,1,1,0,0,0,1,3,1,0.04243953,0.02363647,0.1702577,6.109452E-10,5.515177E-10,2.11437E-08,1,1,0,0,0,1
273.2943,0.1392478,0.0974201,0.5420245,2.779844E-08,2.650531E-08,-2.016063E-07,1,1,0.05519496,0.7243069,-0.05838085,0.6847808,0,0,0,0,122.7575,149.5533,146.1021,140.7103,128.5922,118.8914,110.7171,128.7483,0,1,0,0,0,-5.726976E-10,3.443879E-09,-2.390673E-08,1,1,0,0,0,1,1,1,0,0,0,-3.050271E-10,4.878723E-09,-1.928199E-08,1,1,0,0,0,1,2,1,0,0,0,-5.726976E-10,3.443879E-09,-2.390673E-08,1,1,0,0,0,1,3,1,0.03630694,0.007388938,0.1911532,-1.83954E-10,1.174769E-09,-1.666497E-08,1,1,0,0,0,1
273.3428,0.1699354,0.1073841,0.694766,2.632328E-08,3.869155E-08,-2.251969E-07,1,1,0.05464862,0.7170973,-0.05658814,0.6925192,0,0,0,0,106.3255,130.6394,128.3144,124.0746,113.7463,105.0784,97.12724,113.6889,0,1,0,0,0,-2.361299E-10,2.604028E-09,-6.289249E-09,1,1,0,0,0,1,1,1,0,0,0,-3.100489E-10,4.742359E-09,-7.265187E-09,1,1,0,0,0,1,2,1,0,0,0,-2.361299E-10,2.604028E-09,-6.289249E-09,1,1,0,0,0,1,3,1,0.02901096,0.01064722,0.1425917,-6.928637E-10,2.235812E-09,-3.74677E-09,1,1,0,0,0,1
