3,2,Time2-Task1
Time,Translation X,Translation Y,Translation Z,Rotation X,Rotation Y,Rotation Z,Rotation W,Scalling,Camera X,Camera Y,Camera Z,Camera W,IsInCollision,CollisionForce X,CollisionForce Y,CollisionForce Z,Checkpoint0,Checkpoint1,User,Connected,Translation X,Translation Y,Translation Z,Rotation X,Rotation Y,Rotation Z,Rotation W,Scalling,Camera X,Camera Y,Camera Z,Camera W,User,Connected,Translation X,Translation Y,Translation Z,Rotation X,Rotation Y,Rotation Z,Rotation W,Scalling,Camera X,Camera Y,Camera Z,Camera W,User,Connected,Translation X,Translation Y,Translation Z,Rotation X,Rotation Y,Rotation Z,Rotation W,Scalling,Camera X,Camera Y,Camera Z,Camera W
421.9914,0,0,0,0,0,0,1,1,0.07105283,0.7416701,-0.07957658,0.662227,0,0,0,0,382.3632,367.7594,0,1,0,0,0,9.054507E-08,-4.806201E-09,6.164137E-07,1,1,0,0,0,1,1,1,0,0,0,8.946715E-08,-4.748983E-09,6.090755E-07,1,1,0,0,0,1,2,1,0,0,0,8.970669E-08,-4.761698E-09,6.107062E-07,1,1,0,0,0,1
422.0404,0,0,0,6.77819E-09,3.367781E-08,-1.021245E-07,1,1,0.07105283,0.7416701,-0.07957659,0.662227,0,0,0,0,160.832,184.4615,0,1,0,0,0,2.516727E-09,9.194731E-09,-3.504421E-08,1,1,0,0,0,1,1,1,0,0,0,2.516727E-09,9.194731E-09,-3.504421E-08,1,1,0,0,0,1,2,1,0,0,0,1.744738E-09,1.528834E-08,-3.203603E-08,1,1,0,0,0,1
422.0912,0,0,0,2.03451E-08,8.464159E-08,-1.866297E-07,1,1,0.07105282,0.7416701,-0.07957657,0.662227,0,0,0,0,165.858,190.2259,0,1,0,0,0,4.470562E-09,1.867572E-08,-3.03816E-08,1,1,0,0,0,1,1,1,0,0,0,4.470562E-09,1.867572E-08,-3.03816E-08,1,1,0,0,0,1,2,1,0,0,0,4.625791E-09,1.361234E-08,-2.374206E-08,1,1,0,0,0,1
422.1407,0,0,0,2.99766E-08,1.095556E-07,-1.362839E-07,1,1,0.07105283,0.7416701,-0.07957658,0.662227,0,0,0,0,160.832,184.4615,0,1,0,0,0,3.490923E-09,9.333023E-09,1.93069E-08,1,1,0,0,0,1,1,1,0,0,0,2.666592E-09,8.258537E-09,1.46119E-08,1,1,0,0,0,1,2,1,0,0,0,3.473996E-09,7.322415E-09,1.642703E-08,1,1,0,0,0,1
422.1904,0,0,0,3.763118E-08,1.170861E-07,-2.224937E-07,1,1,0.07105283,0.7416701,-0.07957657,0.662227,0,0,0,0,160.832,184.4615,0,1,0,0,0,2.514382E-09,3.408954E-09,-2.158546E-08,1,1,0,0,0,1,1,1,0,0,0,1.865573E-09,-2.346155E-09,-4.00429E-08,1,1,0,0,0,1,2,1,0,0,0,3.274625E-09,6.467749E-09,-2.458146E-08,1,1,0,0,0,1
422.2417,0,0,0,4.409168E-08,1.437521E-07,-3.335932E-07,1,1,0.07105283,0.7416701,-0.07957657,0.662227,0,0,0,0,165.858,190.2259,0,1,0,0,0,1.659717E-09,8.070999E-09,-3.34575E-08,1,1,0,0,0,1,1,1,0,0,0,2.361598E-09,9.331751E-09,-4.007989E-08,1,1,0,0,0,1,2,1,0,0,0,2.439162E-09,9.263241E-09,-3.756205E-08,1,1,0,0,0,1
422.2915,0,0,0,5.31337E-08,1.595663E-07,-3.128074E-07,1,1,0.07105283,0.7416701,-0.07957657,0.662227,0,0,0,0,160.832,184.4615,0,1,0,0,0,3.053952E-09,5.693106E-09,7.505724E-09,1,1,0,0,0,1,1,1,0,0,0,2.994037E-09,5.060539E-09,6.64003E-09,1,1,0,0,0,1,2,1,0,0,0,2.994037E-09,5.060539E-09,6.64003E-09,1,1,0,0,0,1
422.3409,0,0,0,6.355431E-08,1.943427E-07,-2.450986E-07,1,1,0.07105282,0.7416701,-0.07957657,0.662227,0,0,0,0,160.832,184.4615,0,1,0,0,0,3.464863E-09,1.272167E-08,2.420095E-08,1,1,0,0,0,1,1,1,0,0,0,3.507851E-09,1.134363E-08,2.218677E-08,1,1,0,0,0,1,2,1,0,0,0,3.447935E-09,1.071106E-08,2.132108E-08,1,1,0,0,0,1
422.3911,0,0,0,7.757833E-08,2.290083E-07,-1.755382E-07,1,1,0.07105281,0.7416701,-0.07957656,0.662227,0,0,0,0,165.858,190.2259,0,1,0,0,0,4.786341E-09,1.036206E-08,2.255829E-08,1,1,0,0,0,1,1,1,0,0,0,4.488123E-09,1.193075E-08,2.155785E-08,1,1,0,0,0,1,2,1,0,0,0,4.749596E-09,1.237266E-08,2.544425E-08,1,1,0,0,0,1
422.4412,0,0,0,9.384481E-08,2.654495E-07,-1.165965E-07,1,1,0.0710528,0.7416701,-0.07957655,0.662227,0,0,0,0,160.832,184.4615,0,1,0,0,0,5.996609E-09,1.258327E-08,2.055786E-08,1,1,0,0,0,1,1,1,0,0,0,4.847727E-09,1.171076E-08,1.873664E-08,1,1,0,0,0,1,2,1,0,0,0,5.422168E-09,1.214702E-08,1.964725E-08,1,1,0,0,0,1
