4,8,Time2-Task3
Time,Translation X,Translation Y,Translation Z,Rotation X,Rotation Y,Rotation Z,Rotation W,Scalling,Camera X,Camera Y,Camera Z,Camera W,IsInCollision,CollisionForce X,CollisionForce Y,CollisionForce Z,Checkpoint0,Checkpoint1,Checkpoint2,Checkpoint3,Checkpoint4,Checkpoint5,Checkpoint6,Checkpoint7,User,Connected,Translation X,Translation Y,Translation Z,Rotation X,Rotation Y,Rotation Z,Rotation W,Scalling,Camera X,Camera Y,Camera Z,Camera W,User,Connected,Translation X,Translation Y,Translation Z,Rotation X,Rotation Y,Rotation Z,Rotation W,Scalling,Camera X,Camera Y,Camera Z,Camera W,User,Connected,Translation X,Translation Y,Translation Z,Rotation X,Rotation Y,Rotation Z,Rotation W,Scalling,Camera X,Camera Y,Camera Z,Camera W,User,Connected,Translation X,Translation Y,Translation Z,Rotation X,Rotation Y,Rotation Z,Rotation W,Scalling,Camera X,Camera Y,Camera Z,Camera W
532.9851,0,0,0,0,0,0,1,1,0.05732334,0.7368126,-0.06297264,0.6707128,0,0,0,0,5180.024,3657.604,203.9438,5.070894,4.618677,4.293447,4.03986,4.624526,0,1,0.5601832,0.1131895,0.02116862,-5.294699E-09,8.178079E-09,3.257084E-07,1,1,0,0,0,1,1,1,0,0,0,-4.97903E-09,7.471355E-09,3.062493E-07,1,1,0,0,0,1,2,1,0.9914281,0.01071569,-0.07206354,-5.356219E-09,6.945307E-09,3.355069E-07,1,1,0,0,0,1,3,0,0,0,0,0,0,0,1,1,0,0,0,1
533.0349,0,0,0,1.806376E-09,-2.833601E-08,1.701302E-08,1,1,0.05732334,0.7368127,-0.06297264,0.6707128,0,0,0,0,145.6352,174.7979,169.4848,162.2686,147.7977,137.3903,129.2756,147.9848,0,1,0,0,0,6.576743E-10,-9.827263E-09,3.016942E-10,1,1,0,0,0,1,1,1,0,0,0,4.71596E-10,-8.089738E-09,1.189476E-08,1,1,0,0,0,1,2,1,0,0,0,6.20299E-10,-9.274759E-09,2.330753E-09,1,1,0,0,0,1,3,0,0,0,0,0,0,0,1,1,0,0,0,1
533.0845,0,0,0,6.653885E-09,-4.617612E-08,-1.268957E-08,1,1,0.05732334,0.7368126,-0.06297264,0.6707129,0,0,0,0,150.1863,180.2603,174.7813,167.3395,152.4163,141.6837,133.3154,152.6094,0,1,0,0,0,1.594041E-09,-6.203071E-09,-1.053979E-08,1,1,0,0,0,1,1,1,0,0,0,1.659423E-09,-5.43398E-09,-8.623025E-09,1,1,0,0,0,1,2,1,0,0,0,1.594041E-09,-6.203071E-09,-1.053979E-08,1,1,0,0,0,1,3,0,0,0,0,0,0,0,1,1,0,0,0,1
533.1345,0,0,0,1.080787E-08,-5.461627E-08,-7.807841E-08,1,1,0.05732333,0.7368127,-0.06297264,0.6707128,0,0,0,0,154.7374,185.7227,180.0777,172.4104,157.035,145.9772,137.3553,157.2339,0,1,0,0,0,1.240689E-09,-3.056806E-09,-2.643025E-08,1,1,0,0,0,1,1,1,0,0,0,1.481272E-09,-2.149799E-09,-1.860653E-08,1,1,0,0,0,1,2,1,0,0,0,1.432012E-09,-3.233577E-09,-2.035202E-08,1,1,0,0,0,1,3,0,0,0,0,0,0,0,1,1,0,0,0,1
533.185,0,0,0,1.412197E-08,-7.43612E-08,-1.063176E-07,1,1,0.05732332,0.7368126,-0.06297261,0.6707129,0,0,0,0,168.3907,202.11,195.9669,187.623,170.8911,158.8575,149.4749,171.1075,0,1,0,0,0,1.045965E-09,-6.397354E-09,-8.900817E-09,1,1,0,0,0,1,1,1,0,0,0,1.045965E-09,-6.397354E-09,-8.900817E-09,1,1,0,0,0,1,2,1,0,0,0,1.222163E-09,-6.95024E-09,-1.043751E-08,1,1,0,0,0,1,3,0,0,0,0,0,0,0,1,1,0,0,0,1
533.2352,0,0,0,1.318217E-08,-3.564763E-08,-1.990753E-07,1,1,0.0573233,0.7368126,-0.0629726,0.6707128,0,0,0,0,168.3907,202.11,195.9669,187.623,170.8911,158.8575,149.4749,171.1075,0,1,0,0,0,-2.670854E-10,1.207457E-08,-3.11126E-08,1,1,0,0,0,1,1,1,0,0,0,-4.056277E-10,1.456442E-08,-3.053247E-08,1,1,0,0,0,1,2,1,0,0,0,-2.670854E-10,1.207457E-08,-3.11126E-08,1,1,0,0,0,1,3,0,0,0,0,0,0,0,1,1,0,0,0,1
533.2856,0,0,0,1.496001E-08,2.052291E-08,-2.880413E-07,1,1,0.0573233,0.7368126,-0.06297259,0.6707128,0,0,0,0,168.3907,202.11,195.9669,187.623,170.8911,158.8575,149.4749,171.1075,0,1,0,0,0,6.009782E-10,1.891179E-08,-3.088077E-08,1,1,0,0,0,1,1,1,0,0,0,5.758882E-10,1.834697E-08,-2.720448E-08,1,1,0,0,0,1,2,1,0,0,0,6.009782E-10,1.891179E-08,-3.088077E-08,1,1,0,0,0,1,3,0,0,0,0,0,0,0,1,1,0,0,0,1
533.335,0,0,0,1.352541E-08,5.966877E-08,-3.338505E-07,1,1,0.05732327,0.7368125,-0.06297256,0.6707129,0,0,0,0,163.8396,196.6476,190.6705,182.5521,166.2724,154.5641,145.435,166.483,0,1,0,0,0,-4.430505E-10,1.200833E-08,-1.569583E-08,1,1,0,0,0,1,1,1,0,0,0,-5.833801E-10,1.352942E-08,-1.617445E-08,1,1,0,0,0,1,2,1,0,0,0,-4.081795E-10,1.36081E-08,-1.393876E-08,1,1,0,0,0,1,3,0,0,0,0,0,0,0,1,1,0,0,0,1
533.3847,0,0,0,5.2975E-09,7.561547E-08,-4.133699E-07,1,1,0.05732327,0.7368126,-0.06297256,0.6707129,0,0,0,0,163.8396,196.6476,190.6705,182.5521,166.2724,154.5641,145.435,166.483,0,1,0,0,0,-2.963815E-09,6.318317E-09,-2.640192E-08,1,1,0,0,0,1,1,1,0,0,0,-2.146377E-09,4.639879E-09,-2.360526E-08,1,1,0,0,0,1,2,1,0,0,0,-3.117723E-09,4.988555E-09,-2.951222E-08,1,1,0,0,0,1,3,0,0,0,0,0,0,0,1,1,0,0,0,1
533.4349,0,0,0,-3.459569E-09,7.255942E-08,-5.335637E-07,1,1,0.05732325,0.7368126,-0.06297253,0.6707129,0,0,0,0,168.3907,202.11,195.9669,187.623,170.8911,158.8575,149.4749,171.1075,0,1,0,0,0,-3.013245E-09,-7.714782E-10,-4.230942E-08,1,1,0,0,0,1,1,1,0,0,0,-2.730595E-09,-1.513052E-09,-3.55748E-08,1,1,0,0,0,1,2,1,0,0,0,-3.013245E-09,-7.714782E-10,-4.230942E-08,1,1,0,0,0,1,3,0,0,0,0,0,0,0,1,1,0,0,0,1
533.4855,0,0,0,-2.294166E-08,6.800109E-08,-7.173994E-07,1,1,0.05732324,0.7368126,-0.06297252,0.6707129,0,0,0,0,168.3907,202.11,195.9669,187.623,170.8911,158.8575,149.4749,171.1075,0,1,0,0,0,-6.910846E-09,-2.698296E-09,-6.126998E-08,1,1,0,0,0,1,1,1,0,0,0,-6.285648E-09,-9.299865E-10,-6.128285E-08,1,1,0,0,0,1,2,1,0,0,0,-6.285648E-09,-9.299865E-10,-6.128285E-08,1,1,0,0,0,1,3,0,0,0,0,0,0,0,1,1,0,0,0,1
533.5356,0,0,0,-3.976051E-08,5.204148E-08,-8.482648E-07,1,1,0.05732323,0.7368126,-0.06297251,0.6707129,0,0,0,0,168.3907,202.11,195.9669,187.623,170.8911,158.8575,149.4749,171.1075,0,1,0,0,0,-5.606297E-09,-5.319861E-09,-4.362163E-08,1,1,0,0,0,1,1,1,0,0,0,-5.606297E-09,-5.319861E-09,-4.362163E-08,1,1,0,0,0,1,2,1,0,0,0,-5.606297E-09,-5.319861E-09,-4.362163E-08,1,1,0,0,0,1,3,0,0,0,0,0,0,0,1,1,0,0,0,1
