Time;Translation X;Translation Y;Translation Z;Rotation X;Rotation Y;Rotation Z;Rotation W;Scalling;Camera X;Camera Y;Camera Z;Camera W;IsInCollision;CollisionForce X;CollisionForce Y;CollisionForce Z;Checkpoint0;Checkpoint1;Checkpoint2;Checkpoint3;Checkpoint4;Checkpoint5;Checkpoint6;Checkpoint7;User;Connected;Translation X;Translation Y;Translation Z;Rotation X;Rotation Y;Rotation Z;Rotation W;Scalling;Camera X;Camera Y;Camera Z;Camera W;User;Connected;Translation X;Translation Y;Translation Z;Rotation X;Rotation Y;Rotation Z;Rotation W;Scalling;Camera X;Camera Y;Camera Z;Camera W;User;Connected;Translation X;Translation Y;Translation Z;Rotation X;Rotation Y;Rotation Z;Rotation W;Scalling;Camera X;Camera Y;Camera Z;Camera W;User;Connected;Translation X;Translation Y;Translation Z;Rotation X;Rotation Y;Rotation Z;Rotation W;Scalling;Camera X;Camera Y;Camera Z;Camera W
420,2895;1,272849;-0,2139628;2,779575;-3,59767E-07;3,20655E-07;-1,95786E-06;1;0,6664302;0,08026323;0,6931656;-0,07813775;0,7120209;0;0;0;0;56,91807;90,9337;105,3913;118,4481;119,1774;109,3292;97,00976;105,0526;0;1;0;0;0;8,66406E-10;3,56868E-09;-9,54952E-09;1;1;0;0;0;1;1;1;0;0;0;9,20585E-10;3,75071E-09;-1,24953E-08;1;1;0;0;0;1;2;1;0;0;0;6,25916E-11;1,85917E-09;1,49929E-09;1;1;0;0;0;1;3;1;-0,08600377;0,0213588;-0,006325049;7,21728E-10;3,36117E-09;-8,51432E-09;1;1;0;0;0;1
420,338;1,166887;-0,1883694;2,776517;-0,00000036;3,16286E-07;-1,97885E-06;1;0,6664302;0,08019128;0,6928906;-0,07800495;0,7123111;0;0;0;0;56,52983;88,89089;102,5423;115,0989;115,5736;106,1823;94,44512;102,775;0;1;0;0;0;4,7637E-10;-2,46286E-09;2,02008E-08;1;1;0;0;0;1;1;1;0;0;0;-2,59787E-10;-6,38644E-10;-4,34173E-09;0,9999999;1;0;0;0;1;2;1;0;0;0;-3,4679E-10;-3,74825E-10;-1,22823E-08;0,9999999;1;0;0;0;1;3;1;-0,1002788;0,02390472;-0,001355942;-5,29039E-11;-8,9211E-10;-2,45697E-08;0,9999998;1;0;0;0;1
420,3881;1,093239;-0,1711609;2,776596;-3,60908E-07;3,09813E-07;-2,07258E-06;1;0,6664302;0,08012394;0,6926556;-0,07788573;0,7125604;0;0;0;0;51,94648;80,27535;92,12568;103,252;103,4528;95,21258;84,92531;92,87986;0;1;0;0;0;-1,32899E-10;1,15512E-09;-2,82639E-09;1;1;0;0;0;1;1;1;0;0;0;-1,98805E-10;-2,31945E-09;-3,12302E-08;1;1;0;0;0;1;2;1;0;0;0;-2,61658E-10;-2,31135E-09;-3,12474E-08;1;1;0;0;0;1;3;1;-0,0736221;0,01688033;0,000942049;-3,64596E-10;-0,000000003;-2,84225E-08;1;1;0;0;0;1
420,4383;1,02897;-0,1564806;2,776957;-3,61772E-07;3,13094E-07;-2,03321E-06;1;0,6664302;0,08007096;0,6924405;-0,07778543;0,7127862;0;0;0;0;62,19471;94,85529;108,43;121,3808;121,4221;111,909;100,0434;109,8023;0;1;0;0;0;-3,00777E-10;0,000000001;1,52339E-08;1;1;0;0;0;1;1;1;0;0;0;-1,31724E-10;1,52586E-09;5,28285E-09;1;1;0;0;0;1;2;1;0;0;0;-1,99383E-10;2,69426E-10;9,20119E-09;1;1;0;0;0;1;3;1;-0,05300954;0,01183103;0,001388453;-2,31774E-10;5,13858E-10;9,65113E-09;1;1;0;0;0;1
420,4895;0,9785103;-0,1452609;2,778025;-3,64157E-07;3,18739E-07;-2,03975E-06;1;0,6664302;0,0800399;0,6922143;-0,07770453;0,7130184;0;0;0;0;65,90767;99,38548;113,2224;126,6104;126,4833;116,7243;104,5618;115,0905;0;1;0;0;0;-5,70062E-10;1,64847E-09;-1,63215E-09;1;1;0;0;0;1;1;1;0;0;0;-5,26511E-10;1,8744E-09;1,31203E-09;1;1;0;0;0;1;2;1;0;0;0;-5,67408E-10;1,38295E-09;-0,000000002;1;1;0;0;0;1;3;1;-0,04754775;0,01088355;-0,002388651;-7,21328E-10;7,39181E-10;-4,26472E-09;1;1;0;0;0;1
420,5381;0,9277865;-0,1330652;2,769606;-3,63083E-07;3,3124E-07;-1,99447E-06;1;0,6664302;0,08000114;0,6921099;-0,07764298;0,7131305;0;0;0;0;64,82066;96,86552;110,0452;122,9433;122,6834;113,3333;101,6877;112,1787;0;1;0;0;0;2,8101E-10;3,11908E-09;1,028E-08;1;1;0;0;0;1;1;1;0;0;0;3,53763E-10;3,202E-09;1,21791E-08;1;1;0;0;0;1;2;1;0;0;0;8,55979E-11;0,000000003;1,06366E-08;1;1;0;0;0;1;3;1;-0,05147351;0,01252474;-0,01089111;3,53763E-10;3,202E-09;1,21791E-08;1;1;0;0;0;1
420,5891;0,8769894;-0,1214722;2,764384;-3,6136E-07;3,37223E-07;-1,9753E-06;1;0,6664302;0,07995557;0,6921219;-0,07760032;0,7131287;0;0;0;0;65,9824;97,73441;110,7162;123,5635;123,1515;113,8683;102,3102;113,1263;0;1;0;0;0;5,74937E-10;9,11244E-10;2,36899E-09;1;1;0;0;0;1;1;1;0;0;0;2,65642E-10;1,45908E-09;2,24028E-09;1;1;0;0;0;1;2;1;0;0;0;6,17407E-10;2,15361E-09;1,23208E-08;1;1;0;0;0;1;3;1;-0,05055022;0,01106325;-0,002064714;2,65642E-10;1,45908E-09;2,24028E-09;1;1;0;0;0;1
420,6395;0,8261102;-0,1100466;2,759349;-3,605E-07;3,42763E-07;-1,90929E-06;1;0,6664302;0,07991522;0,6921896;-0,07757507;0,7130703;0;0;0;0;69,52709;102,1235;115,3735;128,6291;128,0525;118,506;106,6241;118,1452;0;1;0;0;0;1,58186E-10;8,9951E-10;1,1559E-08;1;1;0;0;0;1;1;1;0;0;0;3,94571E-10;1,23573E-09;0,000000019;1;1;0;0;0;1;2;1;0;0;0;1,48965E-10;2,11273E-09;2,03425E-08;1;1;0;0;0;1;3;1;-0,05089908;0,01137543;-0,005005514;1,57372E-10;1,29222E-09;1,51486E-08;1;1;0;0;0;1
420,6884;0,7673814;-0,09741794;2,757764;-3,6089E-07;3,52106E-07;-1,93512E-06;1;0,6664302;0,07988925;0,6922594;-0,07756464;0,7130065;0;0;0;0;68,28216;99,4855;112,0981;124,8521;124,1577;115,0067;103,6218;115,0404;0;1;0;0;0;3,4559E-11;1,76139E-09;-1,03295E-08;1;1;0;0;0;1;1;1;0;0;0;-1,20411E-10;2,85445E-09;-5,63206E-10;1;1;0;0;0;1;2;1;0;0;0;-2,07748E-10;2,23916E-09;-8,25445E-09;1;1;0;0;0;1;3;1;-0,06516837;0,01378705;-0,00013845;-9,57245E-11;2,48775E-09;-6,68811E-09;1;1;0;0;0;1
420,739;0,706473;-0,08395353;2,751563;-3,60325E-07;3,42307E-07;-1,91884E-06;1;0,6664302;0,07987628;0,692341;-0,07756969;0,7129282;0;0;0;0;72,13863;104,1443;117,0008;130,1644;129,2889;119,8938;108,2113;120,38;0;1;0;0;0;2,84331E-10;-1,91153E-09;1,93889E-09;1;1;0;0;0;1;1;1;0;0;0;-2,10748E-12;-0,000000003;6,20097E-09;1;1;0;0;0;1;2;1;0;0;0;1,66561E-10;-2,18496E-09;4,52043E-09;1;1;0;0;0;1;3;1;-0,05738645;0,01310594;-0,0103939;1,15663E-10;-2,71438E-09;3,61944E-09;1;1;0;0;0;1
