1,1,21-Task2
Time,Translation X,Translation Y,Translation Z,Rotation X,Rotation Y,Rotation Z,Rotation W,Scalling,Camera X,Camera Y,Camera Z,Camera W,IsInCollision,CollisionForce X,CollisionForce Y,CollisionForce Z,Checkpoint0,User,Connected,Translation X,Translation Y,Translation Z,Rotation X,Rotation Y,Rotation Z,Rotation W,Scalling,Camera X,Camera Y,Camera Z,Camera W
430.4897,0,0,0,0,0,0,1,1,0.07105283,0.7416701,-0.07957658,0.662227,0,0,0,0,9391.243,0,1,0.6256724,-0.01937309,-0.1458028,-1.078628E-08,6.267166E-07,-4.669914E-08,0.9999999,1,0,0,0,1
430.5395,0,0,0,2.236543E-09,1.178701E-08,-3.540128E-08,1,1,0.07105283,0.7416701,-0.07957659,0.662227,0,0,0,0,280.1167,0,1,0,0,0,2.938425E-09,1.304776E-08,-4.202367E-08,1,1,0,0,0,1
430.589,0,0,0,6.918727E-09,2.955368E-08,-6.950521E-08,1,1,0.07105282,0.7416701,-0.07957657,0.662227,0,0,0,0,280.1167,0,1,0,0,0,3.980303E-09,1.650592E-08,-2.748153E-08,1,1,0,0,0,1
430.6394,0,0,0,1.039272E-08,3.68761E-08,-5.307819E-08,1,1,0.07105283,0.7416701,-0.07957658,0.662227,0,0,0,0,285.2097,0,1,0,0,0,3.473996E-09,7.322415E-09,1.642703E-08,1,1,0,0,0,1
430.6889,0,0,0,1.332052E-08,4.284748E-08,-7.776168E-08,1,1,0.07105283,0.7416701,-0.07957657,0.662227,0,0,0,0,280.1167,0,1,0,0,0,2.9278E-09,5.971386E-09,-2.468348E-08,1,1,0,0,0,1
430.7393,0,0,0,1.59623E-08,4.958694E-08,-1.174845E-07,1,1,0.07105283,0.7416701,-0.07957657,0.662227,0,0,0,0,285.2097,0,1,0,0,0,2.641781E-09,6.73947E-09,-3.972282E-08,1,1,0,0,0,1
430.7888,0,0,0,1.901625E-08,5.528005E-08,-1.099788E-07,1,1,0.07105283,0.7416701,-0.07957657,0.662227,0,0,0,0,280.1167,0,1,0,0,0,3.053952E-09,5.693106E-09,7.505724E-09,1,1,0,0,0,1
430.8393,0,0,0,2.304397E-08,6.863431E-08,-8.496923E-08,1,1,0.07105282,0.7416701,-0.07957657,0.662227,0,0,0,0,285.2097,0,1,0,0,0,4.027721E-09,1.335424E-08,2.500954E-08,1,1,0,0,0,1
430.8897,0,0,0,2.842168E-08,8.144325E-08,-5.862046E-08,1,1,0.07105281,0.7416701,-0.07957656,0.662227,0,0,0,0,285.2097,0,1,0,0,0,5.37771E-09,1.280892E-08,2.634877E-08,1,1,0,0,0,1
430.9391,0,0,0,3.378834E-08,9.149052E-08,-4.18253E-08,1,1,0.0710528,0.7416701,-0.07957655,0.662227,0,0,0,0,280.1167,0,1,0,0,0,5.366669E-09,1.004725E-08,1.679515E-08,1,1,0,0,0,1
430.9895,0,0,0,3.534913E-08,1.044701E-07,-3.027141E-08,1,1,0.07105282,0.7416701,-0.07957657,0.662227,0,0,0,0,285.2097,0,1,0,0,0,1.560775E-09,1.297961E-08,1.155391E-08,1,1,0,0,0,1
431.039,0,0,0,3.639579E-08,1.136315E-07,-3.046313E-08,1,1,0.0710528,0.7416701,-0.07957654,0.662227,0,0,0,0,280.1167,0,1,0,0,0,1.04666E-09,9.161377E-09,-1.917195E-10,1,1,0,0,0,1
431.0894,0,0,0,3.481088E-08,1.264622E-07,-5.063706E-08,1,1,0.07105282,0.7416701,-0.07957657,0.662227,0,0,0,0,285.2097,0,1,0,0,0,-1.584908E-09,1.283074E-08,-2.017391E-08,1,1,0,0,0,1
431.1389,0,0,0,3.62427E-08,1.312211E-07,-4.592029E-08,1,1,0.0710528,0.7416701,-0.07957655,0.662227,0,0,0,0,280.1167,0,1,0,0,0,1.431817E-09,4.758864E-09,4.716771E-09,1,1,0,0,0,1
431.1894,0,0,0,3.317428E-08,1.329855E-07,-5.373415E-08,1,1,0.07105279,0.7416701,-0.07957653,0.662227,0,0,0,0,285.2097,0,1,0,0,0,-3.068421E-09,1.764428E-09,-7.813849E-09,1,1,0,0,0,1
431.239,0,0,0,3.329654E-08,1.353996E-07,-4.853609E-08,1,1,0.07105279,0.7416701,-0.07957654,0.662227,0,0,0,0,280.1167,0,1,0,0,0,1.222667E-10,2.414128E-09,5.198044E-09,1,1,0,0,0,1
431.2894,0,0,0,3.181182E-08,1.411623E-07,-3.451275E-08,1,1,0.07105279,0.7416701,-0.07957654,0.662227,0,0,0,0,285.2097,0,1,0,0,0,-1.484724E-09,5.762715E-09,1.402333E-08,1,1,0,0,0,1
431.3389,0,0,0,3.468116E-08,1.408934E-07,3.737582E-10,1,1,0.07105277,0.7416701,-0.07957652,0.662227,0,0,0,0,280.1167,0,1,0,0,0,2.869347E-09,-2.689357E-10,3.488651E-08,1,1,0,0,0,1
431.3893,0,0,0,4.017512E-08,1.428428E-07,4.126132E-08,1,1,0.07105277,0.7416701,-0.07957651,0.662227,0,0,0,0,285.2097,0,1,0,0,0,5.493974E-09,1.949482E-09,4.088756E-08,1,1,0,0,0,1
431.4397,0,0,0,4.572469E-08,1.424508E-07,8.701902E-08,1,1,0.07105277,0.7416701,-0.07957651,0.662227,0,0,0,0,285.2097,0,1,0,0,0,5.549587E-09,-3.919947E-10,4.575771E-08,1,1,0,0,0,1
431.4895,0,0,0,5.084637E-08,1.449166E-07,1.31463E-07,1,1,0.07105277,0.7416701,-0.07957651,0.662227,0,0,0,0,275.0237,0,1,0,0,0,5.121684E-09,2.465663E-09,4.444394E-08,1,1,0,0,0,1
431.5389,0,0,0,5.611405E-08,1.452116E-07,1.722729E-07,1,1,0.07105278,0.7416701,-0.07957652,0.662227,0,0,0,0,280.1167,0,1,0,0,0,5.2677E-09,2.950422E-10,4.080992E-08,1,1,0,0,0,1
431.5894,0,0,0,6.002873E-08,1.457029E-07,2.038968E-07,1,1,0.07095265,0.7416118,-0.07944716,0.6623185,0,0,0,0,285.2097,0,1,0,0,0,3.914675E-09,4.912295E-10,3.162398E-08,1,1,-0.000941641,-0.0008327792,0.001757585,0.9999976
431.6389,0,0,0,6.002873E-08,1.457029E-07,2.038968E-07,1,1,0.06855868,0.7400798,-0.07633979,0.6646456,0,0,0,0,280.1167,0,1,0,0,0,0,0,0,1,1,-0.006277581,-0.005645379,0.01304528,0.9998794
431.6896,0,0,0,6.002873E-08,1.457029E-07,2.038968E-07,1,1,0.06400375,0.7394342,-0.07101762,0.666406,0,0,0,0,285.2097,0,1,0,0,0,0,0,0,1,1,-0.00127957,0.001209968,0.01081828,0.9999399
431.7391,0,0,0,6.002873E-08,1.457029E-07,2.038968E-07,1,1,0.05903725,0.7388525,-0.06529,0.6680934,0,0,0,0,280.1167,0,1,0,0,0,0,0,0,1,1,-0.001689902,-0.00057593,0.009853046,0.9999499
431.7895,0,0,0,6.002873E-08,1.457029E-07,2.038968E-07,1,1,0.05232206,0.7391891,-0.05781418,0.668969,0,0,0,0,285.2097,0,1,0,0,0,0,0,0,1,1,-0.001063994,0.0008253462,0.01399634,0.9999009
431.8391,0,0,0,6.002873E-08,1.457029E-07,2.038968E-07,1,1,0.04495788,0.7385238,-0.04948914,0.6709041,0,0,0,0,280.1167,0,1,0,0,0,0,0,0,1,1,-0.002302887,-0.003987484,0.01502277,0.9998764
431.8894,0,0,0,6.002873E-08,1.457029E-07,2.038968E-07,1,1,0.03550832,0.7390634,-0.03907732,0.6715634,0,0,0,0,285.2097,0,1,0,0,0,0,0,0,1,1,0.005969536,0.004050049,0.01634385,0.9998403
431.9389,0,0,0,6.002873E-08,1.457029E-07,2.038968E-07,1,1,0.02550411,0.7385611,-0.02798352,0.6731226,0,0,0,0,280.1167,0,1,0,0,0,0,0,0,1,1,-0.005054702,-0.006381018,0.02056315,0.9997552
431.9893,0,0,0,6.002873E-08,1.457029E-07,2.038968E-07,1,1,0.01245504,0.7375984,-0.01361035,0.6749876,0,0,0,0,285.2097,0,1,0,0,0,0,0,0,1,1,-0.002520807,-0.001543272,0.02442046,0.9996973
432.0388,0,0,0,6.002873E-08,1.457029E-07,2.038968E-07,1,1,-8.307027E-05,0.7354392,9.016231E-05,0.6775907,0,0,0,0,280.1167,0,1,0,0,0,0,0,0,1,1,-0.006979087,-0.00658114,0.01590105,0.9998275
432.0892,0,0,0,6.002873E-08,1.457029E-07,2.038968E-07,1,1,-0.01055648,0.7330759,0.01138095,0.6799697,0,0,0,0,285.2097,0,1,0,0,0,0,0,0,1,1,-0.003224657,-0.00248166,0.007309622,0.9999649
432.1396,0,0,0,6.002873E-08,1.457029E-07,2.038968E-07,1,1,-0.01827034,0.7312487,0.01960163,0.6815844,0,0,0,0,285.2097,0,1,0,0,0,0,0,0,1,1,-0.0004868674,-0.0003107486,0.006842347,0.9999763
432.1891,0,0,0,6.002873E-08,1.457029E-07,2.038968E-07,1,1,-0.02420441,0.7299911,0.02588725,0.6825371,0,0,0,0,280.1167,0,1,0,0,0,0,0,0,1,1,0.001307227,-0.0006992843,0.0007187938,0.9999985
432.2396,0,0,0,6.002873E-08,1.457029E-07,2.038968E-07,1,1,-0.02690149,0.7288619,0.02868558,0.6835305,0,0,0,0,285.2097,0,1,0,0,0,0,0,0,1,1,0.0005551752,-0.001183314,-0.002695576,0.9999955
432.2895,0,0,0,6.002873E-08,1.457029E-07,2.038968E-07,1,1,-0.02829316,0.7277356,0.03007527,0.6846136,0,0,0,0,254.6516,0,1,0,0,0,0,0,0,1,1,-0.0006178294,-0.00262455,-0.0003765092,0.9999962
432.339,0,0,0,6.002873E-08,1.457029E-07,2.038968E-07,1,1,-0.02850304,0.7258133,0.03012914,0.6866403,0,0,0,0,280.1167,0,1,0,0,0,0,0,0,1,1,-0.0008881779,-0.004210711,-0.002779448,0.9999868
432.3896,0,0,0,6.022724E-08,1.452227E-07,2.034138E-07,1,1,-0.02864222,0.7241338,0.03012875,0.6884055,0,0,0,0,239.3725,0,1,0,0,0,1.98511E-10,-4.801715E-10,-4.830211E-10,1,1,-0.0005584628,-0.001727858,0.0008913008,0.9999978
432.4388,0,0,0,6.026389E-08,1.463169E-07,2.067823E-07,1,1,-0.0287828,0.723015,0.03017869,0.6895724,0,0,0,0,275.0237,0,1,0,0,0,3.663345E-11,1.094241E-09,3.368508E-09,0.9999999,1,0,0,0,1
