1,8,21-Task3
Time,Translation X,Translation Y,Translation Z,Rotation X,Rotation Y,Rotation Z,Rotation W,Scalling,Camera X,Camera Y,Camera Z,Camera W,IsInCollision,CollisionForce X,CollisionForce Y,CollisionForce Z,Checkpoint0,Checkpoint1,Checkpoint2,Checkpoint3,Checkpoint4,Checkpoint5,Checkpoint6,Checkpoint7,User,Connected,Translation X,Translation Y,Translation Z,Rotation X,Rotation Y,Rotation Z,Rotation W,Scalling,Camera X,Camera Y,Camera Z,Camera W
528.146,0,0,0,0,0,0,1,1,0.05732334,0.7368126,-0.06297264,0.6707128,0,0,0,0,9478.207,8044.124,74.054,15.21268,13.85603,12.88034,12.11958,13.87358,0,1,0.2128736,0.06931593,-0.2749075,2.096708E-07,2.816942E-07,7.214705E-07,1,1,0,0,0,1
528.1958,0,0,0,5.662896E-10,-9.097029E-09,8.270025E-09,1,1,0.05732334,0.7368127,-0.06297264,0.6707128,0,0,0,0,250.3105,300.4338,291.302,278.8991,254.0274,236.1395,222.1923,254.349,0,1,0,0,0,5.662896E-10,-9.097027E-09,8.270022E-09,1,1,0,0,0,1
528.2461,0,0,0,2.320407E-09,-1.55383E-08,-3.977728E-09,1,1,0.05732334,0.7368126,-0.06297264,0.6707129,0,0,0,0,250.3105,300.4338,291.302,278.8991,254.0274,236.1395,222.1923,254.349,0,1,0,0,0,1.754117E-09,-6.44127E-09,-1.224776E-08,1,1,0,0,0,1
528.2956,0,0,0,3.561097E-09,-1.85951E-08,-3.040798E-08,1,1,0.05732333,0.7368127,-0.06297264,0.6707128,0,0,0,0,250.3105,300.4338,291.302,278.8991,254.0274,236.1395,222.1923,254.349,0,1,0,0,0,1.240689E-09,-3.056806E-09,-2.643025E-08,1,1,0,0,0,1
528.346,0,0,0,4.592493E-09,-2.449919E-08,-4.070873E-08,1,1,0.05732332,0.7368126,-0.06297261,0.6707129,0,0,0,0,254.8616,305.8963,296.5984,283.97,258.646,240.4329,226.2321,258.9735,0,1,0,0,0,1.031396E-09,-5.904093E-09,-1.030074E-08,1,1,0,0,0,1
528.3964,0,0,0,3.920674E-09,-1.014978E-08,-7.533026E-08,1,1,0.0573233,0.7368126,-0.0629726,0.6707128,0,0,0,0,254.8616,305.8963,296.5984,283.97,258.646,240.4329,226.2321,258.9735,0,1,0,0,0,-6.718195E-10,1.434941E-08,-3.462154E-08,1,1,0,0,0,1
528.4459,0,0,0,4.596685E-09,1.152769E-08,-1.057698E-07,1,1,0.0573233,0.7368126,-0.06297259,0.6707128,0,0,0,0,250.3105,300.4338,291.302,278.8991,254.0274,236.1395,222.1923,254.349,0,1,0,0,0,6.76012E-10,2.167747E-08,-3.04396E-08,1,1,0,0,0,1
528.4963,0,0,0,4.112032E-09,2.535237E-08,-1.220994E-07,1,1,0.05732327,0.7368125,-0.06297256,0.6707129,0,0,0,0,254.8616,305.8963,296.5984,283.97,258.646,240.4329,226.2321,258.9735,0,1,0,0,0,-4.846533E-10,1.382468E-08,-1.632956E-08,1,1,0,0,0,1
528.5458,0,0,0,1.211113E-09,2.860325E-08,-1.487422E-07,1,1,0.05732327,0.7368126,-0.06297256,0.6707129,0,0,0,0,250.3105,300.4338,291.302,278.8991,254.0274,236.1395,222.1923,254.349,0,1,0,0,0,-2.90092E-09,3.250873E-09,-2.66428E-08,1,1,0,0,0,1
528.5962,0,0,0,-1.80213E-09,2.783177E-08,-1.910517E-07,1,1,0.05732325,0.7368126,-0.06297253,0.6707129,0,0,0,0,254.8616,305.8963,296.5984,283.97,258.646,240.4329,226.2321,258.9735,0,1,0,0,0,-3.013245E-09,-7.714782E-10,-4.230942E-08,1,1,0,0,0,1
