2,8,22-Task4
Time,Translation X,Translation Y,Translation Z,Rotation X,Rotation Y,Rotation Z,Rotation W,Scalling,Camera X,Camera Y,Camera Z,Camera W,IsInCollision,CollisionForce X,CollisionForce Y,CollisionForce Z,Checkpoint0,Checkpoint1,Checkpoint2,Checkpoint3,Checkpoint4,Checkpoint5,Checkpoint6,Checkpoint7,User,Connected,Translation X,Translation Y,Translation Z,Rotation X,Rotation Y,Rotation Z,Rotation W,Scalling,Camera X,Camera Y,Camera Z,Camera W,User,Connected,Translation X,Translation Y,Translation Z,Rotation X,Rotation Y,Rotation Z,Rotation W,Scalling,Camera X,Camera Y,Camera Z,Camera W
250.6691,0,0,0,0,0,0,1,1,0.05732334,0.7368126,-0.06297264,0.6707128,0,0,0,0,9189.65,9006.394,8443.131,8113.921,8582.317,8429.979,8561.92,7099.933,0,1,0.7221116,-0.04871167,-0.04024402,6.812115E-08,-6.19196E-07,2.282798E-06,1,1,0,0,0,1,1,1,0,0,0,6.690276E-08,-6.079969E-07,2.241576E-06,1,1,0,0,0,1
250.7184,0,0,0,1.240086E-09,-1.923898E-08,8.742997E-09,1,1,0.05732334,0.7368127,-0.06297264,0.6707128,0,0,0,0,213.9017,256.7344,248.9309,238.332,217.0779,201.7919,189.8734,217.3528,0,1,0,0,0,5.824116E-10,-9.411715E-09,8.441294E-09,1,1,0,0,0,1,1,1,0,0,0,6.576743E-10,-9.827263E-09,3.016942E-10,1,1,0,0,0,1
250.7684,0,0,0,4.493553E-09,-3.087603E-08,-1.041981E-08,1,1,0.05732334,0.7368126,-0.06297264,0.6707129,0,0,0,0,236.6572,284.0465,275.4128,263.6864,240.1713,223.2591,210.0727,240.4754,0,1,0,0,0,1.594041E-09,-6.203071E-09,-1.053979E-08,1,1,0,0,0,1,1,1,0,0,0,1.659423E-09,-5.43398E-09,-8.623025E-09,1,1,0,0,0,1
250.8185,0,0,0,7.583038E-09,-3.681229E-08,-5.091508E-08,1,1,0.05732333,0.7368127,-0.06297264,0.6707128,0,0,0,0,250.3105,300.4338,291.302,278.8991,254.0274,236.1395,222.1923,254.349,0,1,0,0,0,1.497394E-09,-2.464485E-09,-1.843526E-08,1,1,0,0,0,1,1,1,0,0,0,1.592087E-09,-3.471776E-09,-2.205999E-08,1,1,0,0,0,1
250.8684,0,0,0,9.783252E-09,-4.883668E-08,-6.824485E-08,1,1,0.05732332,0.7368126,-0.06297261,0.6707129,0,0,0,0,250.3105,300.4338,291.302,278.8991,254.0274,236.1395,222.1923,254.349,0,1,0,0,0,9.660142E-10,-6.673185E-09,-1.221751E-08,1,1,0,0,0,1,1,1,0,0,0,1.234195E-09,-5.351207E-09,-5.112228E-09,1,1,0,0,0,1
250.9189,0,0,0,9.387515E-09,-1.818388E-08,-1.368481E-07,1,1,0.0573233,0.7368126,-0.0629726,0.6707128,0,0,0,0,245.7594,294.9714,286.0056,273.8282,249.4087,231.846,218.1524,249.7244,0,1,0,0,0,-1.978688E-10,1.53264E-08,-3.430161E-08,1,1,0,0,0,1,1,1,0,0,0,-1.978688E-10,1.53264E-08,-3.430161E-08,1,1,0,0,0,1
250.9684,0,0,0,1.063942E-08,2.184057E-08,-1.944922E-07,1,1,0.0573233,0.7368126,-0.06297259,0.6707128,0,0,0,0,245.7594,294.9714,286.0056,273.8282,249.4087,231.846,218.1524,249.7244,0,1,0,0,0,5.758884E-10,1.834697E-08,-2.720448E-08,1,1,0,0,0,1,1,1,0,0,0,6.76012E-10,2.167747E-08,-3.04396E-08,1,1,0,0,0,1
251.0188,0,0,0,9.571391E-09,4.919469E-08,-2.269962E-07,1,1,0.05732327,0.7368125,-0.06297256,0.6707129,0,0,0,0,236.6572,284.0465,275.4128,263.6864,240.1713,223.2591,210.0727,240.4754,0,1,0,0,0,-5.833801E-10,1.352942E-08,-1.617445E-08,1,1,0,0,0,1,1,1,0,0,0,-4.846533E-10,1.382468E-08,-1.632956E-08,1,1,0,0,0,1
251.0682,0,0,0,4.524097E-09,5.708544E-08,-2.772444E-07,1,1,0.05732327,0.7368126,-0.06297256,0.6707129,0,0,0,0,236.6572,284.0465,275.4128,263.6864,240.1713,223.2591,210.0727,240.4754,0,1,0,0,0,-2.146377E-09,4.639879E-09,-2.360526E-08,1,1,0,0,0,1,1,1,0,0,0,-2.90092E-09,3.250873E-09,-2.66428E-08,1,1,0,0,0,1
251.1191,0,0,0,-4.50931E-10,5.541717E-08,-3.583285E-07,1,1,0.05732325,0.7368126,-0.06297253,0.6707129,0,0,0,0,209.3506,251.2719,243.6345,233.2611,212.4592,197.4985,185.8336,212.7282,0,1,0,0,0,-1.961789E-09,-8.967737E-10,-3.877467E-08,1,1,0,0,0,1,1,1,0,0,0,-3.013245E-09,-7.714782E-10,-4.230942E-08,1,1,0,0,0,1
251.169,0,0,0,-1.36474E-08,5.178886E-08,-4.808815E-07,1,1,0.05732324,0.7368126,-0.06297252,0.6707129,0,0,0,0,250.3105,300.4338,291.302,278.8991,254.0274,236.1395,222.1923,254.349,0,1,0,0,0,-6.285648E-09,-9.299865E-10,-6.128285E-08,1,1,0,0,0,1,1,1,0,0,0,-6.910846E-09,-2.698296E-09,-6.126998E-08,1,1,0,0,0,1
