Time,Translation X,Translation Y,Translation Z,Rotation X,Rotation Y,Rotation Z,Rotation W,Scalling,Camera X,Camera Y,Camera Z,Camera W,IsInCollision,CollisionForce X,CollisionForce Y,CollisionForce Z,Checkpoint0,User,Connected,Translation X,Translation Y,Translation Z,Rotation X,Rotation Y,Rotation Z,Rotation W,Scalling,Camera X,Camera Y,Camera Z,Camera W
475.4774,0,0,0,0,0,0,1,1,0.07105283,0.7416701,-0.07957658,0.662227,0,0,0,0,9654.08,0,1,0.7854227,0.2744542,-0.1497047,-8.663673E-08,2.637752E-07,-2.360896E-06,1,1,0,0,0,1
475.5269,0,0,0,1.534663E-09,1.052626E-08,-2.877889E-08,1,1,0.07105283,0.7416701,-0.07957659,0.662227,0,0,0,0,280.1167,0,1,0,0,0,1.534662E-09,1.052626E-08,-2.877889E-08,1,1,0,0,0,1
475.5773,0,0,0,0.000000006,2.920198E-08,-5.91605E-08,1,1,0.07105282,0.7416701,-0.07957657,0.662227,0,0,0,0,285.2097,0,1,0,0,0,4.470562E-09,1.867572E-08,-3.03816E-08,1,1,0,0,0,1
475.6268,0,0,0,8.916361E-09,3.589182E-08,-4.354207E-08,1,1,0.07105283,0.7416701,-0.07957658,0.662227,0,0,0,0,280.1167,0,1,0,0,0,2.911137E-09,6.689847E-09,1.561843E-08,1,1,0,0,0,1
475.682,0,0,0,1.277077E-08,0.000000045,-6.443507E-08,1,1,0.07105283,0.7416701,-0.07957657,0.662227,0,0,0,0,249.5586,0,1,0,0,0,3.854411E-09,9.110924E-09,-2.089299E-08,1,1,0,0,0,1
475.7286,0,0,0,1.491174E-08,5.362883E-08,-9.923109E-08,1,1,0.07105283,0.7416701,-0.07957657,0.662227,0,0,0,0,229.1864,0,1,0,0,0,2.140971E-09,8.62608E-09,-3.479603E-08,1,1,0,0,0,1
475.779,0,0,0,1.790578E-08,5.868937E-08,-9.259105E-08,1,1,0.07105283,0.7416701,-0.07957657,0.662227,0,0,0,0,285.2097,0,1,0,0,0,0.000000003,5.060539E-09,6.64003E-09,1,1,0,0,0,1
475.8286,0,0,0,2.141363E-08,0.00000007,-7.040429E-08,1,1,0.07105282,0.7416701,-0.07957657,0.662227,0,0,0,0,280.1167,0,1,0,0,0,3.507851E-09,1.134363E-08,2.218677E-08,1,1,0,0,0,1
475.8789,0,0,0,2.562018E-08,7.775191E-08,-5.153446E-08,1,1,0.07105281,0.7416701,-0.07957656,0.662227,0,0,0,0,285.2097,0,1,0,0,0,4.206556E-09,7.718882E-09,1.886983E-08,1,1,0,0,0,1
475.9293,0,0,0,0.000000031,8.989893E-08,-3.18872E-08,1,1,0.0710528,0.7416701,-0.07957655,0.662227,0,0,0,0,285.2097,0,1,0,0,0,5.422168E-09,1.214702E-08,1.964725E-08,1,1,0,0,0,1
475.9789,0,0,0,3.260313E-08,1.028786E-07,-2.03333E-08,1,1,0.07105282,0.7416701,-0.07957657,0.662227,0,0,0,0,280.1167,0,1,0,0,0,1.560775E-09,0.000000013,1.155391E-08,1,1,0,0,0,1
476.0292,0,0,0,3.353438E-08,1.093076E-07,-2.424282E-08,1,1,0.0710528,0.7416701,-0.07957654,0.662227,0,0,0,0,285.2097,0,1,0,0,0,9.312454E-10,6.429044E-09,-3.909516E-09,1,1,0,0,0,1
476.0788,0,0,0,3.244346E-08,1.214878E-07,-4.066016E-08,1,1,0.07105282,0.7416701,-0.07957657,0.662227,0,0,0,0,280.1167,0,1,0,0,0,-1.09093E-09,1.218017E-08,-1.641733E-08,1,1,0,0,0,1
476.1292,0,0,0,3.386904E-08,1.256141E-07,-3.681518E-08,1,1,0.0710528,0.7416701,-0.07957655,0.662227,0,0,0,0,285.2097,0,1,0,0,0,1.425575E-09,4.126297E-09,3.844983E-09,1,1,0,0,0,1
476.1786,0,0,0,3.107235E-08,1.275353E-07,-0.000000046,1,1,0.07105279,0.7416701,-0.07957653,0.662227,0,0,0,0,239.3725,0,1,0,0,0,-2.796683E-09,1.921196E-09,-9.228458E-09,1,1,0,0,0,1
476.229,0,0,0,3.067596E-08,1.283054E-07,-3.979189E-08,1,1,0.07105279,0.7416701,-0.07957654,0.662227,0,0,0,0,285.2097,0,1,0,0,0,3.052781E-10,2.588896E-09,3.736953E-09,1,1,0,0,0,1
476.2794,0,0,0,2.937424E-08,1.342428E-07,-2.722964E-08,1,1,0.07105279,0.7416701,-0.07957654,0.662227,0,0,0,0,285.2097,0,1,0,0,0,-1.301712E-09,5.937483E-09,1.256224E-08,1,1,0,0,0,1
476.3289,0,0,0,0.000000032,1.341791E-07,2.932546E-09,1,1,0.07105277,0.7416701,-0.07957652,0.662227,0,0,0,0,280.1167,0,1,0,0,0,2.645624E-09,-6.368471E-11,3.016219E-08,1,1,0,0,0,1
476.3793,0,0,0,3.751382E-08,1.361286E-07,4.38201E-08,1,1,0.07105277,0.7416701,-0.07957651,0.662227,0,0,0,0,285.2097,0,1,0,0,0,5.493974E-09,1.949482E-09,4.088756E-08,1,1,0,0,0,1
476.4288,0,0,0,0.000000042,1.361291E-07,8.025327E-08,1,1,0.07105277,0.7416701,-0.07957651,0.662227,0,0,0,0,280.1167,0,1,0,0,0,4.507011E-09,5.071484E-13,3.643319E-08,1,1,0,0,0,1
476.4792,0,0,0,4.658976E-08,1.376567E-07,1.182556E-07,1,1,0.07105277,0.7416701,-0.07957651,0.662227,0,0,0,0,285.2097,0,1,0,0,0,4.568957E-09,1.527525E-09,0.000000038,1,1,0,0,0,1
476.5287,0,0,0,5.118095E-08,0.000000138,1.544725E-07,1,1,0.07105278,0.7416701,-0.07957652,0.662227,0,0,0,0,280.1167,0,1,0,0,0,4.591187E-09,3.931359E-10,3.621695E-08,1,1,0,0,0,1
476.5791,0,0,0,5.6205E-08,1.388357E-07,1.950518E-07,1,1,0.07105278,0.7416701,-0.07957652,0.662227,0,0,0,0,285.2097,0,1,0,0,0,0.000000005,7.858277E-10,4.057924E-08,1,1,0,0,0,1
476.6286,0,0,0,5.986551E-08,1.388819E-07,0.000000234,1,1,0.07105279,0.7416701,-0.07957652,0.662227,0,0,0,0,280.1167,0,1,0,0,0,3.660521E-09,4.616735E-11,3.890878E-08,1,1,0,0,0,1
476.6791,0,0,0,6.453735E-08,1.398752E-07,2.792306E-07,1,1,0.07105277,0.7416701,-0.07957651,0.662227,0,0,0,0,285.2097,0,1,0,0,0,4.671828E-09,0.000000001,4.527002E-08,1,1,0,0,0,1
476.7291,0,0,0,6.412228E-08,0.000000139,2.748693E-07,1,1,0.07105277,0.7416701,-0.0795765,0.662227,0,0,0,0,280.1167,0,1,0,0,0,-4.150807E-10,-9.114827E-10,-4.361393E-09,1,1,0,0,0,1
476.7793,0,0,0,6.814588E-08,0.000000143,2.989108E-07,1,1,0.07105278,0.7416701,-0.07957652,0.662227,0,0,0,0,280.1167,0,1,0,0,0,0.000000004,0.000000004,0.000000024,1,1,0,0,0,1
476.8288,0,0,0,7.260655E-08,1.437552E-07,3.349359E-07,1,1,0.07105278,0.7416701,-0.07957652,0.662227,0,0,0,0,280.1167,0,1,0,0,0,4.460677E-09,7.857643E-10,0.000000036,1,1,0,0,0,1
476.8792,0,0,0,7.605151E-08,1.438179E-07,3.761692E-07,1,1,0.07105279,0.7416701,-0.07957653,0.662227,0,0,0,0,285.2097,0,1,0,0,0,3.444962E-09,6.272736E-11,4.12333E-08,1,1,0,0,0,1
476.9287,0,0,0,7.666925E-08,1.443883E-07,4.044718E-07,1,1,0.07105278,0.7416701,-0.07957652,0.662227,0,0,0,0,280.1167,0,1,0,0,0,6.177476E-10,5.703876E-10,2.830256E-08,1,1,0,0,0,1
476.9791,0,0,0,8.060699E-08,1.48778E-07,0.00000046,1,1,0.07105279,0.7416701,-0.07957653,0.662227,0,0,0,0,285.2096,0,1,0,0,0,3.937726E-09,4.389638E-09,5.551271E-08,1,1,0,0,0,1
477.0286,0,0,0,8.319314E-08,1.488125E-07,4.90102E-07,1,1,0.07105278,0.7416701,-0.07957652,0.662227,0,0,0,0,280.1166,0,1,0,0,0,2.58616E-09,3.447238E-11,3.011727E-08,1,1,0,0,0,1
477.079,0,0,0,8.821139E-08,1.496965E-07,5.306302E-07,1,1,0.07105278,0.7416701,-0.07957652,0.662227,0,0,0,0,285.2096,0,1,0,0,0,0.000000005,8.839849E-10,4.052823E-08,1,1,0,0,0,1
