1,3,23-Task0
Time,Translation X,Translation Y,Translation Z,Rotation X,Rotation Y,Rotation Z,Rotation W,Scalling,Camera X,Camera Y,Camera Z,Camera W,IsInCollision,CollisionForce X,CollisionForce Y,CollisionForce Z,Checkpoint0,Checkpoint1,Checkpoint2,User,Connected,Translation X,Translation Y,Translation Z,Rotation X,Rotation Y,Rotation Z,Rotation W,Scalling,Camera X,Camera Y,Camera Z,Camera W
9.910351,0,0,0,0,0,0,1,1,0.07105283,0.7416701,-0.07957658,0.662227,0,0,0,0,13.89188,16.15105,41.335,0,1,-0.104302,-0.2810763,0.01082668,-2.801829E-10,2.592281E-09,-3.570673E-10,1,1,0,0,0,1
9.9535,0,0,0,1.611502E-09,1.013363E-08,-2.858094E-08,1,1,0.07105283,0.7416701,-0.07957659,0.662227,0,0,0,0,215.5119,247.2853,605.0535,0,1,0,0,0,1.891685E-09,7.541349E-09,-2.822388E-08,1,1,0,0,0,1
10.003,0,0,0,5.49114E-09,2.102205E-08,-6.279794E-08,1,1,0.07105282,0.7416701,-0.07957657,0.662227,0,0,0,0,276.4256,317.0391,774.4991,0,1,0,0,0,3.879638E-09,1.088842E-08,-3.4217E-08,1,1,0,0,0,1
10.0534,0,0,0,8.982063E-09,3.035507E-08,-4.349106E-08,1,1,0.07105283,0.7416701,-0.07957658,0.662227,0,0,0,0,281.4561,322.8077,788.5845,0,1,0,0,0,3.490923E-09,9.333023E-09,1.93069E-08,1,1,0,0,0,1
10.10384,0,0,0,1.133008E-08,3.368328E-08,-7.1863E-08,1,1,0.07105283,0.7416701,-0.07957657,0.662227,0,0,0,0,281.4561,322.8077,788.5845,0,1,0,0,0,2.348015E-09,3.328211E-09,-2.837194E-08,1,1,0,0,0,1
10.1533,0,0,0,1.334682E-08,3.876936E-08,-1.047655E-07,1,1,0.07105283,0.7416701,-0.07957657,0.662227,0,0,0,0,276.4301,317.0433,774.5027,0,1,0,0,0,2.016739E-09,5.086089E-09,-3.290249E-08,1,1,0,0,0,1
10.20349,0,0,0,1.634085E-08,4.382991E-08,-9.812544E-08,1,1,0.07105283,0.7416701,-0.07957657,0.662227,0,0,0,0,251.3001,288.2211,704.0934,0,1,0,0,0,2.994037E-09,5.060539E-09,6.64003E-09,1,1,0,0,0,1
10.25299,0,0,0,2.016701E-08,5.73748E-08,-7.613662E-08,1,1,0.07105282,0.7416701,-0.07957657,0.662227,0,0,0,0,276.4301,317.0433,774.5027,0,1,0,0,0,3.826163E-09,1.354489E-08,2.198883E-08,1,1,0,0,0,1
10.30339,0,0,0,2.469188E-08,6.729493E-08,-5.746472E-08,1,1,0.07105281,0.7416701,-0.07957656,0.662227,0,0,0,0,281.4561,322.8077,788.5845,0,1,0,0,0,4.524868E-09,9.920138E-09,1.867188E-08,1,1,0,0,0,1
10.35379,0,0,0,3.009711E-08,7.743134E-08,-4.069733E-08,1,1,0.0710528,0.7416701,-0.07957655,0.662227,0,0,0,0,281.4561,322.8077,788.5845,0,1,0,0,0,5.40524E-09,1.013641E-08,1.676738E-08,1,1,0,0,0,1
10.40331,0,0,0,3.102795E-08,8.787494E-08,-3.290615E-08,1,1,0.07105282,0.7416701,-0.07957657,0.662227,0,0,0,0,276.4301,317.0433,774.5027,0,1,0,0,0,9.308346E-10,1.044359E-08,7.7912E-09,1,1,0,0,0,1
10.45369,0,0,0,3.144026E-08,9.596749E-08,-3.487418E-08,1,1,0.0710528,0.7416701,-0.07957654,0.662227,0,0,0,0,281.4561,322.8077,788.5845,0,1,0,0,0,4.123037E-10,8.092556E-09,-1.968024E-09,1,1,0,0,0,1
