Time,Translation X,Translation Y,Translation Z,Rotation X,Rotation Y,Rotation Z,Rotation W,Scalling,Camera X,Camera Y,Camera Z,Camera W,IsInCollision,CollisionForce X,CollisionForce Y,CollisionForce Z,Checkpoint0,User,Connected,Translation X,Translation Y,Translation Z,Rotation X,Rotation Y,Rotation Z,Rotation W,Scalling,Camera X,Camera Y,Camera Z,Camera W,User,Connected,Translation X,Translation Y,Translation Z,Rotation X,Rotation Y,Rotation Z,Rotation W,Scalling,Camera X,Camera Y,Camera Z,Camera W
319.9946,0,0,0,0,0,0,1,1,0.07105283,0.7416701,-0.07957658,0.662227,0,0,0,0,375.9442,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,0,0,0,-1.111122E-07,-6.382737E-07,-1.075434E-06,1,1,0,0,0,1
320.0446,0,0,0,3.489475E-09,3.057669E-08,-6.407207E-08,1,1,0.07105283,0.7416701,-0.07957659,0.662227,0,0,0,0,286.5722,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,0,0,0,1.744738E-09,1.528834E-08,-0.000000032,1,1,0,0,0,1
320.108,0,0,0,1.351234E-08,7.606006E-08,-9.005017E-08,1,1,0.07105282,0.7416701,-0.07957657,0.662227,0,0,0,0,291.9792,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,0,0,0,4.514833E-09,2.013888E-08,-1.328427E-08,1,1,0,0,0,1
320.149,0,0,0,0.000000019,8.434407E-08,-6.932515E-08,1,1,0.07105283,0.7416701,-0.07957658,0.662227,0,0,0,0,237.9091,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,0,0,0,2.632736E-09,4.237323E-09,8.852154E-09,1,1,0,0,0,1
320.1997,0,0,0,2.489334E-08,9.623414E-08,-1.150657E-07,1,1,0.07105283,0.7416701,-0.07957657,0.662227,0,0,0,0,237.9091,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,0,0,0,3.274625E-09,6.467749E-09,-2.458146E-08,1,1,0,0,0,1
320.2497,0,0,0,2.886717E-08,0.000000116,-1.814067E-07,1,1,0.07105283,0.7416701,-0.07957657,0.662227,0,0,0,0,259.5372,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,0,0,0,1.534662E-09,1.052626E-08,-2.877889E-08,1,1,0,0,0,1
320.2993,0,0,0,3.491516E-08,1.267773E-07,-1.672609E-07,1,1,0.07105283,0.7416701,-0.07957657,0.662227,0,0,0,0,297.3863,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,0,0,0,0.000000003,5.060539E-09,6.64003E-09,1,1,0,0,0,1
320.3497,0,0,0,4.188785E-08,1.508426E-07,-1.208732E-07,1,1,0.07105282,0.7416701,-0.07957657,0.662227,0,0,0,0,302.7933,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,0,0,0,3.524778E-09,1.335424E-08,2.506664E-08,1,1,0,0,0,1
320.3995,0,0,0,5.116231E-08,1.731355E-07,-7.675706E-08,1,1,0.07105281,0.7416701,-0.07957656,0.662227,0,0,0,0,254.1302,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,0,0,0,4.749596E-09,1.237266E-08,2.544425E-08,1,1,0,0,0,1
320.449,0,0,0,6.077023E-08,1.925359E-07,-0.000000045,1,1,0.0710528,0.7416701,-0.07957655,0.662227,0,0,0,0,297.3863,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,0,0,0,4.830799E-09,9.700158E-09,1.585677E-08,1,1,0,0,0,1
320.4995,0,0,0,6.164396E-08,2.147243E-07,-0.000000037,1,1,0.07105282,0.7416701,-0.07957657,0.662227,0,0,0,0,302.7933,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,0,0,0,4.368569E-10,1.109416E-08,0.000000004,1,1,0,0,0,1
320.5499,0,0,0,6.091504E-08,2.288399E-07,-5.330092E-08,1,1,0.0710528,0.7416701,-0.07957654,0.662227,0,0,0,0,302.7933,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,0,0,0,-7.725803E-11,7.275926E-09,-7.711018E-09,1,1,0,0,0,1
320.5993,0,0,0,5.922719E-08,2.525497E-07,-8.237903E-08,1,1,0.07105282,0.7416701,-0.07957657,0.662227,0,0,0,0,297.3863,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,0,0,0,-5.969527E-10,1.15296E-08,-1.266074E-08,1,1,0,0,0,1
320.6497,0,0,0,0.000000063,2.614113E-07,-7.217082E-08,1,1,0.0710528,0.7416701,-0.07957655,0.662227,0,0,0,0,302.7933,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,0,0,0,1.925795E-09,4.108297E-09,8.473355E-09,1,1,0,0,0,1
320.6992,0,0,0,5.758037E-08,2.644464E-07,-8.545659E-08,1,1,0.07105279,0.7416701,-0.07957653,0.662227,0,0,0,0,297.3863,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,0,0,0,-2.391432E-09,1.288629E-09,-5.518356E-09,1,1,0,0,0,1
320.7496,0,0,0,5.642158E-08,2.656373E-07,-0.00000007,1,1,0.07105279,0.7416701,-0.07957654,0.662227,0,0,0,0,302.7933,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,0,0,0,1.222667E-10,2.414128E-09,5.198044E-09,1,1,0,0,0,1
320.7991,0,0,0,5.366763E-08,2.788047E-07,-4.327066E-08,1,1,0.07105279,0.7416701,-0.07957654,0.662227,0,0,0,0,297.3863,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,0,0,0,-1.301712E-09,5.937483E-09,1.256224E-08,1,1,0,0,0,1
320.8495,0,0,0,5.971288E-08,2.787147E-07,2.353527E-08,1,1,0.07105277,0.7416701,-0.07957652,0.662227,0,0,0,0,302.7933,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,0,0,0,0.000000003,3.989717E-12,3.338051E-08,1,1,0,0,0,1
320.8992,0,0,0,7.081975E-08,2.86119E-07,1.054002E-07,1,1,0.07105277,0.7416701,-0.07957651,0.662227,0,0,0,0,259.5372,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,0,0,0,5.553438E-09,3.70208E-09,4.093248E-08,1,1,0,0,0,1
320.9496,0,0,0,7.918624E-08,2.857275E-07,1.739287E-07,1,1,0.07105277,0.7416701,-0.07957651,0.662227,0,0,0,0,237.9091,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,0,0,0,4.422835E-09,-3.921214E-10,3.664942E-08,1,1,0,0,0,1
320.9991,0,0,0,0.00000009,2.89721E-07,2.654834E-07,1,1,0.07105277,0.7416701,-0.07957651,0.662227,0,0,0,0,297.3863,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,0,0,0,5.132333E-09,1.527589E-09,4.255651E-08,1,1,0,0,0,1
321.0495,0,0,0,1.004738E-07,2.905076E-07,0.000000347,1,1,0.07105278,0.7416701,-0.07957652,0.662227,0,0,0,0,302.7933,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,0,0,0,5.208236E-09,3.931993E-10,4.0765E-08,1,1,0,0,0,1
321.099,0.0001205705,-0.0001416833,0.0008805615,1.105277E-07,0.000000292,4.282168E-07,1,1,0.07105359,0.741667,-0.0795767,0.6622304,0,0,0,0,297.3863,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,0.0004019018,-0.0004722776,0.002935205,0.000000005,6.876706E-10,4.063025E-08,1,1,0,0,0,1
321.1497,0.001327714,-0.001555678,0.009705172,1.100872E-07,3.050826E-07,3.671641E-07,1,1,0.07108315,0.7415544,-0.07958303,0.6623525,0,0,0,0,291.911,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,0.001204464,-0.001409729,0.008806924,-4.245918E-10,5.716765E-09,-3.064861E-08,1,1,0,0,0,1
