2,8,Time5-Task3
Time,Translation X,Translation Y,Translation Z,Rotation X,Rotation Y,Rotation Z,Rotation W,Scalling,Camera X,Camera Y,Camera Z,Camera W,IsInCollision,CollisionForce X,CollisionForce Y,CollisionForce Z,Checkpoint0,Checkpoint1,Checkpoint2,Checkpoint3,Checkpoint4,Checkpoint5,Checkpoint6,Checkpoint7,User,Connected,Translation X,Translation Y,Translation Z,Rotation X,Rotation Y,Rotation Z,Rotation W,Scalling,Camera X,Camera Y,Camera Z,Camera W,User,Connected,Translation X,Translation Y,Translation Z,Rotation X,Rotation Y,Rotation Z,Rotation W,Scalling,Camera X,Camera Y,Camera Z,Camera W
350.8857,0,0,0,0,0,0,1,1,0.05732334,0.7368126,-0.06297264,0.6707128,0,0,0,0,8126.608,350.6665,159.9622,25.35447,23.09339,21.46723,20.1993,23.12263,0,1,0,0,0,2.376765E-08,1.245566E-06,-1.213188E-07,1,1,0,0,0,1,1,1,3.58955,-0.3314481,-2.665214,2.428648E-08,1.268707E-06,-1.212014E-07,1,1,0,0,0,1
350.9354,0,0,0,9.810792E-10,-1.604252E-08,1.767898E-08,1,1,0.05732334,0.7368127,-0.06297264,0.6707128,0,0,0,0,209.3506,251.2719,243.6345,233.2611,212.4592,197.4985,185.8336,212.7282,0,1,0,0,0,4.71596E-10,-8.089738E-09,1.189476E-08,1,1,0,0,0,1,1,1,0,0,0,4.526771E-10,-6.808535E-09,3.29841E-09,1,1,0,0,0,1
350.9857,0,0,0,4.172989E-09,-2.527381E-08,3.715135E-09,1,1,0.05732334,0.7368126,-0.06297264,0.6707129,0,0,0,0,209.3506,251.2719,243.6345,233.2611,212.4592,197.4985,185.8336,212.7282,0,1,0,0,0,1.643301E-09,-5.119293E-09,-8.794298E-09,1,1,0,0,0,1,1,1,0,0,0,1.548607E-09,-4.112003E-09,-5.169563E-09,1,1,0,0,0,1
351.0354,0,0,0,6.863201E-09,-2.791189E-08,-4.448228E-08,1,1,0.05732333,0.7368127,-0.06297264,0.6707128,0,0,0,0,227.555,273.1217,264.8201,253.5446,230.9339,214.6723,201.993,231.2263,0,1,0,0,0,1.481272E-09,-2.149799E-09,-1.860653E-08,1,1,0,0,0,1,1,1,0,0,0,1.208935E-09,-4.882791E-10,-2.959086E-08,1,1,0,0,0,1
351.0863,0,0,0,9.231431E-09,-3.666172E-08,-5.304071E-08,1,1,0.05732332,0.7368126,-0.06297261,0.6707129,0,0,0,0,232.1061,278.5841,270.1165,258.6155,235.5526,218.9657,206.0328,235.8509,0,1,0,0,0,1.390181E-09,-3.675687E-09,-1.666185E-09,1,1,0,0,0,1,1,1,0,0,0,9.780464E-10,-5.074152E-09,-6.892225E-09,1,1,0,0,0,1
351.1358,0,0,0,8.472846E-09,6.215664E-10,-1.203325E-07,1,1,0.0573233,0.7368126,-0.0629726,0.6707128,0,0,0,0,232.1061,278.5841,270.1165,258.6155,235.5526,218.9657,206.0328,235.8509,0,1,0,0,0,-2.671944E-10,2.106809E-08,-3.691051E-08,1,1,0,0,0,1,1,1,0,0,0,-4.91393E-10,1.621521E-08,-3.038128E-08,1,1,0,0,0,1
351.186,0,0,0,9.54959E-09,3.454982E-08,-1.751826E-07,1,1,0.0573233,0.7368126,-0.06297259,0.6707128,0,0,0,0,227.555,273.1217,264.8201,253.5446,230.9339,214.6723,201.993,231.2263,0,1,0,0,0,5.758882E-10,1.834697E-08,-2.720448E-08,1,1,0,0,0,1,1,1,0,0,0,5.008545E-10,1.558129E-08,-2.764565E-08,1,1,0,0,0,1
351.2362,0,0,0,8.455286E-09,5.969137E-08,-1.92937E-07,1,1,0.05732327,0.7368125,-0.06297256,0.6707129,0,0,0,0,232.1061,278.5841,270.1165,258.6155,235.5526,218.9657,206.0328,235.8509,0,1,0,0,0,-6.347536E-10,1.253143E-08,-9.995053E-09,1,1,0,0,0,1,1,1,0,0,0,-4.59553E-10,1.26101E-08,-7.759358E-09,1,1,0,0,0,1
351.2855,1.202943E-05,7.898546E-05,0.001798225,3.009158E-09,6.052538E-08,-2.527569E-07,1,1,0.05732368,0.7368064,-0.06297185,0.6707197,0,0,0,0,227.555,273.1217,264.8201,253.5446,230.9339,214.6723,201.993,231.2263,0,1,4.00981E-05,0.0002632849,0.005994085,-3.208736E-09,5.913494E-10,-3.28634E-08,1,1,0,0,0,1,1,1,0,0,0,-2.23739E-09,2.426736E-10,-2.695644E-08,1,1,0,0,0,1
351.3357,-0.0002787099,0.0004105083,0.03233732,4.917323E-09,6.994682E-08,-2.47912E-07,1,1,0.05734646,0.7365257,-0.06294388,0.6710286,0,0,0,0,222.8132,267.487,259.3964,248.381,226.2503,210.3058,197.8548,226.5318,0,1,-0.001072824,-0.0009167427,0.05106346,1.088817E-09,5.646887E-09,4.451159E-09,1,1,0,0,0,1,1,1,0,0,0,8.19346E-10,3.77452E-09,3.939902E-10,1,1,0,0,0,1
351.386,-0.00159982,-0.0009784783,0.09051229,5.937705E-09,4.217826E-08,-2.365283E-07,1,1,0.05746581,0.7355244,-0.06288675,0.6721211,0,0,0,0,221.8412,266.6227,258.7784,247.949,225.969,209.9785,197.3885,226.2072,0,1,-0.001065319,-0.0005521576,0.06305988,6.690545E-10,-9.9729E-09,6.708409E-09,1,1,0,0,0,1,1,1,0,0,0,3.51325E-10,-1.779568E-08,4.675357E-09,1,1,0,0,0,1
351.4363,0.001098255,0.008982684,0.1595514,3.6572E-09,3.20255E-08,-2.131248E-07,1,1,0.05759966,0.7337581,-0.06270146,0.6740549,0,0,0,0,224.5979,270.4873,262.9368,252.229,230.0794,213.6801,200.5795,230.2458,0,1,0.006120274,0.01960974,0.07737523,-1.197748E-09,-6.50561E-09,1.485174E-08,1,1,0,0,0,1,1,1,0,0,0,-1.082761E-09,-3.64718E-09,8.551821E-09,1,1,0,0,0,1
351.4854,0.01058375,0.03762516,0.2384168,-8.89141E-10,2.000062E-08,-1.975341E-07,1,1,0.05746089,0.7312127,-0.06207279,0.6768849,0,0,0,0,217.6774,262.7926,255.8884,245.8004,224.4141,208.2759,195.1746,224.6338,0,1,0.01127451,0.03340254,0.07700715,-2.474222E-09,-9.0182E-09,8.948154E-09,1,1,0,0,0,1,1,1,0,0,0,-2.072124E-09,-3.006686E-09,6.642614E-09,1,1,0,0,0,1
351.5358,0.0196642,0.06537598,0.3071603,-1.779004E-09,3.132171E-08,-2.138066E-07,1,1,0.05699155,0.7281359,-0.06099623,0.6803305,0,0,0,0,210.339,254.5771,248.2749,238.8123,218.1826,202.3424,189.2805,218.6336,0,1,0.007740432,0.02446397,0.06233621,-4.042986E-10,2.933656E-09,-8.480239E-09,1,1,0,0,0,1,1,1,0,0,0,-4.855625E-10,8.387441E-09,-7.792172E-09,1,1,0,0,0,1
351.5862,0.02551687,0.08549688,0.3637944,-4.601616E-10,3.354774E-08,-2.457333E-07,1,1,0.05635776,0.7248282,-0.05972015,0.6840186,0,0,0,0,207.6806,251.9292,246.0359,236.9561,216.6168,200.7606,187.5052,217.3263,0,1,0.005049277,0.01851692,0.05358725,7.500729E-10,3.341508E-09,-2.210244E-08,1,1,0,0,0,1,1,1,0,0,0,5.687713E-10,-1.115485E-09,-9.824172E-09,1,1,0,0,0,1
351.6357,0.03644717,0.1177242,0.4260045,3.989282E-11,3.177437E-08,-2.043782E-07,1,1,0.05552223,0.721382,-0.05822907,0.6878479,0,0,0,0,201.1287,244.4563,239.037,230.4768,210.8126,195.2782,182.1379,211.739,0,1,0.01364644,0.04389875,0.0713796,1.455653E-10,-8.505769E-10,1.692679E-08,1,1,0,0,0,1,1,1,0.003561653,-0.0004061133,0.002269294,3.544882E-10,-9.228072E-10,2.442843E-08,1,1,0,0,0,1
351.6861,0.07197168,0.1672971,0.5373774,-1.66319E-10,1.935384E-08,-2.042577E-07,1,1,0.05424583,0.7173058,-0.05619979,0.6923665,0,0,0,0,189.8313,231.2635,226.4344,218.6016,200.0525,185.1823,172.4405,201.2598,0,1,0.01589925,0.05222524,0.07458696,-2.308794E-10,-6.460633E-09,-2.876917E-09,1,1,0,0,0,1,1,1,0.0345886,0.003638655,0.0688128,2.466598E-11,-5.959902E-09,2.997415E-09,1,1,0,0,0,1
351.7357,0.1472231,0.2394558,0.7346967,1.459679E-10,1.765627E-08,-2.036843E-07,1,1,0.05232175,0.7116592,-0.05330417,0.698543,0,0,0,0,180.902,221.3748,217.2494,210.1727,192.5392,178.3165,165.1874,194.0498,0,1,0.02015856,0.06613993,0.07786304,1.568718E-10,-1.648713E-09,1.933528E-09,1,1,0,0,0,1,1,1,0.07471243,0.009248776,0.1551779,1.554141E-10,-4.886341E-11,-1.360016E-09,1,1,0,0,0,1
351.7861,0.2355621,0.2977772,0.96272,2.970264E-10,1.877025E-08,-2.000833E-07,1,1,0.04983312,0.7038901,-0.04962663,0.7068188,0,0,0,0,177.0984,218.5606,215.4536,209.2298,193.0529,179.421,163.4082,193.9221,0,1,0.01029963,0.04365969,0.07505687,4.736373E-11,7.028415E-10,4.132285E-09,1,1,0,0,0,1,1,1,0.08306358,0.0114009,0.1816799,1.036953E-10,4.111313E-10,-5.31335E-10,1,1,0,0,0,1
351.8354,0.3097939,0.3510543,1.237384,6.50829E-10,1.871911E-08,-1.956266E-07,1,1,0.04707774,0.6938485,-0.04554902,0.7171354,0,0,0,0,126.3534,157.895,156.5482,153.2331,143.4091,133.2398,120.0298,143.4821,0,1,0.003886211,0.03269663,0.07202975,1.769015E-10,-2.557504E-11,2.228375E-09,1,1,0,0,0,1,1,1,0.05692468,0.02290251,0.229346,1.769015E-10,-2.557504E-11,2.228375E-09,1,1,0,0,0,1
351.8857,0.380457,0.4046989,1.58113,1.06255E-09,1.622468E-08,-1.939555E-07,1,1,0.04408567,0.6808622,-0.04112234,0.729926,0,0,0,0,154.0325,195.2416,194.9151,194.9996,184.1399,170.9882,154.1265,183.7897,0,1,-0.005768386,0.02193688,0.09253089,2.1268E-10,-5.944372E-10,-1.020567E-10,0.9999999,1,0,0,0,1,1,1,0.07686077,0.02339156,0.2665894,1.990401E-10,-1.899993E-09,1.773143E-09,0.9999999,1,0,0,0,1
