Time,Translation X,Translation Y,Translation Z,Rotation X,Rotation Y,Rotation Z,Rotation W,Scalling,Camera X,Camera Y,Camera Z,Camera W,IsInCollision,CollisionForce X,CollisionForce Y,CollisionForce Z,Checkpoint0,Checkpoint1,User,Connected,Translation X,Translation Y,Translation Z,Rotation X,Rotation Y,Rotation Z,Rotation W,Scalling,Camera X,Camera Y,Camera Z,Camera W,User,Connected,Translation X,Translation Y,Translation Z,Rotation X,Rotation Y,Rotation Z,Rotation W,Scalling,Camera X,Camera Y,Camera Z,Camera W
445.8252,0,0,0,0,0,0,1,1,0.07105283,0.7416701,-0.07957658,0.662227,0,0,0,0,8899.316,7558.596,0,1,0.8113074,0.09441928,-0.1308743,-1.117016E-08,-3.158065E-07,1.358173E-07,1,1,0,0,0,1,1,1,0,0,0,-0.000000011,-3.118413E-07,1.33267E-07,1,1,0,0,0,1
445.8755,0,0,0,0.000000004,2.707536E-08,-6.743733E-08,1,1,0.07105283,0.7416701,-0.07957659,0.662227,0,0,0,0,206.0661,236.3412,0,1,0,0,0,1.25448E-09,1.311854E-08,-2.913596E-08,1,1,0,0,0,1,1,1,0,0,0,2.726802E-09,0.000000014,-3.830135E-08,1,1,0,0,0,1
445.9259,0,0,0,1.143894E-08,5.705138E-08,-1.258909E-07,1,1,0.07105282,0.7416701,-0.07957657,0.662227,0,0,0,0,206.0661,236.3412,0,1,0,0,0,3.400517E-09,1.386274E-08,-3.116999E-08,1,1,0,0,0,1,1,1,0,0,0,4.057142E-09,1.611329E-08,-2.728359E-08,1,1,0,0,0,1
445.9757,0,0,0,1.842078E-08,7.571744E-08,-8.727715E-08,1,1,0.07105283,0.7416701,-0.07957658,0.662227,0,0,0,0,211.0921,242.1057,0,1,0,0,0,3.490923E-09,9.333023E-09,1.93069E-08,1,1,0,0,0,1,1,1,0,0,0,3.490923E-09,9.333023E-09,1.93069E-08,1,1,0,0,0,1
446.0252,0,0,0,2.427638E-08,8.76602E-08,-1.366441E-07,1,1,0.07105283,0.7416701,-0.07957657,0.662227,0,0,0,0,211.0921,242.1057,0,1,0,0,0,2.9278E-09,0.000000006,-2.468348E-08,1,1,0,0,0,1,1,1,0,0,0,2.9278E-09,0.000000006,-2.468348E-08,1,1,0,0,0,1
446.0754,0,0,0,2.815465E-08,1.042888E-07,-2.023799E-07,1,1,0.07105283,0.7416701,-0.07957657,0.662227,0,0,0,0,231.1961,265.1634,0,1,0,0,0,1.448094E-09,0.000000009,-2.973519E-08,1,1,0,0,0,1,1,1,0,0,0,2.430158E-09,7.64852E-09,-0.000000036,1,1,0,0,0,1
446.1255,0.0004722919,0.002380245,-0.003983374,3.030801E-08,1.116353E-07,-1.499233E-07,1,1,0.07101902,0.741704,-0.07954605,0.6621963,0,0,0,0,266.3668,305.503,0,1,0.000419622,0.002882633,-0.006040826,1.310429E-09,3.131973E-09,2.581517E-08,1,1,0,0,0,1,1,1,0,0,0,8.429215E-10,4.214506E-09,2.664143E-08,1,1,0,0,0,1
446.1747,0.0004284742,0.002798196,-0.005695031,2.882023E-08,1.003582E-07,-0.000000209,1,1,0.07097244,0.7417845,-0.07951222,0.6621152,0,0,0,0,256.3487,294.002,0,1,0,0,0,-0.000000001,-7.31364E-09,-2.973533E-08,1,1,0,0,0,1,1,1,0,0,0,-5.08763E-10,-0.000000004,-2.929814E-08,1,1,0,0,0,1
446.2254,0.0004211098,0.002868442,-0.005982709,0.000000027,0.000000113,-2.491752E-07,1,0.9190235,0.07093374,0.7418551,-0.07948504,0.6620435,0,0,0,0,260.3799,298.8037,0,1,0,0,0,-0.000000001,6.374304E-09,-0.000000021,1,0.9190235,0,0,0,1,1,1,0,0,0,-8.360629E-10,6.223051E-09,-1.926731E-08,1,1,0,0,0,1
446.2756,0.0004198721,0.002880248,-0.006031059,2.521783E-08,1.136099E-07,-0.000000258,1,0.838708,0.07090364,0.7419106,-0.07946401,0.6619871,0,0,0,0,261.8282,301.117,0,1,0,0,0,-1.063376E-09,3.561498E-10,-5.798944E-09,1,0.9126078,0,0,0,1,1,1,0,0,0,-6.850562E-10,2.982707E-10,-0.000000003,1,1,0,0,0,1
446.3248,0.0004196641,0.002882232,-0.006039185,2.536481E-08,1.155044E-07,-3.081265E-07,1,0.8151382,0.07088039,0.7419534,-0.07944778,0.6619436,0,0,0,0,254.3018,292.9426,0,1,0,0,0,1.279362E-10,5.165566E-10,-2.407486E-08,1,0.9718975,0,0,0,1,1,1,0,0,0,1.90363E-11,1.377903E-09,-2.609909E-08,1,1,0,0,0,1
446.3749,0.0004196291,0.002882566,-0.006040551,2.393772E-08,5.588304E-08,-2.875743E-07,1,0.8151382,0.07086243,0.7419865,-0.07943524,0.6619098,0,0,0,0,229.383,264.3253,0,1,0,0,0,-1.267723E-09,-2.739065E-08,7.775157E-09,1,1,0,0,0,1,1,1,0,0,0,-1.593756E-10,-3.223067E-08,1.2777E-08,1,1,0,0,0,1
446.4247,0.0004196232,0.002882622,-0.006040781,1.94132E-08,0.000000054,-2.750641E-07,1,0.8151382,0.07084852,0.742012,-0.07942551,0.6618838,0,0,0,0,248.8999,286.8164,0,1,0,0,0,-1.825753E-09,-6.529745E-10,9.863707E-09,0.9999999,1,0,0,0,1,1,1,0,0,0,-2.698776E-09,-1.260747E-09,2.646597E-09,0.9999999,1,0,0,0,1
446.4751,0.0004196222,0.002882631,-0.006040819,2.132734E-08,6.420623E-08,-2.040561E-07,1,0.8151382,0.07083774,0.7420319,-0.07941797,0.6618636,0,0,0,0,268.4214,309.3118,0,1,0,0,0,9.148814E-10,5.360078E-09,3.669486E-08,1,1,0,0,0,1,1,1,0,0,0,0.000000001,4.876815E-09,3.431313E-08,1,1,0,0,0,1
