1,2,8-Task1
Time,Translation X,Translation Y,Translation Z,Rotation X,Rotation Y,Rotation Z,Rotation W,Scalling,Camera X,Camera Y,Camera Z,Camera W,IsInCollision,CollisionForce X,CollisionForce Y,CollisionForce Z,Checkpoint0,Checkpoint1,User,Connected,Translation X,Translation Y,Translation Z,Rotation X,Rotation Y,Rotation Z,Rotation W,Scalling,Camera X,Camera Y,Camera Z,Camera W
463.0696,0,0,0,0,0,0,1,1,0.07105283,0.7416701,-0.07957658,0.662227,0,0,0,0,713.2521,690.1581,0,1,0,0,0,8.152565E-09,-2.795627E-08,-9.515047E-07,1,1,0,0,0,1
463.1199,0,0,0,1.25448E-09,1.311854E-08,-2.913596E-08,1,1,0.07105283,0.7416701,-0.07957659,0.662227,0,0,0,0,281.4561,322.8077,0,1,0,0,0,1.25448E-09,1.311854E-08,-2.913596E-08,1,1,0,0,0,1
463.1694,0,0,0,4.443374E-09,2.789033E-08,-5.658364E-08,1,1,0.07105282,0.7416701,-0.07957657,0.662227,0,0,0,0,276.4301,317.0433,0,1,0,0,0,3.188894E-09,1.477179E-08,-2.744768E-08,1,1,0,0,0,1
463.2198,0,0,0,7.672823E-09,3.678144E-08,-4.116315E-08,1,1,0.07105283,0.7416701,-0.07957658,0.662227,0,0,0,0,281.4561,322.8077,0,1,0,0,0,3.22945E-09,8.891105E-09,1.542049E-08,1,1,0,0,0,1
463.2693,0,0,0,9.898743E-09,3.964131E-08,-5.922423E-08,1,1,0.07105283,0.7416701,-0.07957657,0.662227,0,0,0,0,276.4301,317.0433,0,1,0,0,0,2.225919E-09,2.859879E-09,-1.806109E-08,1,1,0,0,0,1
463.3245,0,0,0,1.254053E-08,4.638078E-08,-9.894705E-08,1,1,0.07105283,0.7416701,-0.07957657,0.662227,0,0,0,0,231.1961,265.1634,0,1,0,0,0,2.641781E-09,6.73947E-09,-3.972282E-08,1,1,0,0,0,1
463.374,0,0,0,1.553456E-08,5.144133E-08,-9.2307E-08,1,1,0.07105283,0.7416701,-0.07957657,0.662227,0,0,0,0,276.4301,317.0433,0,1,0,0,0,2.994037E-09,5.060539E-09,6.64003E-09,1,1,0,0,0,1
463.4244,0,0,0,1.905934E-08,6.479559E-08,-6.724038E-08,1,1,0.07105282,0.7416701,-0.07957657,0.662227,0,0,0,0,281.4561,322.8077,0,1,0,0,0,3.524778E-09,1.335424E-08,2.506664E-08,1,1,0,0,0,1
463.4739,0,0,0,2.326589E-08,7.251447E-08,-4.837054E-08,1,1,0.07105281,0.7416701,-0.07957656,0.662227,0,0,0,0,276.4301,317.0433,0,1,0,0,0,4.206556E-09,7.718882E-09,1.886983E-08,1,1,0,0,0,1
463.5241,0,0,0,2.867113E-08,8.265087E-08,-3.160316E-08,1,1,0.0710528,0.7416701,-0.07957655,0.662227,0,0,0,0,261.3521,299.75,0,1,0,0,0,5.40524E-09,1.013641E-08,1.676738E-08,1,1,0,0,0,1
463.5745,0,0,0,3.023191E-08,9.563049E-08,-2.004926E-08,1,1,0.07105282,0.7416701,-0.07957657,0.662227,0,0,0,0,281.4561,322.8077,0,1,0,0,0,1.560775E-09,1.297961E-08,1.155391E-08,1,1,0,0,0,1
463.624,0,0,0,3.015024E-08,1.043736E-07,-2.577388E-08,1,1,0.0710528,0.7416701,-0.07957654,0.662227,0,0,0,0,276.4301,317.0433,0,1,0,0,0,-8.1674E-11,8.743124E-09,-5.724608E-09,1,1,0,0,0,1
463.6744,0,0,0,2.905932E-08,1.165538E-07,-4.219121E-08,1,1,0.07105282,0.7416701,-0.07957657,0.662227,0,0,0,0,281.4561,322.8077,0,1,0,0,0,-1.09093E-09,1.218017E-08,-1.641733E-08,1,1,0,0,0,1
463.7239,0,0,0,3.098511E-08,1.206621E-07,-3.371786E-08,1,1,0.0710528,0.7416701,-0.07957655,0.662227,0,0,0,0,276.4301,317.0433,0,1,0,0,0,1.925795E-09,4.108297E-09,8.473355E-09,1,1,0,0,0,1
463.7743,0,0,0,2.773369E-08,1.222517E-07,-4.007062E-08,1,1,0.07105279,0.7416701,-0.07957653,0.662227,0,0,0,0,281.4561,322.8077,0,1,0,0,0,-3.251432E-09,1.58966E-09,-6.352758E-09,1,1,0,0,0,1
463.8238,0,0,0,2.733729E-08,1.230218E-07,-3.381887E-08,1,1,0.07105279,0.7416701,-0.07957654,0.662227,0,0,0,0,276.4301,317.0433,0,1,0,0,0,-3.963949E-10,7.701429E-10,6.251749E-09,1,1,0,0,0,1
463.8742,0,0,0,2.585257E-08,1.287845E-07,-1.979553E-08,1,1,0.07105279,0.7416701,-0.07957654,0.662227,0,0,0,0,281.4561,322.8077,0,1,0,0,0,-1.484724E-09,5.762715E-09,1.402333E-08,1,1,0,0,0,1
463.9246,0,0,0,2.872191E-08,1.285156E-07,1.509098E-08,1,1,0.07105277,0.7416701,-0.07957652,0.662227,0,0,0,0,281.4561,322.8077,0,1,0,0,0,2.869347E-09,-2.689357E-10,3.488651E-08,1,1,0,0,0,1
463.9741,0,0,0,3.371776E-08,1.321194E-07,5.152032E-08,1,1,0.07105277,0.7416701,-0.07957651,0.662227,0,0,0,0,276.4301,317.0433,0,1,0,0,0,4.995854E-09,3.603859E-09,3.642934E-08,1,1,0,0,0,1
464.0244,0,0,0,3.818268E-08,1.319236E-07,8.80616E-08,1,1,0.07105277,0.7416701,-0.07957651,0.662227,0,0,0,0,281.4561,322.8077,0,1,0,0,0,4.464923E-09,-1.958071E-10,3.65413E-08,1,1,0,0,0,1
464.0739,0,0,0,4.386774E-08,1.343894E-07,1.370597E-07,1,1,0.07105277,0.7416701,-0.07957651,0.662227,0,0,0,0,276.4301,317.0433,0,1,0,0,0,5.68506E-09,2.465727E-09,4.899809E-08,1,1,0,0,0,1
464.1244,0,0,0,4.67267E-08,1.34586E-07,1.597223E-07,1,1,0.07105278,0.7416701,-0.07957652,0.662227,0,0,0,0,281.4561,322.8077,0,1,0,0,0,2.85897E-09,1.966313E-10,2.266262E-08,1,1,0,0,0,1
464.1745,0,0,0,5.063558E-08,1.351754E-07,1.912952E-07,1,1,0.07105278,0.7416701,-0.07957652,0.662227,0,0,0,0,276.4301,317.0433,0,1,0,0,0,3.908883E-09,5.893867E-10,3.157297E-08,1,1,0,0,0,1
464.224,0,0,0,5.429611E-08,1.352216E-07,2.30204E-07,1,1,0.07105279,0.7416701,-0.07957652,0.662227,0,0,0,0,276.4301,317.0433,0,1,0,0,0,3.660521E-09,4.616735E-11,3.890878E-08,1,1,0,0,0,1
464.2744,0,0,0,5.850032E-08,1.364112E-07,2.708057E-07,1,1,0.07105277,0.7416701,-0.07957651,0.662227,0,0,0,0,281.4561,322.8077,0,1,0,0,0,4.204214E-09,1.189557E-09,4.060167E-08,1,1,0,0,0,1
464.3239,0,0,0,5.816942E-08,1.358923E-07,2.662282E-07,1,1,0.07105277,0.7416701,-0.0795765,0.662227,0,0,0,0,276.4301,317.0433,0,1,0,0,0,-3.309019E-10,-5.188541E-10,-4.57762E-09,1,1,0,0,0,1
464.3769,0,0,0,6.158546E-08,1.415079E-07,2.82013E-07,1,1,0.07105278,0.7416701,-0.07957652,0.662227,0,0,0,0,231.1961,265.1634,0,1,0,0,0,3.416053E-09,5.615511E-09,1.578483E-08,1,1,0,0,0,1
464.4264,0,0,0,6.604613E-08,1.422937E-07,3.180381E-07,1,1,0.07105278,0.7416701,-0.07957652,0.662227,0,0,0,0,276.4301,317.0433,0,1,0,0,0,4.460677E-09,7.857643E-10,3.60251E-08,1,1,0,0,0,1
464.4768,0,0,0,6.988441E-08,1.425617E-07,3.590951E-07,1,1,0.07105279,0.7416701,-0.07957653,0.662227,0,0,0,0,281.4561,322.8077,0,1,0,0,0,3.838287E-09,2.680418E-10,4.105704E-08,1,1,0,0,0,1
464.5263,0,0,0,7.101369E-08,1.430927E-07,3.952954E-07,1,1,0.07105278,0.7416701,-0.07957652,0.662227,0,0,0,0,276.4301,317.0433,0,1,0,0,0,1.129278E-09,5.309683E-10,3.620028E-08,1,1,0,0,0,1
464.5767,0,0,0,7.428811E-08,1.466514E-07,4.396812E-07,1,1,0.07105279,0.7416701,-0.07957653,0.662227,0,0,0,0,281.4561,322.8077,0,1,0,0,0,3.274412E-09,3.558594E-09,4.438563E-08,1,1,0,0,0,1
464.6262,0,0,0,7.724886E-08,1.466093E-07,4.757628E-07,1,1,0.07105278,0.7416701,-0.07957652,0.662227,0,0,0,0,276.4301,317.0433,0,1,0,0,0,2.960733E-09,-4.207534E-11,3.60815E-08,1,1,0,0,0,1
464.6766,0,0,0,8.226712E-08,1.474933E-07,5.16291E-07,1,1,0.07105278,0.7416701,-0.07957652,0.662227,0,0,0,0,281.4561,322.8077,0,1,0,0,0,5.018261E-09,8.839849E-10,4.052823E-08,1,1,0,0,0,1
464.727,0,0,0,8.728539E-08,1.483773E-07,5.568192E-07,1,1,0.07105278,0.7416701,-0.07957652,0.662227,0,0,0,0,281.4561,322.8077,0,1,0,0,0,5.018261E-09,8.839849E-10,4.052823E-08,1,1,0,0,0,1
464.7765,0,0,0,9.230365E-08,1.492612E-07,5.973474E-07,1,1,0.07105278,0.7416701,-0.07957652,0.662227,0,0,0,0,276.4301,317.0433,0,1,0,0,0,5.018261E-09,8.839849E-10,4.052823E-08,1,1,0,0,0,1
464.8269,0,0,0,9.676432E-08,1.50047E-07,6.333725E-07,1,1,0.07105278,0.7416701,-0.07957652,0.662227,0,0,0,0,281.4561,322.8077,0,1,0,0,0,4.460677E-09,7.857643E-10,3.60251E-08,1,1,0,0,0,1
464.8771,0,0,0,1.01225E-07,1.508328E-07,6.693976E-07,1,1,0.07105278,0.7416701,-0.07957652,0.662227,0,0,0,0,231.1961,265.1634,0,1,0,0,0,4.460677E-09,7.857643E-10,3.60251E-08,1,1,0,0,0,1
464.9266,0,0,0,1.056857E-07,1.516185E-07,7.054227E-07,1,1,0.07105278,0.7416701,-0.07957652,0.662227,0,0,0,0,276.4301,317.0433,0,1,0,0,0,4.460677E-09,7.857643E-10,3.60251E-08,1,1,0,0,0,1
464.977,0,0,0,1.090312E-07,1.522078E-07,7.324415E-07,1,1,0.07105278,0.7416701,-0.07957652,0.662227,0,0,0,0,281.4561,322.8077,0,1,0,0,0,3.345508E-09,5.893233E-10,2.701882E-08,1,1,0,0,0,1
465.0265,0,0,0,1.134919E-07,1.529936E-07,7.684666E-07,1,1,0.07105278,0.7416701,-0.07957652,0.662227,0,0,0,0,276.4301,317.0433,0,1,0,0,0,4.460677E-09,7.857643E-10,3.60251E-08,1,1,0,0,0,1
465.0769,0,0,0,1.201829E-07,1.541722E-07,8.225043E-07,1,1,0.07105278,0.7416701,-0.07957652,0.662227,0,0,0,0,281.4561,322.8077,0,1,0,0,0,6.691015E-09,1.178647E-09,5.403764E-08,1,1,0,0,0,1
465.1264,0,0,0,1.252011E-07,1.550562E-07,8.630325E-07,1,1,0.07105278,0.7416701,-0.07957652,0.662227,0,0,0,0,276.4301,317.0433,0,1,0,0,0,5.018261E-09,8.839849E-10,4.052823E-08,1,1,0,0,0,1
465.1768,0,0,0,1.302194E-07,1.559402E-07,9.035607E-07,1,1,0.07105278,0.7416701,-0.07957652,0.662227,0,0,0,0,281.4561,322.8077,0,1,0,0,0,5.018261E-09,8.839849E-10,4.052823E-08,1,1,0,0,0,1
465.2269,0,0,0,1.346801E-07,1.56726E-07,9.395858E-07,1,1,0.07105278,0.7416701,-0.07957652,0.662227,0,0,0,0,266.3781,305.5144,0,1,0,0,0,4.460677E-09,7.857643E-10,3.60251E-08,1,1,0,0,0,1
465.2764,0,0,0,1.391408E-07,1.575117E-07,9.756109E-07,1,1,0.07105278,0.7416701,-0.07957652,0.662227,0,0,0,0,276.4301,317.0433,0,1,0,0,0,4.460677E-09,7.857643E-10,3.60251E-08,1,1,0,0,0,1
465.3268,0,0,0,1.44159E-07,1.583957E-07,1.016139E-06,1,1,0.07105278,0.7416701,-0.07957652,0.662227,0,0,0,0,281.4561,322.8077,0,1,0,0,0,5.018261E-09,8.839849E-10,4.052823E-08,1,1,0,0,0,1
465.3763,0,0,0,1.486197E-07,1.591815E-07,1.052164E-06,1,1,0.07105278,0.7416701,-0.07957652,0.662227,0,0,0,0,276.4301,317.0433,0,1,0,0,0,4.460677E-09,7.857643E-10,3.60251E-08,1,1,0,0,0,1
465.4267,0,0,0,1.541956E-07,1.601637E-07,1.097196E-06,1,1,0.07105278,0.7416701,-0.07957652,0.662227,0,0,0,0,281.4561,322.8077,0,1,0,0,0,5.575846E-09,9.822054E-10,4.503137E-08,1,1,0,0,0,1
465.4771,0,0,0,1.592139E-07,1.610477E-07,1.137724E-06,1,1,0.07105278,0.7416701,-0.07957652,0.662227,0,0,0,0,281.4561,322.8077,0,1,0,0,0,5.018261E-09,8.839849E-10,4.052823E-08,1,1,0,0,0,1
465.5267,0,0,0,1.647897E-07,1.620299E-07,1.182755E-06,1,1,0.07105278,0.7416701,-0.07957652,0.662227,0,0,0,0,276.4301,317.0433,0,1,0,0,0,5.575846E-09,9.822054E-10,4.503137E-08,1,1,0,0,0,1
465.5771,0,0,0,1.69808E-07,1.629138E-07,1.223283E-06,1,0.9758045,0.07105278,0.7416701,-0.07957652,0.662227,0,0,0,0,281.3781,322.7323,0,1,0,0,0,5.018261E-09,8.839849E-10,4.052823E-08,1,0.9758045,0,0,0,1
465.6263,0,0,0,1.748263E-07,1.637978E-07,1.263812E-06,1,0.9361907,0.07105278,0.7416701,-0.07957652,0.662227,0,0,0,0,254.9443,292.6527,0,1,0,0,0,5.018261E-09,8.839849E-10,4.052823E-08,1,0.959404,0,0,0,1
