2,2,Time1-Task1
Time,Translation X,Translation Y,Translation Z,Rotation X,Rotation Y,Rotation Z,Rotation W,Scalling,Camera X,Camera Y,Camera Z,Camera W,IsInCollision,CollisionForce X,CollisionForce Y,CollisionForce Z,Checkpoint0,Checkpoint1,User,Connected,Translation X,Translation Y,Translation Z,Rotation X,Rotation Y,Rotation Z,Rotation W,Scalling,Camera X,Camera Y,Camera Z,Camera W,User,Connected,Translation X,Translation Y,Translation Z,Rotation X,Rotation Y,Rotation Z,Rotation W,Scalling,Camera X,Camera Y,Camera Z,Camera W
646.5813,0,0,0,0,0,0,1,1,0.07105283,0.7416701,-0.07957658,0.662227,0,0,0,0,352.3162,336.6327,0,1,0,0,0,-6.270629E-09,3.885209E-09,4.674034E-07,1,1,0,0,0,1,1,1,0,0,0,-6.33584E-09,1.367475E-09,4.947306E-07,1,1,0,0,0,1
646.6311,0,0,0,2.94282E-09,2.285955E-08,-5.751897E-08,1,1,0.07105283,0.7416701,-0.07957659,0.662227,0,0,0,0,261.3521,299.75,0,1,0,0,0,1.611502E-09,1.013363E-08,-2.858095E-08,1,1,0,0,0,1,1,1,0,0,0,2.236544E-09,1.178701E-08,-3.540128E-08,1,1,0,0,0,1
646.6811,0,0,0,1.052258E-08,5.145315E-08,-1.262834E-07,1,1,0.07105282,0.7416701,-0.07957657,0.662227,0,0,0,0,261.3521,299.75,0,1,0,0,0,3.477356E-09,1.347011E-08,-3.097205E-08,1,1,0,0,0,1,1,1,0,0,0,4.102398E-09,1.51235E-08,-3.779238E-08,1,1,0,0,0,1
646.7313,0,0,0,1.750442E-08,7.01192E-08,-8.766963E-08,1,1,0.07105283,0.7416701,-0.07957658,0.662227,0,0,0,0,266.3781,305.5144,0,1,0,0,0,3.490923E-09,9.333023E-09,1.93069E-08,1,1,0,0,0,1,1,1,0,0,0,3.490923E-09,9.333023E-09,1.93069E-08,1,1,0,0,0,1
646.7821,0,0,0,2.312706E-08,7.991518E-08,-1.406231E-07,1,1,0.07105283,0.7416701,-0.07957657,0.662227,0,0,0,0,246.2741,282.4567,0,1,0,0,0,3.274625E-09,6.467749E-09,-2.458146E-08,1,1,0,0,0,1,1,1,0,0,0,2.348015E-09,3.328211E-09,-2.837194E-08,1,1,0,0,0,1
646.8308,0,0,0,2.631172E-08,9.657361E-08,-2.036179E-07,1,1,0.07105283,0.7416701,-0.07957657,0.662227,0,0,0,0,236.2221,270.9278,0,1,0,0,0,1.524933E-09,8.58742E-09,-2.953724E-08,1,1,0,0,0,1,1,1,0,0,0,1.659717E-09,8.070999E-09,-3.34575E-08,1,1,0,0,0,1
646.8815,0,0,0,3.292257E-08,1.079598E-07,-1.886635E-07,1,1,0.07105283,0.7416701,-0.07957657,0.662227,0,0,0,0,271.4041,311.2788,0,1,0,0,0,3.053952E-09,5.693106E-09,7.505724E-09,1,1,0,0,0,1,1,1,0,0,0,3.556895E-09,5.693106E-09,7.44862E-09,1,1,0,0,0,1
646.9312,0,0,0,3.941532E-08,1.297633E-07,-1.520628E-07,1,1,0.07105282,0.7416701,-0.07957657,0.662227,0,0,0,0,266.3781,305.5144,0,1,0,0,0,3.246378E-09,1.090171E-08,1.830036E-08,1,1,0,0,0,1,1,1,0,0,0,3.246378E-09,1.090171E-08,1.830036E-08,1,1,0,0,0,1
646.9808,0,0,0,4.89145E-08,1.545087E-07,-1.011743E-07,1,1,0.07105281,0.7416701,-0.07957656,0.662227,0,0,0,0,266.3781,305.5144,0,1,0,0,0,4.749596E-09,1.237266E-08,2.544425E-08,1,1,0,0,0,1,1,1,0,0,0,4.749596E-09,1.237266E-08,2.544425E-08,1,1,0,0,0,1
647.0313,0,0,0,5.918438E-08,1.783666E-07,-6.279043E-08,1,1,0.0710528,0.7416701,-0.07957655,0.662227,0,0,0,0,271.4041,311.2788,0,1,0,0,0,5.422168E-09,1.214702E-08,1.964725E-08,1,1,0,0,0,1,1,1,0,0,0,4.847727E-09,1.171076E-08,1.873664E-08,1,1,0,0,0,1
